day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.24,13.92,0,20.33
2,1,1981,28.27,14.77,0,20.64
3,1,1981,28.4,15.62,0,19.9
4,1,1981,26.69,15.42,0,19.98
5,1,1981,25.96,15.7,0,18.82
6,1,1981,25.99,14.97,0,18.97
7,1,1981,26.01,14.07,0,21.76
8,1,1981,26.24,12.12,0,22.31
9,1,1981,26.13,12.84,0,21.66
10,1,1981,27.22,13.5,0,21.35
11,1,1981,27.78,14.7,0,20.55
12,1,1981,25.89,15.29,0,21.29
13,1,1981,24.48,15.62,0,15.8
14,1,1981,23.18,14.97,3.61,14.47
15,1,1981,25.36,15.05,3.23,17.4
16,1,1981,26.55,13.85,0,21.87
17,1,1981,27.06,14.01,0,22.04
18,1,1981,27.11,14.74,0,20.98
19,1,1981,26.89,15.19,0,19.61
20,1,1981,27.57,16.37,0,21.31
21,1,1981,27.55,15.54,0,22.08
22,1,1981,27.29,15.61,0,20.58
23,1,1981,28.98,15.42,0,22.55
24,1,1981,29.34,15.67,0,22.87
25,1,1981,29.17,14.36,0,23.09
26,1,1981,28.65,15.35,0,22.78
27,1,1981,26.47,15.46,0,21.03
28,1,1981,24.42,15.95,0.18,15.57
29,1,1981,25.71,15.29,0,20.91
30,1,1981,27.31,14.22,0,23.07
31,1,1981,26.5,13.37,0,23.34
1,2,1981,25.63,13.03,0,22.66
2,2,1981,25.61,13.12,0,21.78
3,2,1981,24.95,14.92,0,19.88
4,2,1981,24.24,13.15,0,19.07
5,2,1981,26.83,13.97,0,22.14
6,2,1981,27.11,13.82,0,23.23
7,2,1981,27.48,13.79,0,23.32
8,2,1981,28.03,14.26,0,23.42
9,2,1981,27.67,14.61,0,22.54
10,2,1981,25.68,16.51,0.14,17.64
11,2,1981,18.8,14.79,0.24,9.11
12,2,1981,22.1,14.45,0,18.72
13,2,1981,22.27,14.28,3.26,16.36
14,2,1981,21.16,14.57,0,13.93
15,2,1981,22.25,16.28,0,11.94
16,2,1981,25.75,14.54,0,20.85
17,2,1981,26.25,15.61,0,20.66
18,2,1981,24.8,17,1.45,18.22
19,2,1981,27.11,17.29,0,19.02
20,2,1981,28.67,16.54,0,23.38
21,2,1981,29.27,15.71,0,24.08
22,2,1981,29.46,16.26,0,24.4
23,2,1981,30.67,15.37,0,24.89
24,2,1981,31.19,15.75,0,24.78
25,2,1981,29.13,16.31,0,24.37
26,2,1981,27.55,17.16,0,21.57
27,2,1981,28.71,16.03,0.47,23.58
28,2,1981,30.28,17.77,0,22.49
1,3,1981,29.47,18.97,0.37,22.78
2,3,1981,27.85,16.88,0,21.6
3,3,1981,24.25,16.68,2.67,16.93
4,3,1981,23.34,17.2,2.32,15.4
5,3,1981,23.98,16.73,2.84,18.27
6,3,1981,25.63,17.66,0,20.74
