day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,30.55,18.1,0,20.6
2,1,1981,32.57,18.7,0,20.43
3,1,1981,32.88,19.59,0,19.95
4,1,1981,31.9,18.68,0,20.85
5,1,1981,30.18,20.07,0,17.59
6,1,1981,30.51,19.77,0,19.07
7,1,1981,30.54,17.26,0,22.27
8,1,1981,30.43,14.74,0,22.56
9,1,1981,30.18,15.95,0,21.69
10,1,1981,31.49,16.89,0,21.45
11,1,1981,31.69,17.96,0,21.09
12,1,1981,30.4,19.42,0,21.43
13,1,1981,27.17,18.75,0,13.04
14,1,1981,26.45,19.03,0,11.86
15,1,1981,30.01,19.25,0,18.53
16,1,1981,30.28,17.35,0,22.44
17,1,1981,30.42,17.36,0,21.94
18,1,1981,31.31,17.8,0,21.23
19,1,1981,31.47,18.6,5.09,20.41
20,1,1981,31.92,19.97,5.09,21.71
21,1,1981,31.92,19.36,0,22.53
22,1,1981,31.55,20.4,0,20.39
23,1,1981,33.45,18.63,0,22.44
24,1,1981,33.62,19.19,0,23.03
25,1,1981,33.84,16.89,0,23.25
26,1,1981,33.57,17.95,0,22.82
27,1,1981,31.35,18.7,0,21.29
28,1,1981,29.26,19.47,0,15.94
29,1,1981,29.56,19.24,0,17.36
30,1,1981,31.49,18.96,0,23.67
31,1,1981,30.85,15.55,0,23.89
1,2,1981,30.46,17.29,0,23.41
2,2,1981,30.07,18.47,0,21.7
3,2,1981,29.4,17.7,0,19.57
4,2,1981,28.09,17.03,0,15.76
5,2,1981,30.72,17.55,0,20.81
6,2,1981,31.01,17.43,0,23.54
7,2,1981,31.65,17.87,0,23.6
8,2,1981,32.04,18.61,0,23.26
9,2,1981,31.93,18.65,0,22.85
10,2,1981,30.69,20.01,3.15,18.59
11,2,1981,21.38,18.84,2.61,8.47
12,2,1981,25.98,17.62,0,16.43
13,2,1981,27.28,18.46,1.23,15.5
14,2,1981,24.89,18.72,0,12.8
15,2,1981,26.45,19.81,0,10.85
16,2,1981,29.63,18.29,0,21.06
17,2,1981,30.8,18.73,0,21.29
18,2,1981,29.12,20.92,0,16.63
19,2,1981,31.12,20.52,0,19.28
20,2,1981,33.32,19.5,0,23.92
21,2,1981,33.9,18.62,0,24.45
22,2,1981,34.23,18.45,0,24.75
23,2,1981,35.2,17.68,0,25.08
24,2,1981,35.42,18.16,0,24.94
25,2,1981,33.88,18.79,0,24.65
26,2,1981,32.37,19.93,0,21.46
27,2,1981,33.55,20.46,1.52,23.87
28,2,1981,35.35,20.3,0,23.78
1,3,1981,34.17,19.54,5.85,22.53
2,3,1981,32.02,19.61,0,20.08
3,3,1981,27.95,20.48,1.56,14.63
4,3,1981,26.76,20.2,3.79,13.11
5,3,1981,26.96,19.89,7.52,13.31
6,3,1981,29.09,20.24,0,17.12
7,3,1981,27.04,20.66,0,13.21
8,3,1981,28.53,20.15,0,17.34
9,3,1981,31.54,19.28,13.7,23.08
10,3,1981,34.09,20.51,0,22.14
11,3,1981,33.32,20.75,0,21.47
12,3,1981,35.49,21.05,5.11,22.04
13,3,1981,33.77,21.65,4.66,20.52
14,3,1981,29.3,21.15,2.01,15.34
15,3,1981,27.81,20.95,7.91,14.68
16,3,1981,28.09,20.75,0,15.5
17,3,1981,29.24,20.56,0,18.83
18,3,1981,26.48,20.44,13.05,18.77
19,3,1981,24.66,20.64,2.67,6.75
20,3,1981,28.01,20.84,0,15.4
21,3,1981,29.81,21.07,1.77,18.33
22,3,1981,27.99,20.79,2.48,17.2
23,3,1981,28.33,20.05,8.43,19.91
24,3,1981,29.21,20.63,0.97,20.55
25,3,1981,30.21,20.17,0,21.3
26,3,1981,31.1,21.27,16.94,21
27,3,1981,29.63,21.44,13.14,21.77
28,3,1981,25.46,21.04,0,12.2
29,3,1981,27.31,20.82,18.63,14.83
30,3,1981,28.48,20.64,0,18.82
31,3,1981,27.77,21.2,0,18.72
1,4,1981,25.21,21.08,5.08,11.84
2,4,1981,27.15,21.25,5.08,16.32
3,4,1981,29.36,21.48,0,22.07
4,4,1981,29.24,21.27,0,21.45
5,4,1981,28.92,21.4,0,21.01
6,4,1981,28.05,20.21,0,20.69
7,4,1981,30.33,21.12,0,24.17
8,4,1981,29.83,20.45,0,22.37
9,4,1981,29.21,20.75,0,21.78
10,4,1981,29.33,20.89,0,22.97
11,4,1981,29.96,21.58,0,23.01
12,4,1981,28.2,21.83,8.75,19.22
13,4,1981,28.61,21.78,0,20.81
14,4,1981,29.3,22.05,0,21.22
15,4,1981,30.71,21.57,0,21.39
16,4,1981,31.51,21.06,0,24.48
17,4,1981,30.51,21.47,0,22.21
18,4,1981,29.87,21.48,0,23.98
19,4,1981,29.61,21.42,0,22.78
20,4,1981,29.75,20.95,0,23.81
21,4,1981,30.28,20.61,15.02,24.87
22,4,1981,31.69,21.44,3.19,24.61
23,4,1981,31.33,21.45,13.52,22.84
24,4,1981,29.11,22.32,4.13,15.45
25,4,1981,29.6,21.19,4.13,21.61
26,4,1981,31.42,20.72,0,26.27
27,4,1981,31.59,20.96,0,25.87
28,4,1981,32.16,21.54,0,24.28
29,4,1981,33.51,20.93,0,25.93
30,4,1981,33.71,20.65,0,26.1
1,5,1981,32.6,21.72,0,25.3
2,5,1981,33.22,22.05,0,24.23
3,5,1981,33.64,22.83,0.39,25.63
4,5,1981,34.48,22.37,3.08,26.18
5,5,1981,35.33,22.25,3.08,26.96
6,5,1981,35.6,22.18,0,25.73
7,5,1981,35.2,23.17,0,26.13
8,5,1981,34.49,23.61,0,24.56
9,5,1981,32.99,24.38,0,24.04
10,5,1981,34.26,23.58,0,27.23
11,5,1981,34.34,23.54,0,25.55
12,5,1981,33.98,24.46,0,23.6
13,5,1981,34.43,23.95,0,24.09
14,5,1981,34.33,23.97,0,22.18
15,5,1981,35.9,23.86,0,27.15
16,5,1981,36.26,22.08,0,27.23
17,5,1981,36.58,23.84,0,25.28
18,5,1981,37.33,23.39,1.55,25.9
19,5,1981,36.83,23.58,2,25.09
20,5,1981,36.46,23.89,2,23.68
21,5,1981,36.14,23.87,0,22.75
22,5,1981,35.95,23.89,0,24.87
23,5,1981,36.36,22.07,0,26.17
24,5,1981,36.72,22.54,0,25.75
25,5,1981,37.34,22.56,0,26.15
26,5,1981,38.29,22.51,0,25.9
27,5,1981,38.28,22.27,0,25.89
28,5,1981,38,22.29,0,25.81
29,5,1981,37.45,22.95,0,23.57
30,5,1981,36.99,24.44,0,22.56
31,5,1981,36.05,24.65,0,18.93
1,6,1981,37.61,24.67,0,21.95
2,6,1981,38.19,24.68,0,24.33
3,6,1981,38.52,23.55,0,23.57
4,6,1981,38.93,23.04,0,24.9
5,6,1981,38.67,22.81,0,24.09
6,6,1981,38.62,24.09,0,23.59
7,6,1981,37.51,24.12,0,22.72
8,6,1981,36.88,23.76,0,22.76
9,6,1981,37.37,23.9,0,22.68
10,6,1981,38.43,24.28,0,22.32
11,6,1981,38.39,24.61,0,20.67
12,6,1981,38.85,23.76,0,23.57
13,6,1981,38.79,23.09,0,23.08
14,6,1981,38.38,22.74,0,22.78
15,6,1981,38.66,23.2,0,21.14
16,6,1981,39.15,23.96,0,21.73
17,6,1981,38.65,23.34,0,22.51
18,6,1981,38.96,23.07,0,23.24
19,6,1981,39.05,23.15,0,23.29
20,6,1981,39.16,23.25,0,22.61
21,6,1981,38.51,24.46,0,20.5
22,6,1981,38.23,25.15,0,20.85
23,6,1981,37.9,25.18,0,19.96
24,6,1981,38.04,24.86,0,20.46
25,6,1981,38.61,23.91,0,20.13
26,6,1981,39.07,23.49,0,21.95
27,6,1981,38.63,23.99,0,21.9
28,6,1981,39.29,24.33,0,22.12
29,6,1981,38.97,24.43,0,22.53
30,6,1981,39.2,24.62,0,22.86
1,7,1981,39.68,24.32,0,22.25
2,7,1981,39.08,24.92,0,18.97
3,7,1981,38.38,26.1,35.59,19.68
4,7,1981,37.43,25.32,0,19.6
5,7,1981,36.59,24.73,0,21.31
6,7,1981,37.27,25.06,5.3,22.05
7,7,1981,37.52,25.51,4.36,21.46
8,7,1981,37.76,25.87,2.5,21.47
9,7,1981,38.17,25.19,2.5,20.86
10,7,1981,37.61,25.61,5.3,20.54
11,7,1981,36.02,25.14,0,18.73
12,7,1981,36.35,24.7,21.08,21.15
13,7,1981,36.77,25.3,0,21.21
14,7,1981,37.16,24.33,0,21.08
15,7,1981,38.03,24.17,0,21
16,7,1981,37.11,26.04,20.82,16.11
17,7,1981,36.61,27.48,0,15.73
18,7,1981,37.64,25.62,0,21.79
19,7,1981,36.7,25.27,3.44,18.95
20,7,1981,37.2,26.03,0,20.31
21,7,1981,38.48,25.13,0,22.74
22,7,1981,38.7,24.88,0,21.76
23,7,1981,38.42,24.74,0,22.28
24,7,1981,37.69,25.58,20.55,18.39
25,7,1981,37.59,25.41,0.98,19.04
26,7,1981,37.83,25.19,3.05,21.03
27,7,1981,37.96,24.89,3.05,20.94
28,7,1981,38.47,25.48,3.05,23.16
29,7,1981,38.68,26.04,3.05,21.53
30,7,1981,38,25.23,3.05,21.1
31,7,1981,38.53,25.02,3.05,22.58
1,8,1981,38.97,25.35,0,21.93
2,8,1981,38.22,24.97,13.59,22.29
3,8,1981,38.96,25.1,6.16,22.94
4,8,1981,39.27,25.21,0,22.57
5,8,1981,39.26,26.49,0,21.45
6,8,1981,37.64,25.82,1.5,19.72
7,8,1981,37.97,25.5,5.08,19.61
8,8,1981,37.56,25.83,24.15,21.49
9,8,1981,37.59,24.74,0,22.38
10,8,1981,38.11,25.84,0,22.37
11,8,1981,39.92,25.25,0,22.65
12,8,1981,39.06,25.56,0,22.53
13,8,1981,37.01,26.22,23.42,21.18
14,8,1981,38.68,25.33,2,23.18
15,8,1981,37.98,26.71,0,22.04
16,8,1981,38.08,25.85,8.25,22.92
17,8,1981,38.36,24.83,10.94,21.53
18,8,1981,37.63,25.59,2.89,19.98
19,8,1981,36.52,26.19,5.57,20.47
20,8,1981,36.92,25.02,8.25,20.71
21,8,1981,36.91,24.68,0,22.47
22,8,1981,36.48,24.05,0,22.53
23,8,1981,36.45,24.84,20.46,22.82
24,8,1981,37.36,24.02,16.86,23.86
25,8,1981,38.57,25.02,0,23.71
26,8,1981,38.62,24.73,0.96,23.51
27,8,1981,38.66,25.35,0.96,23.63
28,8,1981,38.65,24.57,0.96,24.42
29,8,1981,38.28,24.94,0.96,23.51
30,8,1981,37.43,25.16,0.96,23.94
31,8,1981,36.69,25.05,9.77,22.6
1,9,1981,35.27,23.88,0.91,22.58
2,9,1981,35.07,25.01,0.91,22.31
3,9,1981,37.26,24.08,0.91,23.74
4,9,1981,38.75,23.81,0.91,24.45
5,9,1981,37.7,24.4,0.91,23.25
6,9,1981,37.22,24.54,0,23.77
7,9,1981,36.34,25.31,0,21.18
8,9,1981,35.71,24.39,0,21.13
9,9,1981,36.38,24.77,0,22.08
10,9,1981,36.36,24.2,0,21.41
11,9,1981,36.95,24.56,0,23.22
12,9,1981,35.71,24.97,0,21.36
13,9,1981,34.3,26.14,0,17.12
14,9,1981,34.61,24.45,0,20.11
15,9,1981,33.56,24.28,3.63,17.31
16,9,1981,35.28,24.46,1.73,18.97
17,9,1981,35.17,24.6,1.73,19.75
18,9,1981,33.34,23.71,1.73,16.66
19,9,1981,34.34,24.72,1.73,19.44
20,9,1981,34.4,24.06,1.73,20.43
21,9,1981,35.74,23.57,0,20.36
22,9,1981,36.89,24.36,0,21.72
23,9,1981,38.02,23.3,0,23.31
24,9,1981,37.47,23.74,0,23
25,9,1981,37.46,25.49,0,23.67
26,9,1981,36.26,24.58,0,23.03
27,9,1981,35.63,23.38,0,21.18
28,9,1981,35.13,24.19,0,20.53
29,9,1981,36.9,22.18,0,24.59
30,9,1981,36.38,22.7,0,24.43
1,10,1981,34.4,23.28,3.79,18.62
2,10,1981,34.27,23.83,6.55,19.05
3,10,1981,34.2,24.14,0,19.38
4,10,1981,32.25,23.58,0,19.55
5,10,1981,33.24,22.33,0,20.43
6,10,1981,33.38,23.17,0,19.4
7,10,1981,34.86,23.16,0,21.77
8,10,1981,34.05,24.77,0,21.5
9,10,1981,34.93,23.22,0,23.49
10,10,1981,35.05,22.09,0,24.92
11,10,1981,35.12,20.98,0,25.32
12,10,1981,35.36,20.49,0,25.39
13,10,1981,35.28,21.74,0,25.13
14,10,1981,35.07,21.88,0,23.39
15,10,1981,34.19,23.13,0,22.55
16,10,1981,34.71,23.29,0,23.69
17,10,1981,34.28,24.41,0,23.55
18,10,1981,34.67,22.87,0,24.52
19,10,1981,34.56,21.07,0,25.06
20,10,1981,34.53,20.7,0,24.77
21,10,1981,34.56,21.78,0,21.56
22,10,1981,33.41,21.87,0,19.11
23,10,1981,33.82,21.1,0,23.03
24,10,1981,33.54,20.82,0,23.95
25,10,1981,33.03,19.93,0,24.48
26,10,1981,32.32,19.56,0,23.15
27,10,1981,32.09,19.98,0,22.96
28,10,1981,32.91,19.75,0,24.12
29,10,1981,33.69,19.56,0,24.16
30,10,1981,33.22,19.63,0,23.98
31,10,1981,33.49,19.5,0,23.73
1,11,1981,33.65,19.12,0,23.81
2,11,1981,33.62,19.59,0,23.58
3,11,1981,33.91,19.55,0,22.68
4,11,1981,34.02,20.15,0,22.98
5,11,1981,32.85,21.05,0,22.64
6,11,1981,30.41,21.68,0,18.13
7,11,1981,31.05,20.97,0,18.19
8,11,1981,32.56,21.56,0,22.49
9,11,1981,33.02,18.71,0,23.38
10,11,1981,33.24,19.18,0,23.53
11,11,1981,33.25,17.85,0,23.25
12,11,1981,32.97,18.73,0,23.11
13,11,1981,32.7,18.12,0,23.42
14,11,1981,32.32,17.93,0,23.37
15,11,1981,31.6,17.38,0,23.32
16,11,1981,31.16,18.14,0,23
17,11,1981,30.75,17.89,0,22.08
18,11,1981,30.79,18.02,0,22.66
19,11,1981,30.41,19.22,0,22.62
20,11,1981,30.66,17.37,0,22.46
21,11,1981,30.9,17.43,0,22.04
22,11,1981,30.63,18.39,0,21.54
23,11,1981,30.49,19.19,3.02,20.95
24,11,1981,29.83,20.76,4.91,16.47
25,11,1981,31,20.57,4.91,21.63
26,11,1981,31.45,19.12,0,21.45
27,11,1981,31.23,18.75,0,21.82
28,11,1981,31.51,17.58,0,22.18
29,11,1981,31.12,17.21,0,22.16
30,11,1981,29.95,18.75,0,21.64
1,12,1981,29.17,19.42,0,17.05
2,12,1981,30.89,17.59,0,21.93
3,12,1981,30.81,16.97,0,22
4,12,1981,30.98,15.69,0,22.37
5,12,1981,30.32,16.08,0,22.01
6,12,1981,30.37,16.38,0,21.49
7,12,1981,30.68,17.06,0,21.52
8,12,1981,31.01,16.55,0,21.76
9,12,1981,30.9,16.07,0,22.11
10,12,1981,30.13,15.53,0,22.29
11,12,1981,29.11,15.12,0,21.99
12,12,1981,29.14,15.27,0,21.8
13,12,1981,29.74,15.87,0,21.78
14,12,1981,29.41,16.81,0,21.58
15,12,1981,29.91,16.69,0,21.24
16,12,1981,30.05,17.27,0,20.69
17,12,1981,30.47,18.13,0,19.97
18,12,1981,29.06,19.31,0,15.85
19,12,1981,28.37,20.53,5.68,13.75
20,12,1981,28.76,18.6,0,19.48
21,12,1981,29.36,18.44,0,19.45
22,12,1981,28.15,18.43,0,14.86
23,12,1981,28.47,16.79,0,20.23
24,12,1981,29.71,17.47,0,20.75
25,12,1981,31,17.33,0,20.48
26,12,1981,30.75,18.23,0,20.77
27,12,1981,30.14,19.27,0,21.02
28,12,1981,30.76,18.36,0,20.99
29,12,1981,30.83,18.02,0,19.65
30,12,1981,30.68,19.06,0,18
31,12,1981,27.27,20.3,2.74,12.54
1,1,1982,26.91,20.4,0,12.98
2,1,1982,25.01,20.06,2.64,9.46
3,1,1982,29.15,19.39,0,17.1
4,1,1982,29.47,18.64,0,16.07
5,1,1982,28.54,18.58,7.16,13.92
6,1,1982,27.89,19.95,15.48,14.44
7,1,1982,27.06,19.26,0,13.23
8,1,1982,29.85,19.47,0,17.99
9,1,1982,29.41,19.1,0,17.61
10,1,1982,30.45,18.67,0,20.95
11,1,1982,30.36,19.54,0,18.87
12,1,1982,30.22,18.82,6.33,16.23
13,1,1982,26.08,19.26,6.19,13.03
14,1,1982,24.34,19.6,1.44,8.92
15,1,1982,25.23,19.09,0.1,10.17
16,1,1982,25.55,19.25,6.58,11.42
17,1,1982,24.83,19.44,0,9.4
18,1,1982,26.62,19.48,0,15.2
19,1,1982,26.13,19.86,0,14.98
20,1,1982,27.5,19.37,0,15.95
21,1,1982,28.03,19.41,0,15.34
22,1,1982,26.42,19.09,0,13.04
23,1,1982,26.95,17.9,0,13.93
24,1,1982,28.9,16.95,0,19.57
25,1,1982,29.48,16.14,0,22.1
26,1,1982,29.75,16.93,0,23.07
27,1,1982,29.85,15.49,0,23.13
28,1,1982,31.49,16.34,0,22.73
29,1,1982,30.93,18.09,0,22.61
30,1,1982,31.44,17.78,0,22.29
31,1,1982,33.58,17.26,0,23.05
1,2,1982,29.9,19.67,0,16.55
2,2,1982,29.45,19.66,0,15.92
3,2,1982,26,18.87,0,10.15
4,2,1982,25.89,18.63,0,9.45
5,2,1982,24.26,18.98,0,7.48
6,2,1982,26.12,18.75,0,8.98
7,2,1982,27.48,18.83,0,14.67
8,2,1982,28.96,19.04,1.38,15.72
