day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,31.91,19.76,0,20.87
2,1,1981,33.63,20.68,0,20.96
3,1,1981,34.28,21.21,0,20.91
4,1,1981,32.49,21.17,0,20.8
5,1,1981,31.26,21.31,0,18.1
6,1,1981,32.06,21.11,0,19.88
7,1,1981,32.01,20.56,0,21.8
8,1,1981,31.79,19.36,0,21.77
9,1,1981,31.99,19.48,0,21.52
10,1,1981,33.27,19.86,0,21.48
11,1,1981,33.53,20.75,0,21.55
12,1,1981,31.32,20.55,0,21.55
13,1,1981,29.63,20.52,0,14.7
14,1,1981,30.05,20.28,3.58,15.34
15,1,1981,32.01,21.22,1.22,18.89
16,1,1981,31.99,20.6,2.1,21.53
17,1,1981,31.92,20,0,21.92
18,1,1981,32.94,20.58,0,21.15
19,1,1981,32.23,20.89,0.31,20.96
20,1,1981,32.97,21.47,0.31,21.67
21,1,1981,33.01,20.54,0,22.03
22,1,1981,33.19,21.22,0,21.37
23,1,1981,34.61,21.69,0,22.25
24,1,1981,34.54,21.3,0,22.44
25,1,1981,34.63,20.55,0,22.62
26,1,1981,34.7,21.02,0,22.5
27,1,1981,31.46,20.44,0,19.78
28,1,1981,31.12,20.98,0,17.6
29,1,1981,31.61,20.66,0,20.68
30,1,1981,33.12,20.71,0,23.11
31,1,1981,31.46,19.92,0,22.64
1,2,1981,31.01,20.04,0,21.68
2,2,1981,30.91,20.15,0,20.4
3,2,1981,29.61,20.38,0,17.74
4,2,1981,30.47,19.05,0,15.71
5,2,1981,32.65,20.4,0,21.94
6,2,1981,32.76,20.3,0,22.85
7,2,1981,33.24,20.31,0,22.89
8,2,1981,33.8,20.27,0,23.22
9,2,1981,33.62,19.82,0,23.46
10,2,1981,32.05,21.37,0.29,19.44
11,2,1981,24.86,19.68,0,10.57
12,2,1981,28.16,18.98,0,17.79
13,2,1981,29.74,18.94,3.35,16.99
14,2,1981,27.45,20.06,1.39,9.37
15,2,1981,31.18,21.78,0,13.37
16,2,1981,33.51,21.01,0,20.86
17,2,1981,33.44,22.59,0,20.52
18,2,1981,31.86,22.59,1.26,16.88
19,2,1981,34.42,23.54,0,20.39
20,2,1981,35.08,22.49,0,23.42
21,2,1981,35.28,22.18,0,23.65
