day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,28.97,16.94,0,20.35
2,1,1981,31.05,17.46,0,20.56
3,1,1981,31.29,17.91,0,19.74
4,1,1981,29.9,18.41,0,20.34
5,1,1981,28.58,18.79,0,18.22
6,1,1981,28.73,18.43,0,19.05
7,1,1981,28.83,17.33,0,21.84
8,1,1981,28.91,14.74,0,22.28
9,1,1981,28.88,15.92,0,21.62
10,1,1981,29.87,16.53,0,21.28
11,1,1981,30.35,17.16,0,20.67
12,1,1981,28.58,17.76,0,21.42
13,1,1981,26.5,18.67,0,15.24
14,1,1981,25,18.15,0.49,13.47
15,1,1981,28.45,17.68,0,17.71
16,1,1981,29,16.57,0.57,21.96
17,1,1981,29.47,16.78,0,22.07
18,1,1981,29.67,17.32,0,20.96
19,1,1981,29.64,18.01,3.42,19.75
20,1,1981,30.39,19.57,3.42,21.37
21,1,1981,30.28,18.57,0,22.08
22,1,1981,30.08,18.75,0,20.53
23,1,1981,31.88,17.67,0,22.43
24,1,1981,32.25,18.81,0,22.81
25,1,1981,32.17,16.69,0,23.01
26,1,1981,31.64,17.46,0,22.62
27,1,1981,29.15,18.85,0,20.93
28,1,1981,26.66,18.57,0,15.6
29,1,1981,28.23,18.19,0,19.25
30,1,1981,30.05,17.55,0,23.15
31,1,1981,29.31,16.08,0,23.39
1,2,1981,28.54,16.24,0,22.95
2,2,1981,28.19,16.17,0,21.7
3,2,1981,27.71,17.68,0,19.81
4,2,1981,26.59,16.67,0,17.89
5,2,1981,29.28,17.02,0,21.28
6,2,1981,29.61,16.34,0,23.22
7,2,1981,30.08,16.71,0,23.24
8,2,1981,30.58,17.36,0,23.1
9,2,1981,30.32,17.27,0,22.4
10,2,1981,28.41,19.09,0.76,17.89
11,2,1981,20.32,18.15,0,9.21
12,2,1981,23.88,17.53,0,18.31
13,2,1981,24.64,17.42,3.4,16.39
14,2,1981,23.28,17.8,0.35,13.91
15,2,1981,24.36,19.03,0,11.02
16,2,1981,27.82,17.42,0,20.99
17,2,1981,29.22,18.03,0,20.91
18,2,1981,27.58,19.72,0.85,17.45
19,2,1981,29.47,19.39,0,18.92
20,2,1981,31.63,18.92,0,23.37
21,2,1981,32.3,18.34,0,24.03
22,2,1981,32.46,18.66,0,24.36
23,2,1981,33.53,17.94,0,24.79
24,2,1981,33.81,18.22,0,24.68
25,2,1981,32,18.7,0,24.31
26,2,1981,30.3,19.9,0,21.31
27,2,1981,31.3,18.63,0.37,23.48
28,2,1981,33.33,19.5,0,23.18
1,3,1981,32.54,20.96,1.6,22.46
2,3,1981,30.9,19.56,0,21.08
3,3,1981,26.31,19.6,3.7,16.18
4,3,1981,25.23,19.74,2.97,14.23
5,3,1981,25.79,19.18,7.63,16.51
6,3,1981,27.28,19.89,0,18.82
7,3,1981,25.09,19.88,0,15.17
8,3,1981,25.99,19.95,0,17.74
9,3,1981,29.38,19.57,7.29,21.55
10,3,1981,32.15,20.32,0,20.9
11,3,1981,31,20.07,0,21.85
12,3,1981,33.29,20.18,0,21.56
13,3,1981,30.31,20.7,7.04,20.06
14,3,1981,25.76,20.41,6.59,14.88
15,3,1981,24.91,20.44,4.13,14.75
16,3,1981,26.16,20.08,0,16.36
17,3,1981,26.53,20.31,1.01,19.32
18,3,1981,25.15,20.19,7.94,19.11
19,3,1981,23.79,19.91,4.69,7.5
20,3,1981,25.71,19.68,1.89,16.67
21,3,1981,28.33,20.16,0,20.11
22,3,1981,26.77,19.9,3.8,18.74
23,3,1981,26.47,19.43,6.42,20.3
24,3,1981,27.26,19.92,1.76,21.43
25,3,1981,28.16,19.76,0,22.87
26,3,1981,28.06,20.73,13.88,20.16
27,3,1981,27.14,20.82,4.52,21.57
28,3,1981,23.91,20.63,4.7,12.19
29,3,1981,24.67,20.29,3.18,16.2
30,3,1981,26.32,20.24,0,17.1
31,3,1981,25.61,20.82,0,17.8
1,4,1981,23.76,20.78,0,11.93
2,4,1981,25.28,20.68,0.73,16.62
3,4,1981,27.3,20.99,0,21.61
4,4,1981,27.2,20.49,0,21.67
5,4,1981,26.89,20.97,0,21.11
6,4,1981,26.46,20.6,0,20.4
7,4,1981,28.43,20.28,0,24.47
8,4,1981,28.26,20.67,0,23.01
9,4,1981,27.91,20.61,0,21.57
10,4,1981,27.8,21.26,0,22.04
11,4,1981,28.35,21.42,0,22.53
12,4,1981,26.86,21.66,0.6,17.72
13,4,1981,27.08,21.16,0.65,20.21
14,4,1981,27.73,21.05,0,21.64
15,4,1981,28.37,21.38,0,20.54
16,4,1981,30.35,20.89,0,24.66
17,4,1981,29.05,21.43,0,21.82
18,4,1981,28.67,21.33,0,24.05
19,4,1981,28.78,20.98,0,23.36
20,4,1981,28.53,21.23,2.82,23.94
21,4,1981,29.72,21,10.15,24.36
22,4,1981,30.84,21.11,0,24.34
23,4,1981,30.63,21.6,9.52,21.07
24,4,1981,28.02,21.86,1.92,15.92
25,4,1981,28.57,20.88,1.41,23.59
26,4,1981,30.17,20.76,0,26.11
27,4,1981,30.54,20.77,0,24.96
28,4,1981,31.28,21.26,0,24.16
29,4,1981,32.24,21.11,0,25.59
30,4,1981,32.5,21.16,0,25.34
1,5,1981,31.5,21.6,0.15,25.25
2,5,1981,32.14,22.16,0,24.54
3,5,1981,32.62,22.59,0,25.16
4,5,1981,33.03,22.41,0,25.3
5,5,1981,34.08,22.56,0,26.73
6,5,1981,34.36,22.53,0,25.97
7,5,1981,33.86,22.92,0,25.82
8,5,1981,33.28,23.12,0,24.03
9,5,1981,32.24,23.27,0,24.61
10,5,1981,33.12,22.53,0,27.22
11,5,1981,33.35,22.76,0,26.09
12,5,1981,32.29,23.3,0,23.04
13,5,1981,32.62,23.4,0.47,23.25
14,5,1981,32.16,23.6,2.15,21.58
15,5,1981,34.24,23.04,0,26.65
16,5,1981,34.73,22.34,0,26.43
17,5,1981,35.18,23.12,0.5,25.23
18,5,1981,35.57,22.97,0.14,24.76
19,5,1981,35.25,23.4,2.36,25.19
20,5,1981,34.94,23.64,2.73,24.6
21,5,1981,34.69,23.23,0,24.05
22,5,1981,34.13,22.61,0,25.54
23,5,1981,34.14,21.81,0,26.08
24,5,1981,34.17,22.08,0,25.05
25,5,1981,35.25,22.05,0,25.7
26,5,1981,36.13,22.26,0,25.64
27,5,1981,36.27,21.92,0,25.76
28,5,1981,36.04,21.86,0,25.67
29,5,1981,35.17,22.47,0,23.48
30,5,1981,35.24,24.03,0,22.38
31,5,1981,34.25,24.15,0,19.38
1,6,1981,36.03,24.23,0,22.46
2,6,1981,36.42,23.98,0,24.66
3,6,1981,36.62,23.17,0,24.08
4,6,1981,37.09,22.45,0,24.96
5,6,1981,36.63,22.68,0,24.07
6,6,1981,36.18,23.35,0,23.39
7,6,1981,35.49,23.44,0,22.74
8,6,1981,34.89,23.19,0,22.77
9,6,1981,35.78,23.48,0,23.43
10,6,1981,36.32,23.85,0,21.74
11,6,1981,36.87,24.22,0,21.75
12,6,1981,36.14,23.17,0,23.19
13,6,1981,36.05,22.94,0,22.63
14,6,1981,36.18,22.75,0,22.36
15,6,1981,36.86,23.66,0,20.92
16,6,1981,37.37,23.9,0,21.55
17,6,1981,36.52,23.58,0,22.45
18,6,1981,36.45,22.89,0,23
19,6,1981,36.74,22.9,0,22.95
20,6,1981,37.1,23.17,0,22.15
21,6,1981,36.72,24.23,0,20.72
22,6,1981,36.35,24.53,0,20.76
23,6,1981,36.06,24.74,0,20.05
24,6,1981,36.73,24.64,0,20.54
25,6,1981,36.79,24.17,0,19.96
26,6,1981,37.11,23.99,0,21.17
27,6,1981,36.87,24.07,0,21.67
28,6,1981,37.49,24.29,0,21.56
29,6,1981,37.41,23.48,0,22.72
30,6,1981,37.15,24,0,22.13
1,7,1981,37.92,24.51,0,22.25
2,7,1981,37.79,25.14,0,20.18
3,7,1981,37.15,25.67,27.46,18.81
4,7,1981,36.04,25.23,0.81,18.49
5,7,1981,35.36,25.05,0,21.12
6,7,1981,35.48,25.27,5.01,21.59
7,7,1981,36.27,25.12,1.7,20.75
8,7,1981,36.58,25.18,0,20.84
9,7,1981,36.46,24.89,3.45,19.49
10,7,1981,35.73,24.87,7,19.96
11,7,1981,34.27,24.76,1.29,19.26
12,7,1981,34.48,24.43,15.93,21.34
13,7,1981,34.69,24.6,0,20.8
14,7,1981,35.73,24.06,0,20.83
15,7,1981,36.22,23.48,0,20.65
16,7,1981,35.32,25.59,6.31,15.56
17,7,1981,35.56,26.43,0,17.42
18,7,1981,35.73,25.01,0,21.27
19,7,1981,35.26,25.39,13.84,18.33
20,7,1981,35.98,25.39,0,20.93
21,7,1981,37.02,25.2,0,21.75
22,7,1981,37.07,25.09,0,21.27
23,7,1981,36.71,24.76,0,21.54
24,7,1981,36.42,25,15.36,19.47
25,7,1981,35.43,24.91,2.7,19.01
26,7,1981,35.72,24.9,1.28,21.09
27,7,1981,36.22,24.08,0,22.02
28,7,1981,36.52,24.42,0,22.67
29,7,1981,36.54,25.09,0,20.8
30,7,1981,35.09,24.54,0.52,20.4
31,7,1981,36.01,24.11,0,22.04
1,8,1981,35.94,24.47,0,21.14
2,8,1981,36.08,24.19,3.56,22
3,8,1981,36.92,24.12,8.45,22.38
4,8,1981,37.31,24.41,0,22.5
5,8,1981,37.16,25.33,1.56,20.92
6,8,1981,36.06,25.16,0.58,19.99
7,8,1981,36.95,24.89,3.81,21.05
8,8,1981,35.51,25.1,17.74,20.69
9,8,1981,36.08,25.02,0,21.96
10,8,1981,36.31,25.31,0,21.95
11,8,1981,37.83,24.42,0,22.35
12,8,1981,36.97,24.62,0.72,21.81
13,8,1981,35.21,24.93,12.18,21.34
14,8,1981,36.87,24.75,8.33,22.46
15,8,1981,36.3,25.82,0,21.58
16,8,1981,36.63,25.22,3.25,22.11
17,8,1981,36.78,24.38,7.17,22.71
18,8,1981,35.07,25.57,2.45,16.74
19,8,1981,35.61,25.45,2.45,21.13
20,8,1981,35.38,24.52,8.89,20.52
21,8,1981,34.98,24.14,0,22.19
22,8,1981,35.07,24.61,7.43,22.24
23,8,1981,35.19,24.18,26.98,22.36
24,8,1981,34.52,23.51,1.19,20.44
25,8,1981,36.89,23.81,0,22.48
26,8,1981,36.91,24.15,1.22,22.84
27,8,1981,36.79,24.28,0.54,22.82
28,8,1981,36.81,23.3,0.54,23.48
29,8,1981,36.73,24.15,1.08,23.16
30,8,1981,35.95,24.22,1.03,23.49
31,8,1981,34.82,23.86,0.54,22.51
1,9,1981,34.33,23.81,1.52,21.78
2,9,1981,33.86,23.96,1.51,21.82
3,9,1981,35.86,23.24,1.06,24.02
4,9,1981,37.39,22.85,1.06,24.47
5,9,1981,36.18,24.3,1.06,22.72
6,9,1981,35.67,24.19,0,23.59
7,9,1981,34.69,23.17,0,21.01
8,9,1981,34.01,23.02,0,20.91
9,9,1981,35.12,23.74,0.1,23.19
10,9,1981,34.92,23.48,0,21.89
11,9,1981,34.94,23.16,0.29,23.05
12,9,1981,33.97,23.68,0.43,21.24
13,9,1981,33.39,23.81,0.59,18.66
14,9,1981,33.17,23.34,0.29,20.42
15,9,1981,32.22,23.12,0.29,18.44
16,9,1981,33.73,23.22,0.54,19.61
17,9,1981,33.45,23.42,0.59,19.91
18,9,1981,33.15,23.55,0.76,17.57
19,9,1981,33.09,23.6,0.72,17.99
20,9,1981,33.77,23.34,0.54,20.77
21,9,1981,34.31,23.21,0.07,19.91
22,9,1981,35.77,23.2,0,22.6
23,9,1981,36.79,22.42,0,23.14
24,9,1981,36.23,22.85,0,22.94
25,9,1981,36.4,23.23,0,23.88
26,9,1981,35.07,22.78,0,23.54
27,9,1981,34.01,22.58,0,20.83
28,9,1981,34.03,22.78,0,21.35
29,9,1981,34.94,21.38,0,23.81
30,9,1981,34.64,21.94,0,24.91
1,10,1981,33.2,22.78,1.96,19.56
2,10,1981,32.52,23.23,1.8,18.66
3,10,1981,32.25,23.34,0.1,19.65
4,10,1981,31.39,22.67,0,19.34
5,10,1981,32.46,22.6,0,20.29
6,10,1981,32.31,22.99,0,18.81
7,10,1981,32.92,22.84,0,20.97
8,10,1981,32.82,23.99,0,22.32
9,10,1981,33.33,22.64,0,23.43
10,10,1981,33.45,21.65,0,24.36
11,10,1981,33.58,21.33,0,24.81
12,10,1981,33.79,20.86,0,24.83
13,10,1981,33.71,21.1,0,24.69
14,10,1981,33.22,21.89,0,23.44
15,10,1981,32.17,22.78,0,22.31
16,10,1981,32.61,22.29,0,23.15
17,10,1981,32.61,23.23,0,23.01
18,10,1981,32.73,22.57,0,23.97
19,10,1981,32.63,20.65,0,24.38
20,10,1981,32.74,20.51,0,24.27
21,10,1981,32.58,21.14,0,21.39
22,10,1981,31.49,20.92,0,20.37
23,10,1981,31.89,20.45,0,22.69
24,10,1981,31.66,20.69,0,23.45
25,10,1981,31.49,19.82,0,23.94
26,10,1981,30.68,19.63,0,22.73
27,10,1981,30.39,19.72,0,22.44
28,10,1981,31.17,19.8,0,23.49
29,10,1981,31.99,19.56,0,23.63
30,10,1981,31.84,19.52,0,23.51
31,10,1981,31.94,19.64,0,23.41
1,11,1981,31.93,19.6,0,23.32
2,11,1981,32.14,19.81,0,23.3
3,11,1981,32.27,19.44,0,22.74
4,11,1981,32.21,19.66,0,22.71
5,11,1981,31.06,20.23,0,22.37
6,11,1981,29.63,20.63,0,18.81
7,11,1981,29.42,20.26,0,19.23
8,11,1981,30.91,20.98,0,22.32
9,11,1981,31.54,18.66,0,22.92
10,11,1981,31.72,18.97,0,22.97
11,11,1981,31.42,18.66,0,22.8
12,11,1981,31.33,19.34,0,22.64
13,11,1981,31.48,18.4,0,22.97
14,11,1981,31.01,18.23,0,22.89
15,11,1981,30.18,17.76,0,22.8
16,11,1981,29.75,18.1,0,22.58
17,11,1981,29.49,17.98,0,22.11
18,11,1981,29.35,17.94,0,22.31
19,11,1981,28.85,18.07,0,22.41
20,11,1981,29.24,17.17,0,22.26
21,11,1981,29.31,17.3,0,22
22,11,1981,29.02,19.27,0,21.45
23,11,1981,28.81,18.52,0.62,20.67
24,11,1981,27.96,18.56,2.77,16.53
25,11,1981,29.69,19.64,2.77,20.99
26,11,1981,30.09,17.95,0,21.06
27,11,1981,29.82,17.98,0,21.35
28,11,1981,30.12,17.16,0,21.74
29,11,1981,29.53,16.67,0,21.71
30,11,1981,27.75,18.43,0.1,19.14
1,12,1981,28.07,19.01,0,18.64
2,12,1981,29.59,17.18,0,21.58
3,12,1981,29.27,16.8,0,21.55
4,12,1981,29.66,15.89,0,21.94
5,12,1981,29.2,16.06,0,21.69
6,12,1981,29.19,16.15,0,21.22
7,12,1981,29.48,16.59,0,21.19
8,12,1981,29.73,16.45,0,21.45
9,12,1981,29.44,16.19,0,21.72
10,12,1981,28.97,15.61,0,21.9
11,12,1981,28.1,15.18,0,21.66
12,12,1981,28.1,15.08,0,21.52
13,12,1981,28.41,15.51,0,21.45
14,12,1981,28.08,15.54,0,21.28
15,12,1981,28.24,16,0,20.93
16,12,1981,28.78,16.78,0,20.58
17,12,1981,28.8,16.81,0,19.54
18,12,1981,26.19,19.21,0,14.42
19,12,1981,26.83,18.86,3.59,14.45
20,12,1981,27.48,17.24,0,19.46
21,12,1981,28.29,17.59,0,19.52
22,12,1981,27.42,17.32,0,16.38
23,12,1981,27.56,16.56,0,20.28
24,12,1981,28.54,16.23,0,20.72
25,12,1981,29.45,16.69,0,20.19
26,12,1981,28.93,17.28,0,20.39
27,12,1981,28.65,17.3,0,20.88
28,12,1981,29.48,16.7,0,20.81
29,12,1981,29.24,17.31,0,19.56
30,12,1981,29.01,19.19,3.01,18.77
31,12,1981,26.02,19.08,0.98,13.54
1,1,1982,25.69,19.01,0,11.72
2,1,1982,24.84,19.08,0,11.47
3,1,1982,28.6,18.79,0,17.87
4,1,1982,29.01,17.59,0,16.49
5,1,1982,27.55,18.29,7.34,14.1
6,1,1982,25.99,19.26,12.1,12.5
7,1,1982,25.97,18.76,0,14.52
8,1,1982,28.52,17.92,0,17.85
9,1,1982,28.08,18.28,0,17.76
10,1,1982,28.56,17.23,0,19.95
11,1,1982,28.34,18.3,0,17.45
12,1,1982,28.06,18.69,7.74,15.82
13,1,1982,24.01,18.53,4.4,12.44
14,1,1982,22.17,18.6,0.83,9.61
15,1,1982,23.02,18.43,0.49,11
16,1,1982,23.96,18.39,4.22,10.51
17,1,1982,23.4,18.67,2.12,10.05
18,1,1982,24.69,18.78,0,16.13
19,1,1982,24.36,18.89,0,15.72
20,1,1982,25.63,18.42,0,16.3
21,1,1982,26.32,18.8,0,15.18
22,1,1982,25.61,18.31,0,14.39
23,1,1982,26.46,17.41,0,16.72
24,1,1982,28.13,16.59,0,20.48
25,1,1982,28.63,16.49,0,21.62
26,1,1982,29.21,16.64,0,22.69
27,1,1982,29.09,16.21,0,22.78
28,1,1982,30.33,16.52,0,22.52
29,1,1982,29.73,17.13,0,22.43
30,1,1982,30.31,17.13,0,22.36
31,1,1982,31.91,17.43,0,22.77
1,2,1982,28.57,19.36,0,17.44
2,2,1982,27.31,19.04,0,15.25
3,2,1982,24.01,18.6,0,11.36
4,2,1982,23.91,18.14,0,9.26
5,2,1982,22.18,18.55,0,7.83
6,2,1982,22.66,18.27,0.28,8.12
7,2,1982,25.95,18.01,0,15.21
8,2,1982,25.49,18.79,0,15.09
9,2,1982,18.73,17.57,0,5.63
10,2,1982,22.35,17.12,0,14.33
11,2,1982,22.54,17.81,0,12.28
12,2,1982,24.85,18.77,0,10.78
13,2,1982,27.22,17.83,0,18.08
14,2,1982,22.89,18.38,1.42,13.41
15,2,1982,22.97,18,0,13.4
16,2,1982,20.27,18.64,0.21,8.28
17,2,1982,21.67,18.39,0,11.65
18,2,1982,22.82,18.2,7.83,10.95
19,2,1982,24.88,19.26,0,12.12
20,2,1982,26.75,19.2,0,14.71
21,2,1982,27.15,19.02,0,15.71
22,2,1982,29.6,18.79,3.96,18.69
23,2,1982,29.29,19.54,19.12,18.38
24,2,1982,30.85,20.18,0,21
25,2,1982,27.62,19.85,15.24,15.31
26,2,1982,27.17,19.11,0,15.23
27,2,1982,30.44,18.58,0,22
28,2,1982,32.24,19.22,0.5,22.6
1,3,1982,33.28,19.89,0,22.49
2,3,1982,31.43,19.51,0,19.73
3,3,1982,25.28,20.21,0,12.5
4,3,1982,27.1,19.71,0,19.19
5,3,1982,27.24,19.92,0,17.76
6,3,1982,29.84,19.26,0,21.86
7,3,1982,29.25,19.42,0,22.1
8,3,1982,30.63,18.57,0,23.91
9,3,1982,30.62,19.04,0,22.82
10,3,1982,30.97,20.36,0,22.93
11,3,1982,30.12,20.07,0,22.27
12,3,1982,32.79,19.7,0,23.62
13,3,1982,31.3,20.66,0,21.41
14,3,1982,30.28,20.65,0,19.86
15,3,1982,28.96,20.68,0,20.47
16,3,1982,32.51,19.64,0,25.42
17,3,1982,33.03,19.27,0,26.67
18,3,1982,32.25,18.88,0,26.26
