day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.8,18.23,0,21.58
2,1,1981,31.34,19.35,0,21.48
3,1,1981,32.2,17.56,0,22.07
4,1,1981,31.3,17.34,0,22.24
5,1,1981,30.75,17.35,0,21.91
6,1,1981,30.55,18.55,0,21.93
7,1,1981,30,16.66,0,22.79
8,1,1981,29.59,15.59,0,22.75
9,1,1981,29.2,16.62,0,21.88
10,1,1981,31.17,16.77,0,22.24
11,1,1981,31.14,17.64,0,22.48
12,1,1981,29.92,19.06,0,20.85
13,1,1981,28.86,18.18,0,18.24
14,1,1981,28.59,19.2,0,18.14
15,1,1981,29.07,19.69,0,21.2
16,1,1981,29.32,17.51,0,22.53
17,1,1981,29.81,17.42,0,22.51
18,1,1981,31.06,18.54,2.81,22.37
19,1,1981,30.16,18.14,2.81,21.17
20,1,1981,30.85,19.26,0,22.6
21,1,1981,30.94,18,0,22.92
22,1,1981,30.68,18.88,0,20.68
23,1,1981,32.03,18.84,0,22.79
24,1,1981,32.31,19.32,0,23.25
25,1,1981,32.85,17.63,0,23.47
26,1,1981,32.72,17.8,0,23.38
27,1,1981,31.46,17.87,0,23.44
28,1,1981,29.81,18.7,0,20.36
29,1,1981,28.75,17.57,0,20.4
30,1,1981,30.05,16.93,0,23.96
31,1,1981,30.16,15.58,0,24.23
1,2,1981,30.3,15.53,0,24.01
2,2,1981,29.74,17.55,0,22.32
3,2,1981,29.02,16.91,0,21.29
4,2,1981,28.2,17.11,0,18.54
5,2,1981,29.73,19.09,0,22.95
6,2,1981,30.19,17.38,0,22.79
7,2,1981,30.29,17.44,0,22.69
8,2,1981,30.86,18.71,0,24.14
9,2,1981,31.04,16.96,0,23.61
10,2,1981,30.36,20,0,20.12
11,2,1981,22.62,19.55,2.1,7.12
12,2,1981,25.81,18.26,0,12.78
13,2,1981,27.17,20.47,0,13.22
14,2,1981,26.4,19.76,1.86,11.23
15,2,1981,27.64,19.96,13.13,14.54
16,2,1981,29.38,19.02,0,18.9
17,2,1981,30.6,19.78,0,20.99
18,2,1981,28.48,20.3,0,17.24
19,2,1981,31.23,20.21,0,20.4
20,2,1981,32.19,20.29,0,24.06
