day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.55,15.81,0,18.97
2,1,1981,25.75,15.81,0,19.47
3,1,1981,26.26,15.93,0,19.6
4,1,1981,25.71,16.53,0.3,17.82
5,1,1981,25.99,15.86,0,18.78
6,1,1981,25.79,16.13,0,18.67
7,1,1981,24.63,15.99,0,18.42
8,1,1981,26.26,15.01,0,21.03
9,1,1981,26.37,15.32,0,21.42
10,1,1981,26.36,14.9,0,19.91
11,1,1981,26.17,15.15,0,19.05
12,1,1981,26.3,15.42,0,19.89
13,1,1981,26.13,15.46,0,19.8
14,1,1981,26.01,15.86,0,20.15
15,1,1981,26.57,15.4,0,19.64
16,1,1981,26.17,16.98,0,19.07
17,1,1981,27.05,16.5,0,20.25
18,1,1981,26.7,17.14,1.35,19.2
19,1,1981,26.5,16.21,0,20.38
20,1,1981,27.52,16.08,1.47,21.85
21,1,1981,26.31,16.26,0,20.12
22,1,1981,26.13,16.24,0,19.18
23,1,1981,26.36,17.03,0,19.38
24,1,1981,26.03,16.61,0,20.02
25,1,1981,27.13,16.04,0,20.19
26,1,1981,27.36,15.94,0,20.91
27,1,1981,26.64,16.11,0,20.65
28,1,1981,27.46,15.35,3.68,22.41
29,1,1981,25.89,15.74,9.45,20.46
30,1,1981,25.7,16.31,0,19.18
31,1,1981,26.47,15.35,0,21.38
1,2,1981,27.57,15.23,0,23.91
2,2,1981,27.37,15.26,0,22.98
3,2,1981,28.01,15.04,0,23.91
4,2,1981,28,14.77,0,23.92
5,2,1981,27.64,14.85,0,22.37
6,2,1981,28.58,15.51,0,23.47
7,2,1981,27.18,15.55,0,21.42
8,2,1981,26.93,16.52,0,20.25
9,2,1981,26.71,16.86,6.74,20.3
10,2,1981,26.29,15.59,4.22,23.11
11,2,1981,26.86,15.12,0,23.54
12,2,1981,27.03,14.28,0,23.85
13,2,1981,27.69,14.57,0,24.36
14,2,1981,27.9,13.75,0,24.62
15,2,1981,27.75,14.23,0,24.67
16,2,1981,27.9,14.84,0,24.71
17,2,1981,28.11,14.45,0,24.75
18,2,1981,28.57,15.27,0,24.7
19,2,1981,29.22,15.33,0,24
20,2,1981,28.88,16.53,0,22.51
21,2,1981,29.2,16.89,0,21.66
22,2,1981,30.09,17.16,0,23.42
23,2,1981,29.77,17.66,0,22.9
24,2,1981,29.44,17.75,0,21.53
25,2,1981,29.48,17.32,0,22.57
26,2,1981,29.53,17.5,0,23.8
27,2,1981,28.34,18.19,0,21.7
28,2,1981,28.04,18.28,0,19.84
1,3,1981,28.47,17.42,0,21.85
2,3,1981,28.61,17.13,0,22.44
3,3,1981,29.02,16.62,0,25.09
4,3,1981,28.68,15.45,0,24.31
5,3,1981,28.82,15.54,0,25.22
6,3,1981,28.74,16,0,25.51
7,3,1981,29.41,16.09,0,25.45
8,3,1981,28.52,17.19,0.82,22.98
9,3,1981,28.19,18.54,0,18.64
10,3,1981,28.32,20.05,0,21
11,3,1981,28.7,18.14,0,20.29
12,3,1981,27.78,17.43,0.53,20.26
13,3,1981,27.06,17.66,9.02,20.96
14,3,1981,28.42,17.24,0,23.46
15,3,1981,28.88,17.53,0.41,25.07
16,3,1981,28.67,15.77,1.71,25.97
17,3,1981,28.81,15.41,0,26.14
18,3,1981,29.26,15.72,0,25.94
19,3,1981,28.51,16.84,0,23.99
20,3,1981,27.87,16.76,0,22.11
21,3,1981,27.88,16.86,0,22.52
22,3,1981,28.3,16.7,0.39,22.7
23,3,1981,28.43,16.82,0,22.74
24,3,1981,28.81,16.93,0,22.01
25,3,1981,26.58,17.96,5.76,19.03
26,3,1981,24.42,16.98,6.58,17.12
27,3,1981,25.69,16.47,4,20.31
28,3,1981,26.56,16.37,0,22.04
29,3,1981,25.45,18.9,0,20.67
30,3,1981,27.54,15.99,0,22.56
31,3,1981,28.13,16.55,0,25.66
1,4,1981,28.32,15.67,0,26.21
2,4,1981,28.67,15.07,0,26.61
3,4,1981,29.42,15.44,0,26.66
4,4,1981,29.72,15.49,0,26.29
5,4,1981,29.67,15.92,0,26.07
6,4,1981,29.56,17.18,0,24.07
7,4,1981,29.67,19.62,0,25.3
8,4,1981,30.12,18.42,0,25.93
9,4,1981,30.26,16.88,0,26.63
10,4,1981,30.14,16.82,0,25.59
11,4,1981,30.07,16.84,0,25.2
12,4,1981,29.31,16.55,0,25.73
13,4,1981,29.65,15.92,3.21,26.29
14,4,1981,29.96,17.64,0,26.6
15,4,1981,30.28,16.81,0,26.7
16,4,1981,30.59,17.26,0,26.83
17,4,1981,30.84,16.36,0,26.97
18,4,1981,30.21,17.4,1.62,24.18
19,4,1981,28.36,18.33,0,20.19
20,4,1981,28.08,17.85,0,20.15
21,4,1981,27.1,17.37,0,19.71
22,4,1981,25.3,16.77,16.59,20.08
23,4,1981,25.53,16.53,14.83,21.14
24,4,1981,25.25,15.77,0,20.21
25,4,1981,25.44,16,4.27,21.68
26,4,1981,26.3,15.65,0,21.81
27,4,1981,27.63,16.04,0,23.74
28,4,1981,28.47,16.29,0,23.68
29,4,1981,28.15,17,0,24
30,4,1981,28.41,16.71,0.15,24.04
1,5,1981,27.36,16.6,0,21.05
2,5,1981,27.92,16.22,0,21.92
3,5,1981,28.22,16.51,0,22.29
4,5,1981,28.51,16.75,0,23.28
5,5,1981,28.31,16.36,0,23.75
6,5,1981,28.75,16.3,0,24.08
7,5,1981,26.34,17.04,9.68,20.12
8,5,1981,23.98,16.76,20.81,16.98
9,5,1981,26.21,16.73,11.35,20.41
10,5,1981,24.95,16.5,1.3,18.17
11,5,1981,24.7,16.41,0,18.46
12,5,1981,23.88,16.44,12.08,16.07
13,5,1981,24.61,15.64,20.65,20.62
14,5,1981,25.19,16.27,3.48,18.87
15,5,1981,24.4,16.29,0,18.54
16,5,1981,24.15,15.97,8.86,19.91
17,5,1981,23.51,16.18,8.44,18.44
18,5,1981,23.26,16.45,14.32,17.83
19,5,1981,24.74,15.58,0,20.36
20,5,1981,24.36,16.43,5.37,19.56
21,5,1981,23.94,15.77,12.77,19.36
22,5,1981,23.81,15.68,0.36,17.87
23,5,1981,24.15,15.55,4.9,19.35
24,5,1981,23.27,15.69,13.41,17.56
25,5,1981,23.77,14.91,15.46,18.37
26,5,1981,23.55,15.42,14.73,18.27
27,5,1981,25.01,14.59,0,21.55
28,5,1981,24.92,14.97,0,21.36
29,5,1981,25.41,14.93,0,21.75
30,5,1981,26.06,15.43,0,21.67
31,5,1981,24.61,15.27,0,18.95
1,6,1981,25.22,15.64,0,20.45
2,6,1981,24.73,16.16,2.21,19.58
3,6,1981,22.86,15.98,4.54,17.76
4,6,1981,23.55,15.15,5.66,19.14
5,6,1981,23.03,16.55,5.61,17.34
6,6,1981,23.92,16.24,10.29,18.65
7,6,1981,24.09,15.32,6.25,19.18
8,6,1981,24.74,15.34,0,19.9
9,6,1981,24.1,15.52,0,19.39
10,6,1981,22.82,15.27,8.21,17.66
11,6,1981,23.06,15.4,7.85,18.29
12,6,1981,24.32,15.01,6.27,20.19
13,6,1981,22.37,15.75,5.34,15.88
14,6,1981,22.45,14.41,5.03,17.95
15,6,1981,22.62,14.18,6.86,17.6
16,6,1981,22.57,14.57,6.03,17.61
17,6,1981,23.08,14.64,6.06,18.51
18,6,1981,24.05,14.88,7.27,20.14
19,6,1981,24.24,15.15,9.94,19.39
20,6,1981,23.36,14.99,15.65,19.47
21,6,1981,22.91,15.01,12.4,17.76
22,6,1981,22.53,14.34,18.68,18.02
23,6,1981,22.94,14.7,6.78,18.26
24,6,1981,23.26,14.7,15.13,19.05
25,6,1981,22.9,15.24,11.57,18.02
26,6,1981,21.83,14.66,4.66,17.34
27,6,1981,22.27,13.98,3.83,18.01
28,6,1981,22.44,15.43,6.06,16.15
29,6,1981,22.31,15.35,6.19,17.31
30,6,1981,22.58,14.02,6.99,17.51
1,7,1981,22.22,14.65,11.36,15.67
2,7,1981,22.29,15.67,14.1,15.6
3,7,1981,22,15.85,17.3,15.54
4,7,1981,21.84,15.23,7.66,16.55
5,7,1981,21.92,15.09,7.98,18.19
6,7,1981,22.19,14.22,7.65,17.67
7,7,1981,20.7,14.41,19.23,15.66
8,7,1981,20.96,14.5,17.46,14.02
9,7,1981,21.45,14.61,16.8,15.57
10,7,1981,21.01,14.47,13.11,16.08
11,7,1981,20.85,13.86,6.51,15.66
12,7,1981,22.35,13.08,7.31,19.24
13,7,1981,21.75,14.33,9.33,18.2
14,7,1981,22.47,15.11,14.22,19.52
15,7,1981,22.25,14.41,8.76,18.66
16,7,1981,21.13,14.7,17.65,14.24
17,7,1981,19.06,15.16,14.74,10.62
18,7,1981,21.07,14.88,29.4,16.3
19,7,1981,20.67,14.28,9.33,14.53
20,7,1981,20.63,14.64,23.54,14.1
21,7,1981,21.59,13.98,24.18,17.74
22,7,1981,22.54,14.09,26.36,17.88
23,7,1981,22,14.98,45.49,17.48
24,7,1981,21.52,15.17,20.45,17.42
25,7,1981,19.35,14.71,19.07,11.77
26,7,1981,20.87,14.43,15.44,14.52
27,7,1981,21.95,14.16,18.46,16.78
28,7,1981,21.42,14.17,11.23,17.15
29,7,1981,21.86,13.59,5.98,18.98
30,7,1981,21.76,14.06,14.28,16.85
31,7,1981,22.32,14.76,25.65,18.06
1,8,1981,21.18,13.93,14.53,15.71
2,8,1981,22.66,13.97,14.97,19.72
3,8,1981,22.47,14.64,22.4,19.04
