day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.15,12.39,0,18.46
2,1,1981,22.79,12.29,0,18.64
3,1,1981,22.98,12.39,0,19.9
4,1,1981,22.88,12.56,0,18.71
5,1,1981,23.58,12.26,0,19.6
6,1,1981,22.81,12.71,0,18.57
7,1,1981,23.01,12.45,0,20.06
8,1,1981,23.65,12.01,0,22.83
9,1,1981,23.29,11.29,0,22.79
10,1,1981,23.58,11.89,0,21.51
11,1,1981,23.43,12.28,0,19.91
12,1,1981,23.88,12.96,0,20.56
13,1,1981,23.15,12.69,0,18.42
14,1,1981,23.46,13.04,0,19.71
15,1,1981,24.14,13.14,0,21.11
16,1,1981,23.4,13.03,0,20.01
17,1,1981,23.74,13.39,0,19.28
18,1,1981,23.77,12.61,0,20
19,1,1981,23.41,12.9,0,20
20,1,1981,24.11,12.6,0,20.74
21,1,1981,23.3,12.36,0,19.84
22,1,1981,22.39,12.93,0,18.66
23,1,1981,22.94,12.5,0,18.88
24,1,1981,24.03,12.4,0,22.07
25,1,1981,24.44,11.97,0,22.72
26,1,1981,24.44,12.13,0,21.98
27,1,1981,23.74,13.12,0,21.55
28,1,1981,24.4,12.76,0,21.85
29,1,1981,22.45,12.99,0,18.19
30,1,1981,23.44,12.76,0,20.87
31,1,1981,24.03,12.43,0,23.35
1,2,1981,24.25,11.21,0,24.54
2,2,1981,23.98,11.76,0,24.31
3,2,1981,24.58,11.36,0,24.42
4,2,1981,24.94,11.77,0,24.05
5,2,1981,24.21,12.17,0,21.41
6,2,1981,25.26,12.44,0,22.92
7,2,1981,24.36,12.57,0,21.93
8,2,1981,24.26,13.24,0,21.45
9,2,1981,23,13.46,2.98,19.69
10,2,1981,23.12,12.73,0.81,20.09
11,2,1981,24.18,13.09,0,22.73
12,2,1981,23.59,12.52,0,23.78
13,2,1981,24.14,11.92,0,24.49
14,2,1981,25.15,11.27,0,24.93
15,2,1981,24.27,12.05,0,24.78
16,2,1981,24.4,12.19,0,25.04
17,2,1981,24.74,11.82,0,24.9
18,2,1981,25.43,12.36,0,24.13
19,2,1981,25.69,12.96,0,23.55
20,2,1981,25.57,13.33,0,23.11
21,2,1981,26.58,13.32,0,24.33
22,2,1981,27.07,13.56,0,25.03
23,2,1981,26.74,13.56,0,24.14
24,2,1981,26.46,13.94,0,23.29
25,2,1981,27.27,13.81,0,24.11
26,2,1981,26.79,13.61,0,24.27
27,2,1981,25.12,14.98,0.07,21.05
28,2,1981,24.83,14.41,0,19.92
1,3,1981,25.47,13.51,0,22.17
2,3,1981,25.4,13.28,0,23.99
3,3,1981,25.06,13.56,0,25.42
4,3,1981,25.87,13.14,0,24.99
5,3,1981,25.32,13.43,0,25.39
6,3,1981,25.01,13.17,0,25.95
7,3,1981,26.8,13.34,0,25.56
8,3,1981,25.24,13.44,0,21.23
9,3,1981,24.74,14.73,0.1,20.48
10,3,1981,24.87,14.71,0,20.93
11,3,1981,25.16,14.1,0.33,20.45
12,3,1981,25.18,14.53,0,20.97
13,3,1981,23.57,14.97,5.28,19.31
14,3,1981,24.73,14.14,0,21.11
15,3,1981,25.6,14.59,0,25.17
16,3,1981,25.62,13.88,0,26.52
17,3,1981,26.05,12.91,0,26.59
18,3,1981,26.18,12.91,0,26
19,3,1981,25.54,13.64,0,23.83
20,3,1981,23.88,14.88,0,19.37
21,3,1981,24.44,14.26,0,22.41
22,3,1981,24.53,14.13,0,22.35
23,3,1981,25.12,13.41,0,22.94
24,3,1981,25.43,14.05,0,23.24
25,3,1981,23.39,14.38,0.86,20.67
