day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.43,8.67,0,19.53
2,1,1981,21.11,9.85,0,18.68
3,1,1981,21.14,8.62,0,20.37
4,1,1981,21.17,10.06,0,19.44
5,1,1981,21.99,8.86,0.06,19.9
6,1,1981,21.09,10.3,0,18.85
7,1,1981,21.72,9.2,0,21.04
8,1,1981,22.21,8.69,0,23.52
9,1,1981,21.54,8.01,0,23.26
10,1,1981,22.1,8.45,0,21.57
11,1,1981,21.87,8.84,0,19.58
12,1,1981,22.29,9.75,0,20.76
13,1,1981,21.2,8.95,0,18.45
14,1,1981,21.47,10.71,0,19.77
15,1,1981,22.39,9.88,0,21.49
16,1,1981,21.59,9.78,0,20.2
17,1,1981,22.01,10.22,0,19.19
18,1,1981,21.77,9.57,0,20.23
19,1,1981,21.78,9.62,2.73,20.35
20,1,1981,22.56,9.45,0,20.99
21,1,1981,21.59,9.59,0,20.72
22,1,1981,20.72,10.1,0,19.65
23,1,1981,21.75,9.99,0,19.62
24,1,1981,23.2,9.32,0,23.03
25,1,1981,23.21,9.22,0,23.38
26,1,1981,23.07,8.86,0,21.92
27,1,1981,22.41,9.29,0.36,22
28,1,1981,22.83,9.09,0,22.06
29,1,1981,21.19,9.88,0,18.8
30,1,1981,22.02,10.12,0,21.09
31,1,1981,23.03,8.99,0,24.15
1,2,1981,23.04,8,0,24.93
2,2,1981,22.73,7.92,0,24.71
3,2,1981,23.59,8.57,0,24.82
4,2,1981,23.59,8.91,0,24.43
5,2,1981,22.53,8.68,0,20.91
6,2,1981,24.05,9.18,0,22.94
7,2,1981,23.51,8.96,0,22.68
8,2,1981,22.53,9.63,0,22
9,2,1981,21.43,9.72,6.2,20.29
10,2,1981,22.04,9.77,0,21.04
11,2,1981,22.76,10.57,0,23.23
12,2,1981,22.49,9.38,0.25,24.01
13,2,1981,23.08,8.22,0,24.83
14,2,1981,23.67,7.45,0,25.2
15,2,1981,23.21,8.23,0,24.93
16,2,1981,23.58,8.49,0,25.26
17,2,1981,23.65,8.02,0,25.15
18,2,1981,24,8.66,0,24.14
19,2,1981,24.12,9.53,0,23.41
20,2,1981,24.06,10.73,0,22.92
21,2,1981,25.77,10.82,0,24.56
22,2,1981,26.18,11.05,0,25.49
23,2,1981,25.63,10.89,0,24.59
24,2,1981,25.37,11.04,0,23.5
25,2,1981,26.67,11.26,0,24.68
26,2,1981,25.91,11.09,0,24.35
27,2,1981,23.37,11.85,0.11,21.5
28,2,1981,23.69,11.81,1.47,19.03
1,3,1981,24.15,10.96,3.49,22.24
2,3,1981,23.99,10.39,0,23.99
3,3,1981,24.16,9.91,0,25.51
4,3,1981,24.62,9.31,0,25.23
5,3,1981,24.29,9.79,0,25.35
6,3,1981,24.16,9.46,0,25.93
7,3,1981,25.28,9.82,0,25.75
8,3,1981,24.15,10.63,1.62,21.69
9,3,1981,23.56,12.49,1.25,21.13
10,3,1981,23.55,11.96,0.8,20.69
11,3,1981,23.63,11.46,3.07,19.01
12,3,1981,23.38,12.29,1.32,20.48
13,3,1981,21.75,12.46,4.56,18.94
14,3,1981,23.09,10.66,0,21.61
15,3,1981,23.95,10.83,0.45,24.95
16,3,1981,24.4,10.04,2.31,26.38
17,3,1981,24.72,9.58,0,26.77
18,3,1981,24.95,9.73,0,26.23
19,3,1981,24.58,10.62,0,24.03
20,3,1981,22.66,11.79,0,19.15
21,3,1981,23.62,11.1,0.07,22.47
22,3,1981,23.47,10.59,0,22.75
23,3,1981,23.92,10.78,0,22.25
24,3,1981,23.63,10.81,0.97,22.48
25,3,1981,23.03,10.98,3.17,21.9
26,3,1981,21.43,12.05,12.41,18.2
27,3,1981,21.42,11.73,0,19.33
28,3,1981,21.33,11.46,0,17.43
29,3,1981,18.57,11.44,0.79,14.38
30,3,1981,20.89,10.59,3.64,17.53
31,3,1981,22.44,11.16,0,21.56
1,4,1981,23.61,10.26,0,26.57
