day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.66,12.15,0,20.56
2,1,1981,23.56,12.68,0,20.21
3,1,1981,22.96,12.48,0,20.78
4,1,1981,22.36,12.98,0,19.19
5,1,1981,23.56,13.1,0,20.12
6,1,1981,23.32,13.26,0,20.02
7,1,1981,23.55,12.7,0,21.79
8,1,1981,23.66,12.49,0,23.2
9,1,1981,23.36,11.66,0,23.09
10,1,1981,24.38,12.16,0,22.17
11,1,1981,24.65,12.35,0,21.49
12,1,1981,23.78,13.33,0,21.44
13,1,1981,24.24,12.89,0,20.49
14,1,1981,24.44,13.59,0,20.97
15,1,1981,24.7,13.22,0,21.79
16,1,1981,24.51,13.33,0,20.87
17,1,1981,25.13,13.04,0,20.67
18,1,1981,24.3,13.14,0,21.05
19,1,1981,24.33,13.65,0,20.24
20,1,1981,24.33,13.21,0,21.18
21,1,1981,23.94,13.18,0,20.88
22,1,1981,22.49,13.17,0,19.33
23,1,1981,23.13,13.37,0,19.82
24,1,1981,24.68,13.21,0,22.64
25,1,1981,25.22,12.65,0,23.62
26,1,1981,25.52,12.26,0,23.13
27,1,1981,25.24,12.54,0.09,22.79
28,1,1981,25.34,12.95,0,22.84
29,1,1981,23.19,13.45,0,19.45
30,1,1981,24.75,13.68,0,23
31,1,1981,24.46,12.81,0,24.52
1,2,1981,24.71,12.13,0,24.68
2,2,1981,24.55,12.54,0,24.51
3,2,1981,24.97,12.8,0,24.58
4,2,1981,26.2,12.76,0,24.47
5,2,1981,25.28,12.86,0,21.41
6,2,1981,26.9,13.19,0,23.75
7,2,1981,25.79,13.41,0,22.23
8,2,1981,24.99,13.3,0,21.73
9,2,1981,23.43,14,4.82,20.25
10,2,1981,23.98,13.41,0.84,20.25
11,2,1981,25.3,13.33,0,22.72
12,2,1981,25.16,12.76,0,24.3
13,2,1981,25.93,12.63,0,24.81
14,2,1981,26.59,12.13,0,25.11
15,2,1981,26.13,12.61,0,24.66
16,2,1981,26.55,12.5,0,25.08
17,2,1981,26.73,12.29,0,25.25
18,2,1981,26.68,13.11,0,23.59
