day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,17.47,7.74,0,18.37
2,1,1981,18.14,8.45,0,17.46
3,1,1981,17.95,7.78,0,19.14
4,1,1981,17.97,8.21,0,17.75
5,1,1981,19.11,8.02,0.02,18.23
6,1,1981,18.09,8.31,0,17.38
7,1,1981,18.76,8.21,0,20.18
8,1,1981,19.05,7.91,0,22.41
9,1,1981,18.53,7.35,0,22.08
10,1,1981,19.21,7.6,0,20.5
11,1,1981,19.1,7.46,0,18.44
12,1,1981,19.58,8.34,0,20.37
13,1,1981,18.56,7.7,0,17.21
14,1,1981,18.57,8.63,0,18.44
15,1,1981,19.49,8.85,0,20.34
16,1,1981,18.74,8.38,0,18.84
17,1,1981,19.72,8.56,0,17.78
18,1,1981,19.06,8.49,0,19.02
19,1,1981,18.52,8.53,1.05,18.79
20,1,1981,19.21,8.8,0,19.41
21,1,1981,18.04,8.41,0,18.69
22,1,1981,17.52,8.61,0,18.19
23,1,1981,18.45,8.6,0,17.58
24,1,1981,19.66,8.39,0,21.72
25,1,1981,19.87,8.35,0,22.36
26,1,1981,19.95,7.77,0,21.16
27,1,1981,19.12,8.23,0.05,21.02
28,1,1981,19.52,7.96,0,20.72
29,1,1981,17.81,8.56,0,16.76
30,1,1981,18.84,8.59,0,20.46
31,1,1981,19.4,7.98,0.03,23.51
1,2,1981,19.73,7.49,0,24.1
2,2,1981,19.37,7.48,0,23.86
3,2,1981,20.15,8.05,0,23.97
4,2,1981,20.43,7.88,0,23.5
5,2,1981,19.56,7.92,0,19.07
6,2,1981,21.16,8.39,0,21.94
7,2,1981,20.24,8.18,0,21.01
8,2,1981,19.2,8.66,0,20.27
9,2,1981,17.77,9.19,4.58,18.48
10,2,1981,18.45,8.69,0,19.69
11,2,1981,19.3,8.65,0,22.92
12,2,1981,19.15,7.6,0,24.1
13,2,1981,19.62,7.59,0,24.4
14,2,1981,20.32,7.03,0,24.52
15,2,1981,19.48,7.29,0,24.58
16,2,1981,19.91,7.66,0,24.83
17,2,1981,20.29,7.31,0,24.83
18,2,1981,20.55,7.74,0,22.8
19,2,1981,20.83,8.28,0,22.49
20,2,1981,20.95,9.6,0,22.07
21,2,1981,22.45,9.68,0,24.14
22,2,1981,22.79,9.97,0,24.88
23,2,1981,22.04,9.81,0,23.78
24,2,1981,22.02,9.41,0,22.84
25,2,1981,23.11,9.8,0,23.77
26,2,1981,22.87,10.05,0,23.68
27,2,1981,19.53,9.84,1.3,21.01
28,2,1981,20.27,10.77,0,17.73
1,3,1981,20.65,9.77,3,22.19
2,3,1981,20.69,9.68,0,23.88
3,3,1981,20.47,8.79,0,24.44
4,3,1981,21.03,8.3,0,25.5
5,3,1981,20.79,8.94,0,25.43
6,3,1981,20.7,8.41,0,26.04
7,3,1981,22.16,8.53,0,26.17
8,3,1981,21.21,9.53,0.54,22.27
9,3,1981,20.42,11.28,1.98,21.38
10,3,1981,20,10.66,0,19.72
11,3,1981,20.74,10.21,0.67,18.96
12,3,1981,20,10.46,1.53,20.22
13,3,1981,18.24,10.74,4.03,16.83
14,3,1981,19.3,9.62,0.13,20.4
15,3,1981,20.27,9.76,2.28,25.58
16,3,1981,20.45,9.01,1.01,26.6
17,3,1981,20.63,8.63,0,26.9
18,3,1981,21.04,8.87,0,26.62
19,3,1981,20.53,9.59,0,22.45
20,3,1981,18.82,10.53,0,17.57
21,3,1981,19.67,9.84,0,20.79
22,3,1981,19.71,9.66,0,21.7
23,3,1981,20.59,9.54,0,22.4
24,3,1981,20.56,9.64,0.74,21.87
25,3,1981,19.7,10.16,2.22,21.51
26,3,1981,18.02,10.5,10.23,16.57
27,3,1981,18.5,10.22,0.38,19.29
