day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.34,12.06,0,19.1
2,1,1981,24.92,12.76,0,19.28
3,1,1981,25.14,12.61,0,20.28
4,1,1981,25.14,12.86,0,19.01
5,1,1981,25.85,12.59,0,19.81
6,1,1981,25.19,13.05,0,19.17
7,1,1981,25.24,12.78,0,20.49
8,1,1981,25.78,12.47,0,22.83
9,1,1981,25.44,11.45,0,22.73
10,1,1981,25.74,11.93,0,21.68
11,1,1981,25.64,11.73,0,20.38
12,1,1981,26.6,12.46,0,21.58
13,1,1981,25.4,12.24,0,19.15
14,1,1981,25.47,13.16,0,20.19
15,1,1981,26.3,13.39,0,21.32
16,1,1981,25.46,13.22,0,20.38
17,1,1981,26.52,13.39,0,19.82
18,1,1981,26.2,13.31,0,20.28
19,1,1981,25.41,13.14,0,20.05
20,1,1981,26.17,13.19,0,20.77
21,1,1981,25.19,12.93,0,19.6
22,1,1981,24.68,13.5,0,19.18
23,1,1981,25.2,13.38,0,18.95
24,1,1981,26.09,13.08,0,22.07
25,1,1981,26.6,12.74,0,22.86
26,1,1981,26.79,12.35,0,22.38
27,1,1981,26.09,13.07,0,21.89
28,1,1981,26.51,12.77,0,21.79
29,1,1981,24.77,13.49,0,18.19
30,1,1981,25.96,13.49,0,21.54
31,1,1981,26.34,12.57,0,23.59
1,2,1981,26.48,11.3,0,24.43
2,2,1981,26.57,11.69,0,24.15
3,2,1981,26.9,12.02,0,24.28
4,2,1981,27.18,12.21,0,23.92
5,2,1981,26.64,12.41,0,21.17
6,2,1981,27.87,12.82,0,23.03
7,2,1981,26.55,12.67,0,21.78
8,2,1981,26.54,13.25,0,21.35
9,2,1981,25.05,14.02,2.27,19.71
10,2,1981,24.8,13.37,0,20.42
11,2,1981,25.78,13.21,0,23.42
12,2,1981,25.67,11.54,0,24.45
13,2,1981,26.12,11.42,0,24.66
14,2,1981,26.99,10.71,0,24.89
15,2,1981,25.99,11.19,0,24.87
16,2,1981,26.16,11.6,0,25.07
17,2,1981,26.84,11.1,0,24.96
18,2,1981,27.53,11.8,0,23.8
19,2,1981,28.05,12.88,0,23.56
20,2,1981,28.03,14.19,0,23.11
21,2,1981,29.34,14.13,0,24.48
22,2,1981,29.56,14.78,0,24.92
23,2,1981,29.06,14.3,0,24.16
24,2,1981,29.05,14.33,0,23.46
25,2,1981,29.55,14.45,0,23.99
26,2,1981,29.34,14.96,0,24.35
27,2,1981,27.2,14.56,0.21,21.64
28,2,1981,27.7,16.07,0,19.98
1,3,1981,27.96,14.51,0.48,23.07
2,3,1981,27.87,14.44,0,24.37
3,3,1981,27.24,13.41,0,25.08
4,3,1981,27.78,12.92,0,25.44
5,3,1981,27.39,13.38,0,25.74
6,3,1981,27.18,12.78,0,26.12
7,3,1981,28.88,12.89,0,25.95
8,3,1981,27.86,14.21,0,22.48
9,3,1981,27.18,16.5,0.22,21.62
10,3,1981,27.39,16.12,0,21.28
11,3,1981,27.99,15.08,0,21.69
12,3,1981,27.27,16.05,0,21.88
13,3,1981,25.6,16.7,2.97,19.44
14,3,1981,26.65,15.13,0,21.29
15,3,1981,27.55,16.65,0.97,25.98
16,3,1981,27.42,14.71,0,26.66
17,3,1981,27.62,12.98,0,26.66
18,3,1981,28.05,13.39,0,26.41
19,3,1981,27.61,15.38,0,23.7
20,3,1981,26.18,16.31,0,20.21
21,3,1981,26.4,15.11,0,22.25
22,3,1981,26.53,14.98,0,22.38
23,3,1981,27.39,14.37,0,23.78
24,3,1981,28.11,14.23,0,23.88
25,3,1981,25.34,16.23,0.73,21.25
26,3,1981,24.41,15.67,6.73,18.28
27,3,1981,24.89,15.19,0,20.7
28,3,1981,25.02,14.69,0,20.14
29,3,1981,24.28,15.88,0,18.48
30,3,1981,25.04,14.58,0,19.25
31,3,1981,26.06,14.37,0,22.98
1,4,1981,26.87,13.9,0,27.16
