day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.07,7.07,0,20.25
2,1,1981,19.01,7.25,0,20.38
3,1,1981,19.49,7.58,0,19.96
4,1,1981,18.96,8.09,0,18.68
5,1,1981,19.48,7.6,0.15,19.91
6,1,1981,19.03,8.06,0,18.98
7,1,1981,19.09,7.43,0,21.71
8,1,1981,19.3,6.64,0,22.87
9,1,1981,18.92,5.99,0,22.72
10,1,1981,19.89,6.65,0,21.53
11,1,1981,20,7.37,0,21
12,1,1981,19.29,7.83,0,19.78
13,1,1981,19.24,7.25,0,19.37
14,1,1981,18.88,8.62,0,19.8
15,1,1981,19.89,8.21,0,21.33
16,1,1981,19.84,7.79,0,20.23
17,1,1981,20.32,8.06,0,21.38
18,1,1981,20.03,8.25,0,21.47
19,1,1981,19.54,8.46,7.99,20.43
20,1,1981,20.14,7.94,0,21.71
21,1,1981,20.6,8.34,0,21.7
22,1,1981,18.84,8.61,0,19.93
23,1,1981,20.05,8.4,0,21.04
24,1,1981,20.6,8.17,0,23.13
25,1,1981,20.86,7.33,0,23.41
26,1,1981,20.84,7.92,0,22.4
27,1,1981,20.48,8.03,0,21.7
28,1,1981,21.02,7.83,0,22.65
29,1,1981,19.73,8.78,0,19.86
30,1,1981,20,8.88,0,21.27
31,1,1981,20.1,7.7,0.14,24.12
1,2,1981,20.39,6.41,0,24.26
2,2,1981,19.94,6.51,0,24.11
3,2,1981,20.71,6.98,0,24.21
4,2,1981,21.35,6.83,0,24.11
5,2,1981,20.53,7.15,0,21.05
6,2,1981,21.66,8.19,0,23.17
7,2,1981,21.08,7.73,0,23.13
8,2,1981,21.05,8,0,22.82
9,2,1981,20.53,8.17,6.43,19.99
10,2,1981,19.36,8.86,0,19.4
11,2,1981,19.88,8.73,0,20.95
12,2,1981,19.01,8.53,0,22.62
13,2,1981,20.12,8.19,0,23.53
14,2,1981,20.69,7.61,0,24.18
15,2,1981,20.22,7.59,0,22.99
16,2,1981,21.38,7.57,0,23.41
17,2,1981,20.8,6.6,0,24.34
18,2,1981,20.42,8.14,0,23.13
19,2,1981,21.77,8.28,0,23.3
20,2,1981,21.56,9.01,0,22.29
21,2,1981,22.31,8.86,0,24.71
22,2,1981,23.11,8.6,0,25.19
23,2,1981,23.17,8.69,0,24.87
24,2,1981,23.2,9.21,0,23.23
25,2,1981,23.2,9.65,0,24.54
26,2,1981,23.06,8.64,0,24.8
27,2,1981,20.37,8.95,2.67,21.55
28,2,1981,20.13,9.88,0,20.42
1,3,1981,21.92,9.35,4.62,23.17
2,3,1981,21.13,8.62,0,23.19
3,3,1981,20.39,9.15,0,22.2
4,3,1981,20.39,8.76,0,24.31
5,3,1981,20.89,8.74,0,23.18
6,3,1981,20.47,8.61,0,23.19
7,3,1981,22.02,8.71,0,24.99
8,3,1981,21.25,8.86,3.16,23.2
9,3,1981,20.16,10.21,0.98,21.25
10,3,1981,20.29,10.15,0,20.8
11,3,1981,20.67,9.23,3.43,21.27
12,3,1981,20.21,9.5,3.01,20.6
13,3,1981,19.44,10.28,3.73,19.98
14,3,1981,19.48,9.34,0.48,19.95
