day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.89,10.57,0,21.01
2,1,1981,24.21,12.45,0,20.69
3,1,1981,25.26,11.07,0,20.83
4,1,1981,25.09,12.48,0,19.84
5,1,1981,25.58,11.74,0.14,20.97
6,1,1981,24.78,12.67,0,19.73
7,1,1981,24.99,11.58,0,22.62
8,1,1981,25.39,10.87,0,23.88
9,1,1981,24.58,9.74,0,23.73
10,1,1981,25.64,10.4,0,22.5
11,1,1981,25.74,11.76,0,21.72
12,1,1981,25.41,12.11,0,20.7
13,1,1981,24.51,11.59,0,19.81
14,1,1981,24.38,12.96,0.01,20.64
15,1,1981,25.55,12.54,0,22.21
16,1,1981,25.52,11.83,0,21.18
17,1,1981,26.15,11.99,0,22.07
18,1,1981,26.05,11.75,0.91,22.5
19,1,1981,25.49,12.47,6.09,21.69
20,1,1981,26.35,11.81,0,22.66
21,1,1981,26.58,12.68,0,22.93
22,1,1981,25.12,12.31,0,21.78
23,1,1981,26.26,12.3,0,22.26
24,1,1981,26.76,12.48,0,24.14
25,1,1981,26.94,11.12,0,24.44
26,1,1981,26.93,12.3,0,23.21
27,1,1981,26.39,11.98,0,22.54
28,1,1981,27.07,12.08,0,23.49
29,1,1981,25.94,12.77,0,20.85
30,1,1981,26.26,12.6,0,21.86
31,1,1981,26.66,11.91,0,24.99
1,2,1981,26.48,10.36,0,25.25
2,2,1981,26.29,10.24,0,25.02
3,2,1981,27.55,10.96,0,25.24
4,2,1981,27.17,10.74,0,25.04
5,2,1981,26.18,10.78,0,22.11
6,2,1981,27.83,12.22,0,24.1
7,2,1981,27.46,11.51,0,24.6
8,2,1981,27.3,11.82,0,23.81
9,2,1981,26.54,11.61,4.85,21.11
10,2,1981,25.19,12.84,0,21
11,2,1981,25.3,13.46,0,21.9
12,2,1981,24.47,13.13,0,23.09
13,2,1981,25.11,12.41,0,24.27
14,2,1981,26.27,12.12,0,24.92
15,2,1981,26.03,11.75,0,23.67
16,2,1981,27.39,11.68,0,24.17
17,2,1981,26.5,10.34,0,25.17
18,2,1981,25.99,12.65,0,24.11
19,2,1981,27.33,12.56,0,23.61
20,2,1981,27.61,12.84,0,22.75
21,2,1981,28.92,13.1,0,25.32
22,2,1981,29.65,12.58,0,25.92
23,2,1981,29.76,12.7,0,25.75
24,2,1981,29.64,13.46,0,24.3
25,2,1981,30.11,14.31,0,25.61
26,2,1981,29.3,12.61,0,25.4
27,2,1981,26.39,12.74,4.32,22.22
28,2,1981,26.51,13.72,0.58,21.66
1,3,1981,28.07,13.86,7,23.91
2,3,1981,27.09,12.68,0,23.6
3,3,1981,25.61,13.53,0,22.69
