day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.48,12.03,0,21.59
2,1,1981,24.06,12.36,0,20
3,1,1981,24.99,11.7,0,21.47
4,1,1981,25.54,12.74,0,23.02
5,1,1981,25.54,11.57,0,23.55
6,1,1981,25.3,12.16,0,22.26
7,1,1981,24.79,11.66,0,24.03
8,1,1981,24.79,9.78,0,24.37
9,1,1981,24.38,9.89,0,23.59
10,1,1981,24.79,10.82,0,23.11
11,1,1981,24.8,11.77,0,21.85
12,1,1981,24.7,13.19,0,18.3
13,1,1981,24.99,12.27,0,21.74
14,1,1981,24.9,13.6,0.47,20.08
15,1,1981,25.08,13.11,0,19.68
16,1,1981,25.76,12.87,0.61,22.75
17,1,1981,25.69,11.35,0,24.03
18,1,1981,25.44,12.17,0,22.87
19,1,1981,25.85,12.66,5.1,23.83
20,1,1981,26.16,12.37,0,24.15
21,1,1981,25.91,11.84,0,23.96
22,1,1981,25.16,13.28,0,23.18
23,1,1981,25.85,12.11,0,23.69
24,1,1981,26.05,11.71,0,24.31
25,1,1981,26.19,11.57,0,24.62
26,1,1981,26.3,11.69,0,24.17
27,1,1981,26.16,12.25,0,23.15
28,1,1981,26.32,11.93,0,24.65
29,1,1981,26.19,12.13,0,23.84
30,1,1981,26,11.75,0,24.87
31,1,1981,25.89,10.24,0,25.48
1,2,1981,25.86,10.68,0,25.5
2,2,1981,25.67,10.56,0,25.18
3,2,1981,26.56,10.91,0,25.62
4,2,1981,26.19,10.8,0,25.45
5,2,1981,26.07,11.61,0,23.76
6,2,1981,26.68,11.38,0,25.29
7,2,1981,26.4,10.47,0,25.34
8,2,1981,26.07,11.91,0,24.17
9,2,1981,25.51,12.65,0,22.39
10,2,1981,25.68,13.86,0,22.03
11,2,1981,25.52,14.79,0,22.11
12,2,1981,25.27,13.88,0,22.09
13,2,1981,26.08,14,0,24.36
14,2,1981,25.35,13.91,4.98,25.08
15,2,1981,25.24,13.71,0.87,24.37
16,2,1981,26.56,12.6,0,25.21
17,2,1981,25.99,13.66,0,22.93
18,2,1981,25.54,14.03,2.8,21.9
19,2,1981,27.07,13.46,0,22.62
20,2,1981,27.11,14.38,0,23.65
21,2,1981,28.08,13.18,0,25.44
22,2,1981,28.51,12.69,0,26.17
23,2,1981,28.34,12.5,0,25.89
24,2,1981,28.88,12.45,0,25.8
25,2,1981,28.79,12.85,0,26.05
26,2,1981,28.05,13.17,0,25.11
27,2,1981,27.46,13.06,0,24.94
28,2,1981,27.63,13.57,3.94,24.45
1,3,1981,27.92,13.66,18.15,25.38
2,3,1981,26.25,14.94,0,22.88
3,3,1981,24.81,15.08,0,20.97
4,3,1981,24.8,14.95,0,21.37
5,3,1981,25.44,14.19,4.32,22.11
6,3,1981,25.66,13.39,0,21.98
7,3,1981,26.89,13.62,0,24.51
8,3,1981,26.78,14.24,5.82,24.32
9,3,1981,26.77,13.55,0,25.69
10,3,1981,26.29,14.22,2.34,22.57
11,3,1981,26.36,14.21,7.72,22.22
12,3,1981,26.24,14.56,0.68,22.06
13,3,1981,25.09,14.29,1.72,20.86
14,3,1981,25,14.73,0,22.27
15,3,1981,24.09,15.36,12.68,20.09
16,3,1981,24.59,14.19,8.26,21.99
17,3,1981,24.77,12.62,0,24.22
18,3,1981,26.02,12.03,4.57,27.01
19,3,1981,26.6,12.68,0,23.74
20,3,1981,25.53,13.47,0,22.92
21,3,1981,25.01,13.86,0,22.2
22,3,1981,25.02,14.25,0,22.66
23,3,1981,25.62,13.04,1.41,24.08
24,3,1981,24.02,13.38,12.48,20.27
25,3,1981,24.8,13.99,14.6,21.94
26,3,1981,23.61,13.61,13.72,21.7
27,3,1981,23.21,15.19,11.75,18.58
28,3,1981,23.54,14.1,0,20.19
29,3,1981,21.52,15.39,13.47,15.06
30,3,1981,23.21,14.24,11.11,17.46
31,3,1981,23.43,14.94,0,20.17
1,4,1981,22.48,14.3,0,17.29
2,4,1981,23.18,14.13,5.91,19.19
3,4,1981,24.11,14.6,4.82,21.85
4,4,1981,24.76,13.64,3.08,24.97
5,4,1981,24.23,14.15,0,21.4
6,4,1981,24.7,13.81,0,23.05
7,4,1981,24.25,14.47,0,21.83
8,4,1981,23.91,13.51,0,21.64
9,4,1981,24.66,13.2,0,22.53
10,4,1981,24.84,14.3,0,22.25
11,4,1981,24.43,14.16,0,21.68
12,4,1981,24.29,14.4,5.43,21.89
13,4,1981,24.5,13.34,0,22.79
14,4,1981,25.2,13.17,0,23.13
15,4,1981,24.6,14.18,0,22.1
16,4,1981,26.33,13.46,0,24.56
17,4,1981,25.41,13.36,0,22.76
18,4,1981,25.5,13,12.83,22.92
19,4,1981,25.43,12.86,0,24.22
20,4,1981,25.76,14.37,0,24.49
21,4,1981,24.88,13.81,0,23.21
22,4,1981,24.3,14.01,0.35,19.57
23,4,1981,24.31,13.91,8.57,22.02
24,4,1981,20.82,14.74,28.99,14.6
25,4,1981,24.48,14.25,0,22.81
26,4,1981,25.7,13.57,1.87,25.47
27,4,1981,24.52,13.66,0,22.94
28,4,1981,26.56,12.7,0,25.16
29,4,1981,26.7,12.69,0,26.77
30,4,1981,27.3,12.23,0,26.03
1,5,1981,26.76,13.73,0,24.06
2,5,1981,26.48,14.03,0,22.79
3,5,1981,27.79,13.59,0,23.69
4,5,1981,27.8,13.37,0,26.48
5,5,1981,28.03,13.43,0,26.79
6,5,1981,28.25,13.17,0,27.15
7,5,1981,28.35,13.98,0,26.37
8,5,1981,26.81,14.62,0,23.45
9,5,1981,27.78,14.45,0,25.3
10,5,1981,26.88,13.72,0,23.65
11,5,1981,27.93,13.68,0,25.69
12,5,1981,28.1,14.1,0,24.33
13,5,1981,27.95,14.95,0,24.41
14,5,1981,27.56,15.41,0,23.17
15,5,1981,28.21,13.94,0,26.81
16,5,1981,28.16,13.14,0,25.38
17,5,1981,27.88,14.32,0,24.52
18,5,1981,27,15.5,0,21.89
19,5,1981,28.16,14.73,0,23.72
20,5,1981,28.38,14.74,0,24.4
21,5,1981,27.03,15.21,0,20.29
22,5,1981,27.89,14.62,0,21.58
23,5,1981,28.14,13.81,2.06,22.67
24,5,1981,28,14.35,0,22.58
25,5,1981,28.46,14.58,0,23.85
26,5,1981,28.83,13.33,0,24.25
27,5,1981,28.77,13.16,0,24.33
28,5,1981,28.74,12.77,0,23.9
29,5,1981,28.06,13.64,4.65,21.4
30,5,1981,27.12,15.77,12.09,19.38
31,5,1981,27.51,14.9,0,19.95
1,6,1981,28.87,14.9,0,22.97
2,6,1981,28.15,14.77,0,21.2
3,6,1981,27.96,13.8,0,22.28
4,6,1981,28.41,15.26,0,22.48
5,6,1981,27.86,14.63,0,22.61
6,6,1981,27.86,14.58,0,21.85
7,6,1981,27.4,15.03,0,20.83
8,6,1981,28.39,14.31,0,22.5
