day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.25,8.28,0,19.31
2,1,1981,20.15,7.29,0,20.02
3,1,1981,21.06,7.76,0,21.32
4,1,1981,20.07,8.04,0,21.34
5,1,1981,19.96,6.77,0,21.9
6,1,1981,18.8,7.49,0,20.64
7,1,1981,18.81,6.23,0,23.79
8,1,1981,18.71,5.05,0,24.25
9,1,1981,18.8,4.54,0,23.19
10,1,1981,21.36,5.82,0,22.03
11,1,1981,21.2,7.85,0,19.52
12,1,1981,18.72,8.22,0,19.64
13,1,1981,18.96,6.55,0,19.81
14,1,1981,19.61,7.67,0,19.18
15,1,1981,19.81,8.25,0,19.84
16,1,1981,21.1,7.66,0,23.07
17,1,1981,21.63,7.13,1.44,21.7
18,1,1981,21.52,8.88,5.43,20.06
19,1,1981,21.29,6.15,0,21.64
20,1,1981,20.79,6.4,0,23.08
21,1,1981,22.77,6.88,0,23.75
22,1,1981,19.97,8.41,0,20.09
23,1,1981,22.38,7.23,0,23.56
24,1,1981,21.63,6.6,0,24.64
25,1,1981,22.08,5.86,0,24.63
26,1,1981,22.17,6.91,0,24.37
27,1,1981,20.63,8.29,0,22.77
28,1,1981,20.94,7.04,0,24.16
29,1,1981,19.88,7.45,0,23.35
30,1,1981,19.77,6.76,0,24.87
31,1,1981,19.09,6.18,0,25.27
1,2,1981,19.15,4.96,0,25.23
2,2,1981,19.28,5.11,0,25.01
3,2,1981,19.64,4.9,0,25.31
4,2,1981,20.13,4.65,0,24.93
5,2,1981,20.15,6.64,0,23.3
6,2,1981,22.12,6.74,0,25.19
7,2,1981,21.03,5.98,0,25.26
8,2,1981,23.05,7.27,0,24.34
9,2,1981,21.24,8.43,0,20.89
10,2,1981,21.27,9.1,5.43,21.3
11,2,1981,17.53,8.63,0,19.01
12,2,1981,18.09,8.76,0,20.18
13,2,1981,18.89,7.58,0,22.26
14,2,1981,19.96,7.89,0,23.63
15,2,1981,20.36,8.12,0,22.6
16,2,1981,22.37,7.49,0,23.98
17,2,1981,20.83,8.5,0,22.62
18,2,1981,18.7,9.37,0,20.73
19,2,1981,19.91,8.63,0,21.76
20,2,1981,21.29,7.44,0,24.5
21,2,1981,21.2,8.42,0,25.91
22,2,1981,21.6,7.89,0,26.14
23,2,1981,23.07,7.72,0,25.92
24,2,1981,24.33,7.49,0,25.53
25,2,1981,22.54,8.8,0,25.84
26,2,1981,22.68,7.48,0,25.73
27,2,1981,23.02,7.69,5.75,24.48
28,2,1981,22.24,9.1,0,21.38
1,3,1981,22.58,8.94,8.87,23.57
2,3,1981,19.48,8.78,4.86,19.06
3,3,1981,17.54,9.99,2.24,19.16
4,3,1981,19.64,10,5,19.96
5,3,1981,17.19,9.13,5.19,19.08
6,3,1981,19.42,8.85,0.57,20.47
7,3,1981,19.75,8.37,1.6,22.3
8,3,1981,19.76,9.4,0,22.26
9,3,1981,20.53,8.48,5.64,22.93
10,3,1981,19.16,9.46,7.37,20.36
11,3,1981,19,9.86,0,21.42
12,3,1981,20.25,8.68,5.27,19.16
13,3,1981,19.57,9.95,8.03,17.73
14,3,1981,19.75,10.24,5.13,19.6
15,3,1981,18.96,10.51,7.12,16.75
16,3,1981,19.97,10.69,6.12,19.56
17,3,1981,22.06,8.9,3.54,24.18
18,3,1981,22.1,8.7,3.55,24.96
19,3,1981,17.49,8.11,0.42,18.49
20,3,1981,18.98,10.51,4.47,19.52
21,3,1981,20.01,9.64,3.63,19.86
22,3,1981,19.73,10.37,4.36,19.44
23,3,1981,20.44,9.66,7.16,22.08
24,3,1981,19.65,9.54,5.52,19.33
25,3,1981,20.41,8.33,4.08,20.71
26,3,1981,20.05,10.35,33.97,19.07
27,3,1981,18.19,11.52,19.38,17.97
28,3,1981,17.19,11.01,0,18.21
29,3,1981,16.69,11.27,4.36,14.22
30,3,1981,18.76,11.41,0,19.66
31,3,1981,18.84,10.66,0,19.12
1,4,1981,17.05,10.08,4.71,16.52
2,4,1981,16.73,10.36,6.98,17.93
3,4,1981,19.52,10.87,3.4,21.49
4,4,1981,19.62,8.92,0,24.51
5,4,1981,18.6,10.75,0,21.91
6,4,1981,19.37,9.73,0,24.02
7,4,1981,20.39,9.94,0,23.39
8,4,1981,19.2,9.96,0,22.83
9,4,1981,19.63,10.62,0,22.08
10,4,1981,19.25,11.05,0,20.95
11,4,1981,18.98,10.5,0,19.97
12,4,1981,18.84,9.85,4.27,20.19
13,4,1981,19.14,9.44,0,23.07
14,4,1981,19.94,10.28,0,22.14
15,4,1981,19.36,11.27,0,18.77
16,4,1981,21.02,9.96,15.32,21.36
17,4,1981,19.59,10.56,0,22.13
18,4,1981,19.43,9.34,0,23.08
19,4,1981,18.97,9.98,0,25.61
20,4,1981,18.78,10.36,0,23.64
21,4,1981,18.82,9.81,0,23.45
22,4,1981,18.92,9.69,0,21.17
23,4,1981,18.76,10.86,0,22.42
24,4,1981,15.56,10.53,25.03,18.28
25,4,1981,16.93,10.09,0,24.41
26,4,1981,18.98,10.45,0,25.37
27,4,1981,18.68,10.57,0,23.61
28,4,1981,19.99,9.28,0,25.62
29,4,1981,20.94,10.14,0,26.97
30,4,1981,21.86,10.43,0,26.03
1,5,1981,20.75,11.19,0,24.61
2,5,1981,20.65,8.57,0,24.23
3,5,1981,21.77,10.16,0,25.5
4,5,1981,21.32,10.85,0,26.55
5,5,1981,21.9,11.09,0,27.84
6,5,1981,22.04,11.08,0,28.13
7,5,1981,20.89,11.83,0,26.41
8,5,1981,20.71,11.85,0,23.98
9,5,1981,20.44,11.38,0,25.72
10,5,1981,21.27,11.01,0,26.77
11,5,1981,21.58,11.41,0,27.13
12,5,1981,21.29,11.58,0,26.27
13,5,1981,21.76,12.18,0,24.75
14,5,1981,21.39,11.73,0,23.98
15,5,1981,22.4,12.25,0,27.69
16,5,1981,23.54,10.66,0,27.96
17,5,1981,22.15,12.41,0,24.17
18,5,1981,22.87,11.71,0,24.41
19,5,1981,22.03,13.23,0,24.46
20,5,1981,22.03,12.02,0.23,24.14
21,5,1981,21.77,13.11,0,20.97
22,5,1981,23.04,11.3,0,24.84
23,5,1981,23.46,11.47,0,25.77
24,5,1981,23.63,11.02,0,24.76
