day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,17.27,6.8,0,18.42
2,1,1981,16.85,7.09,0,17.4
3,1,1981,18.69,6.4,0,20.81
4,1,1981,18.94,7,0,21.23
5,1,1981,19.05,6.05,0,22.13
6,1,1981,18.36,7.26,0,20.6
7,1,1981,18.26,6.18,0,23.07
8,1,1981,18.22,4.56,0,23.57
9,1,1981,17.68,4.71,0,22.65
10,1,1981,19.01,5.58,0,21.64
11,1,1981,18.49,6.43,0,19.4
12,1,1981,17.88,7.35,0,16.62
13,1,1981,18.41,6.72,0,19.03
14,1,1981,17.93,7.61,0.61,17.82
15,1,1981,17.75,7.68,0,16.9
16,1,1981,19.12,7.03,0,21.23
17,1,1981,19.21,6.12,0.72,22.55
18,1,1981,18.16,6.83,0.44,19.78
19,1,1981,18.82,6.88,3.72,22.35
20,1,1981,19.28,6.82,0,22.47
21,1,1981,18.96,6.54,0,22.32
22,1,1981,17.62,8.16,0,20.87
23,1,1981,18.79,6.99,0,22.2
24,1,1981,18.93,6.09,0,23.28
25,1,1981,19.26,6,0,23.59
26,1,1981,19.44,5.99,0,23.03
27,1,1981,19.14,6.62,0,21.88
28,1,1981,19.66,6.34,0,23.3
29,1,1981,19.15,6.88,0,21.79
30,1,1981,19.13,5.96,0,23.6
31,1,1981,18.77,5.19,0,24.61
1,2,1981,18.76,5.38,0,24.67
2,2,1981,18.8,5.19,0,24.16
3,2,1981,19.69,5.58,0,24.89
4,2,1981,19.55,5.43,0,24.45
5,2,1981,19.33,6.02,0,22.06
6,2,1981,20.21,5.92,0,24.2
7,2,1981,19.8,5.39,0,24.41
8,2,1981,19.91,6.54,0,22.69
9,2,1981,18.26,7.22,0,18.93
10,2,1981,18.25,7.61,0,19.79
11,2,1981,18.14,8.19,0.89,19.82
12,2,1981,17.34,8.25,0,19.28
13,2,1981,18.19,7.42,0,22.34
14,2,1981,17.9,7.83,9.77,24.13
15,2,1981,17.28,7.52,0,22.95
16,2,1981,19.93,7.07,0,23.89
17,2,1981,18.87,7.88,0,21.15
18,2,1981,18.09,8.72,0.94,20.42
19,2,1981,19.86,7.68,0,20.67
20,2,1981,20.54,7.93,0,21.82
21,2,1981,21.05,7.3,0,24.66
22,2,1981,21.73,6.96,0,25.39
23,2,1981,21.73,6.86,0,25.3
24,2,1981,22.49,7.11,0,24.99
25,2,1981,22.11,7.29,0,25.36
26,2,1981,21.85,7.36,0,24.63
27,2,1981,20.22,7.44,0,24.07
28,2,1981,21.15,7.72,2.63,23.42
1,3,1981,20.75,8.09,12.37,23.89
2,3,1981,18.2,8.24,1.58,18.67
3,3,1981,17.6,8.25,1.06,17.18
4,3,1981,16.73,8.76,7.02,18.04
5,3,1981,18.23,7.63,11.95,19.48
6,3,1981,18.22,7.89,0.37,18.25
7,3,1981,19.09,7.52,0.16,22.51
8,3,1981,18.78,8.56,5.19,22.07
9,3,1981,18.34,8.11,0,24.05
10,3,1981,18.11,8.08,6.76,19.98
11,3,1981,17.92,8.35,6.16,19.92
12,3,1981,18.09,8.1,3.46,18.41
13,3,1981,18.3,8.32,5.4,17
14,3,1981,18.02,8.69,2.4,19.88
15,3,1981,17.17,9.19,12.5,16.54
16,3,1981,17.7,8.56,15.94,19.46
17,3,1981,17.71,7.57,0.82,24.42
18,3,1981,19.1,7.26,1.15,26.27
19,3,1981,19.34,7.01,0.1,21.53
20,3,1981,18.35,8.24,2.44,20.77
21,3,1981,17.97,8.25,1.04,18.76
22,3,1981,18.59,8.11,0.79,19.62
23,3,1981,17.54,7.67,5.79,21.87
24,3,1981,17.15,8,12.91,19.1
25,3,1981,17.23,8.02,16.43,20.43
26,3,1981,16.32,8.04,16.45,18.62
