day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.07,8.38,0,18.88
2,1,1981,20.12,8.66,0,19.28
3,1,1981,21.7,7.87,0,22.35
4,1,1981,21.3,8.07,0,23.32
5,1,1981,21.25,6.86,0.16,23.55
6,1,1981,20.84,8.2,0,22.74
7,1,1981,20.39,6.46,0,24.04
8,1,1981,20.21,4.38,0,24.47
9,1,1981,20.28,5.24,0,23.34
10,1,1981,22.1,6.67,0,22.19
11,1,1981,21.74,7.99,0,19.91
12,1,1981,20.3,8.86,0,18.17
13,1,1981,21.55,7.77,0,20.29
14,1,1981,20.76,9.43,0,18.3
15,1,1981,20.85,9.28,0,18.05
16,1,1981,22.1,8.22,2.95,23.04
17,1,1981,22.53,6.42,1.26,24.5
18,1,1981,21.95,8.47,0.77,20.14
19,1,1981,22.41,8.37,0,24.06
20,1,1981,21.96,8.37,0,23.99
21,1,1981,22.38,8,0,23.22
22,1,1981,20.57,10.27,0,21.29
23,1,1981,22.24,9.12,0,23.93
24,1,1981,21.95,6.8,0,24.75
25,1,1981,22.26,6.47,0,24.7
26,1,1981,22.38,6.88,0,24.52
27,1,1981,21.8,7.9,0,23.55
28,1,1981,22.21,7.01,0,24.75
29,1,1981,21.39,8.07,0,24.23
30,1,1981,21.24,6.53,0,25.1
31,1,1981,20.61,5.81,0,25.51
1,2,1981,20.73,5.78,0,25.47
2,2,1981,20.83,5.8,0,25.17
3,2,1981,21.54,6.32,0,25.5
4,2,1981,21.83,6.16,0,24.99
5,2,1981,21.91,7.1,0,23.84
6,2,1981,22.7,6.49,0,25.46
7,2,1981,22.16,5.78,0,25.32
8,2,1981,23.19,7.61,0,23.35
9,2,1981,21.81,8.65,0,19.64
10,2,1981,22.02,8.77,0,20.46
11,2,1981,20.88,10.77,4.95,18.95
12,2,1981,19.2,9.94,2.69,18.6
13,2,1981,20.52,9.53,0,21.6
14,2,1981,20.78,9.97,0,23.67
15,2,1981,20.43,9.48,0,22.91
16,2,1981,22.86,8.63,0,23.76
17,2,1981,21.27,9.66,0,20.88
18,2,1981,19.89,10.95,1.82,19.69
19,2,1981,21.66,9.07,0,22.82
20,2,1981,22.73,9.7,0,24
21,2,1981,22.81,8.42,0,25.77
22,2,1981,23.47,8.21,0,26.36
23,2,1981,24.26,7.76,0,26.05
24,2,1981,25.06,7.9,0,25.88
25,2,1981,24.16,8.26,0,26.13
26,2,1981,23.84,8.16,0,25.29
27,2,1981,24.06,8.3,0,24.75
28,2,1981,23.8,8.79,4.94,24.57
1,3,1981,23.55,9.22,3.91,23.9
2,3,1981,20.21,10.22,10.52,17.62
3,3,1981,18.49,10.15,5.08,16.56
4,3,1981,19.78,10.8,9.22,18.45
5,3,1981,18.85,9.72,10.43,18.35
6,3,1981,20.13,9.7,0,17.78
7,3,1981,21.09,9.1,5.05,21.87
8,3,1981,20.95,10.24,0,22.55
9,3,1981,21.79,9.31,0,24.88
10,3,1981,20.36,9.17,0,20.68
11,3,1981,20.17,9.88,2.2,21.12
12,3,1981,20.47,10.22,1.43,18.25
13,3,1981,19.88,9.93,5.11,17.12
14,3,1981,20.41,10.43,6.63,19.96
15,3,1981,19.35,11.63,10.41,15.48
16,3,1981,19.95,10.61,12.31,18.29
17,3,1981,20.82,9.75,3.18,23.65
18,3,1981,22.73,9.79,3.09,25.56
19,3,1981,19.87,9.49,0.12,20.2
20,3,1981,19.51,10.5,3.89,20.26
21,3,1981,20.65,10.12,4.8,18.36
22,3,1981,19.66,9.84,1.06,18.16
23,3,1981,20.74,8.91,10.04,22.1
24,3,1981,19.08,9.29,8.77,19.1
25,3,1981,20.56,9.77,7.76,21.07
26,3,1981,19.21,9.94,25.8,19.37
27,3,1981,18.26,11.77,5.99,16.67
28,3,1981,19.08,11.15,0,16.29
29,3,1981,16.9,11.89,0,11.44
30,3,1981,19.5,10.8,4.49,16.36
31,3,1981,19.75,11.51,0,18.15
1,4,1981,17.78,10.97,9.94,13.28
2,4,1981,18.36,10.96,10.86,15.7
3,4,1981,19.87,10.96,2.68,21.04
4,4,1981,21.39,9.63,0,25.71
5,4,1981,20.37,11,0,21.37
6,4,1981,20.41,10.02,0,21.85
7,4,1981,20.95,10.11,0,23.5
8,4,1981,19.57,9.34,0,21.27
9,4,1981,20.49,9.75,0,22.5
10,4,1981,20.25,10.93,0,20.34
11,4,1981,19.83,10.52,0,19.85
12,4,1981,19.79,11.05,1.53,20.6
13,4,1981,20.05,9.26,0,21.08
14,4,1981,21.29,10.11,0,22.56
15,4,1981,21.03,11.16,0,19.3
16,4,1981,21.81,9.85,0,21.63
17,4,1981,20.57,9.88,0,21.96
18,4,1981,20.51,9.77,0,21.97
19,4,1981,20.38,9.46,0,24.61
20,4,1981,20.43,10.95,1.79,23.59
21,4,1981,19.89,9.51,0,22.62
