day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.65,15.32,0,20.42
2,1,1981,25.28,16.45,0,18.21
3,1,1981,25.66,15.94,0,20.38
4,1,1981,25.5,16.37,0,19.43
5,1,1981,26.04,16.08,0,21.06
6,1,1981,25.58,16.41,0,19.63
7,1,1981,25.5,16.2,0,21.99
8,1,1981,25.93,15.63,0,23.69
9,1,1981,25.48,14.3,0,23.62
10,1,1981,26.05,14.64,0,22.66
11,1,1981,26.49,15.34,0,21.5
12,1,1981,25.62,16.41,0,19.16
13,1,1981,25.27,15.76,0,19.24
14,1,1981,26.03,16.33,0.2,20.46
15,1,1981,25.92,16.35,0,20.48
16,1,1981,25.85,16.03,0,20.67
17,1,1981,26.71,16.17,0,20.57
18,1,1981,26.8,16.43,0,21.76
19,1,1981,26.6,16.4,3.75,20.86
20,1,1981,26.78,16.65,2.63,21.61
21,1,1981,27.31,16.05,0,22.85
22,1,1981,26.57,16.21,0,21.19
23,1,1981,26.71,16.47,0,21.05
24,1,1981,27.02,16.64,0,22.86
25,1,1981,27.25,15.63,0,23.91
26,1,1981,27.29,15.23,0,22.55
27,1,1981,27.02,15.36,0,22.16
28,1,1981,27.28,16.56,0,22.7
29,1,1981,25.55,16.22,0,19.29
30,1,1981,27.24,16.44,0,22.39
31,1,1981,27.14,16.41,0,24.5
1,2,1981,26.84,15.11,0,25.05
2,2,1981,26.84,15.46,0,24.34
3,2,1981,27.49,15.24,0,25.05
4,2,1981,27.57,14.9,0,24.69
5,2,1981,26.4,15.4,0,22.1
6,2,1981,28.15,15.94,0,24.05
7,2,1981,27.86,15.22,0,24.26
8,2,1981,27.46,15.61,0,23.31
9,2,1981,26.93,16.64,0,21.66
10,2,1981,26.57,16.96,0,21.47
11,2,1981,27.34,17.26,0,21.77
12,2,1981,27.1,16.97,0,22.35
13,2,1981,27.31,15.84,6.71,24.4
14,2,1981,27.79,15.77,1.71,24.85
15,2,1981,27.12,15.61,0,23.8
16,2,1981,28.58,15.55,0,25.14
17,2,1981,27.93,15.53,0,25.23
18,2,1981,28.34,15.77,0,24.66
19,2,1981,28.11,16.56,0,21.35
20,2,1981,28.44,17.26,0,21.71
21,2,1981,29.31,16.81,0,24.63
22,2,1981,29.51,16.47,0,25.32
23,2,1981,29.88,16.08,0,25.4
24,2,1981,29.84,15.89,0,24.28
25,2,1981,30.38,16.79,0,25.37
26,2,1981,29.26,16.42,0,25.03
27,2,1981,28.24,16.56,0,22.1
28,2,1981,27.96,17.41,1.16,21.88
1,3,1981,28.97,17.46,11.39,23.72
2,3,1981,28.2,16.61,0,23.66
3,3,1981,27.83,16.36,0,23.22
4,3,1981,26.98,16.44,0,22.3
5,3,1981,28.2,16.23,1.57,23.96
6,3,1981,27.79,16.33,0,23.75
7,3,1981,28.67,16.57,0,24.26
8,3,1981,27.76,17.03,1.07,22.2
9,3,1981,27.24,16.89,0,21.93
10,3,1981,27.8,17.29,6.9,22.34
11,3,1981,27.52,17.12,11.99,20.56
