day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.3,9.89,0,20.44
2,1,1981,21.86,10.73,0,19.51
3,1,1981,22.42,9.98,0,20.58
4,1,1981,22.54,10.17,0,19.7
5,1,1981,23.59,9.24,0,21.26
6,1,1981,22.89,11.38,0,19.53
7,1,1981,23.05,9.77,0,23.24
8,1,1981,23.41,8.11,0,24.1
9,1,1981,22.48,7.1,0,23.71
10,1,1981,22.86,8.47,0,22.67
11,1,1981,22.92,9.39,0,21.21
12,1,1981,22.7,10.15,0,19.24
13,1,1981,22.01,9.77,0,19.43
14,1,1981,22.7,11.26,0.16,19.95
15,1,1981,22.97,11.29,0,20.47
16,1,1981,23.23,10.22,0.33,21.22
17,1,1981,24.22,10.5,0,21.73
18,1,1981,23.72,10.85,1.89,22.04
19,1,1981,23.39,9.76,4.37,21.41
20,1,1981,24.27,10.02,0,22.55
21,1,1981,23.77,9.66,0,23.46
22,1,1981,23.3,11.09,0,21.67
23,1,1981,23.54,10.59,0,22.49
24,1,1981,24.45,9.47,0,23.99
25,1,1981,24.32,8.5,0,24.49
26,1,1981,24.1,8.96,0,23.34
27,1,1981,23.56,9.66,0,22.03
28,1,1981,24.37,9.81,0,23.49
29,1,1981,22.9,10.89,0,20.75
30,1,1981,24.33,9.88,0,22.61
31,1,1981,24.34,8.4,0,25.12
1,2,1981,24.26,7.59,0,25.34
2,2,1981,24.16,7.51,0,24.84
3,2,1981,25.29,8.2,0,25.51
4,2,1981,24.64,7.82,0,25.22
5,2,1981,23.42,8.99,0,22.01
6,2,1981,25.9,9.41,0,24.4
7,2,1981,25.12,8.58,0,25.1
8,2,1981,24.1,9.63,0,24.23
9,2,1981,22.61,11.43,0,21.02
10,2,1981,22.72,11.93,0,21.02
11,2,1981,23.28,12.09,2.12,21.09
12,2,1981,22.55,12.61,0,22.01
13,2,1981,23.26,10.58,0,23.92
14,2,1981,24.36,10.49,6.84,24.81
15,2,1981,23.26,10.85,0,23.31
16,2,1981,24.39,10.86,0,24.41
17,2,1981,24.25,10.51,0,24.76
18,2,1981,23.95,11.19,0,23.33
19,2,1981,25.12,11.16,0,21.47
20,2,1981,25.76,11.38,0,22.08
21,2,1981,26.89,11.04,0,25.26
22,2,1981,27.2,10.06,0,25.82
23,2,1981,27.14,9.99,0,25.9
24,2,1981,27.29,10.53,0,24.73
25,2,1981,28.11,10.96,0,25.79
26,2,1981,26.64,10.17,0,25.62
27,2,1981,25.19,10.91,0,22.93
28,2,1981,24.88,12.33,2.2,21.97
1,3,1981,25.99,11.62,10.76,24.34
2,3,1981,24.83,11.98,0,22.2
