day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,18.67,7.94,0,19.84
2,1,1981,18.24,7.97,0,19.87
3,1,1981,20.56,7.86,0,21.13
4,1,1981,20.13,7.58,0,20.74
5,1,1981,20.08,6.86,0,21.95
6,1,1981,19.03,8.43,0,20.27
7,1,1981,19.33,6.67,0,24.06
8,1,1981,19.23,5.49,0,24.66
9,1,1981,19.21,4.97,0,23.81
10,1,1981,20.28,6.5,0,22.59
11,1,1981,20.43,7.31,0,20.27
12,1,1981,18.98,7.74,0,19.37
13,1,1981,20,7.75,0,20.03
14,1,1981,20.07,8.95,0,19.76
15,1,1981,20,8.96,0,20.11
16,1,1981,21.09,7.72,0.33,22.54
17,1,1981,21.46,7.94,0.55,21.98
18,1,1981,21.09,8.9,2,21.04
19,1,1981,20.72,7.72,3.02,21.75
20,1,1981,21.04,7.72,0,23.21
21,1,1981,21.79,7.41,0,24.07
22,1,1981,19.45,8.83,0,20.98
23,1,1981,21.83,8.03,0,23.52
24,1,1981,21.41,6.79,0,24.84
25,1,1981,21.75,6.27,0,25.03
26,1,1981,21.71,6.8,0,24.34
27,1,1981,20.75,7.56,0,22.62
28,1,1981,21.56,7.25,0,24.52
29,1,1981,20.34,8.44,0,22.67
30,1,1981,20.64,7.02,0,24.3
31,1,1981,19.99,5.93,0,25.71
1,2,1981,20.14,5.66,0,25.77
2,2,1981,20.46,5.48,0,25.48
3,2,1981,20.98,5.91,0,26.07
4,2,1981,21.64,5.79,0,25.84
5,2,1981,21.04,6.78,0,22.97
6,2,1981,22.34,6.89,0,25.32
7,2,1981,21.77,6.19,0,25.74
8,2,1981,22.43,7.58,0,24.73
9,2,1981,19.3,8.7,0,20.92
10,2,1981,19.97,9.03,0.55,21.37
11,2,1981,19.35,9.14,1.85,20.53
12,2,1981,17.82,9.26,0,21.38
13,2,1981,19.6,7.84,0,23.63
14,2,1981,21.15,8.33,5.47,25.11
15,2,1981,20.34,8.65,0,23.52
16,2,1981,21.66,8.15,0,24.66
17,2,1981,20.44,8.66,0,23.84
18,2,1981,19.3,9.42,0.82,22.07
19,2,1981,21.11,8.8,0,21.72
20,2,1981,21.9,8.45,0,23.63
21,2,1981,22.1,7.89,0,26.08
22,2,1981,22.71,7.53,0,26.47
23,2,1981,23.73,7.34,0,26.38
24,2,1981,24.41,8.03,0,25.59
25,2,1981,23.52,8.07,0,26.28
26,2,1981,23.79,7.53,0,26.19
27,2,1981,23.39,7.88,0.5,24.17
28,2,1981,21.99,9.19,3.26,21.65
1,3,1981,22.27,8.7,14.67,24.25
2,3,1981,19.63,8.89,1.27,20.27
3,3,1981,19.66,9.58,0.57,19.96
4,3,1981,19.91,9.99,4.31,20.89
5,3,1981,19.85,9.13,8.38,20.52
6,3,1981,20.17,9.18,0.5,21.17
7,3,1981,20.93,8.74,0.48,23.82
8,3,1981,20.22,9.47,5.71,22.93
9,3,1981,19.99,9.09,1.75,22.95
10,3,1981,19.83,9.42,5.87,20.67
11,3,1981,19.51,9.73,3.72,21.13
12,3,1981,19.23,8.77,4.77,19.48
13,3,1981,19.01,9.91,7.09,18.12
14,3,1981,19.05,9.98,3.45,19.87
15,3,1981,18.95,10.07,10.9,17.83
16,3,1981,20.04,9.82,15.26,20.21
17,3,1981,21.15,9.48,0.79,25.69
18,3,1981,21.7,10.58,0.72,26.11
19,3,1981,20.09,8.4,0,20.31
20,3,1981,20.47,9.97,2.18,20.41
21,3,1981,20.38,10.18,0.83,20.48
22,3,1981,20.6,10.14,2.05,20.94
23,3,1981,20.99,9.66,5.1,22.74
24,3,1981,19.25,9.41,10.69,20.2
25,3,1981,20.12,8.83,13.76,20.73
26,3,1981,19.18,9.98,19.97,18.51
27,3,1981,18.49,10.87,15.31,18.21
28,3,1981,19.9,10.4,0.74,19.33
29,3,1981,15.94,10.47,11.08,13.59
30,3,1981,18.08,10.08,7.92,18.89
31,3,1981,18.53,10.19,0,19
1,4,1981,17.41,9.66,1.97,18.19
2,4,1981,17.57,9.59,9.07,19.35
3,4,1981,19.3,9.94,7.01,22.09
4,4,1981,20.1,9.05,4.69,24.03
5,4,1981,19.16,10.22,0,21.52
6,4,1981,19.67,9.64,0,24.06
7,4,1981,20,9.74,0,22.67
8,4,1981,19.19,9.37,0,22.63
9,4,1981,19.64,9.14,0,22.03
10,4,1981,19.48,9.84,0,21.36
11,4,1981,19.09,9.8,0,20.62
12,4,1981,18.58,9.71,5.76,20.27
13,4,1981,19.63,8.29,0,22.8
14,4,1981,20.39,9.66,0,22.41
15,4,1981,19.59,10.17,0,20.08
16,4,1981,20.36,9.5,7.88,22.8
17,4,1981,19.81,9,0,22.53
18,4,1981,19.86,9.11,3.79,22.98
19,4,1981,19.8,8.37,0,25.51
20,4,1981,20.09,9.67,0,23.96
21,4,1981,19.91,9.11,0,23.11
22,4,1981,19.67,9.51,0,20.31
23,4,1981,19.83,9.88,0.52,22.2
24,4,1981,16.98,10.09,22.3,18.88
25,4,1981,17.74,9.47,0,23.94
26,4,1981,19.56,8.45,0,24.6
27,4,1981,19.41,8.73,0,24.12
28,4,1981,20.36,8.58,0,25.55
29,4,1981,21.11,8.31,0,26.68
30,4,1981,21.92,8.55,0,26.73
1,5,1981,21.19,8.88,0,24.26
2,5,1981,21.33,8.65,0,24.29
3,5,1981,22.17,9.35,0,24.5
4,5,1981,21.58,8.95,0,26.78
5,5,1981,21.9,8.66,0,27.68
6,5,1981,22.1,8.42,0,28.4
7,5,1981,21.77,9.04,0,26.58
8,5,1981,21.12,9.67,0,23.61
9,5,1981,21.3,9.52,0,25.99
10,5,1981,21.52,9.46,0,26.19
11,5,1981,21.77,8.65,0,27.47
12,5,1981,21.81,9.42,0,25.83
13,5,1981,22.36,10.29,0,24.39
14,5,1981,21.65,10.41,0,22.62
15,5,1981,22.54,9.87,0,27.42
16,5,1981,23.38,9.17,0,27.95
17,5,1981,22.1,9.78,0,24.39
18,5,1981,22.13,10.66,0,22.96
19,5,1981,22.17,10.16,0,24.74
20,5,1981,21.78,10.12,0,23.89
21,5,1981,21.71,10.28,0,20.01
22,5,1981,23.14,10.22,0,24.19
23,5,1981,23.57,9.52,0.29,25.77
24,5,1981,23.56,10.15,0,24.43
25,5,1981,23.32,10.41,0.03,25.64
26,5,1981,24.26,10.04,0,25.77
27,5,1981,23.83,9.7,0,26.22
28,5,1981,24.31,9.75,0,26.22
29,5,1981,23.87,10.97,5.9,23.23
30,5,1981,22.18,11.01,10.57,20.3
31,5,1981,20.56,10.05,0,19.44
1,6,1981,23.57,10.09,0,23.56
2,6,1981,23.06,10.52,0,22.6
3,6,1981,23.73,9.93,0,23.45
4,6,1981,24.19,10.47,0,25.02
5,6,1981,23.92,10.68,0,25.09
6,6,1981,22.99,10.74,0,23.02
7,6,1981,22.74,10.5,0,22.01
8,6,1981,23.12,9.74,0,24.34
9,6,1981,23.07,9.4,0,24.66
10,6,1981,22.7,9.77,0,21.87
11,6,1981,23.11,11.09,0,21.89
12,6,1981,24.08,10.55,0,23.52
13,6,1981,24.44,10.62,0,23.18
14,6,1981,23.4,10.13,0,22.59
15,6,1981,22.79,10.7,0,21.83
16,6,1981,23.04,10.33,0,21.6
17,6,1981,23.5,11.05,0,22.72
18,6,1981,23.95,10.62,0,23.87
19,6,1981,24.54,10.13,0,23.78
20,6,1981,22.95,10.5,0,20.95
21,6,1981,21.33,10.26,0,18.6
22,6,1981,20.74,9.91,0,20.03
23,6,1981,21.53,9.63,0,18.34
24,6,1981,22.44,10.24,0,21.68
25,6,1981,22.56,10.3,0,21.09
26,6,1981,21.7,10.09,0,20.76
27,6,1981,22.22,9.97,0,21.62
28,6,1981,23.37,10.88,0,21.86
29,6,1981,22.82,11.08,9.2,21.63
30,6,1981,22.7,10.72,0,21.73
1,7,1981,22.7,10.34,0,22.35
2,7,1981,22.84,10.84,0,20.39
3,7,1981,20.01,10.35,16.83,16.91
4,7,1981,19.02,10.1,26.31,16.56
5,7,1981,19.78,9.87,13.95,19.52
6,7,1981,20.86,9.21,19.42,21.83
7,7,1981,19.57,10.41,12.27,19.47
8,7,1981,18.57,10.04,8.84,18.79
9,7,1981,19.07,9.46,3.73,19.18
10,7,1981,17.84,9.4,19.6,17.95
11,7,1981,16.63,9.36,29.49,17.16
12,7,1981,16.11,10.05,15.89,16.26
13,7,1981,17.86,9.61,4.65,18.93
14,7,1981,19.43,8.79,3.92,21.88
15,7,1981,18.12,8.77,0,21.05
16,7,1981,18.71,9.47,8.27,17.46
17,7,1981,18.85,10.15,5.81,16.11
18,7,1981,19.54,9.26,14.23,20.22
19,7,1981,18.7,9.8,26.83,17.38
20,7,1981,17.2,10.13,22.7,16.17
21,7,1981,19.35,8.63,10.06,22.26
22,7,1981,18.96,8.96,7.83,20.32
23,7,1981,20.19,8.71,0,21.39
24,7,1981,18.82,8.82,9.26,20.44
25,7,1981,16.93,9.16,14.88,18.49
26,7,1981,16.18,9.41,11.84,18.18
27,7,1981,17.28,9.33,10.96,20.15
28,7,1981,18.1,8.87,5.77,21.1
29,7,1981,16.95,8.65,9.15,19.96
30,7,1981,15.99,8.78,10.53,17.13
31,7,1981,17.3,8.63,6.95,19.61
1,8,1981,16.86,8.84,7.04,19.77
2,8,1981,17.82,9.26,9.66,20.23
3,8,1981,18.86,9.75,6.43,21.2
4,8,1981,18.89,9.61,4.19,22.05
5,8,1981,17.71,9.39,9.2,19.2
6,8,1981,16.97,9.23,17.41,17.62
7,8,1981,17.75,8.86,13.77,18.44
8,8,1981,17.35,9.55,18.18,18.07
9,8,1981,16.85,9.52,6.31,19.4
10,8,1981,17.33,8.86,6.48,19.48
11,8,1981,17.93,9,14.37,21.27
12,8,1981,17.85,9.39,10.38,19.95
