day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.07,10.56,0,17.49
2,1,1981,18.85,10.6,0,16.93
3,1,1981,19.46,10.28,0,19.08
4,1,1981,19.45,10.7,3.62,17.49
5,1,1981,20,10.44,0,18.52
6,1,1981,19.72,10.74,0,18.3
7,1,1981,19.5,10.55,0,17.96
8,1,1981,21.04,10.42,0,22.77
9,1,1981,20.62,9.74,0,22.88
10,1,1981,20.75,10.17,0,20.85
11,1,1981,20.61,10.78,0,18.68
12,1,1981,19.95,11.28,0,17.31
13,1,1981,20,10.76,0,17.35
14,1,1981,20.17,11.22,0,18.28
15,1,1981,20.53,11.02,0,20.39
16,1,1981,20.85,10.85,0,19
17,1,1981,20.4,11.33,0,17.7
18,1,1981,20.7,10.88,2.81,18.83
19,1,1981,20.15,10.66,0.96,18.93
20,1,1981,21.03,10.54,0,19.9
21,1,1981,20.28,10.33,0,20.33
22,1,1981,18.99,10.99,0,16.7
23,1,1981,19.81,10.62,0,18.6
24,1,1981,20.17,10.68,0,20.81
25,1,1981,21.52,10.25,0,22.49
26,1,1981,21.21,10.34,0,21.44
27,1,1981,20.66,10.79,0,21.59
28,1,1981,21.4,10.53,0,22.51
29,1,1981,19.92,11.23,0,18.05
30,1,1981,20.4,11.01,0,20.44
31,1,1981,21.27,10.71,0,22.75
1,2,1981,21.53,10.04,0,24.57
2,2,1981,20.92,10,0,24.44
3,2,1981,21.9,10.13,0,24.41
4,2,1981,22.11,10.17,0,24.19
5,2,1981,21.6,10.36,0,22.67
6,2,1981,22.45,10.5,0,23.43
7,2,1981,21.87,10.47,0,22.55
8,2,1981,21.16,10.99,0,20
9,2,1981,20.65,11.01,6.84,19.01
10,2,1981,20.19,10.85,1.52,19.12
11,2,1981,20.83,11.49,0,18.38
12,2,1981,21.28,11.04,0.9,19.69
13,2,1981,21.38,10.43,0,22.91
14,2,1981,22.65,10.25,0,24.57
15,2,1981,22.08,10.41,0,23.48
16,2,1981,22.41,10.49,0,24.35
17,2,1981,22.11,10.47,0,23.96
18,2,1981,22.95,10.59,0,23.75
19,2,1981,22.45,10.86,0,22.96
20,2,1981,22.98,11.23,0,23.1
21,2,1981,23.81,11.13,0,24.36
22,2,1981,24.45,11.19,0,25.09
23,2,1981,23.73,11.14,0,24.16
24,2,1981,23.84,11.26,0,22.6
25,2,1981,24.5,11.44,0,24.14
26,2,1981,24.19,11.25,0,23.82
27,2,1981,21.56,12.07,0,18.27
28,2,1981,21.13,11.58,0.35,18.72
1,3,1981,21.49,11.15,4.6,19.08
2,3,1981,21.01,11.09,0,21.15
3,3,1981,22.5,11.14,0,23.9
4,3,1981,22.7,10.74,0,23.45
5,3,1981,22.55,10.93,0,23.71
6,3,1981,23.11,10.78,0,24.53
7,3,1981,23.01,10.86,0,23.73
8,3,1981,21.95,11.23,1.71,20.13
9,3,1981,20.13,11.66,1.69,17.26
10,3,1981,21,11.79,2.03,20.32
11,3,1981,21.8,11.93,1.21,19.35
12,3,1981,21.05,11.67,5.93,18.66
13,3,1981,20.79,11.85,8.46,17.07
14,3,1981,21.3,11.32,0,19.61
15,3,1981,21.34,11.76,3.03,20.92
16,3,1981,22.5,11.49,5.81,25.88
17,3,1981,22.94,11.31,0,26.63
18,3,1981,22.83,11.23,0.13,24.72
19,3,1981,22.22,11.85,0,22.29
20,3,1981,21.15,11.42,0,18.34
21,3,1981,21.27,11.47,0,21.62
22,3,1981,21.46,11.08,9.73,20.97
23,3,1981,21.66,11.19,0,20.3
24,3,1981,21.78,11.24,0,21.77
25,3,1981,21.52,11.26,2.08,20.48
26,3,1981,18.82,11.73,16.19,15.5
27,3,1981,19.29,11.54,6.63,17.24
28,3,1981,19.84,11.75,0.27,16.51
29,3,1981,16.95,11.62,0,14.28
30,3,1981,19.13,11.12,4.93,19.58
31,3,1981,20.68,11.07,0.93,21.81
1,4,1981,22.05,11.44,0,25.59
2,4,1981,21.69,10.73,0,24.48
3,4,1981,22.82,10.61,0.44,26.27
4,4,1981,21.75,10.76,0,23.06
5,4,1981,21.07,11.1,6.55,21.13
6,4,1981,21.74,11.96,0,20.4
7,4,1981,21.82,12.37,0,19.93
8,4,1981,22.07,11.74,0,21.16
9,4,1981,22.38,11.44,0,23.32
10,4,1981,22.69,11.82,0,21.98
11,4,1981,22.27,11.82,0,23.98
12,4,1981,22.23,11.62,1.43,21.45
13,4,1981,21.98,11.14,5.69,20.57
14,4,1981,22.91,12.02,0,21.34
15,4,1981,24.47,11.27,0.1,25
16,4,1981,23.87,11.59,0,26.64
17,4,1981,23.89,11.14,0,24.14
18,4,1981,22.71,11.6,14.33,19.25
19,4,1981,21.31,11.22,0,20.06
20,4,1981,21,11.74,0,20.86
21,4,1981,21.1,11.31,6.64,19.97
22,4,1981,19.44,11.48,9,16.3
23,4,1981,19.74,11.27,13.34,19.56
24,4,1981,19.44,11.27,16.08,20.18
25,4,1981,20.14,11.18,25.58,22.69
26,4,1981,20.78,11.15,0,22.91
27,4,1981,21.59,11.17,0,24.88
28,4,1981,22.71,11,0,26.98
29,4,1981,22.84,10.83,0,26.08
30,4,1981,22.28,11,0,25.26
1,5,1981,21.97,10.96,0,24.55
2,5,1981,23.1,11.07,0,26.67
3,5,1981,22.86,11.12,0,25.45
4,5,1981,22.95,10.99,0,26.1
5,5,1981,23.58,10.88,0,27.45
6,5,1981,23.83,10.92,0,27.38
7,5,1981,22.76,11.22,0,24.82
8,5,1981,20.61,11.42,18.97,17.92
9,5,1981,22.28,11.63,0,23.16
10,5,1981,22.05,11.27,0,22.79
11,5,1981,22.8,11.54,0,22.65
12,5,1981,21.67,11.7,0,19.76
13,5,1981,20.56,11.54,4.14,18.65
14,5,1981,20.16,11.45,0,19.41
15,5,1981,21.28,11.44,0,22.54
16,5,1981,21.09,11.31,0,22.6
17,5,1981,21.58,11.05,0,22.56
18,5,1981,19.87,10.98,0,18.48
19,5,1981,21.69,10.89,0,23.16
20,5,1981,21.4,11.08,0,21.46
21,5,1981,20.3,11.08,0,20.88
22,5,1981,20.5,11.46,0,20.65
23,5,1981,21.9,11.1,0,22.27
24,5,1981,20.25,11.06,2.51,19.95
25,5,1981,21.51,11.24,20.13,22.25
26,5,1981,22.16,11.37,0,23.48
27,5,1981,23.15,11.04,0,25.67
28,5,1981,21.62,10.81,0,23.19
29,5,1981,21.05,10.72,0,21.67
30,5,1981,20.69,10.99,2.27,20.72
31,5,1981,21.71,10.8,0,21.93
1,6,1981,23.14,11.2,0,24.69
2,6,1981,21.75,11.36,0,21.92
3,6,1981,20.6,10.98,2.44,21.16
4,6,1981,21.98,11.3,0,23.76
5,6,1981,21.73,11.25,0,23.35
6,6,1981,20.14,11.23,5.29,19.62
7,6,1981,21.03,10.7,0,22.21
8,6,1981,21.77,10.74,0,23.34
9,6,1981,22.06,10.79,0,22.71
10,6,1981,21.51,10.77,0,21.28
11,6,1981,21.23,11.14,0,21.32
12,6,1981,21.55,10.63,0,22.6
13,6,1981,20.64,10.95,0,19.83
14,6,1981,19.07,10.89,0,18.94
15,6,1981,19.44,10.55,0,18.2
16,6,1981,19.59,10.54,0,19.61
17,6,1981,20.37,10.4,0,20.6
18,6,1981,21.85,10.66,0,23.61
19,6,1981,21.61,10.58,0,21.59
20,6,1981,19.77,10.85,17.24,19.08
21,6,1981,19.92,10.76,9.28,18.87
22,6,1981,19.17,10.76,17.98,18.6
23,6,1981,19.84,10.76,9.85,18.43
24,6,1981,20.05,10.76,9.9,19.05
