day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.05,12.51,0,19.91
2,1,1981,23.78,12.78,0,19.81
3,1,1981,25.1,12.27,0,21.3
4,1,1981,24.51,13.11,4.21,19.92
5,1,1981,25.32,12.76,0,20.03
6,1,1981,24.72,13.01,0,19.84
7,1,1981,24.52,13.14,0,20.04
8,1,1981,25.25,12.24,0,22.6
9,1,1981,24.81,10.35,0,22.74
10,1,1981,25.42,10.88,0,22.26
11,1,1981,25.33,12.39,0,20.78
12,1,1981,24.85,13.21,0,18.98
13,1,1981,24.84,12.9,0,20.3
14,1,1981,24.99,13.05,0,19.71
15,1,1981,25.33,13.42,0,20.62
16,1,1981,25.39,13.7,0,20.43
17,1,1981,25.82,13.86,0,21.21
18,1,1981,25.95,13.65,3.74,21.45
19,1,1981,25.83,13.16,0,21.81
20,1,1981,26.39,13.3,0,22.3
21,1,1981,25.39,12.93,0,21.33
22,1,1981,25.17,14.04,0,20.52
23,1,1981,25.89,13.38,0,21.63
24,1,1981,25.32,13.8,0,21.54
25,1,1981,26.67,12.38,0,22.88
26,1,1981,26.65,12.73,0,22.76
27,1,1981,25.87,13.3,0,22.38
28,1,1981,26.37,12.82,0,23.09
29,1,1981,25.61,13.65,0,21.98
30,1,1981,25.25,14.02,0,21.16
31,1,1981,25.84,12.73,0,22.99
1,2,1981,26.14,10.73,0,24.33
2,2,1981,26.07,11.15,0,24.09
3,2,1981,26.94,11.93,0,24.14
4,2,1981,26.55,11.56,0,24.02
5,2,1981,26.5,11.56,0,23.56
6,2,1981,26.99,11.92,0,23.62
7,2,1981,26.02,11.51,0,23.71
8,2,1981,26.1,12.48,0,22.24
9,2,1981,25.48,13.35,5.4,21.38
10,2,1981,25.32,14.35,1.02,21.82
11,2,1981,25.49,15.1,0,20.99
12,2,1981,25.52,13.15,0,22.1
13,2,1981,25.99,12.18,0,23.37
14,2,1981,26.36,12.05,0,23.94
15,2,1981,25.99,11.88,0,24.1
16,2,1981,26.7,11.9,0,24.28
17,2,1981,26.3,11.7,0,24.44
18,2,1981,26.95,12.42,0,23.8
19,2,1981,26.12,13.03,0,21.74
20,2,1981,26.7,14.07,0,22.77
21,2,1981,28.11,14.13,0,23.86
22,2,1981,28.58,14.61,0,24.61
23,2,1981,28.46,13.74,0,24.25
24,2,1981,28.24,14.39,0,23.51
25,2,1981,28.96,14.41,0,24.1
26,2,1981,27.96,13.88,0,24.3
27,2,1981,27.02,15.71,0,22.45
28,2,1981,26.09,15.22,1.39,21.27
1,3,1981,27.41,14.83,0.51,22.35
2,3,1981,27.02,14.92,0,22.85
3,3,1981,26.8,15.16,0,23.33
4,3,1981,26.18,13.6,0,22.68
5,3,1981,26.75,13.97,0,23.16
6,3,1981,27.11,13.77,0,24.15
7,3,1981,27.49,13.05,0,24.26
8,3,1981,27.17,14.46,0,23.41
9,3,1981,25.78,15.33,0,20.77
10,3,1981,26.13,16.31,2.57,20.78
11,3,1981,26.89,16.66,0,21.5
12,3,1981,25.56,15.23,4.72,18.84
13,3,1981,24.51,15.46,5.75,19.54
14,3,1981,24.34,14.36,0,21.17
15,3,1981,25.67,16.26,3.7,22.79
16,3,1981,26.33,13.74,4.94,24.86
17,3,1981,26.39,12.44,0,25.55
18,3,1981,26.78,12.61,0,25.08
19,3,1981,26.76,13.69,0,23.38
20,3,1981,26.53,14.76,0,20.98
21,3,1981,26.14,14.28,0,21.92
22,3,1981,25.53,13.5,7.39,22.41
23,3,1981,25.57,14.11,3.24,22.38
24,3,1981,25.96,14.15,0,21.41
25,3,1981,25.42,14.61,0,20.51
26,3,1981,23.34,14.46,11.83,18.56
27,3,1981,23.97,14.89,7.23,20.34
28,3,1981,23.85,14.54,0,20.08
29,3,1981,20.81,15.5,0,16.01
30,3,1981,23.97,14.17,3.77,21.09
31,3,1981,25.11,14.29,0,23.15
1,4,1981,25.71,13.05,0,25.35
2,4,1981,25.88,11.79,0,25.31
3,4,1981,26.6,11.88,0,24.78
4,4,1981,25.8,13.6,0,22.03
5,4,1981,26.6,14.37,4.14,22.34
6,4,1981,25.63,15.95,0,21.12
7,4,1981,26.41,16.23,0,20.48
8,4,1981,27.02,14.94,0,22.82
9,4,1981,27.77,14.93,0,23.44
10,4,1981,27.95,15.69,0,23.29
11,4,1981,28.67,14.95,0,23.22
12,4,1981,27.61,15,4,22.35
13,4,1981,26.28,14.83,2.2,20.03
14,4,1981,27.95,15.78,0,23.43
15,4,1981,28.62,15.11,0,24.8
16,4,1981,29.56,15.23,0,25.08
17,4,1981,29.36,14.23,2.5,24.57
18,4,1981,27.96,16.2,8.18,21.7
19,4,1981,27.07,15.02,0,22.49
20,4,1981,26.5,15.48,0,22.83
21,4,1981,25.77,14.4,0,22.56
22,4,1981,22.83,14.6,11.79,19.81
23,4,1981,23.41,14.4,20.03,20.72
24,4,1981,23.51,14.05,5.09,22.27
25,4,1981,23.92,13.68,19.25,22.26
26,4,1981,24.61,12.62,0,23.72
27,4,1981,25.27,13.41,0,22.72
28,4,1981,26.54,13.69,0,24.66
29,4,1981,26.45,13.42,0,24.62
30,4,1981,26.63,13.8,0,24.16
1,5,1981,25.67,13.91,0,23.21
2,5,1981,26.66,13.59,0,23.45
3,5,1981,26.47,13.97,0,22.68
4,5,1981,26.82,13.92,0,23.93
5,5,1981,27.71,13.56,0,24.64
6,5,1981,28.04,13.82,0,24.84
7,5,1981,26.5,14.56,0,23.58
8,5,1981,24.69,14.86,15.82,20.34
9,5,1981,26.14,14.6,0,22.57
10,5,1981,25.19,14.47,0,21.4
11,5,1981,26.05,14.99,0,20.2
12,5,1981,24.18,14.69,2.63,18.4
13,5,1981,24.67,14.24,15.44,20.96
14,5,1981,24.18,13.99,1.63,20.97
15,5,1981,23.81,14.72,0,20.77
16,5,1981,24.18,13.7,0,21.83
17,5,1981,24.22,13.67,9.12,20.74
18,5,1981,23.82,13.69,0,20.11
19,5,1981,24.43,13.21,0,21.62
20,5,1981,23.75,13.39,0,20.56
21,5,1981,23.35,13.52,0,19.95
22,5,1981,23.27,13.45,0,19.31
23,5,1981,23.95,12.92,0,20.94
24,5,1981,23.07,13.72,7.58,18.83
25,5,1981,23.43,13.43,9.22,20.79
26,5,1981,23.36,13.66,0,20.45
27,5,1981,24.74,13.08,0,22.34
28,5,1981,23.82,13.05,0,20.64
29,5,1981,24.06,12.75,0,20.3
30,5,1981,23.95,12.96,9.47,19.09
31,5,1981,23.67,12.86,0,19.73
1,6,1981,24.75,13.39,0,21.12
2,6,1981,24.28,13.55,0,20.11
3,6,1981,22.1,13.44,2.97,17.99
4,6,1981,23.44,13.3,0,20.68
5,6,1981,22.88,13.57,0,20.35
6,6,1981,22.76,14.21,11.82,16.79
7,6,1981,23.91,12.72,0,20.33
8,6,1981,24.02,12.71,0,20.56
9,6,1981,23.39,13.02,0,19.99
10,6,1981,23.24,12.53,0,19.36
11,6,1981,23.28,13.9,0,19.47
12,6,1981,24.21,11.81,0,20.3
13,6,1981,22,13.21,0,17.75
14,6,1981,21.84,12.96,0,16.78
15,6,1981,21.71,12.36,0,17.67
16,6,1981,21.96,12.72,0,17.97
17,6,1981,22.62,12.6,0,18.08
18,6,1981,23.52,12.28,0,19.9
19,6,1981,23.45,12.98,0,19.08
20,6,1981,21.99,12.74,20.43,17.74
21,6,1981,22.55,13.39,9.57,18.38
22,6,1981,22.18,13.41,13.31,19.04
23,6,1981,22.69,13.37,8.38,18.09
24,6,1981,22.93,12.97,11.74,16.84
25,6,1981,21.66,13.42,7.56,17.84
26,6,1981,21.43,13.38,2.28,17.3
27,6,1981,21.6,12.56,0,17.89
28,6,1981,21.61,12.36,4.65,17.48
29,6,1981,21.86,13.3,8.47,17.01
30,6,1981,21.74,11.87,4.64,17.5
1,7,1981,21.31,11.65,8.71,15.59
2,7,1981,20.9,13.39,9.09,16.13
3,7,1981,21.24,13.46,19.46,15.83
4,7,1981,20.51,13.83,8.15,14.21
5,7,1981,21.45,13.48,5.83,18.06
6,7,1981,21.32,12.81,5.8,17.26
7,7,1981,20.71,13,19.71,16.81
8,7,1981,19.86,12.99,14.65,14.25
9,7,1981,20.38,13.16,11.78,15.3
10,7,1981,20.26,12.63,9.12,16.37
11,7,1981,18.62,12.5,1.21,11.99
12,7,1981,21.14,11.27,13.67,18.16
13,7,1981,20.9,12.36,6.9,18.18
14,7,1981,21.65,11.97,9.29,19.03
15,7,1981,21.01,12.73,6.72,18.15
16,7,1981,19.42,12.58,20.2,13.64
17,7,1981,18.63,13.09,11.28,12.08
18,7,1981,20.39,12.22,17.01,16.2
19,7,1981,19.7,12.86,10.88,14.77
20,7,1981,19.79,13.09,17.44,13.67
21,7,1981,20.11,12.03,15.59,16.6
22,7,1981,21.78,13.59,15.02,16.89
23,7,1981,21.8,12.48,25.73,18.17
24,7,1981,21.3,13.77,13.32,17.36
25,7,1981,18.81,13.12,15.87,12.34
26,7,1981,19.72,13.06,10.89,15.7
27,7,1981,21.01,13.37,10.32,19.31
28,7,1981,20.93,12.33,9.22,17.58
29,7,1981,20.74,12.37,3.36,16.71
30,7,1981,19.4,12.95,12.62,14.25
31,7,1981,21.11,12.93,21.32,18.27
1,8,1981,20.03,12.4,8.71,15.04
2,8,1981,21.55,12.53,9.99,18.84
3,8,1981,22.01,12.24,6.17,18.45
4,8,1981,21.15,12.56,7.37,16.06
5,8,1981,20.47,13.33,16.17,15.13
6,8,1981,20.68,12.97,10.42,16.03
7,8,1981,21.85,13.5,2.15,17.6
8,8,1981,18.66,12.88,2.8,10.98
9,8,1981,20.79,12.4,4.31,17.15
10,8,1981,21.27,11.99,5.36,18.12
11,8,1981,21.69,12.96,13.83,18.31
12,8,1981,21.3,13,19.83,18.13
13,8,1981,21.11,12.66,9.12,17.12
14,8,1981,20.98,13.61,7.67,17.47
15,8,1981,20.87,13.24,4.22,16.84
16,8,1981,21.53,12.98,5.18,18.18
17,8,1981,20.57,11.33,9.04,17.98
18,8,1981,20.67,12.6,15.27,14.98
19,8,1981,21.11,12.39,11.71,16.96
20,8,1981,20.59,11.51,0,17.54
21,8,1981,19.54,12.94,9.2,15.38
22,8,1981,19.13,12.63,9.76,15.11
23,8,1981,20.74,10.71,10.82,18.81
24,8,1981,20.38,11.45,10.73,17.35
25,8,1981,20.7,12.63,5.47,18.71
26,8,1981,21.51,11.05,3.49,20.25
27,8,1981,21.39,13.11,2.84,17.94
28,8,1981,21.95,11.76,9.64,20.59
29,8,1981,21.16,10.67,15.05,18.58
30,8,1981,20.67,11.42,11.87,17.19
31,8,1981,20.46,11.47,12.64,17.33
1,9,1981,20.37,11.71,10.16,15.25
2,9,1981,21.53,10.93,2.02,20.82
3,9,1981,21.44,11.01,0,20.67
4,9,1981,21.06,13.01,3.66,17.34
5,9,1981,20.65,12.62,2.13,18.5
6,9,1981,21.29,12.74,8.59,19.86
7,9,1981,20.47,11.25,0,16.43
8,9,1981,21.21,12.82,6.59,18.27
9,9,1981,19.55,10.62,0.3,14.74
10,9,1981,21.25,10.38,0.69,19.64
11,9,1981,21.37,11.55,6.43,20.1
12,9,1981,20.17,12.67,7.31,18.56
13,9,1981,21.21,11.84,5.66,18.72
14,9,1981,21.41,11.8,8.63,19.64
15,9,1981,21.67,11.94,6.12,19.24
16,9,1981,21.19,12.84,10.75,18.74
17,9,1981,21.61,11.85,13.36,18.74
18,9,1981,20.85,12.76,16.75,17.78
19,9,1981,20.57,12.46,13.3,17
20,9,1981,21.09,12.64,0,18.09
21,9,1981,22.44,11.21,1.25,20.18
22,9,1981,21.5,11.82,4.98,18.94
23,9,1981,22.57,12.81,2.76,19.74
24,9,1981,21.79,12.8,6.92,18.81
25,9,1981,19.99,12.87,8.41,13.94
26,9,1981,21.54,11.63,26.16,19.1
27,9,1981,21.96,10.84,3.91,20.04
28,9,1981,22.14,10.32,0,20.98
29,9,1981,22.17,11.44,0,21.03
30,9,1981,22.38,11.12,0,21.11
1,10,1981,22.63,11.17,2.64,20.59
2,10,1981,21.75,12.37,8.78,19
3,10,1981,22.77,12.55,0,20.81
4,10,1981,21.39,12.6,0,17.41
5,10,1981,22.39,12.14,10.31,20.19
6,10,1981,22.11,11.75,28.58,20.3
7,10,1981,23.02,11.28,0,21.34
8,10,1981,23.23,12.04,0,20.98
9,10,1981,20.69,12.63,0,18.01
10,10,1981,22.11,11.4,0,19.8
11,10,1981,22.19,12.11,0,19.97
12,10,1981,23.02,10.5,0,22.05
13,10,1981,23.24,10.4,0,22.14
14,10,1981,23.6,10.3,0,22.68
15,10,1981,23.27,10.97,0,22.37
16,10,1981,23.6,11.11,0,22.72
17,10,1981,24.23,11.29,0,23.47
18,10,1981,24.29,10.67,0,23.76
19,10,1981,24.03,10.99,0,23.88
20,10,1981,23.73,9.94,0,23.83
21,10,1981,23.07,9.92,0,22.92
22,10,1981,23.38,10.8,0,22.28
23,10,1981,22.49,10.55,0,21.13
24,10,1981,22.58,11.6,0,20.47
25,10,1981,23.61,10.68,0,21.66
26,10,1981,23.41,10.43,0,22.48
27,10,1981,23.8,10.18,0,23.44
28,10,1981,23.58,10.53,0,22.16
29,10,1981,23.99,10.56,0,22.35
30,10,1981,24.25,10.83,3.04,22.48
31,10,1981,23.16,11.22,0,20.94
