day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.05,13.02,0,19.98
2,1,1981,24.75,13.34,0,19.75
3,1,1981,25.63,12.8,0,21.12
4,1,1981,25.4,13.91,4.21,19.36
5,1,1981,25.91,12.76,0,19.47
6,1,1981,25.62,13.22,0,19.74
7,1,1981,25,13.08,0,19.5
8,1,1981,26.67,12.48,0,23.01
9,1,1981,26.01,10.38,0,23.25
10,1,1981,26.59,11.22,0,22.35
11,1,1981,26.52,12.73,0,20.33
12,1,1981,25.96,13.93,0,18.14
13,1,1981,25.84,13.12,0,19.68
14,1,1981,26.04,13.62,0,19.17
15,1,1981,26.24,13.49,0,20.97
16,1,1981,26.13,13.33,0,19.97
17,1,1981,26.89,14.43,0,20.29
18,1,1981,27.1,13.5,3.74,21.69
19,1,1981,26.59,13.4,0,21.39
20,1,1981,27.12,13.5,0,22.01
21,1,1981,26.14,12.67,0,21.5
22,1,1981,25.81,14.18,0,20.04
23,1,1981,26.39,13.12,0,21.2
24,1,1981,25.61,13.55,0,21.33
25,1,1981,27.59,12.16,0,22.78
26,1,1981,27.73,12.44,0,22.59
27,1,1981,26.39,13.26,0,22.2
28,1,1981,27.36,12.79,0,23.29
29,1,1981,26.17,13.64,0,21.07
30,1,1981,25.9,14.21,0,21.04
31,1,1981,26.88,12.97,0,23.1
1,2,1981,27.48,10.99,0,24.84
2,2,1981,27.34,11.39,0,24.66
3,2,1981,28.26,12.04,0,24.71
4,2,1981,27.91,11.53,0,24.49
5,2,1981,27.82,11.73,0,23.55
6,2,1981,28.77,12.16,0,23.69
7,2,1981,27.26,11.98,0,23.63
8,2,1981,27.28,13.15,0,22
9,2,1981,26.7,13.59,5.4,21.45
10,2,1981,26.33,13.83,1.02,21.66
11,2,1981,26.58,15.1,0,20.17
12,2,1981,26.96,13.27,0,21.53
13,2,1981,27.18,12.56,0,23.49
14,2,1981,27.71,12.26,0,24.47
15,2,1981,27.41,11.69,0,24.47
16,2,1981,28.38,12.2,0,24.81
17,2,1981,27.65,11.68,0,24.88
18,2,1981,28.52,12.78,0,24.11
19,2,1981,27.53,12.78,0,22.56
20,2,1981,28.36,14.76,0,23.59
21,2,1981,30.07,14.15,0,24.39
22,2,1981,30.21,14.25,0,25.07
23,2,1981,29.66,14.19,0,24.25
24,2,1981,29.35,14.2,0,23.36
25,2,1981,30.11,14.53,0,24.03
26,2,1981,29.63,14.18,0,24.39
27,2,1981,27.68,17.15,0,21.81
28,2,1981,27.23,15.04,1.39,21.39
1,3,1981,28.27,14.69,0.51,21.48
2,3,1981,27.9,13.93,0,22.73
3,3,1981,28.79,14.59,0,24.22
4,3,1981,28,13.15,0,23.87
5,3,1981,28.05,14.99,0,23.88
6,3,1981,28.68,13.19,0,25.17
7,3,1981,28.86,12.98,0,25
8,3,1981,28.2,15.14,0,23.54
9,3,1981,27.03,16.19,0,20.28
10,3,1981,27.45,16.42,2.57,21.17
11,3,1981,28.2,16.9,0,21.22
12,3,1981,26.74,15.27,4.72,18.97
13,3,1981,25.84,15.86,5.75,18.62
14,3,1981,25.84,14,0,21.22
15,3,1981,26.62,16.89,3.7,22.57
16,3,1981,27.69,13.45,4.94,25.94
17,3,1981,27.67,12.73,0,26.38
18,3,1981,28.12,13.18,0,25.28
19,3,1981,27.87,14.33,0,22.93
20,3,1981,27.31,14.4,0,19.07
21,3,1981,27.03,14.08,0,21.27
22,3,1981,27.12,13.13,7.39,21.69
23,3,1981,27.43,13.7,3.24,21.56
24,3,1981,27.56,14.62,0,21.82
25,3,1981,27.2,15.26,0,20.79
26,3,1981,24.54,15.09,11.83,16.74
27,3,1981,25.35,14.64,7.23,20.05
28,3,1981,25.39,15.07,0,19.65
29,3,1981,22.53,15.6,0,16.25
30,3,1981,25.58,13.97,3.77,21.99
31,3,1981,26.57,14.19,0,23.28
1,4,1981,27.21,13.15,0,26.28
2,4,1981,27.24,12.29,0,25.97
3,4,1981,28.24,12.2,0,26.02
4,4,1981,27.33,13.15,0,23.34
5,4,1981,27.46,14.13,4.14,22.53
6,4,1981,27.03,16.83,0,21.25
7,4,1981,27.26,16.95,0,20.76
8,4,1981,28.06,15.2,0,22.53
9,4,1981,28.65,15.3,0,24.2
10,4,1981,28.96,15.94,0,23.08
11,4,1981,28.85,15.08,0,23.45
12,4,1981,28.28,14.98,4,22.3
13,4,1981,27.71,14.65,2.2,19.38
14,4,1981,29.11,16.42,0,23.66
15,4,1981,30.31,14.78,0,25.21
16,4,1981,31.02,15.13,0,25.79
17,4,1981,30.78,14.45,2.5,25.07
18,4,1981,28.98,16.72,8.18,20.21
19,4,1981,27.91,14.66,0,21.42
20,4,1981,27.18,15.25,0,22.7
21,4,1981,26.64,14.42,0,21.78
22,4,1981,24.1,15.03,11.79,18.82
23,4,1981,24.78,14.62,20.03,20.74
24,4,1981,24.82,14.33,5.09,22.14
25,4,1981,25.16,13.93,19.25,23.31
26,4,1981,25.61,12.78,0,24
27,4,1981,27.42,13.98,0,23.62
28,4,1981,28.36,13.98,0,25.99
29,4,1981,28.21,13.65,0,25.48
30,4,1981,27.58,14.15,0,24.76
1,5,1981,26.86,13.96,0,23.93
2,5,1981,28.44,13.84,0,24.68
3,5,1981,28.27,14.79,0,23.79
4,5,1981,28.6,14.35,0,25.18
5,5,1981,29.53,13.98,0,26.18
6,5,1981,29.71,13.74,0,26.14
7,5,1981,27.85,14.83,0,24.32
8,5,1981,25.69,15.73,15.82,18.9
9,5,1981,26.88,15.4,0,22.56
10,5,1981,26.7,14.7,0,21.25
11,5,1981,27.93,15.66,0,20.98
12,5,1981,25.6,15.82,2.63,18.26
13,5,1981,25.41,15.63,15.44,20.13
14,5,1981,25.52,14.62,1.63,21.33
15,5,1981,24.91,15.06,0,20.61
16,5,1981,25.38,14.16,0,21.86
17,5,1981,25.06,13.72,9.12,21.18
18,5,1981,24.74,13.94,0,19.34
19,5,1981,25.3,13.42,0,22.14
20,5,1981,24.61,13.54,0,21.02
21,5,1981,24.23,14.04,0,19.86
22,5,1981,24.42,13.77,0,19.51
23,5,1981,25.24,13.53,0,21.12
24,5,1981,24.58,13.91,7.58,18.97
25,5,1981,25.22,14.21,9.22,21.24
26,5,1981,24.96,14.25,0,21.4
27,5,1981,26.99,13.79,0,23.84
28,5,1981,25.19,13.58,0,21.65
29,5,1981,25.41,13.25,0,21.05
30,5,1981,25.3,14.1,9.47,19.28
31,5,1981,25.72,13.84,0,20.21
1,6,1981,27.06,14.12,0,22.63
2,6,1981,25.86,14.44,0,21.29
3,6,1981,23.46,14.37,2.97,18.18
4,6,1981,25.52,13.6,0,21.96
5,6,1981,24.76,14.1,0,21.6
6,6,1981,23.62,14.9,11.82,17.39
7,6,1981,25.05,13.24,0,21.22
8,6,1981,25.66,13.59,0,22.23
9,6,1981,25.09,13.87,0,21.29
10,6,1981,24.98,13.73,0,19.15
11,6,1981,24.75,14.1,0,20.21
12,6,1981,25.8,13,0,21.51
13,6,1981,23.3,14.16,0,18.11
14,6,1981,22.74,13.68,0,16.83
15,6,1981,22.92,12.6,0,17.31
16,6,1981,22.77,13.31,0,18.33
17,6,1981,23.66,12.75,0,19.31
18,6,1981,25.41,13.04,0,21.68
19,6,1981,24.51,13.65,0,19.56
20,6,1981,23.24,13.65,20.43,17.68
21,6,1981,23.71,13.96,9.57,18.76
22,6,1981,23.08,13.59,13.31,18.99
23,6,1981,24.12,13.59,8.38,19.44
24,6,1981,24.45,13.65,11.74,17.81
25,6,1981,22.8,13.5,7.56,18.04
26,6,1981,22.79,13.69,2.28,18.18
27,6,1981,22.97,13.36,0,18.66
28,6,1981,22.61,13.05,4.65,18.07
29,6,1981,22.99,13.72,8.47,17.55
30,6,1981,23.17,12.45,4.64,17.99
1,7,1981,22.27,12.22,8.71,16.75
2,7,1981,22.42,14.02,9.09,16.53
3,7,1981,22.44,13.82,19.46,16.58
4,7,1981,21.75,14.27,8.15,15.42
5,7,1981,22.54,14.08,5.83,18.65
6,7,1981,21.84,13.54,5.8,17.28
7,7,1981,21.35,13.7,19.71,17.11
8,7,1981,20.83,13.17,14.65,16.15
9,7,1981,22.16,13.65,11.78,17.88
10,7,1981,20.88,13.49,9.12,16.27
11,7,1981,19.72,13.18,1.21,14.76
12,7,1981,22.23,12.01,13.67,18.28
13,7,1981,22.08,12.98,6.9,18.62
14,7,1981,23.13,12.47,9.29,20.24
15,7,1981,22,13.21,6.72,18.77
16,7,1981,20.67,12.65,20.2,14.82
17,7,1981,20.11,13.92,11.28,14.3
18,7,1981,20.98,12.8,17.01,16.93
19,7,1981,20.74,13.93,10.88,16.18
20,7,1981,20.53,13.98,17.44,14.8
21,7,1981,21.74,12.37,15.59,16.91
22,7,1981,23.97,13.99,15.02,19.13
23,7,1981,23.13,13.17,25.73,19.01
24,7,1981,22.54,14.45,13.32,17.59
25,7,1981,19.84,13.97,15.87,12.92
26,7,1981,20.71,13.88,10.89,16.59
27,7,1981,22.31,14.1,10.32,20.37
28,7,1981,22.12,12.85,9.22,17.81
29,7,1981,22.38,13.45,3.36,17.73
30,7,1981,20.96,13.64,12.62,15.78
31,7,1981,22.54,13.9,21.32,19
1,8,1981,21.48,13.45,8.71,16.82
2,8,1981,23.01,13.17,9.99,19.52
3,8,1981,23.41,12.98,6.17,19.48
4,8,1981,22.03,12.91,7.37,17.16
5,8,1981,21.96,14.36,16.17,16.39
6,8,1981,21.9,13.35,10.42,16.61
7,8,1981,23.26,13.79,2.15,18.74
8,8,1981,20.16,14.17,2.8,13.55
9,8,1981,21.7,13.68,4.31,17.48
10,8,1981,22.47,13.42,5.36,19.11
11,8,1981,23.06,13.09,13.83,19.31
12,8,1981,22.82,13.54,19.83,18.46
13,8,1981,22.13,12.8,9.12,18.16
14,8,1981,21.77,14.43,7.67,17.16
15,8,1981,22.38,13.97,4.22,18.15
16,8,1981,23.08,13.32,5.18,19.54
17,8,1981,21.49,11.6,9.04,18.75
18,8,1981,21.95,13.29,15.27,15.8
19,8,1981,21.9,13,11.71,17.15
20,8,1981,21.57,12.9,0,17.62
21,8,1981,20.02,13.88,9.2,15.2
22,8,1981,20.14,13.04,9.76,17.35
23,8,1981,21.93,11.73,10.82,19.1
24,8,1981,20.96,11.67,10.73,17.76
25,8,1981,21.83,12.92,5.47,18.99
26,8,1981,23.18,11.37,3.49,21.49
27,8,1981,23.02,13.24,2.84,20.39
28,8,1981,22.82,12.42,9.64,21.57
29,8,1981,22.07,11.55,15.05,19.58
30,8,1981,22.14,11.91,11.87,19.82
31,8,1981,21.55,11.86,12.64,18.57
1,9,1981,21.19,12.47,10.16,16.57
2,9,1981,22.45,11.62,2.02,22.25
3,9,1981,23,12.04,0,21.44
4,9,1981,21.83,13.38,3.66,18.32
5,9,1981,21.78,12.89,2.13,18.69
6,9,1981,22.26,13.39,8.59,21.3
7,9,1981,21.33,11.63,0,18.16
8,9,1981,22.1,13.38,6.59,18.89
9,9,1981,20.5,11.65,0.3,17.27
10,9,1981,22.04,10.78,0.69,20.13
11,9,1981,22.62,11.86,6.43,20.66
12,9,1981,20.63,13.06,7.31,18.57
13,9,1981,22.23,12.09,5.66,19.25
14,9,1981,22.29,12.35,8.63,20.5
15,9,1981,22.3,12.26,6.12,20.02
16,9,1981,22.05,13.63,10.75,18.98
17,9,1981,22.25,12.17,13.36,19.57
18,9,1981,21.84,13.33,16.75,18.09
19,9,1981,21.44,12.89,13.3,17.33
20,9,1981,21.82,13.05,0,19.14
21,9,1981,23.27,11.64,1.25,21.44
22,9,1981,22.81,12.26,4.98,19.95
23,9,1981,23.51,13.01,2.76,21.33
24,9,1981,22.57,12.91,6.92,19.8
25,9,1981,21.03,13.91,8.41,15.65
26,9,1981,23,11.57,26.16,20.69
27,9,1981,22.92,11.46,3.91,21.08
28,9,1981,22.75,11.17,0,21.27
29,9,1981,23.25,12.15,0,22.04
30,9,1981,23.02,11.98,0,21.44
1,10,1981,23.77,12.02,2.64,21.95
2,10,1981,22.83,12.81,8.78,20.36
3,10,1981,23.3,13.5,0,20.95
4,10,1981,22.25,12.91,0,17.65
5,10,1981,22.91,12.4,10.31,20.08
6,10,1981,22.84,12.67,28.58,20.17
7,10,1981,23.24,11.43,0,21.64
8,10,1981,23.68,12.02,0,21.32
9,10,1981,21.62,13.42,0,17.95
10,10,1981,23.58,11.96,0,20.79
11,10,1981,23.36,12.53,0,21.24
12,10,1981,23.88,11.06,0,22.82
13,10,1981,24.47,11.01,0,24.08
14,10,1981,24.95,10.87,0,24.55
15,10,1981,23.95,11.45,0,23.3
16,10,1981,24.4,11.68,0,23.44
17,10,1981,24.73,11.89,0,24.46
18,10,1981,25.17,11.54,0,24.9
19,10,1981,24.77,11.63,0,25.06
20,10,1981,24.61,10.86,0,25.18
21,10,1981,24.54,10.64,0,24.41
22,10,1981,23.94,11.31,0,22.64
23,10,1981,22.95,11.09,0,21.46
24,10,1981,23.25,11.63,0,21.33
25,10,1981,23.44,11.33,0,21.25
26,10,1981,24.22,11,0,22.79
27,10,1981,24.85,10.74,0,24.43
28,10,1981,24.64,10.91,0,22.65
29,10,1981,24.77,11.24,0,22.43
30,10,1981,24.26,11.48,3.04,22.74
31,10,1981,23.58,11.9,0,21.31
1,11,1981,23.54,12.28,0,20.96
2,11,1981,23.41,11.84,0,20.49
3,11,1981,22.88,11.9,0,20.94
4,11,1981,23.32,12.65,0,20.83
5,11,1981,24.07,12.97,0,21.42
6,11,1981,25.01,12.72,0,21.23
7,11,1981,25.91,11.74,0,23.44
8,11,1981,25.09,11.59,0,22.35
9,11,1981,25.26,10.5,0,23.08
10,11,1981,25.15,10.85,0,22.64
11,11,1981,25.13,11.28,0,22.16
12,11,1981,25.61,10.79,0,22.82
13,11,1981,26.12,11.07,0,23.55
14,11,1981,26.16,10.43,0,24.04
15,11,1981,25.8,9.95,0,24.04
16,11,1981,25.54,9.88,0,23.83
17,11,1981,25.58,11.55,0,22.72
18,11,1981,25.34,11.04,0,22.93
19,11,1981,25.32,12.65,0,21.74
20,11,1981,24.45,13.27,0,19.62
21,11,1981,24.38,13.29,0,20.27
22,11,1981,24.06,12.05,0.73,19.13
23,11,1981,23.33,12.77,8.91,18.52
24,11,1981,22.94,12.69,8.13,18.91
25,11,1981,24.32,12.43,0,21.2
26,11,1981,24.9,11.93,0,21.17
27,11,1981,25.37,12.83,0,21.39
28,11,1981,24.04,12.75,0,20.54
29,11,1981,25.17,12.93,0,21.22
30,11,1981,25.63,11.88,0,23.03
1,12,1981,25.72,10.36,0,23.25
2,12,1981,26.01,10.52,0,23.13
