day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.78,11.76,0,18.47
2,1,1981,23.13,12.02,0,19.79
3,1,1981,23.41,10.81,0,19.87
4,1,1981,22.77,12.73,0,17.58
5,1,1981,23.74,11.59,0,18.74
6,1,1981,23.5,11.56,0,18.45
7,1,1981,22.59,11.36,0,18.32
8,1,1981,24.43,11,0,21.49
9,1,1981,24.16,11.28,0,21.92
10,1,1981,24.35,12.53,0,21.37
11,1,1981,24.36,12.59,0,20.23
12,1,1981,24.04,11.73,0,18.94
13,1,1981,24.34,11.75,0,19.03
14,1,1981,24.15,11.41,0,19.13
15,1,1981,24.53,11.7,0,20.08
16,1,1981,24.4,12.77,0,19.09
17,1,1981,24.81,12.77,0,19.7
18,1,1981,24.78,12.03,1.17,20.58
19,1,1981,23.94,12.46,0.62,20.22
20,1,1981,24.86,11.52,0.88,20.87
21,1,1981,22.95,12.8,0,19.57
22,1,1981,22.61,12.3,0,18.59
23,1,1981,23.44,12.44,0,19.21
24,1,1981,22.79,12.05,0,20.16
25,1,1981,24.45,11.17,0,20.89
26,1,1981,24.31,12.19,0,21.44
27,1,1981,23.41,11.45,0,20.52
28,1,1981,24.77,11.18,0.22,21.6
29,1,1981,22.65,11.75,0,18.61
30,1,1981,23.64,11.75,0,19.55
31,1,1981,24.3,11.19,0.06,21.35
1,2,1981,24.91,10.78,0,23.57
2,2,1981,24.45,10.45,0,23.18
3,2,1981,25.45,11.15,0,23.55
4,2,1981,25.74,10.72,0,23.31
5,2,1981,25.59,10.82,0,22.25
6,2,1981,26.35,11.49,0,22.58
7,2,1981,24.91,12.44,0,21.07
8,2,1981,24.7,12.52,0,20.73
9,2,1981,22.95,12.23,5.52,19.52
10,2,1981,23.36,11.35,0.68,20.23
11,2,1981,24.54,11.75,0,20.96
12,2,1981,24.35,10.33,0,22.28
13,2,1981,24.76,10.36,0,23.2
14,2,1981,25.95,9.74,0,23.87
15,2,1981,24.86,10.66,0,23.96
16,2,1981,25.02,11.49,0,24.12
17,2,1981,25.29,11.62,0,24.22
18,2,1981,26.11,11.25,0,23.63
19,2,1981,26.86,11.86,0,23.01
20,2,1981,26.29,12.34,0,23.05
21,2,1981,27.21,12.69,0,23.13
22,2,1981,27.54,13.19,0,23.68
23,2,1981,26.93,13.44,0,22.75
24,2,1981,26.29,13.97,0,22.19
25,2,1981,26.61,14.28,0,22.41
26,2,1981,27.74,13.52,0,23.52
27,2,1981,25.07,14.7,1.43,20.94
28,2,1981,25.01,13.85,0,21.61
1,3,1981,25.62,13.07,0,21.64
2,3,1981,25.91,12.79,0,23
3,3,1981,25.91,12.43,0,24.35
4,3,1981,26.49,11.6,0,24.26
5,3,1981,25.92,12.28,0,24.35
6,3,1981,25.69,12.62,0,25.2
7,3,1981,27.46,12.41,0,25.02
8,3,1981,26.61,13.05,0,22.53
9,3,1981,25.4,14.78,0.8,19.9
10,3,1981,25.31,15.87,0,21.43
11,3,1981,26.17,14.11,0,21.97
12,3,1981,25.69,15.03,0,20.49
13,3,1981,24.74,15.47,5.75,19.54
14,3,1981,25.28,13.1,0,21.16
15,3,1981,25.81,13.91,0,24.01
16,3,1981,25.76,13.12,0,25.71
17,3,1981,26.28,12.95,0,25.89
18,3,1981,26.48,13.05,0,25.15
19,3,1981,25.78,13.9,0,22.73
20,3,1981,24.83,14.42,0,19.31
21,3,1981,24.41,14.26,0,21.13
22,3,1981,24.99,13.31,0,21.29
23,3,1981,25.91,12.72,0,22.88
24,3,1981,25.6,13.51,0,23.06
25,3,1981,23.59,13.84,2.48,18.99
26,3,1981,21.94,13.81,8.41,16.32
27,3,1981,23.7,13.26,1.6,20.44
28,3,1981,24.3,13.62,0,21.55
