day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.61,9.29,0,18.28
2,1,1981,20.45,8.9,0,18.34
3,1,1981,20.52,9.02,0,19.61
4,1,1981,20.36,9.52,4.38,17.44
5,1,1981,20.93,8.9,0,17.9
6,1,1981,20.9,9.71,0,18.15
7,1,1981,20.32,9.28,0,17.88
8,1,1981,21.96,8.18,0,22.29
9,1,1981,21.49,7.46,0,22.6
10,1,1981,22.07,8.43,0,21.37
11,1,1981,22.11,9.73,0,19
12,1,1981,21.42,10.4,0,16.67
13,1,1981,21.44,9.92,0,17.77
14,1,1981,21.59,10.07,0,17.64
15,1,1981,22.01,10.1,0,20.03
16,1,1981,21.8,9.52,0,18.45
17,1,1981,22.24,10.5,0,18.38
18,1,1981,22.65,9.32,3.84,20.42
19,1,1981,21.57,9.93,0,19.72
20,1,1981,22.32,9.45,0,20.58
21,1,1981,21.17,8.47,0,19.98
22,1,1981,20.37,10.06,0,17.93
23,1,1981,20.97,8.51,0,19.18
24,1,1981,20.56,8.94,0,20.06
25,1,1981,22.49,8.25,0,21.6
26,1,1981,22.32,9,0,21.42
27,1,1981,21,9.66,0,20.82
28,1,1981,22.49,9.2,0,22.23
29,1,1981,20.69,10.08,0,18.64
30,1,1981,21.18,9.88,0,19.67
31,1,1981,22.04,9.34,0,22.11
1,2,1981,22.61,8.48,0,24.35
2,2,1981,22.18,8.87,0,24.17
3,2,1981,23.29,8.28,0,24.25
4,2,1981,23.39,7.7,0,23.91
5,2,1981,23.05,8.27,0,22.41
6,2,1981,24.05,9.04,0,22.76
7,2,1981,22.67,9.59,0,22.18
8,2,1981,22.49,10.16,0,20.56
9,2,1981,21.65,9.87,7.96,19.79
10,2,1981,21.16,9.28,2.01,19.8
11,2,1981,22.18,10.14,0,18.73
12,2,1981,22.61,9.55,0,20.44
13,2,1981,22.7,9.33,0,22.83
14,2,1981,23.56,9.21,0,24.1
15,2,1981,23.13,8.4,0,23.98
16,2,1981,23.81,8.98,0,24.43
17,2,1981,23.38,8.85,0,24.44
18,2,1981,24.38,9.99,0,23.55
19,2,1981,24.05,9.79,0,22.36
20,2,1981,24.09,10.73,0,23.21
21,2,1981,25.57,10.32,0,23.93
22,2,1981,25.94,9.99,0,24.6
23,2,1981,24.77,10.79,0,23.37
24,2,1981,24.34,10.24,0,22.35
25,2,1981,25.13,10.91,0,23.11
26,2,1981,25.41,10.71,0,23.68
27,2,1981,22.66,12.89,0,20.05
28,2,1981,22.44,11.36,0,20.36
1,3,1981,23.43,10.53,2.16,20.01
2,3,1981,23.02,9.49,0,21.96
