day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.28,9.77,0,18.17
2,1,1981,20.35,9.87,0,18.84
3,1,1981,20.79,9.26,0,19.25
4,1,1981,20.17,10.68,4.21,16.63
5,1,1981,20.75,9.85,0,17.03
6,1,1981,20.53,9.58,0,17.38
7,1,1981,19.43,9.32,0,17.19
8,1,1981,21.4,8.95,0,21
9,1,1981,21.03,9.01,0,21.6
10,1,1981,21.69,10.18,0,20.47
11,1,1981,21.5,10.79,0,18.37
12,1,1981,21.04,9.88,0,16.41
13,1,1981,21.26,9.97,0,17.83
14,1,1981,21.07,9.58,0,17.2
15,1,1981,21.31,9.73,0,18.87
16,1,1981,20.96,10.69,0,17.39
17,1,1981,21.65,10.7,0.16,18.41
18,1,1981,21.65,10.15,7.58,20.13
19,1,1981,21.04,10.38,1.72,19.62
20,1,1981,21.97,9.55,0,20.5
21,1,1981,20.17,10.34,0,19.18
22,1,1981,20.22,10.2,0,18.33
23,1,1981,20.75,10.33,0,18.86
24,1,1981,20.05,10.28,0,19
25,1,1981,21.89,9.3,0,20.06
26,1,1981,21.78,10.37,0,20.48
27,1,1981,20.63,9.7,0,19.58
28,1,1981,22.12,9.31,2.01,21.34
29,1,1981,20.51,9.8,0.8,18.5
30,1,1981,20.82,10.03,0,18.24
31,1,1981,21.63,9.25,0,20.73
1,2,1981,22.09,8.63,0,23.48
2,2,1981,22,8.75,0,22.93
3,2,1981,22.96,9.22,0,23.38
4,2,1981,22.87,9.06,0,23.1
5,2,1981,22.59,8.89,0,21.53
6,2,1981,23.38,9.45,0,21.89
7,2,1981,22.26,10.23,0,20.97
8,2,1981,21.9,10.2,0,20.1
9,2,1981,20.65,9.91,13.98,19.59
10,2,1981,20.86,9.29,0,20.49
11,2,1981,21.83,9.83,0,19.56
12,2,1981,22.21,8.7,0,21.08
13,2,1981,22.23,8.79,0,22.54
14,2,1981,22.93,8.4,0,23.35
15,2,1981,22.49,8.68,0,23.73
16,2,1981,22.84,9.81,0,23.9
17,2,1981,22.73,9.79,0,24.11
18,2,1981,23.58,9.47,0,23.1
19,2,1981,23.65,9.89,0,21.81
20,2,1981,23.06,11.52,0,22.32
21,2,1981,24.57,10.62,0,22.31
22,2,1981,24.44,11.62,0,23.38
23,2,1981,23.98,11.17,0,22.1
24,2,1981,23.08,11.46,0,21.27
25,2,1981,23.37,11.71,0,21.68
26,2,1981,24.34,11.02,0,22.98
27,2,1981,22.32,11.79,0.69,20.84
28,2,1981,21.78,11.51,0,20.27
1,3,1981,22.68,10.77,2.49,20.45
2,3,1981,22.71,10.14,0,21.97
3,3,1981,23.69,10.02,0,23.98
4,3,1981,23.34,9.2,0,23.86
5,3,1981,23.14,10.5,0,23.65
6,3,1981,23.39,10.2,0,25.15
7,3,1981,24.17,9.9,0,25.02
8,3,1981,23.27,11.31,3.16,23.07
9,3,1981,22.23,11.88,1.73,18.94
10,3,1981,22.34,13.21,0.3,20.09
11,3,1981,23.11,12.27,0.08,19.83
12,3,1981,22.3,11.88,3.66,17.93
13,3,1981,21.44,12.24,11.4,17.39
14,3,1981,21.96,10.32,0,20.66
15,3,1981,22.61,12.13,2.6,22.9
16,3,1981,23,10.67,4.56,25.72
17,3,1981,23.26,10.26,0,25.85
18,3,1981,23.86,10.34,0,24.86
19,3,1981,22.93,11.06,0,21.82
20,3,1981,22.17,11.43,0,16.85
21,3,1981,21.76,11.55,0,19.32
22,3,1981,22.41,10.38,4.67,20.04
23,3,1981,22.92,10.09,0,20.76
24,3,1981,22.93,10.64,0,21.16
25,3,1981,21.34,11.33,6.43,18.45
26,3,1981,19.36,11.15,16.5,13.77
27,3,1981,20.79,10.57,7.53,19.32
28,3,1981,20.97,10.99,0,19.84
29,3,1981,19.15,12.36,0,17.22
30,3,1981,21.73,10.12,0.72,22.22
31,3,1981,22.83,10.58,0,23.79
1,4,1981,23.12,10.01,0,26.63
2,4,1981,23.5,10.14,0,26.78
3,4,1981,24.22,11.1,0,26.44
4,4,1981,24.68,10.49,0,24.58
5,4,1981,23.79,11.65,5.66,22.02
6,4,1981,23.25,12.64,0,21.31
7,4,1981,24.12,12.8,0,21.58
8,4,1981,24.3,12.48,0,22.66
9,4,1981,25.49,12.52,1.86,24.97
10,4,1981,24.53,12.77,0,22.99
11,4,1981,24.02,11.6,0,22.88
12,4,1981,23.5,11.91,0,21.76
13,4,1981,23.78,11.41,7.9,19.42
14,4,1981,25.44,12.38,0.5,25.31
15,4,1981,26.03,11.87,0,25.71
16,4,1981,26.33,11.7,0,25.82
17,4,1981,25.49,12.48,0,25.53
18,4,1981,24.32,13.12,11.67,19.53
19,4,1981,22.81,11.8,0.75,19.69
20,4,1981,22.62,12.03,0,21.89
21,4,1981,21.79,11.25,9.2,20.36
22,4,1981,20.12,11.4,15.19,18.1
23,4,1981,20,10.68,10.58,20.4
24,4,1981,19.78,10.42,11.01,21.2
25,4,1981,20.03,10.2,17.22,23.27
26,4,1981,21.43,9.84,0,23.53
27,4,1981,22.13,10.2,0,23.47
28,4,1981,23.22,10.54,0,25.63
29,4,1981,23.12,10.11,0,25.2
30,4,1981,21.96,11.19,0.16,23.99
1,5,1981,21.49,10.69,0,22.6
2,5,1981,22.96,11.13,0,23.35
3,5,1981,22.8,11.24,0,22.61
4,5,1981,23.57,11.07,0,24.72
5,5,1981,24.44,11.17,0,25.63
6,5,1981,24.67,10.68,0,25.72
7,5,1981,22.85,11.73,0,22.85
8,5,1981,21.03,11.63,14.16,16.2
9,5,1981,21.52,11.78,12.66,20.51
10,5,1981,20.97,10.9,0,18.25
11,5,1981,22.27,11.09,0,19.07
12,5,1981,20.59,12.17,10.61,15.2
13,5,1981,20.48,10.93,9.74,19.26
14,5,1981,20.65,11.41,8.71,20.04
15,5,1981,20.28,11.4,0,18.45
16,5,1981,20.19,10.56,2.11,20.24
17,5,1981,20.41,11.17,7.62,19.31
18,5,1981,20.17,10.8,12.54,17.71
19,5,1981,20.93,10.63,0,20.48
20,5,1981,20.38,10.98,3.12,19.45
21,5,1981,19.56,11.01,7.78,18.05
22,5,1981,19.49,10.67,0,17.63
23,5,1981,20.42,10.76,0,19.26
24,5,1981,19.91,10.74,8.94,17.06
25,5,1981,19.8,10.23,10.33,18.95
26,5,1981,19.85,10.39,0,19.37
27,5,1981,22.44,10.59,0,23.23
28,5,1981,20.33,10.82,0,21.3
29,5,1981,20.51,11.06,0,20.72
30,5,1981,20.56,11.52,0,18.32
31,5,1981,21.94,10.43,0,18.57
1,6,1981,23.1,11.05,0,22.08
2,6,1981,21.81,10.59,0,21
3,6,1981,19.28,11.14,2.8,15.83
4,6,1981,21.08,10.41,3.92,20.9
5,6,1981,20.64,10.97,4.92,19.53
6,6,1981,19.52,11.03,6.93,16.21
7,6,1981,20.62,10.21,5.91,19.98
8,6,1981,21.29,10.44,0,21.58
9,6,1981,21.02,10.48,0,20.91
10,6,1981,20.48,10.94,3.81,17.01
11,6,1981,20.4,10.57,7.6,18.26
12,6,1981,21.28,10.33,3.35,21.22
13,6,1981,18.51,10.62,2.21,15.74
14,6,1981,18.66,10.28,0,15.03
15,6,1981,18.95,9.64,3.31,15.75
16,6,1981,18.85,10.27,0.97,16.61
17,6,1981,19.76,9.91,6.72,18.9
18,6,1981,21.16,10,0.17,21.58
19,6,1981,19.82,10.32,8.34,18.47
20,6,1981,19.01,10.56,10.93,15.93
21,6,1981,19.64,10.5,11.45,17.69
22,6,1981,18.9,9.68,16.56,17.89
23,6,1981,19.53,10.28,6.08,19.46
24,6,1981,20.18,10.63,10.97,17.93
25,6,1981,18.92,10.19,8.16,16.91
26,6,1981,18.65,10.13,2.84,17.29
27,6,1981,19.04,10.12,1.78,18.17
28,6,1981,18.85,10.48,4.23,16.65
29,6,1981,18.99,10.3,6.78,17.37
30,6,1981,19.02,9.91,4.52,17.44
1,7,1981,18.97,10.14,9.25,15.2
2,7,1981,18.83,10.75,11.03,14.32
3,7,1981,18.71,10.95,30.41,15.12
4,7,1981,18.24,10.97,8.51,15.55
5,7,1981,18.55,10.82,5.24,18.08
6,7,1981,18.48,10.56,5.96,16.51
7,7,1981,17.22,10.64,27.29,15.28
8,7,1981,17.39,9.88,19.96,14.91
9,7,1981,18.82,10.24,12.38,18.35
10,7,1981,17.44,10.58,10.84,15.13
11,7,1981,16.77,10.1,4.55,15.01
12,7,1981,18.38,8.79,11.83,17.02
13,7,1981,18.71,10.05,10.45,17.89
14,7,1981,18.94,9.58,11.19,20.01
15,7,1981,18.36,9.96,4.29,18.19
16,7,1981,16.9,10.11,22.27,13.54
17,7,1981,16.67,10.68,14.61,12.19
18,7,1981,17.51,10.06,23.87,15.86
19,7,1981,17.01,10.49,7.75,14.71
20,7,1981,17.37,10.67,21.36,13.77
21,7,1981,18.74,10.12,21.44,15.29
22,7,1981,19.76,10.3,15.31,18.98
23,7,1981,19.18,10.49,38.09,17.96
24,7,1981,18.45,10.92,14.98,16.81
25,7,1981,16.46,10.49,17.31,12.2
26,7,1981,17.38,10.41,14.93,15.95
27,7,1981,18.77,10.34,20.57,20.38
28,7,1981,18.26,9.64,7.37,16.8
29,7,1981,18.55,10.08,0.11,17.59
30,7,1981,17.7,10.36,8.49,15.67
31,7,1981,18.9,10.45,32.3,18.91
1,8,1981,18.12,10.28,12.75,16.4
2,8,1981,19.33,10.23,9.61,19.34
3,8,1981,19.64,10.17,10.51,18.98
4,8,1981,18.87,10.21,6.28,17.12
5,8,1981,18.83,10.53,19.91,16.63
6,8,1981,18.57,9.85,11.57,15.71
7,8,1981,19.69,9.97,2.69,18.36
8,8,1981,17.28,10.65,5.18,13.94
9,8,1981,18.42,10.4,5.02,16.18
10,8,1981,19.26,10.41,5.02,18.48
11,8,1981,19.43,9.69,9.1,18.64
12,8,1981,19.15,10.56,21.07,18.35
13,8,1981,18.8,9.77,17.03,17.72
14,8,1981,17.93,11.23,17.99,15.14
15,8,1981,18.55,10.5,6.39,17.66
16,8,1981,18.96,9.71,9.83,19.34
17,8,1981,18.44,8.9,19.35,17.08
18,8,1981,18.29,9.73,13.68,14.85
19,8,1981,18.01,10.06,14.93,15.95
20,8,1981,17.66,9.19,0,17.07
21,8,1981,15.98,10.09,6.98,12.31
22,8,1981,17.49,9.78,17.72,17.97
23,8,1981,18.36,9.21,21.16,18.2
24,8,1981,17.77,8.96,9.9,17.48
25,8,1981,18.2,9.73,7.37,17.46
26,8,1981,19.29,8.76,5.47,21.19
27,8,1981,19.23,10.22,7.7,20.84
28,8,1981,19.28,9.22,14.12,21.6
29,8,1981,18.9,9.19,14.11,19.89
30,8,1981,19.13,8.9,8.92,20.92
31,8,1981,17.87,9.25,18.08,17.33
1,9,1981,17.68,9.33,11.97,16.84
2,9,1981,19.01,9.02,4.03,22.24
3,9,1981,18.38,9.33,1.92,20.3
4,9,1981,18.14,10.01,3.25,18.23
5,9,1981,18.48,9.88,4.15,18.04
6,9,1981,18.59,9.62,6.59,21.63
7,9,1981,17.71,9.57,0,16.7
8,9,1981,17.89,9.99,6.65,17.78
9,9,1981,18.11,8.91,0.85,17.81
10,9,1981,18.65,8.56,4.45,19.69
11,9,1981,18.85,9.2,7.81,19.83
12,9,1981,17.5,9.53,10.38,18.35
13,9,1981,18.51,8.53,6.97,18.69
14,9,1981,18.48,9.29,8.36,19.95
15,9,1981,18.26,9.39,5.87,19.67
16,9,1981,18.32,10.32,10.02,17.87
17,9,1981,18.61,9.22,15.39,19.34
18,9,1981,17.79,9.98,23.43,17.16
19,9,1981,17.83,9.71,17.62,15.88
20,9,1981,18.29,9.96,2.19,18.29
21,9,1981,19.19,9.01,1.98,21.14
22,9,1981,19.13,9.48,4.82,19.2
23,9,1981,19.54,9.71,4.91,21.03
24,9,1981,18.93,9.97,8.84,20.66
25,9,1981,18,10.4,11.87,15.29
26,9,1981,18.77,8.94,28.82,19.97
27,9,1981,19.03,9.07,6.36,19.83
28,9,1981,19.12,8.51,0,20.1
29,9,1981,19.29,8.9,0,20.96
30,9,1981,18.64,9.23,0,20.89
1,10,1981,19.84,9.27,1.71,21.01
2,10,1981,18.78,10.27,5.33,19.15
3,10,1981,19.58,9.89,5.46,19.52
4,10,1981,18.73,10.26,7.94,15.85
5,10,1981,19.09,9.73,8.56,18.6
6,10,1981,19.16,9.5,39.67,19.13
7,10,1981,19.17,8.95,0,21
8,10,1981,19.34,9.43,0,20.81
9,10,1981,18.2,10.18,0.73,15.5
10,10,1981,19.12,9.39,1.35,19.09
11,10,1981,19.17,9.85,0,19.45
