day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.85,11.08,0,19.14
2,1,1981,25.06,11.2,0,20.63
3,1,1981,25.52,10.76,0,20.54
4,1,1981,25.48,12.12,0,18.81
5,1,1981,26.05,11.84,0,20.21
6,1,1981,25.79,11.54,0,19.68
7,1,1981,25.19,12.22,0,19.23
8,1,1981,25.77,10.27,0,21.81
9,1,1981,25.87,10.61,0,21.93
10,1,1981,26.23,12.14,0,21.88
11,1,1981,26.28,11.91,0,21.88
12,1,1981,26.5,12.96,0,21.73
13,1,1981,25.87,12.27,0,20.55
14,1,1981,26.27,12.12,0,21.1
15,1,1981,26.44,11.91,0,21.14
16,1,1981,25.97,12.07,0,20.68
17,1,1981,26.62,13.14,0,21.3
18,1,1981,26.48,11.8,0.2,20.8
19,1,1981,26.19,12.76,0,20.46
20,1,1981,26.61,11.57,0,21.07
21,1,1981,26.31,12.22,0,19.9
22,1,1981,25.45,12.3,0,19.18
23,1,1981,25.79,11.9,0,19.79
24,1,1981,26.17,11.62,0,21.37
25,1,1981,26.92,11.73,0,21.99
26,1,1981,27.4,11.87,0,22.44
27,1,1981,26.62,11.48,0,21.73
28,1,1981,26.77,11.54,1.65,21.62
29,1,1981,25.1,11.68,1.29,18.86
30,1,1981,26.21,11.71,0,21.15
31,1,1981,26.59,12.1,0,22.44
1,2,1981,26.75,10.69,0,23.6
2,2,1981,26.83,10.54,0,23.32
3,2,1981,26.86,10.36,0,23.58
4,2,1981,27.37,11.3,0,23.39
5,2,1981,27.14,11.47,0,22.68
6,2,1981,27.96,11.53,0,23.18
7,2,1981,27.09,12.67,0,21.65
8,2,1981,27.31,13.46,0,21.54
9,2,1981,26.02,13.01,5.89,19.67
10,2,1981,25.59,11.27,0,20.53
11,2,1981,26.69,11.38,0,22.8
12,2,1981,26.65,11.02,0,23.64
13,2,1981,27.04,11.45,0,23.92
14,2,1981,27.44,10.45,0,24.41
15,2,1981,27.13,11.25,0,24.05
16,2,1981,27.21,11.11,0,24.29
17,2,1981,27,10.79,0,24.17
18,2,1981,27.67,11.87,0,24.05
19,2,1981,28.05,12.62,0,23.92
20,2,1981,27.94,13.44,0,23.42
21,2,1981,28.55,13.68,0,24.08
22,2,1981,29.09,13.4,0,24.02
23,2,1981,28.87,14.96,0,23.62
24,2,1981,29.3,14.87,0,23.22
25,2,1981,29.1,13.8,0,23.27
26,2,1981,29.53,14.33,0,24.11
27,2,1981,27.72,15.37,1.1,21.15
28,2,1981,27.96,13.33,0.12,22.09
1,3,1981,28.46,13.14,0,23.15
2,3,1981,28.15,12.69,0,23.94
3,3,1981,28.2,14.03,0,24.73
4,3,1981,27.96,12.67,0,24.52
5,3,1981,28.06,13.16,0,25.01
6,3,1981,27.79,13.64,0,25.11
7,3,1981,28.65,13.08,0,24.91
8,3,1981,28.15,14.12,0,22.6
9,3,1981,27.5,14.42,0,21.38
10,3,1981,27.67,15.02,0,22.31
11,3,1981,28.25,13.62,0,24.28
12,3,1981,28.08,14.52,0,22.98
13,3,1981,26.96,14.42,4.45,22.08
14,3,1981,27.66,13.93,0,21.64
15,3,1981,28.72,14.25,0,25.28
16,3,1981,28.67,13.69,0,25.59
17,3,1981,28.68,13.71,0,25.77
18,3,1981,28.84,14.07,0,25.46
