day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.74,12.61,0,19
2,1,1981,22.03,12.39,0,18.84
3,1,1981,22.5,12.23,0,20.45
4,1,1981,22.28,12.6,1.27,19.16
5,1,1981,22.87,12.24,0.03,20.09
6,1,1981,22.47,12.83,0,19.4
7,1,1981,22.27,12.42,0,20.01
8,1,1981,23.27,11.98,0,23.63
9,1,1981,22.95,11.09,0,23.67
10,1,1981,23.25,11.84,0,22.04
11,1,1981,23.12,12.76,0,20.2
12,1,1981,22.86,13.69,0,19.92
13,1,1981,22.65,13.08,0,18.83
14,1,1981,23.15,13.58,0,19.99
15,1,1981,23.54,13.37,0,21.64
16,1,1981,23.42,13.03,0,20.39
17,1,1981,22.91,13.72,0.1,19.33
18,1,1981,23.18,12.58,1.31,20.28
19,1,1981,23.16,12.8,0.55,20.34
20,1,1981,23.72,12.33,0,21.15
21,1,1981,23.13,12.02,0,20.93
22,1,1981,21.81,13.03,0,18.6
23,1,1981,22.43,12.25,0,19.59
24,1,1981,23.36,12.25,0,22.25
25,1,1981,24,11.62,0,23.29
26,1,1981,23.82,11.92,0,22.37
27,1,1981,23.29,13.16,0,22.23
28,1,1981,24.1,12.72,0,22.86
29,1,1981,22.18,13.27,0,18.91
30,1,1981,23.22,12.88,0,21.31
31,1,1981,23.94,12.63,0,23.67
1,2,1981,24.03,11.32,0,25.14
2,2,1981,23.52,11.66,0,24.97
3,2,1981,24.39,11.15,0,25.01
4,2,1981,24.73,11.48,0,24.71
5,2,1981,23.88,12.05,0,22.65
6,2,1981,24.71,12.34,0,23.72
7,2,1981,24.19,12.48,0,22.84
8,2,1981,23.93,13.25,0,21.47
9,2,1981,23.26,13.43,5.06,20.12
10,2,1981,23.02,12.62,2.73,20.29
11,2,1981,24.11,13.43,0,21.34
12,2,1981,23.73,13.03,0,22.44
13,2,1981,24.06,12.14,0,24.3
14,2,1981,25.21,11.57,0,25.3
15,2,1981,24.6,12.28,0,24.69
16,2,1981,24.69,12.34,0,25.22
17,2,1981,24.66,12.14,0,24.94
18,2,1981,25.37,12.48,0,24.55
19,2,1981,25.42,12.88,0,23.9
20,2,1981,25.27,13.03,0,23.7
21,2,1981,26.11,12.94,0,24.81
22,2,1981,26.71,12.89,0,25.52
23,2,1981,26.44,13.03,0,24.61
24,2,1981,26.22,13.45,0,23.45
25,2,1981,26.75,13.51,0,24.61
26,2,1981,26.33,12.99,0,24.51
27,2,1981,24.6,14.63,0,20.31
28,2,1981,23.89,13.87,0.42,20.07
1,3,1981,24.8,13.01,1.59,21.17
2,3,1981,24.59,12.66,0,23.2
3,3,1981,24.98,13.35,0,25.3
4,3,1981,25.99,12.9,0,24.76
5,3,1981,25.22,13.23,0,25.09
6,3,1981,25.23,12.95,0,25.77
7,3,1981,26.29,13.11,0,25.11
8,3,1981,24.52,12.99,0.54,21.06
9,3,1981,23.8,13.95,2.08,19.51
10,3,1981,24.14,14.11,0.47,21.27
11,3,1981,24.48,14.07,0.83,20.38
12,3,1981,24.62,14.02,2.76,20.47
13,3,1981,23.63,14.38,8.39,19.03
14,3,1981,24.57,13.52,0,21.06
15,3,1981,25.32,13.86,0.67,23.64
16,3,1981,25.69,13.42,3,26.67
17,3,1981,26.26,12.7,0,26.96
18,3,1981,26.34,12.67,0,25.73
19,3,1981,25.47,13.25,0,23.68
20,3,1981,23.77,14.12,0,19.42
21,3,1981,24.43,13.78,0,22.68
22,3,1981,24.73,13.41,3.68,22.27
23,3,1981,24.78,12.93,0,22.15
24,3,1981,25,13.61,0,23.09
25,3,1981,23.72,13.74,0.4,21.17
26,3,1981,22.09,14.05,14.44,17.47
27,3,1981,22.35,13.56,2.6,19.2
28,3,1981,23.27,14.23,0,18.17
29,3,1981,19.54,13.8,0,15.97
30,3,1981,21.61,12.89,1.94,19.85
31,3,1981,24.07,13.62,0.14,22.99
1,4,1981,25.21,12.97,0,26.6
2,4,1981,25.29,12.53,0,25.9
3,4,1981,25.86,12.53,0,26.96
4,4,1981,25.95,12.5,0,23.77
5,4,1981,24.23,13.68,1.21,20.77
6,4,1981,25.24,14.22,0,21.55
7,4,1981,25.38,14.83,0,21.49
8,4,1981,25.48,14.04,0,22.06
9,4,1981,25.98,13.58,2.88,24
10,4,1981,26.1,14.05,0,22.69
11,4,1981,25.88,14.73,0,24.02
12,4,1981,24.47,14.72,0.55,20.79
13,4,1981,25.59,13.52,1.1,22
14,4,1981,26.61,15.17,0,23.82
15,4,1981,27.62,14.11,0,26.18
16,4,1981,27.06,14.69,0,26.6
17,4,1981,26.7,13.67,0,24.41
18,4,1981,25.8,13.69,6.21,21.05
19,4,1981,24.97,13.43,0,22
20,4,1981,24.78,14.22,0,22.21
21,4,1981,24.4,13.43,1.46,21.32
22,4,1981,22.62,13.91,5.02,18.1
23,4,1981,23.3,13.6,6.41,21.32
24,4,1981,22.19,13.07,18.38,21.01
25,4,1981,23.12,12.89,24.51,23.46
26,4,1981,23.84,12.99,0,23.51
27,4,1981,24.67,13.13,0,25.83
28,4,1981,25.68,12.74,0,27.02
29,4,1981,25.92,12.47,0,26.22
30,4,1981,25.78,13.1,0,25.32
1,5,1981,24.92,13.3,0,24.42
2,5,1981,26.07,13.05,0,26.46
3,5,1981,25.56,13.32,0,25.04
4,5,1981,25.82,13.1,0,25.58
5,5,1981,26.55,13.06,0,26.74
6,5,1981,27.02,13.43,0,27.29
7,5,1981,26.27,13.96,0,24.83
8,5,1981,23.48,13.82,10.14,18.8
9,5,1981,25.71,14.07,0,23.18
10,5,1981,25.3,13.94,0,22.49
11,5,1981,25.89,13.76,3.32,23.11
12,5,1981,25.15,14.26,0,20.39
13,5,1981,23.94,14.41,3.12,20.15
14,5,1981,23.55,13.87,0,18.94
15,5,1981,24.78,13.95,0,22.83
16,5,1981,24.12,13.51,0,22.63
17,5,1981,25.3,13.48,0,23.02
18,5,1981,22.73,13.3,0,19.15
19,5,1981,25.01,13.1,0,22.94
20,5,1981,24.4,14.1,2.6,20.73
21,5,1981,23.53,13.4,0,21.31
22,5,1981,23.04,13.8,0,21.24
23,5,1981,24.34,13.64,0,22.55
24,5,1981,22.96,13.47,1.93,20.67
25,5,1981,23.67,13.41,11.44,22.32
26,5,1981,24.62,13.78,1.7,23.18
27,5,1981,25.66,13.18,0,25.36
28,5,1981,24.01,13.07,0,23.5
29,5,1981,23.77,12.96,0,22.1
30,5,1981,23.76,13.33,1.49,21.14
31,5,1981,24.27,12.95,0,21.64
1,6,1981,25.73,13.42,0,24.53
2,6,1981,24.54,13.83,0,22.4
3,6,1981,23.11,13.35,2.85,21.6
4,6,1981,24.78,14.14,0,23.77
5,6,1981,23.41,13.81,0,22.61
6,6,1981,22.64,13.95,3.32,19.28
7,6,1981,23.72,13.3,3.74,22.25
8,6,1981,24.42,12.82,0,22.86
9,6,1981,24.85,13.14,0,23.19
10,6,1981,24.02,13.17,0,21.94
11,6,1981,23.4,13.85,0,21.01
12,6,1981,24.14,12.73,0,22.8
13,6,1981,22.98,13.71,0,19.94
