day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.14,13.8,0,20.94
2,1,1981,23.75,14.8,0,18.8
3,1,1981,24.13,14.35,0,20.9
4,1,1981,23.97,14.72,0,19.97
5,1,1981,24.51,14.46,0,21.55
6,1,1981,24.04,14.75,0,20.16
7,1,1981,23.95,14.57,0,22.44
8,1,1981,24.39,14.07,0,24.08
9,1,1981,23.92,12.88,0,24.01
10,1,1981,24.49,13.19,0,23.08
11,1,1981,24.93,13.8,0,21.95
12,1,1981,24.05,14.75,0,19.69
13,1,1981,23.68,14.18,0,19.76
14,1,1981,24.45,14.68,0,20.94
15,1,1981,24.34,14.7,0,20.96
16,1,1981,24.25,14.42,0,21.14
17,1,1981,25.14,14.54,0,21.04
18,1,1981,25.23,14.78,0,22.19
19,1,1981,25.02,14.75,3.21,21.32
20,1,1981,25.19,14.97,3.21,22.04
21,1,1981,25.73,14.43,0,23.24
22,1,1981,24.97,14.58,0,21.63
23,1,1981,25.11,14.81,0,21.49
24,1,1981,25.42,14.96,0,23.24
25,1,1981,25.65,14.06,0,24.25
26,1,1981,25.69,13.71,0,22.94
27,1,1981,25.41,13.83,0,22.56
28,1,1981,25.67,14.9,0,23.08
29,1,1981,23.9,14.59,0,19.78
30,1,1981,25.63,14.79,0,22.78
31,1,1981,25.52,14.77,0,24.82
1,2,1981,25.21,13.62,0,25.34
2,2,1981,25.22,13.93,0,24.66
3,2,1981,25.87,13.73,0,25.34
4,2,1981,25.95,13.44,0,24.99
5,2,1981,24.76,13.88,0,22.49
6,2,1981,26.54,14.37,0,24.37
7,2,1981,26.25,13.73,0,24.57
8,2,1981,25.84,14.08,0,23.65
9,2,1981,25.29,14.99,0,22.05
10,2,1981,24.92,15.28,0,21.87
11,2,1981,25.71,15.56,0,22.16
12,2,1981,25.47,15.3,0,22.72
13,2,1981,25.67,14.3,4.23,24.69
14,2,1981,26.17,14.24,0,25.13
15,2,1981,25.48,14.1,0,24.12
16,2,1981,26.97,14.05,0,25.42
17,2,1981,26.31,14.04,0,25.5
18,2,1981,26.72,14.26,0,24.94
19,2,1981,26.5,14.97,0,21.74
20,2,1981,26.83,15.59,0,22.1
21,2,1981,27.71,15.2,0,24.92
22,2,1981,27.92,14.9,0,25.59
23,2,1981,28.3,14.55,0,25.66
24,2,1981,28.26,14.39,0,24.58
25,2,1981,28.81,15.2,0,25.63
26,2,1981,27.67,14.87,0,25.3
27,2,1981,26.63,15,0,22.46
28,2,1981,26.34,15.76,3.89,22.25
1,3,1981,27.38,15.82,8.37,24.03
2,3,1981,26.6,15.07,0,23.97
3,3,1981,26.21,14.85,0,23.54
4,3,1981,25.35,14.92,0,22.66
5,3,1981,26.6,14.74,0,24.26
6,3,1981,26.18,14.83,0,24.06
7,3,1981,27.08,15.06,0,24.55
8,3,1981,26.16,15.47,0,22.56
9,3,1981,25.63,15.35,0,22.3
10,3,1981,26.2,15.72,7.44,22.69
11,3,1981,25.92,15.57,13.38,20.98
12,3,1981,26.6,15.75,4.76,22.48
13,3,1981,25.58,15.59,0,21.02
14,3,1981,25.5,15.37,0,22.12
15,3,1981,26.02,15.5,0,22.78
16,3,1981,27.13,14.87,0,24.77
17,3,1981,27.82,14.68,0,27.03
18,3,1981,27.96,14.92,7.46,26.29
19,3,1981,27.3,14.91,0,25.32
20,3,1981,27.62,15.37,0,23.33
21,3,1981,26.22,15.22,0,23.5
22,3,1981,26.5,15.37,0,24.54
23,3,1981,26.27,15.42,0,22.99
24,3,1981,26.43,15.67,0,23.27
25,3,1981,26.81,15.83,0,22.8
26,3,1981,25.56,15.17,17.16,20.21
27,3,1981,23.91,15.42,0,20.3
28,3,1981,23.78,15.2,0,21.23
29,3,1981,20.15,15.38,0,15.38
30,3,1981,22.11,14.7,22.4,19.81
31,3,1981,23.93,15.41,0,21.61
1,4,1981,25.93,15.53,0,25.09
2,4,1981,25.97,14.66,0,24.65
