day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.61,8.53,0,19.95
2,1,1981,20.95,9.57,0,18.58
3,1,1981,22.31,9.09,0,20.65
4,1,1981,22.17,10.48,2.12,19.59
5,1,1981,21.94,9.79,0,20.91
6,1,1981,21.53,10.46,0,19.63
7,1,1981,21.46,9.72,0,21.42
8,1,1981,21.62,9.57,0,23.66
9,1,1981,21.23,8.32,0,23.45
10,1,1981,21.92,8.46,0,22.47
11,1,1981,22.71,9.85,0,21.25
12,1,1981,21.88,9.81,0,18.22
13,1,1981,21.97,10.61,0,18.56
14,1,1981,22.34,10.77,0,19.33
15,1,1981,22.43,10.93,0,21.27
16,1,1981,22.63,10.64,0,21.38
17,1,1981,22.8,11.11,0,21.41
18,1,1981,22.87,10.9,0,21.52
19,1,1981,22.87,11.24,3.82,21.49
20,1,1981,22.92,10.92,0.56,22.21
21,1,1981,23.48,10.06,0,23.12
22,1,1981,22.25,10.58,0,19.88
23,1,1981,22.88,11.18,0,21.04
24,1,1981,23.05,11.2,0,23.12
25,1,1981,23.26,10.03,0,23.93
26,1,1981,23.34,10.38,0,23.25
27,1,1981,22.95,10.67,0,23.44
28,1,1981,23.23,10.03,0,23.62
29,1,1981,22.34,11.05,0,21.61
30,1,1981,22.86,10.96,0,23.14
31,1,1981,22.59,10.23,0,24.62
1,2,1981,22.24,8.35,0,25.18
2,2,1981,22.45,8.34,0,24.81
3,2,1981,22.85,8.7,0,25.1
4,2,1981,23.14,9.07,0,24.89
5,2,1981,22.85,9.5,0,23.94
6,2,1981,23.47,10.08,0,24.86
7,2,1981,23.34,9.99,0,24.43
8,2,1981,23.42,10.46,0,22.93
9,2,1981,23.55,9.89,3.68,20.83
10,2,1981,23.27,9.87,0.21,21.45
11,2,1981,23.1,11.26,0,20.27
12,2,1981,22.36,10.84,0.83,20.96
13,2,1981,22.8,9.69,0.92,23.41
14,2,1981,23.05,9.53,0,24.5
15,2,1981,22.93,10.04,0,23.78
16,2,1981,24.22,8.87,0,24.51
17,2,1981,23.64,9.62,0,24.07
18,2,1981,23.03,10.57,0,24
19,2,1981,23.87,11.21,0,22.39
20,2,1981,24.15,11.84,0,22.71
21,2,1981,24.55,11.12,0,25.33
22,2,1981,24.95,10.84,0,25.81
23,2,1981,25.4,10.89,0,25.86
24,2,1981,25.68,11.28,0,24.96
25,2,1981,25.35,12.39,0,25.93
26,2,1981,24.68,11.09,0,25.27
27,2,1981,23.47,12.15,0,21.67
28,2,1981,23.24,11.2,1.73,20.58
1,3,1981,24.43,11.32,3.58,23.6
2,3,1981,23.37,10.4,0.72,22.08
3,3,1981,21.74,10.18,0,22.28
4,3,1981,21.59,9.65,0,22.2
5,3,1981,21.78,9,0,22.62
6,3,1981,21.5,9.5,0,21.72
7,3,1981,22.71,9.24,0,23.94
8,3,1981,22.44,9.71,0.1,22.94
9,3,1981,21.71,10.78,0.27,20.56
10,3,1981,21.97,10.65,7.44,20.68
11,3,1981,22.71,10.93,6.96,21.39
12,3,1981,22.39,10.15,4.73,21.9
13,3,1981,22.13,10.78,2.23,19.28
14,3,1981,21.56,10.61,0,20.94
15,3,1981,21.68,10.56,7.28,20.2
16,3,1981,22.08,9.29,6.82,22.99
17,3,1981,22.86,8.25,0,26.23
18,3,1981,23.48,7.77,2.93,26.31
19,3,1981,22.6,8.6,0,23.14
20,3,1981,21.94,10.64,0,22.52
21,3,1981,22.4,10.03,0,22.66
22,3,1981,21.89,9.77,4.75,23.54
23,3,1981,22.02,10.14,0.82,22.66
24,3,1981,21.61,10.05,0,20.99
25,3,1981,21.95,10.19,0.82,21.63
26,3,1981,21.24,10.67,14.61,19.61
27,3,1981,20.37,10.87,6.93,16.79
28,3,1981,20.53,10.8,4.28,20.01
29,3,1981,19.88,11.06,0.82,16.78
30,3,1981,20.09,10.53,12.27,16.55
31,3,1981,20.99,10.45,6.3,21.8
1,4,1981,21.13,10.18,0,23.33
2,4,1981,21.1,9.37,0,22.45
3,4,1981,21.72,9.26,1.92,23.36
4,4,1981,20.87,10.19,0,21.08
5,4,1981,21.27,11.34,1.32,21.63
6,4,1981,21.21,11.13,0,21.96
7,4,1981,21.26,11.04,0,20.49
8,4,1981,21.54,10.72,0,22.28
9,4,1981,21.26,10.42,0,22.07
10,4,1981,21.79,10.52,0,23.18
11,4,1981,21.71,10.95,0,23.7
12,4,1981,21.65,10.98,6.16,22.96
13,4,1981,21.91,9.96,0.11,22.98
14,4,1981,21.82,10.87,0,21.63
15,4,1981,22.64,10.07,0,23.65
16,4,1981,23.52,10.53,0.24,25.71
17,4,1981,22.13,11.06,0,23.4
18,4,1981,22.18,10.64,13.91,22.63
19,4,1981,21.93,10.29,0,22.35
20,4,1981,22.11,10.81,0,23.8
21,4,1981,21.53,10.31,4.7,21.97
22,4,1981,20.46,10.97,5.13,17.13
23,4,1981,20.65,10.57,8.27,19.48
24,4,1981,19,10.31,15.5,18.65
25,4,1981,20.23,10.17,33.46,22.54
26,4,1981,21.12,9.61,3.89,23.92
