day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.95,9.74,0,19.17
2,1,1981,20.47,10.42,0,17.36
3,1,1981,21.3,9.93,0,19.87
4,1,1981,21.19,10.72,1.63,18.86
5,1,1981,21.31,10.75,0,20.55
6,1,1981,21.13,11.09,0,19.43
7,1,1981,20.78,10.75,0,20.55
8,1,1981,21.47,10.66,0,23.82
9,1,1981,21.17,9.88,0,23.78
10,1,1981,21.65,10.05,0,21.97
11,1,1981,21.91,10.82,0,20.54
12,1,1981,21.48,11.08,0,19.13
13,1,1981,20.87,11.01,0,18.66
14,1,1981,21.6,11.18,0,20.32
15,1,1981,21.73,11.11,0,21.07
16,1,1981,21.82,11.17,0,20.55
17,1,1981,21.74,11.2,0,19.38
18,1,1981,21.92,10.79,0,20.16
19,1,1981,21.86,11.16,4.08,20.03
20,1,1981,22,11.19,0.59,20.95
21,1,1981,22.69,10.73,0,22.33
22,1,1981,21.37,10.81,0,19.1
23,1,1981,21.87,11.32,0,20.07
24,1,1981,22.29,11.33,0,22.69
25,1,1981,22.8,11.02,0,24.08
26,1,1981,22.52,10.87,0,22.45
27,1,1981,22.46,10.55,0,22.69
28,1,1981,22.81,11.2,0,23.17
29,1,1981,21.24,11.41,0,18.87
30,1,1981,22.37,11.44,0,22.24
31,1,1981,22.27,11.02,0,24.43
1,2,1981,21.94,10.4,0,25.39
2,2,1981,22.06,10.54,0,24.93
3,2,1981,22.37,10.5,0,25.3
4,2,1981,22.88,10.43,0,25.08
5,2,1981,22.1,10.64,0,22.93
6,2,1981,23.07,11.09,0,24.56
7,2,1981,22.74,10.55,0,24.09
8,2,1981,22.79,10.83,0,22.03
9,2,1981,21.97,10.71,4.27,20.67
10,2,1981,21.96,11.08,0,20.74
11,2,1981,22.4,11.45,0,20.81
12,2,1981,21.96,11.36,2.14,21.5
13,2,1981,22.57,10.46,0.79,24.39
14,2,1981,23.16,10.25,0,25.5
15,2,1981,22.74,10.37,0,23.98
16,2,1981,23.7,10.27,0,25.29
17,2,1981,23.25,10.25,0,25.05
18,2,1981,23.3,10.6,0,25
19,2,1981,23.27,11.44,0,22.89
20,2,1981,23.4,12.19,0,22.71
21,2,1981,23.92,11.78,0,25.1
22,2,1981,24.4,11.47,0,25.88
23,2,1981,24.77,11.56,0,25.67
24,2,1981,24.74,11.54,0,24.06
25,2,1981,24.69,12.46,0,25.74
26,2,1981,24.11,11.86,0,25.02
27,2,1981,22.95,12.26,0,20.02
28,2,1981,22.44,11.95,1.11,20.12
1,3,1981,23.28,12.13,6.89,21.75
2,3,1981,22.35,11.45,0,22.83
3,3,1981,22.86,11.42,0,24.08
4,3,1981,21.98,11.23,0,23.2
5,3,1981,23.08,11.26,0,24.48
6,3,1981,22.24,11.16,0,24.38
7,3,1981,22.78,11.17,0,24.05
8,3,1981,21.4,11.72,0.2,20.85
9,3,1981,20.67,11.89,1.39,19.61
10,3,1981,21.45,12.21,3.97,21.95
