day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.02,12.01,0,18.42
2,1,1981,20.82,12.06,0,17.88
3,1,1981,21.41,11.66,0,19.96
4,1,1981,21.42,12.18,1.27,18.42
5,1,1981,21.95,11.86,0.03,19.43
6,1,1981,21.69,12.24,0,19.22
7,1,1981,21.48,11.99,0,18.89
8,1,1981,22.97,11.83,0,23.55
9,1,1981,22.57,10.96,0,23.66
10,1,1981,22.7,11.5,0,21.69
11,1,1981,22.58,12.27,0,19.58
12,1,1981,21.96,12.9,0,18.25
13,1,1981,22.02,12.25,0,18.29
14,1,1981,22.18,12.83,0,19.2
15,1,1981,22.54,12.57,0,21.24
16,1,1981,22.86,12.35,0,19.89
17,1,1981,22.43,12.96,0.1,18.63
18,1,1981,22.73,12.39,1.31,19.73
19,1,1981,22.21,12.11,0.55,19.82
20,1,1981,23.06,11.96,0,20.77
21,1,1981,22.35,11.69,0,21.19
22,1,1981,21.11,12.53,0,17.65
23,1,1981,21.92,12.05,0,19.5
24,1,1981,22.26,12.13,0,21.65
25,1,1981,23.57,11.57,0,23.28
26,1,1981,23.29,11.69,0,22.25
27,1,1981,22.76,12.26,0,22.4
28,1,1981,23.48,11.93,0,23.29
29,1,1981,22.06,12.81,0,18.96
30,1,1981,22.53,12.53,0,21.27
31,1,1981,23.38,12.15,0,23.52
1,2,1981,23.63,11.3,0,25.28
2,2,1981,23.06,11.24,0,25.15
3,2,1981,24,11.41,0,25.13
4,2,1981,24.21,11.46,0,24.9
5,2,1981,23.73,11.69,0,23.43
6,2,1981,24.55,11.87,0,24.17
7,2,1981,24.01,11.83,0,23.31
8,2,1981,23.32,12.49,0,20.83
9,2,1981,22.85,12.52,5.06,19.86
10,2,1981,22.41,12.31,2.73,19.97
11,2,1981,23.03,13.12,0,19.25
12,2,1981,23.47,12.55,0,20.52
13,2,1981,23.59,11.78,0,23.64
14,2,1981,24.81,11.55,0,25.25
15,2,1981,24.26,11.74,0,24.19
16,2,1981,24.59,11.85,0,25.02
17,2,1981,24.31,11.82,0,24.64
18,2,1981,25.12,11.97,0,24.44
19,2,1981,24.64,12.31,0,23.67
20,2,1981,25.16,12.78,0,23.8
21,2,1981,25.97,12.64,0,25.02
22,2,1981,26.59,12.73,0,25.72
23,2,1981,25.9,12.66,0,24.82
