day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.93,14.24,0,20.39
2,1,1981,25.41,13.94,0,20.15
3,1,1981,26.61,13.37,0,21.41
4,1,1981,26.58,13.69,1.56,20.84
5,1,1981,27.06,13.63,0.09,21.09
6,1,1981,26.62,13.54,0,20.59
7,1,1981,26.69,14.09,0,21.78
8,1,1981,26.78,12.51,0,23.41
9,1,1981,26.34,12.18,0,23.25
10,1,1981,26.96,12.48,0,23
11,1,1981,27.28,13.25,0,21.8
12,1,1981,26.47,13.81,0,19.26
13,1,1981,26.55,14.5,0,20.06
14,1,1981,26.54,14.05,0,19.73
15,1,1981,27.24,15.04,0,21.14
16,1,1981,27.39,14.73,0,21.54
17,1,1981,27.67,14.57,0,22.71
18,1,1981,27.83,14.72,2.05,22.16
19,1,1981,27.44,14.68,1.68,22.7
20,1,1981,28.19,14.3,1.39,23.32
21,1,1981,27.65,13.96,0,22.31
22,1,1981,27.02,15.2,0,20.89
23,1,1981,27.54,15.15,0,22.21
24,1,1981,27.65,14.83,0,22.77
25,1,1981,28.21,13.59,0,23.6
26,1,1981,28.5,13.7,0,23.52
27,1,1981,28.26,13.52,0,23.2
28,1,1981,28.27,13.99,0,23.77
29,1,1981,27.91,14.19,0,23.46
30,1,1981,27.4,14.65,0,22.28
31,1,1981,28.22,13.66,0,24.02
1,2,1981,27.82,12.3,0,24.85
2,2,1981,28.03,12.15,0,24.58
3,2,1981,28.6,12.96,0,24.7
4,2,1981,28.32,12.65,0,24.56
5,2,1981,28.05,12.94,0,24.1
6,2,1981,28.72,13.61,0,24.35
7,2,1981,28.26,13.5,0,24.33
8,2,1981,28.33,13.62,0,23.24
9,2,1981,27.91,14.61,2.27,21.8
10,2,1981,27.75,16.05,1.32,22.23
11,2,1981,27.68,16.11,0,21.42
12,2,1981,27.73,14.76,0.68,22.12
13,2,1981,28.22,13.93,0,23.45
14,2,1981,28.49,13.52,0,23.96
15,2,1981,28.45,14.57,0,24.34
16,2,1981,29.08,14,0,24.66
17,2,1981,28.64,13.98,0,24.85
18,2,1981,28.99,13.54,0,23.75
19,2,1981,28.52,15.66,0.29,21.85
20,2,1981,28.4,15.98,0,22.88
21,2,1981,30.2,15.56,0,24.69
22,2,1981,30.41,15.2,0,25.28
23,2,1981,30.32,15.25,0,25.06
24,2,1981,30.03,14.82,0,24.49
25,2,1981,30.79,15.13,0,25.04
26,2,1981,29.48,15.12,0,24.9
27,2,1981,28.76,16.59,0,22.75
28,2,1981,27.68,16.1,0.18,20.97
1,3,1981,29.73,15.75,0.82,24.1
2,3,1981,28.74,15.74,0,22.39
3,3,1981,28.45,15.97,0,22.72
4,3,1981,27.62,15.79,0,22.49
5,3,1981,28.48,15.74,0,22.4
6,3,1981,28.48,16.01,0,22.89
7,3,1981,29.09,15.09,0,24.09
8,3,1981,29.03,15.43,0.51,24.25
9,3,1981,27.59,15.81,0,21.5
10,3,1981,27.59,16.93,0.43,20.83
11,3,1981,28.39,16.77,0.42,21.87
12,3,1981,27.73,15.79,1.79,20.68
13,3,1981,26.56,15.99,1.33,19.64
14,3,1981,26.59,15.95,0.46,20.85
15,3,1981,27.93,16.25,9.42,21.83
16,3,1981,28.3,16.13,6.95,23.17
17,3,1981,28.64,15.01,0,25.91
18,3,1981,29.12,14.9,0.76,25.98
19,3,1981,28.88,15.31,0,23.54
20,3,1981,28.21,16.91,0,22.41
21,3,1981,27.06,16.05,0,22.04
22,3,1981,26.86,14.85,1.57,22.99
23,3,1981,26.99,15.47,9.17,22.98
24,3,1981,26.37,15.89,0,20.98
25,3,1981,26.94,15.89,0,20.8
26,3,1981,25.85,15.36,8.03,20.18
27,3,1981,25.61,16.14,8.29,20.12
28,3,1981,25.85,16.04,1.4,20.86
29,3,1981,23.92,16.18,0,17.46
30,3,1981,24.88,15.65,3.8,18.68
31,3,1981,26.51,15.43,0.53,22.68
1,4,1981,27.25,15.99,0.69,24.61
2,4,1981,27.32,14.39,0,25.11
3,4,1981,27.31,14.15,0,24
4,4,1981,26.13,15.98,0,20.72
5,4,1981,26.89,15.97,4.27,21.78
6,4,1981,26.14,16.31,0,21.21
7,4,1981,27.01,16.04,0,21.13
8,4,1981,27.75,16.32,0,22.9
9,4,1981,28.19,16.07,0,22.59
10,4,1981,28.31,16.38,0,23.88
11,4,1981,28.3,17.07,0,23.19
12,4,1981,28.15,16.66,4.26,22.56
13,4,1981,27.35,15.82,0,21.48
14,4,1981,28.32,17.38,0,23.06
15,4,1981,29.24,16.81,0,24.28
16,4,1981,29.86,16.86,1.05,24.5
17,4,1981,29.08,16.1,4.07,24.39
18,4,1981,28.4,16.98,3.63,23.47
19,4,1981,27.42,16.56,0,22.89
20,4,1981,27.71,16.16,0,24.02
21,4,1981,26.65,15.8,0,23.65
22,4,1981,25.24,15.79,5.3,20.29
23,4,1981,25.4,15.6,12.45,20.91
24,4,1981,24.9,14.84,1.52,22.32
25,4,1981,25.67,15.12,22.86,22.58
26,4,1981,26.59,14.57,2.36,24.48
27,4,1981,26.8,16.02,0,22.84
28,4,1981,28.14,15.31,0,25.13
29,4,1981,28.21,15.41,0,25.71
30,4,1981,28.29,15.67,0,24.96
1,5,1981,27.75,15.94,0,23.77
2,5,1981,28.44,14.75,0,24.4
3,5,1981,28.22,16.13,0,23.32
4,5,1981,28.64,15.9,0,25.02
5,5,1981,29.19,15.73,0,25.54
6,5,1981,29.14,14.92,0,25.58
7,5,1981,28.35,14.87,0,24.9
8,5,1981,26.1,15.02,2.72,22.2
9,5,1981,27.98,15.72,0,24.18
10,5,1981,27.53,15.27,0,23.87
11,5,1981,28.02,15.81,0,21.86
12,5,1981,26.28,15.64,0,20.89
13,5,1981,26.36,15.96,15.22,22.4
14,5,1981,26.09,15.55,0,21.65
15,5,1981,26.31,16.28,0,22.83
16,5,1981,26.65,15.22,0.76,24.09
17,5,1981,26.26,15.38,4.81,22.26
18,5,1981,26.08,15.76,0.76,21.86
19,5,1981,26.96,14.89,0.76,22.56
20,5,1981,26.2,15.29,0.76,22.06
21,5,1981,25.71,14.84,0,20.69
22,5,1981,25.62,14.57,0,20.23
23,5,1981,26.25,14.43,0,22.03
24,5,1981,24.61,15,7.54,18.65
25,5,1981,25.91,14.86,6.74,21.21
26,5,1981,25.66,15.36,0,21.17
27,5,1981,26.85,14.58,0,22.75
28,5,1981,25.98,15.11,0,21.4
29,5,1981,25.66,15.07,0,19.92
30,5,1981,25.87,14.49,15.92,20.61
31,5,1981,27.13,14.31,0,20.61
1,6,1981,28.08,15.32,0,21.96
2,6,1981,26.3,15.13,2.78,20.95
3,6,1981,24.49,14.51,1.3,19.62
4,6,1981,25.27,14.82,0,20.84
5,6,1981,24.48,14.64,0,19.99
6,6,1981,24.22,14.84,9.69,17.39
7,6,1981,25.45,15.06,0,20.76
8,6,1981,26.32,13.65,0,21.51
9,6,1981,25.95,13.81,0,21.19
10,6,1981,26.2,13.64,0,20.95
11,6,1981,25.57,14.95,0,20.22
12,6,1981,26.48,14.01,0.92,21.46
13,6,1981,24.27,14.24,0,18.96
14,6,1981,23.51,14.36,3.44,17.62
15,6,1981,24.09,14.17,0,18.48
16,6,1981,24.08,13.63,0,18.53
17,6,1981,24.18,14.13,0,18.58
18,6,1981,25.5,13.32,0,20.79
19,6,1981,24.88,14.28,7.71,19.79
20,6,1981,24.36,13.98,9.21,18.96
21,6,1981,24.51,14.81,13.48,19.71
22,6,1981,23.99,14.97,8.65,20.65
23,6,1981,24.16,15.58,2.86,19.22
24,6,1981,24.3,14.65,11.99,19.12
25,6,1981,23.62,14.4,5.28,19.43
26,6,1981,23.22,14.52,2.65,18.16
27,6,1981,23.2,13.42,0,19.4
28,6,1981,23.65,13.58,2.17,18.78
29,6,1981,23.55,14.65,3.86,18.48
30,6,1981,23.85,14.69,12.08,18.87
1,7,1981,22.99,13.46,2.77,17.12
2,7,1981,22.81,14.3,2.97,17.45
3,7,1981,22.41,14.41,10.14,17.22
4,7,1981,21.6,14.73,20.14,15.07
5,7,1981,22.64,14.49,2.26,19.33
6,7,1981,23.01,13.6,2.84,19.42
7,7,1981,22.22,13.9,9.67,17.88
8,7,1981,21.71,14.71,12.04,15.51
9,7,1981,21.56,14.29,19.98,16.9
10,7,1981,21.62,14.38,8.23,18.21
11,7,1981,19.75,13.85,0.73,12.68
12,7,1981,21.91,13.36,9.99,18.7
13,7,1981,21.86,13.77,7.82,19.1
14,7,1981,22.43,13.7,6.36,19.39
15,7,1981,22.09,13.76,6.64,19.1
16,7,1981,20.53,13.95,15.32,14.56
17,7,1981,19.9,14.31,4.89,14.15
18,7,1981,21.75,13.6,13.03,17.39
19,7,1981,21.15,14.3,18.69,16.64
20,7,1981,20.65,14.32,16.57,14.97
21,7,1981,21.49,13.9,12.78,17.99
22,7,1981,21.71,14.41,7.36,17.57
23,7,1981,22.18,13.69,22.75,19.27
24,7,1981,22.16,14.52,23.31,18.29
25,7,1981,19.98,13.78,4.92,14.92
26,7,1981,20.66,14.22,10.33,17.35
27,7,1981,21.85,14.38,2.63,19.8
28,7,1981,21.64,13.42,8.32,18.45
29,7,1981,21.64,13.66,3.16,17.6
30,7,1981,20.57,14.24,19.62,15.89
31,7,1981,21.6,13.72,11.29,19
1,8,1981,20.39,13.81,3.72,16.48
2,8,1981,21.57,14.12,15.37,19.27
3,8,1981,22.15,13.72,2.3,19.28
4,8,1981,21.9,14.55,13.05,17.38
5,8,1981,21.18,13.99,13.17,16.78
6,8,1981,21.41,14.72,13.43,16.67
7,8,1981,21.95,14.19,3.53,18.43
8,8,1981,20.18,14.79,1.64,13.27
9,8,1981,21.5,13.68,2.43,18.07
10,8,1981,21.64,12.58,6.35,18.86
11,8,1981,21.65,14.01,17.33,19.39
12,8,1981,21.77,13.85,19.94,19.49
13,8,1981,21.28,13.95,7.23,17.88
14,8,1981,21.86,14.11,4.26,19.18
15,8,1981,21.18,14.24,2.3,17.71
16,8,1981,21.45,13.58,5.74,19.39
17,8,1981,21.22,12.93,8.69,19.67
18,8,1981,21.17,14.05,12.29,17.22
19,8,1981,21.72,13.51,12.52,18.89
20,8,1981,20.93,13.29,0.27,18.99
21,8,1981,20.57,13.77,11.25,17.56
22,8,1981,19.59,13.47,13.94,16.36
23,8,1981,21.05,11.89,2.92,19.94
24,8,1981,21.02,12.86,12.47,18.78
25,8,1981,21.32,13.55,4.64,20.08
26,8,1981,21.82,12.65,4.85,21.98
27,8,1981,21.52,13.41,5.86,18.23
28,8,1981,22.24,13.56,4.07,22.24
29,8,1981,21.62,11.93,17.28,19.98
30,8,1981,21.21,13.5,13.36,19
31,8,1981,20.92,12.25,10.96,18.82
1,9,1981,20.46,12.89,15.42,16.36
2,9,1981,21.89,12.14,1.51,22.03
3,9,1981,21.95,11.82,0.31,21.96
4,9,1981,21.48,13.17,1.72,18.72
5,9,1981,21.4,13.43,1.74,20.37
6,9,1981,21.84,13.06,10.59,20.98
7,9,1981,21.28,12.38,0,18.06
8,9,1981,21.52,13.13,5.64,19.22
9,9,1981,20.34,11.99,1,17.19
10,9,1981,21.53,13.06,2.12,21.28
11,9,1981,21.53,12.28,11.9,21.23
12,9,1981,20.95,13.1,6.72,19.52
13,9,1981,21.16,12.61,3,20.08
14,9,1981,21.55,12.45,8.37,20.82
15,9,1981,21.58,12.7,3.68,19.95
16,9,1981,21.27,13.56,12.97,19.75
17,9,1981,21.7,13.07,10.52,20.07
18,9,1981,21.12,13.09,14.33,19.63
19,9,1981,21.14,13.44,10.27,19.03
20,9,1981,21.68,12.91,0,19.89
21,9,1981,22.6,12.63,0,21.52
22,9,1981,22.23,13.23,10.69,19.75
23,9,1981,22.57,13.15,0.96,20.76
24,9,1981,21.98,13.91,2.42,20.33
25,9,1981,20.59,13.7,4.03,14.39
26,9,1981,21.9,13.79,26.53,19.89
27,9,1981,23,12.81,2.57,21.27
28,9,1981,22.89,12.35,0,22.23
29,9,1981,22.67,13.74,0,21.3
30,9,1981,22.74,13.16,0,21.98
1,10,1981,23.63,12.64,0,21.32
2,10,1981,23.18,13.41,4.73,20.56
3,10,1981,23.39,14.05,0,21.76
4,10,1981,23.08,14.3,6.18,19.73
5,10,1981,22.96,13.34,9.42,21.07
6,10,1981,22.75,12.29,10.42,21.26
7,10,1981,23.46,12.88,1.41,22.73
8,10,1981,23.92,12.56,1.41,22.46
9,10,1981,23.4,13.63,1.41,20.41
