day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.41,9.96,0,18.99
2,1,1981,20.34,9.8,0,18.03
3,1,1981,21.09,9.76,0,20.38
4,1,1981,21.03,10.8,2.28,19.42
5,1,1981,21.42,9.69,0,20.78
6,1,1981,21.17,11.64,0,20.17
7,1,1981,20.95,10.06,0,20.07
8,1,1981,22.14,9.6,0,24.09
9,1,1981,21.75,7.99,0,24.06
10,1,1981,22.13,8.94,0,21.89
11,1,1981,21.84,10.83,0,20.34
12,1,1981,21.59,11.96,0,19.86
13,1,1981,21.01,10.61,0,19.19
14,1,1981,21.64,11.91,0,20.7
15,1,1981,22.15,11.2,0,21.98
16,1,1981,22.35,11.26,0,21.12
17,1,1981,21.66,11.52,0,19.42
18,1,1981,21.84,10.73,0,19.64
19,1,1981,21.74,10.75,4.38,20.28
20,1,1981,22.47,10.1,0,21.18
21,1,1981,22.14,9.36,0,22.24
22,1,1981,21.04,11.63,0,18.33
23,1,1981,21.43,10.52,0,20.18
24,1,1981,22.5,10.06,0,22.85
25,1,1981,23.42,9.36,0,24.25
26,1,1981,23.02,9.36,0,22.81
27,1,1981,22.62,11.32,0,23.4
28,1,1981,23.3,9.93,0,23.86
29,1,1981,21.47,11.31,0,19.68
30,1,1981,22.71,10.86,0,22.51
31,1,1981,23.06,11.12,0,24.38
1,2,1981,22.94,8.28,0,25.59
2,2,1981,22.54,8.84,0,25.42
3,2,1981,23.33,8.55,0,25.45
4,2,1981,23.61,8.65,0,25.34
5,2,1981,23.03,9.32,0,23.94
6,2,1981,23.83,9.91,0,24.99
7,2,1981,23.6,10.17,0,24.06
8,2,1981,22.98,11.71,0,21.47
9,2,1981,22.22,11.1,6.37,20.44
10,2,1981,21.7,10.72,0,20.75
11,2,1981,22.53,11.15,0,20.47
12,2,1981,22.32,11.1,0,21.19
13,2,1981,22.88,10.25,0,24.28
14,2,1981,23.94,8.9,0,25.81
15,2,1981,23.42,8.99,0,24.27
16,2,1981,23.78,9.78,0,25.28
17,2,1981,23.63,9.8,0,24.72
18,2,1981,24.03,9.74,0,25
