day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,23.18,11.23,0,19.43
2,1,1981,22.92,11.51,0,19.32
3,1,1981,24.18,10.98,0,20.87
4,1,1981,23.61,11.83,4.3,19.43
5,1,1981,24.39,11.47,0,19.54
6,1,1981,23.81,11.72,0,19.34
7,1,1981,23.62,11.86,0,19.55
8,1,1981,24.31,10.94,0,22.22
9,1,1981,23.9,9,0,22.37
10,1,1981,24.48,9.54,0,21.87
11,1,1981,24.39,11.08,0,20.31
12,1,1981,23.93,11.92,0,18.43
13,1,1981,23.92,11.59,0,19.81
14,1,1981,24.06,11.74,0,19.19
15,1,1981,24.39,12.12,0,20.14
16,1,1981,24.44,12.41,0,19.94
17,1,1981,24.85,12.57,0,20.75
18,1,1981,24.98,12.35,3.51,21
19,1,1981,24.86,11.85,0.8,21.38
20,1,1981,25.4,11.99,0,21.89
21,1,1981,24.43,11.61,0,20.87
22,1,1981,24.22,12.74,0,20.03
23,1,1981,24.91,12.06,0,21.18
24,1,1981,24.36,12.48,0,21.09
25,1,1981,25.66,11.03,0,22.49
26,1,1981,25.64,11.38,0,22.36
27,1,1981,24.89,11.97,0,21.96
28,1,1981,25.37,11.48,0,22.7
29,1,1981,24.64,12.32,0,21.54
30,1,1981,24.29,12.69,0,20.69
31,1,1981,24.86,11.38,0,22.59
1,2,1981,25.14,9.33,0,23.99
2,2,1981,25.08,9.76,0,23.74
3,2,1981,25.92,10.55,0,23.79
4,2,1981,25.53,10.17,0,23.67
5,2,1981,25.49,10.17,0,23.19
6,2,1981,25.96,10.54,0,23.25
7,2,1981,25.02,10.12,0,23.34
8,2,1981,25.1,11.11,0,21.81
9,2,1981,24.51,11.99,4.24,20.91
10,2,1981,24.35,13.02,0,21.37
11,2,1981,24.51,13.77,0,20.5
12,2,1981,24.55,11.78,0.44,21.66
13,2,1981,25,10.78,0,22.98
14,2,1981,25.36,10.65,0,23.58
15,2,1981,25,10.47,0,23.75
16,2,1981,25.68,10.49,0,23.94
17,2,1981,25.3,10.29,0,24.1
18,2,1981,25.93,11.02,0,23.43
19,2,1981,25.13,11.65,0,21.28
20,2,1981,25.69,12.7,0,22.36
21,2,1981,27.04,12.77,0,23.5
22,2,1981,27.5,13.25,0,24.28
23,2,1981,27.38,12.36,0,23.9
24,2,1981,27.17,13.03,0,23.13
25,2,1981,27.86,13.05,0,23.75
26,2,1981,26.9,12.51,0,23.96
27,2,1981,25.99,14.37,0,22.03
28,2,1981,25.11,13.87,1.9,20.79
1,3,1981,26.38,13.47,5.52,21.92
2,3,1981,26,13.57,0,22.44
3,3,1981,25.78,13.8,0,22.94
4,3,1981,25.2,12.21,0,22.26
5,3,1981,25.74,12.59,0,22.77
6,3,1981,26.09,12.38,0,23.8
7,3,1981,26.46,11.65,0,23.92
8,3,1981,26.15,13.09,0,23.04
9,3,1981,24.82,13.98,0,20.28
10,3,1981,25.15,14.98,4.72,20.28
11,3,1981,25.88,15.33,1.08,21.05
12,3,1981,24.61,13.88,5,18.27
13,3,1981,23.6,14.1,3.87,19
14,3,1981,23.44,12.99,0,20.7
15,3,1981,24.72,14.93,7.02,22.39
16,3,1981,25.36,12.35,7.19,24.56
17,3,1981,25.41,11.02,0,25.27
18,3,1981,25.8,11.19,0.67,24.79
19,3,1981,25.77,12.29,0,23.01
20,3,1981,25.55,13.38,0,20.51
21,3,1981,25.18,12.9,0,21.49
22,3,1981,24.6,12.1,5.75,22.01
23,3,1981,24.63,12.73,6.44,21.97
24,3,1981,25.01,12.78,0,20.97
25,3,1981,24.49,13.24,0.37,20.03
26,3,1981,22.5,13.08,12.9,18
27,3,1981,23.11,13.53,10.43,19.86
28,3,1981,22.99,13.17,1.49,19.59
29,3,1981,20.07,14.15,0,15.33
30,3,1981,23.11,12.78,6.68,20.64
31,3,1981,24.21,12.92,1.67,22.79
1,4,1981,24.79,11.65,0,25.09
2,4,1981,24.95,10.36,0,25.05
