day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.45,5.81,0,20.93
2,1,1981,19.42,5.84,0,19.99
3,1,1981,21.35,5.87,0,21.52
4,1,1981,20.54,6.65,0,23.59
5,1,1981,20.3,6.23,0.6,23.64
6,1,1981,20.12,5.38,0,22.93
7,1,1981,19.5,5.49,0,24.16
8,1,1981,19.33,5.08,0,24.4
9,1,1981,19.48,4.89,0,23.43
10,1,1981,21.26,4.76,0,22.8
11,1,1981,21.53,5.6,0,21.41
12,1,1981,18.98,6.39,0,16.88
13,1,1981,19.91,5.79,0,20.17
14,1,1981,19.63,6.31,0,17.48
15,1,1981,19.58,6.38,0,18.53
16,1,1981,20.82,5.39,6.06,23.09
17,1,1981,21.69,4.92,0,24.47
18,1,1981,21.89,5.69,0,22.77
19,1,1981,21.21,6.21,0,23.5
20,1,1981,21.06,5.85,0,24.11
21,1,1981,22.45,5.12,0,23.9
22,1,1981,20.48,6.78,0,21.61
23,1,1981,21.65,6.54,0,23.9
24,1,1981,21.54,6.34,0,24.67
25,1,1981,22.03,6.06,0,24.89
26,1,1981,21.99,6.4,0,24.53
27,1,1981,21.25,6.74,0,23.6
28,1,1981,20.68,6.05,0,23.84
29,1,1981,20.31,5.68,0,23.48
30,1,1981,20.39,5.8,0,25.45
31,1,1981,19.93,5.97,0,25.86
1,2,1981,20.13,5.29,0,25.79
2,2,1981,19.91,5.51,0,24.93
3,2,1981,20.37,5.83,0,24.95
4,2,1981,20,5.42,0,23.69
5,2,1981,20.75,5.74,0,23.76
6,2,1981,21.52,6.33,0,25.79
7,2,1981,20.97,5.37,0,24.95
8,2,1981,22.5,5.89,0,24.57
9,2,1981,22.93,5.93,0,23.18
10,2,1981,21.9,6.72,0,20.59
11,2,1981,18.23,7.7,13.78,14
12,2,1981,19.38,7.57,6.54,16
13,2,1981,18.4,7.8,0,18.42
14,2,1981,18.94,7.45,0,18.34
15,2,1981,19.57,7.33,0,19.07
16,2,1981,21.06,6.77,0,21.81
17,2,1981,20.58,7.48,0,21.78
18,2,1981,20.16,7.76,0,17.76
19,2,1981,19.82,6.83,0,22.1
20,2,1981,20.53,7.43,0,24.4
21,2,1981,20.92,6.95,0,25.67
22,2,1981,21.4,7.63,0,26.72
23,2,1981,22.08,7.09,0,26.32
24,2,1981,22.89,6.49,0,26.22
25,2,1981,22.29,7.72,0,26.46
26,2,1981,21.41,7.04,0,25.54
27,2,1981,21.54,6.31,0,24.86
28,2,1981,21.47,6.64,0,24.88
1,3,1981,21.53,7.04,9.31,24.87
2,3,1981,21.03,7.7,18.9,20.59
3,3,1981,20.12,7.57,16.24,17.56
4,3,1981,19.45,8.15,19.08,17.96
5,3,1981,18.55,7.63,18.96,16.22
6,3,1981,19.86,7.67,2.89,19.78
7,3,1981,20.37,7.9,9.98,20
8,3,1981,19.16,7.46,0,22.95
9,3,1981,21.1,6.64,0,26.54
10,3,1981,19.79,7.16,0,22.71
11,3,1981,19.04,7.97,3.75,21.32
12,3,1981,20.4,7.71,0,21.23
13,3,1981,20.08,7.98,4.26,18.74
14,3,1981,22.03,8.61,8.24,19.79
15,3,1981,21.72,8.77,15.48,16.68
16,3,1981,22.24,8.75,17.72,18.25
17,3,1981,20.82,7.94,4.63,21.45
18,3,1981,22,7.85,7.08,23.62
19,3,1981,19.55,8.41,7.09,19.1
20,3,1981,21.27,8.3,8.43,20.47
21,3,1981,21.9,8.76,9.85,20.27
22,3,1981,19.9,8.16,0.94,19.9
23,3,1981,20.14,7.94,15.89,21.32
24,3,1981,19.85,7.83,11.97,19.03
25,3,1981,20.3,8.3,9.2,22.76
26,3,1981,21.42,8.41,23.75,21.14
27,3,1981,19.14,9.13,1.31,17.46
28,3,1981,18.57,8.68,0,16.1
29,3,1981,18.04,9.02,18.26,12.38
30,3,1981,18.92,8.85,11.12,17.3
31,3,1981,19.6,9.2,0,18.69
1,4,1981,20.57,8.8,8.88,14.77
2,4,1981,20.24,9.12,9.69,16.07
3,4,1981,19.21,9.04,0,22.52
4,4,1981,20.28,8.19,0,24.44
5,4,1981,19.05,9,0,21.37
6,4,1981,19.44,8.57,0,21.89
7,4,1981,20.58,8.65,0,23.95
8,4,1981,19.54,8.19,0,21.63
9,4,1981,19.36,8.75,0,23.22
10,4,1981,19.33,8.83,0,21.32
11,4,1981,19.02,8.94,0,20.05
12,4,1981,20.68,8.71,0.22,20
13,4,1981,19.07,8.34,0,20.73
14,4,1981,19.42,8.56,0,22.69
15,4,1981,24.12,8.91,0,20.93
16,4,1981,21.05,9.06,0,23.46
17,4,1981,19.98,8.67,0,22.32
18,4,1981,19.29,8.35,0,21.59
19,4,1981,18.64,8.33,0,23.8
20,4,1981,19.09,8.88,3.69,23.79
21,4,1981,18.78,8.26,0,23.54
22,4,1981,18.51,8.53,0,19.84
23,4,1981,18.53,8.54,0,23.21
24,4,1981,15.51,8.93,21.68,11.79
