day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.53,14.39,0,20.29
2,1,1981,26.24,14.97,0,19.97
3,1,1981,27.31,14.55,0,21.18
4,1,1981,26.59,14.35,0,21.92
5,1,1981,26.12,14.18,0.18,21.87
6,1,1981,25.63,14.51,0,21.58
7,1,1981,25.23,13.22,0,22.54
8,1,1981,24.9,12.43,0,22.64
9,1,1981,24.65,13.22,0,21.97
10,1,1981,26.26,13.63,0,21.69
11,1,1981,26.21,14.58,0,21.31
12,1,1981,25.03,15.71,0,17.54
13,1,1981,24.08,14.3,0,18.26
14,1,1981,24.28,15.61,0,16.95
15,1,1981,24.94,15.34,0,19.09
16,1,1981,25.04,13.82,2.24,22.23
17,1,1981,26.06,13.42,0,22.51
18,1,1981,26.77,14.25,0.37,22
19,1,1981,25.86,13.93,1.65,21.03
20,1,1981,26.58,14.28,0.97,22.17
21,1,1981,27.08,13.89,0,22.44
22,1,1981,26.05,15.7,0,19.73
23,1,1981,27.57,15.38,0,22.35
24,1,1981,27.75,14.75,0,23.01
25,1,1981,28.42,14.51,0,23.34
26,1,1981,28.22,14.69,0,23.17
27,1,1981,26.85,15.04,0,22.87
28,1,1981,25.76,14.66,0,21.1
29,1,1981,24.98,14.15,0,21.03
30,1,1981,25.81,13.43,0,23.93
31,1,1981,25.68,12.96,0,24.3
1,2,1981,25.98,12.96,0,24.17
2,2,1981,25.37,13.51,0,22.88
3,2,1981,25.53,13.43,0,22.42
4,2,1981,24.23,13.93,0,20.06
5,2,1981,25.25,14.33,0,22.4
6,2,1981,26.58,13.88,0,24.02
7,2,1981,26.11,13.87,0,22.72
8,2,1981,26.66,13.96,0,23.72
9,2,1981,27.22,14.29,0,22.86
10,2,1981,25.65,16.19,0,19.06
11,2,1981,19.58,15.77,17.66,7.18
12,2,1981,20.72,15.23,0,11.04
13,2,1981,21.26,16,0,12.68
14,2,1981,21.43,15.45,0,11.55
15,2,1981,21.67,15.66,1.7,13.5
16,2,1981,23.12,15.01,0,17.4
