day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.21,14.14,0,21.25
2,1,1981,27.74,15.03,0,20.8
3,1,1981,28.45,14.67,0,21.56
4,1,1981,27.58,15.66,0,21.89
5,1,1981,26.95,15.37,0,20.11
6,1,1981,27.04,15.89,0,20.49
7,1,1981,26.38,14.17,0,22.39
8,1,1981,26.03,12.59,0,22.41
9,1,1981,25.57,13.9,0,21.17
10,1,1981,27.5,13.86,0,21.75
11,1,1981,27.28,15,0,22.16
12,1,1981,26.28,15.41,0,21.34
13,1,1981,24.33,15.65,0,13.43
14,1,1981,24.87,15.67,0,14.7
15,1,1981,25.51,15.44,0.11,20.32
16,1,1981,26.03,13.94,0.38,21.59
17,1,1981,25.87,13.55,0,22.18
18,1,1981,27.42,14.41,0.39,21.7
19,1,1981,26.47,14.38,3.22,21.34
20,1,1981,27.46,15.47,2.83,22.2
21,1,1981,27.36,14.15,0,22.59
22,1,1981,27.46,15.34,0,20.48
23,1,1981,28.61,15.62,0,22.5
24,1,1981,28.75,15.37,0,22.86
25,1,1981,29.21,14.58,0,23.1
26,1,1981,29.03,14.78,0,23.05
27,1,1981,27.99,15.01,0,23.03
28,1,1981,25.97,16.15,0,17.49
29,1,1981,25.8,15.12,0,19.14
30,1,1981,26.62,13.9,0,23.61
31,1,1981,26.72,12.49,0,23.89
1,2,1981,26.93,13.9,0,23.49
2,2,1981,26.45,15.33,0,21.23
3,2,1981,25.92,14.71,0,19.28
4,2,1981,24.23,13.99,0,15.38
5,2,1981,26.36,14.66,0,22.62
6,2,1981,26.72,14.05,0,22.31
7,2,1981,27.13,14.01,0,22.94
8,2,1981,27.48,14.34,0,23.73
9,2,1981,27.62,14.24,0,23.48
10,2,1981,26.94,16.45,0,19.34
11,2,1981,19.43,15.98,8.71,3.92
12,2,1981,23.26,15.06,0,12.1
13,2,1981,24.15,16.49,0.27,11.91
14,2,1981,22.81,16.27,0.54,8.13
15,2,1981,24.67,16.61,1.89,12.68
16,2,1981,25.9,14.82,0,17.64
17,2,1981,27.03,16.19,3.68,20.79
18,2,1981,25.5,16.69,0,17.24
19,2,1981,27.67,16.46,0,19.66
20,2,1981,28.66,16.09,0,23.99
21,2,1981,29.29,15.45,0,24.29
22,2,1981,29.77,15.81,0,24.62
23,2,1981,30.03,15.18,0,24.83
24,2,1981,30.68,15.22,0,24.62
25,2,1981,29.28,16.24,0,24.18
26,2,1981,28.68,16.53,0,23.44
27,2,1981,29.28,16.07,0.91,23.69
28,2,1981,30.65,16.28,0,24.79
1,3,1981,30.25,16.92,8.05,23.41
2,3,1981,28.89,17.95,6.41,20.79
3,3,1981,23.7,17.55,5.04,13.21
4,3,1981,23.44,16.51,15.18,15.19
5,3,1981,21.67,16.55,10.61,10.71
6,3,1981,23.83,16.42,2.9,18.74
7,3,1981,22.35,16.77,0,10.85
8,3,1981,24.59,16.29,0,19.12
9,3,1981,26.59,15.28,5.51,24.1
10,3,1981,27.62,16.09,4.81,22.89
11,3,1981,28.05,17.22,0.33,21.7
12,3,1981,30.5,17.61,2.32,22.96
13,3,1981,29.75,18.5,6.41,20.63
14,3,1981,24.65,17.56,12.97,16.81
15,3,1981,22.99,17.36,16.62,15.77
16,3,1981,24.66,17.3,0,15.75
17,3,1981,25.41,16.7,0.76,17.3
18,3,1981,23.33,17.3,12,15.38
19,3,1981,22.37,17.74,9.75,13.28
20,3,1981,24.27,17.47,12.24,17.25
21,3,1981,25.85,17.42,3.4,19.4
22,3,1981,23.95,17.64,0.94,16.87
23,3,1981,24.58,16.56,15.29,20.28
24,3,1981,25.07,16.53,8.28,20.67
25,3,1981,26.11,17.16,0,23.5
26,3,1981,26.78,17.53,13.66,21.21
27,3,1981,25.05,17.65,16,18.56
28,3,1981,22.83,17.49,2.91,14.25
29,3,1981,23.4,17.04,20.21,14.02
30,3,1981,23.99,17.09,0,18.44
31,3,1981,24.69,16.96,0,20.89
1,4,1981,23.23,17.33,18.18,15.48
2,4,1981,24.1,17.36,3.16,16.81
3,4,1981,25.57,17.23,1.64,23.1
4,4,1981,25.67,17.13,0,22.55
5,4,1981,25.77,17.4,0,21.86
6,4,1981,25.04,16.88,0,20.73
7,4,1981,27.3,16.89,0,24.85
8,4,1981,27.2,17.35,0,22.79
9,4,1981,27.1,17.13,0,23.67
10,4,1981,26.8,18.02,0,22.05
11,4,1981,27.87,18.48,0,23.29
12,4,1981,26.85,18.74,4.52,20.33
13,4,1981,26.21,18.98,0,18.84
14,4,1981,27.11,18.34,0,20.25
15,4,1981,28.44,18.09,0,23.41
16,4,1981,27.91,18.7,0,24.41
17,4,1981,26.72,18.55,0.43,21.42
18,4,1981,25.75,17.68,0,21.88
19,4,1981,26.01,17.32,1.19,22.04
20,4,1981,25.73,17.71,0.5,22.63
21,4,1981,26.13,17.24,3.24,23.32
22,4,1981,27.22,17.35,3.7,22.36
23,4,1981,27.66,17.86,4.49,23.51
24,4,1981,24.98,17.72,7.55,13.77
25,4,1981,25.84,18.02,4.6,20.26
26,4,1981,27.34,17.4,0,25.01
27,4,1981,27.53,18.16,0,23.69
28,4,1981,28.35,19.35,0,23.07
29,4,1981,29.69,18.08,0,25.77
30,4,1981,30.36,17.28,0,26.04
1,5,1981,29.8,19.43,1.4,24.78
2,5,1981,29.79,19.34,0,23.72
3,5,1981,30.13,18.94,4.19,24.27
4,5,1981,30.68,19.36,4.19,24.52
5,5,1981,31.11,18.96,4.19,25.24
6,5,1981,31.77,19.22,0,24.52
7,5,1981,31.64,19.54,0,25.16
8,5,1981,31.16,21.18,0,23.52
9,5,1981,30.72,20.7,0,24.01
10,5,1981,30.88,20.7,0,25.56
11,5,1981,30.94,20.88,0,23.9
12,5,1981,31.17,20.34,0,22.65
13,5,1981,31.42,20.07,0,23.5
14,5,1981,31.42,21.56,0,22.01
15,5,1981,32.66,20.05,0,26.36
16,5,1981,33.1,18.33,0,26.39
17,5,1981,33.34,21.24,0,24.35
18,5,1981,33.77,20.7,0,24.82
19,5,1981,32.95,21.96,0.41,22.95
20,5,1981,33.1,21.71,0,22.63
21,5,1981,31.94,22,0,20.29
22,5,1981,32.27,21.78,0,23
23,5,1981,32.96,19.65,0,25.11
24,5,1981,33.12,20.04,0.12,24.67
25,5,1981,33.77,20.15,0,24.92
26,5,1981,34.58,19.99,0,24.62
27,5,1981,34.6,20.78,0,24.62
28,5,1981,34.2,20.95,0,24.36
29,5,1981,33.65,21,0.92,22.34
30,5,1981,32.83,21.81,0.51,19.87
31,5,1981,32.88,21.35,1.25,18.65
1,6,1981,34.03,21.71,0,21.26
2,6,1981,34.57,22.49,0,21.92
3,6,1981,34.59,22.4,0,22.17
4,6,1981,35.26,21.38,0,23.01
5,6,1981,34.33,20.61,0,22.27
6,6,1981,34.7,22.64,0,21.38
7,6,1981,34,22.38,0,21.32
8,6,1981,33.93,22.51,0,21.73
9,6,1981,33.34,22.97,0,20.12
10,6,1981,34.37,22.16,0,20.23
11,6,1981,34.83,22.42,0,19.92
12,6,1981,34.89,21.61,0,22.3
13,6,1981,35.34,20.9,0,22.39
14,6,1981,35.14,20.45,0,22.29
15,6,1981,35.41,20.01,0,21.89
16,6,1981,35.67,22.42,0,21.57
17,6,1981,35.23,22.12,0,21.86
18,6,1981,35.41,21.4,0,22.12
19,6,1981,35.09,21.14,0,21.65
20,6,1981,35.52,21.41,0,22.18
21,6,1981,35.2,22.05,0,21.09
22,6,1981,35.04,23.13,0,20.78
23,6,1981,35.09,22.56,0,21.48
24,6,1981,34.99,22.1,0,20.31
25,6,1981,35.63,21.47,0,20.81
26,6,1981,35.86,21.19,0,22.12
27,6,1981,35.03,21.62,0,21.16
28,6,1981,35.4,23.42,0,20.64
29,6,1981,35.44,23.3,0.1,20.84
30,6,1981,35.63,23.59,0.1,21.66
1,7,1981,35.88,22.46,2.2,22.03
2,7,1981,35.36,22.76,2.2,18.02
3,7,1981,35.18,22.93,11.27,20.96
4,7,1981,33.61,21.51,2.2,19.43
5,7,1981,32.09,21.44,6.5,20.89
6,7,1981,32.37,20.88,0,21.49
7,7,1981,33.01,20.88,0,21.3
8,7,1981,33.75,21.13,0,21.44
9,7,1981,34.21,21.39,22.82,20.57
10,7,1981,34.08,21.69,12.22,20.8
11,7,1981,32.72,20.8,3.36,19.09
12,7,1981,31.78,20.85,28.82,21.33
13,7,1981,32.67,21.74,0,21.22
14,7,1981,34.08,20.61,0,21.65
15,7,1981,34.42,20.4,0,20.96
16,7,1981,33.48,22.35,0,16.25
17,7,1981,33.14,22.96,0,17.04
18,7,1981,34.02,21.9,0,21.11
19,7,1981,32.39,21.56,2.32,20.31
20,7,1981,32.63,21.85,30.2,18.99
21,7,1981,33.81,20.57,2.45,22.31
22,7,1981,34.19,20.8,0,21.11
23,7,1981,34.48,20.53,0,22.25
24,7,1981,35.17,21.28,18.75,21.45
25,7,1981,34.22,21.82,11.01,19.93
