day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,25.04,13.59,0,20.8
2,1,1981,26,13.13,0,20.86
3,1,1981,26.86,12.74,0,22.24
4,1,1981,26.25,12.5,0,22.68
5,1,1981,25.6,12.29,0,22.34
6,1,1981,25.22,13.16,0,22.17
7,1,1981,24.86,11.49,0,23.19
8,1,1981,24.67,10.22,0,23.37
9,1,1981,24.17,11.26,0,22.67
10,1,1981,25.76,11.79,0,22.25
11,1,1981,25.9,12.72,0,21.9
12,1,1981,25.04,13.82,0,19.8
13,1,1981,23.19,12.99,0,17.35
14,1,1981,23.84,14.04,0,16.78
15,1,1981,24.67,14.07,0,20.11
16,1,1981,24.63,12.63,0,23.13
17,1,1981,25.49,11.4,0,23.26
18,1,1981,26.13,12.49,0,22.28
19,1,1981,25.54,12.38,3.22,22.05
20,1,1981,26.19,12.6,3.22,23.09
21,1,1981,26.33,12.2,0,23.15
22,1,1981,25.6,14.26,0,20.23
23,1,1981,27.03,13.43,0,23.32
24,1,1981,27.25,12.59,0,23.83
25,1,1981,27.76,12.34,0,23.98
26,1,1981,27.57,12.61,0,23.91
27,1,1981,26.37,13.17,0,23.69
28,1,1981,24.94,13.13,0,20.67
29,1,1981,24.53,12.66,0,20.52
30,1,1981,25.39,11.63,0,24.5
31,1,1981,25.3,10.96,0,24.84
1,2,1981,25.52,11.19,0,24.67
2,2,1981,24.92,11.85,0,22.74
3,2,1981,25.22,11.5,0,22.72
4,2,1981,23.76,12.23,0,20.57
5,2,1981,24.8,13.35,0,23.19
6,2,1981,25.87,11.87,0,24.53
7,2,1981,25.53,11.74,0,23.47
8,2,1981,26.02,11.97,0,24.21
9,2,1981,25.97,12.16,0,22.77
10,2,1981,24.89,14.38,0.21,19.25
11,2,1981,18.18,14.22,12.11,7.61
12,2,1981,20.6,13.76,0,12.21
13,2,1981,21.2,14.33,0,13.65
14,2,1981,20.96,13.89,0,11.82
15,2,1981,21.55,14.04,0,15.04
16,2,1981,22.7,13.27,0,19.47
17,2,1981,23.55,14.2,4.39,20.91
18,2,1981,22.46,14.62,0,16.45
19,2,1981,24.52,13.76,0,20.63
