day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.51,15.53,0,21.33
2,1,1981,27.97,16.5,0,21.21
3,1,1981,28.79,14.95,0,21.87
4,1,1981,27.94,14.76,0,22.06
5,1,1981,27.42,14.77,0,21.68
6,1,1981,27.24,15.82,0,21.71
7,1,1981,26.71,14.17,0,22.67
8,1,1981,26.33,13.25,0,22.62
9,1,1981,25.96,14.15,0,21.64
10,1,1981,27.84,14.28,0,22.03
11,1,1981,27.82,15.04,0,22.3
12,1,1981,26.66,16.28,0,20.46
13,1,1981,25.65,15.52,0,17.51
14,1,1981,25.4,16.42,0,17.39
15,1,1981,25.86,16.84,0,20.84
16,1,1981,26.1,14.95,0,22.34
17,1,1981,26.57,14.88,0,22.3
18,1,1981,27.77,15.86,0.59,22.15
19,1,1981,26.91,15.52,3.22,20.78
20,1,1981,27.57,16.5,2.62,22.4
21,1,1981,27.65,15.4,0,22.75
22,1,1981,27.41,16.18,0,20.22
23,1,1981,28.7,16.15,0,22.6
24,1,1981,28.97,16.58,0,23.11
25,1,1981,29.48,15.11,0,23.36
26,1,1981,29.37,15.27,0,23.26
27,1,1981,28.17,15.33,0,23.32
28,1,1981,26.61,16.06,0,19.84
29,1,1981,25.61,15.09,0,19.88
30,1,1981,26.85,14.54,0,23.89
31,1,1981,26.95,13.37,0,24.19
1,2,1981,27.09,13.33,0,23.93
2,2,1981,26.56,15.1,0,22.03
3,2,1981,25.88,14.55,0,20.87
4,2,1981,25.1,14.74,0,17.75
5,2,1981,26.56,16.47,0,22.72
6,2,1981,27,14.98,0,22.54
7,2,1981,27.1,15.05,0,22.42
8,2,1981,27.65,16.16,0,24.05
9,2,1981,27.83,14.64,0,23.46
10,2,1981,27.17,17.3,0,19.52
11,2,1981,19.83,16.92,12.83,4.86
12,2,1981,22.86,15.81,0,11.23
13,2,1981,24.16,17.74,0,11.72
14,2,1981,23.43,17.13,1.09,9.48
15,2,1981,24.61,17.31,1.42,13.21
16,2,1981,26.27,16.5,0,18.12
17,2,1981,27.43,17.17,3.46,20.48
18,2,1981,25.43,17.64,0,16.24
19,2,1981,28.04,17.57,0,19.8
20,2,1981,28.95,17.65,0,23.92
21,2,1981,29.53,16.45,0,24.3
22,2,1981,30.06,15.69,0,24.87
23,2,1981,30.39,15.57,0,25.03
24,2,1981,31.3,16.28,0,24.81
25,2,1981,29.6,16.41,0,24.16
26,2,1981,29.16,16.76,0,24.9
27,2,1981,29.66,16.58,0,23.56
28,2,1981,30.92,16.68,0,24.58
1,3,1981,30.75,16.85,6.55,23.51
2,3,1981,29.87,18.66,6.24,21.14
3,3,1981,25.3,18.21,6.41,15.68
4,3,1981,23.64,17.25,17.07,15.13
5,3,1981,21.74,17.27,10.65,10.64
6,3,1981,23.86,17.15,3.78,18.25
7,3,1981,23.19,17.44,0,13.24
8,3,1981,24.9,16.71,0,19.42
9,3,1981,27.24,16.66,0,25.02
10,3,1981,27.75,16.14,5.71,22.76
11,3,1981,27.86,18.04,0.65,21.19
12,3,1981,30.15,17.5,0,22.57
13,3,1981,29.1,18.1,3.17,20.02
14,3,1981,26.39,18.44,12.22,18.29
15,3,1981,24.02,17.66,16.07,16.42
16,3,1981,24.45,18.01,0,16.35
17,3,1981,26.33,17.5,0,18.54
18,3,1981,24.18,17.97,8.74,16.43
19,3,1981,23.5,17.92,9.12,16.8
20,3,1981,24.79,17.99,11.25,18.99
21,3,1981,26.07,17.93,3.48,20.95
22,3,1981,24.54,18.18,1.08,18.48
23,3,1981,25.15,17.32,13.81,19.93
24,3,1981,25.53,17.09,8.89,20.59
25,3,1981,27.01,18.59,0,24.52
26,3,1981,27.74,18.37,4.78,21.83
27,3,1981,24.94,18.41,17.24,16.38
28,3,1981,23.31,18.32,2.37,14.43
29,3,1981,23.4,17.65,22.08,14.58
30,3,1981,24.29,17.74,0,19.27
31,3,1981,24.79,18.07,0,20.67
1,4,1981,23.82,17.37,15.62,18.26
2,4,1981,23.79,18.3,1.93,16.51
3,4,1981,25.82,18.39,2.88,23.54
4,4,1981,25.53,17.59,0,21.55
5,4,1981,26.22,18.07,0,23.12
6,4,1981,25.35,17.67,0,21.19
7,4,1981,27.19,17.37,0,24.8
8,4,1981,26.94,17.88,0,23.3
9,4,1981,27.27,17.64,0,24.02
10,4,1981,27.15,18.94,0,21.78
11,4,1981,28.2,19.4,0,22.22
12,4,1981,26.93,19.36,0.82,19.56
13,4,1981,27.2,19.38,0,19.41
14,4,1981,27.61,19.02,0,21.8
15,4,1981,28.48,19.02,0,23.42
16,4,1981,28.81,19.89,0,24.35
17,4,1981,27.09,19.19,0,21.56
18,4,1981,25.8,18.57,0,20.28
19,4,1981,26.42,18.34,2.82,22.46
20,4,1981,25.96,18.67,2.76,22.05
21,4,1981,26.44,18.14,4.96,22.43
22,4,1981,27.05,18.49,5.46,20.25
23,4,1981,28.18,18.84,5.46,23.8
24,4,1981,25.14,18.95,10.54,13.81
25,4,1981,27.13,18.61,5.46,23.17
26,4,1981,27.72,18.62,0,24.35
27,4,1981,28.05,18.9,0,22.64
28,4,1981,29.07,19.02,0,23.63
29,4,1981,30.37,18.51,0,25.96
30,4,1981,31.12,18.59,0,25.57
1,5,1981,30.31,20.27,1.17,24.06
2,5,1981,30.2,20.29,0,24.3
3,5,1981,30.91,20.1,2.64,24.53
4,5,1981,31.15,20.62,2.64,24.15
5,5,1981,31.68,19.95,2.64,24.89
6,5,1981,32.82,19.87,0,25.76
7,5,1981,32.36,20.53,0,25.16
8,5,1981,32.22,21.72,0,24.44
9,5,1981,31.52,21.88,0,24.58
10,5,1981,31.57,21.86,0,25.22
11,5,1981,31.94,21.46,0,24.33
12,5,1981,31.45,21.47,0,22.6
13,5,1981,32.14,20.61,0,24.23
14,5,1981,32.09,21.84,0,22.56
15,5,1981,33.16,20.08,0,26.52
16,5,1981,33.43,19.98,0,26.42
17,5,1981,33.64,21.46,0,24.46
18,5,1981,33.92,21.92,0,24.86
19,5,1981,33.17,21.61,0.58,22.41
20,5,1981,33.39,22.1,0,23.57
21,5,1981,32.68,21.88,0,21.75
22,5,1981,32.54,22.31,0,22.86
23,5,1981,33.19,21.46,0,24.98
24,5,1981,33.33,21.91,0,24.2
25,5,1981,33.83,21.32,0,24.99
26,5,1981,34.55,20.59,0,24.74
27,5,1981,34.49,20.73,0,24.65
28,5,1981,34.02,21.32,0,24.31
29,5,1981,33.65,20.96,2.45,22.42
30,5,1981,32.79,22.04,2.45,18.85
31,5,1981,32.85,21.46,3.96,18.96
1,6,1981,34.27,21.97,0,22.18
2,6,1981,34.59,22.79,0,21.71
3,6,1981,34.72,21.8,0,22.53
4,6,1981,35.17,21.71,0,22.93
5,6,1981,34.26,21.55,0,22.67
6,6,1981,34.34,21.99,0,21.33
7,6,1981,33.74,22.79,0,21.17
8,6,1981,33.69,23.09,0,21.6
9,6,1981,32.99,21.71,0,20.49
10,6,1981,34.05,21.83,0,20.14
11,6,1981,34.61,21.76,0,20.58
12,6,1981,34.42,21.94,0,22.05
