day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.56,14.94,0,21.07
2,1,1981,28.69,16.22,0,20.37
3,1,1981,30.1,16.04,0,21.47
4,1,1981,29.17,15.67,0,22.11
5,1,1981,28.8,15.5,0,22.45
6,1,1981,28.09,15.54,0,21.93
7,1,1981,27.7,14.44,0,22.98
8,1,1981,27.33,13.84,0,23.01
9,1,1981,27.07,14.54,0,22.23
10,1,1981,28.95,14.87,0,22.29
11,1,1981,28.73,15.83,0,21.89
12,1,1981,27.33,17.12,0,17.09
13,1,1981,26.9,15.29,0,20.42
14,1,1981,26.66,16.76,0,18.8
15,1,1981,26.9,16.71,0,19.82
16,1,1981,27.6,15.15,0,22.5
17,1,1981,28.58,14.82,0,22.74
18,1,1981,29.7,15.58,0,22.7
19,1,1981,28.45,15.44,0,21.4
20,1,1981,29.06,15.68,0,22.36
21,1,1981,29.83,15.12,0,22.85
22,1,1981,28.88,16.93,0,20.54
23,1,1981,30.37,16.86,0,22.42
24,1,1981,30.29,16.52,0,22.91
25,1,1981,31.26,16.15,0,23.65
26,1,1981,31.19,16.34,0,23.45
27,1,1981,29.6,16.52,0,23.17
28,1,1981,28.56,15.83,0,22.46
29,1,1981,27.33,15.46,0,22.37
30,1,1981,28.23,14.64,0,24.24
31,1,1981,28.22,14.08,0,24.61
1,2,1981,28.43,14.63,0,24.5
2,2,1981,27.76,14.59,0,23.83
3,2,1981,27.85,14.78,0,23.18
4,2,1981,26.79,15.01,0,21.12
5,2,1981,27.63,15.5,0,22.49
6,2,1981,29.23,15.37,0,24.29
7,2,1981,28.45,15.22,0,22.98
8,2,1981,29.36,15.3,0,24.05
9,2,1981,29.89,15.7,0,23.71
10,2,1981,28.78,17.36,0,20.08
11,2,1981,22.5,17.32,16.59,9.98
12,2,1981,23.09,16.54,10.35,11.88
13,2,1981,23.38,17.3,0,13.83
14,2,1981,24.01,16.84,0,13.27
15,2,1981,24.33,16.96,0,15.04
16,2,1981,25.6,16.42,0,17.3
17,2,1981,26.94,16.77,2.09,20.44
18,2,1981,26.11,17.35,0.63,16.39
19,2,1981,28.19,16.79,0,21.77
20,2,1981,28.72,17.12,0,23.5
21,2,1981,29.55,16.47,0,24.09
22,2,1981,30.42,16.17,0,25.34
23,2,1981,31.23,16.18,0,25.22
24,2,1981,32.58,16.84,0,25.14
25,2,1981,31.51,17.3,0,25.24
26,2,1981,30.49,17.01,0,24.68
27,2,1981,30.67,16.52,0,24.19
28,2,1981,31.67,16.97,0,23.92
1,3,1981,31.72,17.26,0,23.9
2,3,1981,30.28,19.26,15.05,20.35
3,3,1981,25.08,18.09,26.66,16.55
4,3,1981,26.09,17.81,4.99,16.69
5,3,1981,22.63,17.95,10.02,12.95
6,3,1981,24.8,17.53,6.12,19.09
7,3,1981,24.43,17.68,0,16.99
8,3,1981,26.21,16.56,0,21.63
