day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.14,16.28,0,21.02
2,1,1981,29.47,16.66,0,21.25
3,1,1981,29.2,17.01,0,20.77
4,1,1981,28.7,17.48,0,19.74
5,1,1981,29.2,17.1,0,20.05
6,1,1981,29.07,17.74,0,19.82
7,1,1981,28.43,17.69,0,20.31
8,1,1981,29.34,15.98,0,22.02
9,1,1981,29.92,14.87,0,22.06
10,1,1981,30.07,15.41,0,21.92
11,1,1981,29.94,15.82,0,21.78
12,1,1981,29.41,17.23,0,21.09
13,1,1981,29.12,16.75,0,21.22
14,1,1981,29.47,16.43,0,21.47
15,1,1981,29.97,15.95,0,21.15
16,1,1981,29.87,16.62,0,21.22
17,1,1981,29.63,18.46,0,20.19
18,1,1981,29.83,18.2,0,19.89
19,1,1981,29.82,17.72,2.51,20.28
20,1,1981,29.86,17.42,0,20.51
21,1,1981,29.82,18.09,0,20.94
22,1,1981,29.44,18.27,0,19.63
23,1,1981,29.93,18.43,0,20.51
24,1,1981,29.95,17.42,0,21.36
25,1,1981,31.36,16.2,0,22.54
26,1,1981,31.52,16.32,0,22.59
27,1,1981,29.9,17.29,3.17,21.52
28,1,1981,30.52,17.17,0,21.8
29,1,1981,29.2,17.53,0,20.02
30,1,1981,30.42,17.88,0,21.66
31,1,1981,30.93,17.93,0,22.81
1,2,1981,30.44,15.23,0,23.2
2,2,1981,30.72,15.56,0,22.95
3,2,1981,30.38,15.54,0,23.31
4,2,1981,31.01,15.61,0,23.14
5,2,1981,31.44,15.89,0,22.77
6,2,1981,31.56,16.74,0,22.89
7,2,1981,31.01,17.03,0,22.3
8,2,1981,31.72,18.05,0,22.72
9,2,1981,29.21,18.51,0.18,18.72
10,2,1981,25.38,18.28,0,19.26
11,2,1981,27.79,16.37,0,22.8
12,2,1981,29.27,14.73,0,23.41
13,2,1981,30,14.57,0,23.88
14,2,1981,30.22,13.92,0,24.31
15,2,1981,30.75,14.45,0,23.92
16,2,1981,31.15,15.6,0,24.21
17,2,1981,31.16,15.66,0,23.99
18,2,1981,31.8,16.09,0,23.91
19,2,1981,32.35,16.77,0,23.7
20,2,1981,33.12,17.13,0,23.57
21,2,1981,33.86,17.98,0,23.61
22,2,1981,34.27,17.64,0,24.08
23,2,1981,34.41,17.81,0,23.83
24,2,1981,33.97,18.46,0,23.29
25,2,1981,33.89,18.64,0,23.8
26,2,1981,33.85,18.32,0,24.18
27,2,1981,32.81,18.46,0.02,22.93
28,2,1981,32.49,20.87,0,23.32
1,3,1981,32.59,18.11,0,23.75
2,3,1981,32.04,17.87,0,24.07
3,3,1981,31.05,17.42,0,24.89
4,3,1981,32.37,16.93,0,24.6
5,3,1981,31.92,17.43,0,24.75
6,3,1981,31.65,16.98,0,25.11
7,3,1981,32.37,17.23,0,24.83
8,3,1981,33.2,17.85,0,24.11
9,3,1981,33.04,21.6,0,21.64
10,3,1981,32.02,21.26,0,23.71
11,3,1981,33.49,19.14,0,23.58
12,3,1981,34.32,20.87,0,22.93
13,3,1981,31.93,21.23,0,21.32
14,3,1981,31.89,19.86,0,23.43
15,3,1981,32.92,19.47,0,24.34
16,3,1981,33.43,18.68,0,25.5
17,3,1981,33.32,18.02,0,25.66
18,3,1981,33.17,18.87,0,24.75
19,3,1981,32.92,19.58,0,23.21
20,3,1981,32.62,21.26,0,23.06
21,3,1981,32.41,21.47,0,23.98
22,3,1981,32.12,21.02,0,24.18
23,3,1981,32.62,19.39,0,24.21
24,3,1981,33.48,19.19,0,26.12
25,3,1981,32.07,20.32,4.11,23.63
26,3,1981,29.61,20.66,9.78,20.08
27,3,1981,30.1,18.89,0,23.14
28,3,1981,29.82,18.15,0,23.62
29,3,1981,31.1,18.75,0,22.98
30,3,1981,30.95,18.56,1.62,22.43
31,3,1981,31.67,18.38,0,25.64
1,4,1981,31.57,18,0,25.56
2,4,1981,32.76,17.81,0,26.02
3,4,1981,33.26,18.32,0,25.26
4,4,1981,33.22,19.17,0,24.94
5,4,1981,32.53,19.62,0,23.61
6,4,1981,33.3,21.14,0,24.03
7,4,1981,32.2,20.05,0,23.02
8,4,1981,32.49,20.86,0,23.08
9,4,1981,33.03,20.08,3.64,24.76
10,4,1981,33.35,19.79,0,24.44
11,4,1981,33.79,19.61,0,26.4
12,4,1981,32.83,19.29,0,24.52
13,4,1981,33.38,19.2,0,25.39
14,4,1981,33.49,19.62,0,25.61
15,4,1981,33.99,20.14,0,25.57
16,4,1981,34.16,19.9,0,26.94
17,4,1981,34.63,19.22,0,26.63
18,4,1981,34.7,20.3,0,24.84
19,4,1981,34.78,21.15,0,23.14
20,4,1981,34.33,20.37,0,24.55
21,4,1981,33.64,20.05,6.05,23.3
22,4,1981,32.04,20.32,9.99,22.89
23,4,1981,30.99,21.1,0,23.53
24,4,1981,30.71,19.35,19.46,23.13
25,4,1981,32.26,18.84,0,24.99
26,4,1981,32.7,18.77,0,24.6
27,4,1981,34.09,19.45,0,26.44
28,4,1981,34.92,19.16,0,25.67
29,4,1981,35.66,19.26,0,25.98
30,4,1981,35.45,19.78,0,26.05
1,5,1981,34.35,19.88,0,25.75
2,5,1981,34.95,20.27,0,25.88
3,5,1981,35.18,20.6,0,25
4,5,1981,35.03,20.93,0,25.26
5,5,1981,34.76,20.79,0,25.19
6,5,1981,35.22,20.97,0,25.94
7,5,1981,33.25,21.23,0,24.62
8,5,1981,29.52,20.87,6.57,18.85
9,5,1981,29.16,20.76,0,21.51
10,5,1981,31.54,19.56,0,23.43
11,5,1981,32.57,19.82,0,25.64
12,5,1981,31.06,20.23,7.17,20.94
13,5,1981,30.85,20.15,19.63,21.71
14,5,1981,30.23,20.07,0,18.89
15,5,1981,31.09,19.86,0,21.23
16,5,1981,30.71,19.68,0,22.31
17,5,1981,30.45,20.09,0,22.17
18,5,1981,29.8,20.3,0,21.51
19,5,1981,29.69,18.6,0,23.64
20,5,1981,31.07,19.56,6.25,23.18
21,5,1981,30.39,19.72,12.27,21.62
22,5,1981,30.96,19.96,0,22.28
23,5,1981,31.72,19.62,0,23.4
24,5,1981,31.15,19.91,0,21.45
25,5,1981,31.05,19.93,0,20.29
26,5,1981,31.14,20.45,0,21.83
27,5,1981,33.81,19.86,0,24.79
28,5,1981,33.77,20.29,0,24.21
29,5,1981,33.81,20.97,0,21.82
30,5,1981,33.76,20.64,0,21.43
31,5,1981,33.86,20.59,0,21.51
1,6,1981,34.36,20.51,0,23.43
2,6,1981,32.88,20.82,0,22.76
3,6,1981,30.59,20.91,0,20.43
4,6,1981,31.74,20.33,0,21.72
5,6,1981,31.41,20.93,8.02,20.25
6,6,1981,29.77,20.36,0,20.38
7,6,1981,30.08,20.1,0,20.19
8,6,1981,29.85,19.63,0,21.02
9,6,1981,30.33,18.98,0,23.9
10,6,1981,31.14,19.65,4.67,21.52
11,6,1981,29.84,19.48,0,20.55
12,6,1981,31.33,19.69,0,21.85
13,6,1981,31.12,19.87,9.78,22.02
14,6,1981,28.33,19.09,0,21.42
15,6,1981,28.58,19.4,10.37,21.1
16,6,1981,28.72,19.32,0,20.94
17,6,1981,29.45,19.39,0,21.04
18,6,1981,30.77,18.85,14.9,21.68
19,6,1981,31.18,19.81,0,20.67
20,6,1981,30.43,19.8,11.97,20.24
21,6,1981,30,20.68,11.65,19.88
22,6,1981,29.35,19.38,9.06,20.14
23,6,1981,30.17,19.07,15.71,21.38
24,6,1981,30.26,19.25,19,21.21
25,6,1981,30.61,19.4,0,21.41
26,6,1981,28.49,18.69,4.77,19.47
