day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.38,15.24,0,20.16
2,1,1981,26.85,16.31,0,20.63
3,1,1981,27.09,15.97,0,20.62
4,1,1981,26.55,17.46,0,18.42
5,1,1981,26.55,16.1,0,19.41
6,1,1981,26.22,17.08,0,18.91
7,1,1981,25.3,16.37,0,18.44
8,1,1981,26.08,15.6,0,20.33
9,1,1981,27.2,15.9,0,20.12
10,1,1981,27.63,16.58,0,21.13
11,1,1981,27.37,15.86,0,21.76
12,1,1981,27.35,15.94,0,21.5
13,1,1981,27.09,15.92,0,21.12
14,1,1981,27.01,16.07,0,21.07
15,1,1981,27.27,15.84,0,20.64
16,1,1981,27.28,17.14,0,19.94
17,1,1981,27.62,17.81,0,20.85
18,1,1981,27.38,16.92,0,20.91
19,1,1981,27.03,16.61,0,20.86
20,1,1981,27.49,16.62,0,20.33
21,1,1981,26.31,16.9,0,20.7
22,1,1981,26.8,16.86,0,19.78
23,1,1981,27.75,18.09,0,20.53
24,1,1981,27.32,17.96,0,21.07
25,1,1981,27.91,16.98,0,20.68
26,1,1981,27.82,16.7,0,21.19
27,1,1981,26.95,16.77,0,21.63
28,1,1981,26.45,16.51,0,20.61
29,1,1981,25.97,16.67,1.55,19.86
30,1,1981,26.72,16.79,0,19.93
31,1,1981,27.55,16.26,0,21.74
1,2,1981,27.74,15.84,0,22.47
2,2,1981,28.14,15.36,0,22.53
3,2,1981,28.42,15.03,0,22.94
4,2,1981,27.82,14.52,0,22.86
5,2,1981,28.09,15.01,0,22.42
6,2,1981,28.18,15.52,0,22.36
7,2,1981,27.77,16.33,0,21.48
8,2,1981,27.93,17.04,0,21.11
9,2,1981,26.91,17.39,5.07,19.74
10,2,1981,25.07,16.76,0,22.64
11,2,1981,25.96,14.64,0,23.09
12,2,1981,26.99,13.97,0,23.2
13,2,1981,27.76,14.09,0,23.6
14,2,1981,28.02,12.72,0,24.04
15,2,1981,27.72,13.76,0.02,23.69
16,2,1981,28.12,14.2,0,23.97
17,2,1981,28.39,14.74,0,23.85
18,2,1981,28.99,14.92,0,23.73
19,2,1981,29.61,15.63,0,23.6
20,2,1981,29.88,16.28,0,23.49
21,2,1981,30.92,16.8,0,23.79
22,2,1981,30.82,17.66,0,23.45
23,2,1981,30.79,18.87,0,22.88
24,2,1981,30.52,18.49,0,22.87
25,2,1981,30.49,18.19,0,22.89
26,2,1981,29.96,17.86,0,22.98
27,2,1981,29.13,19.58,0,21.19
28,2,1981,29.99,19.3,0.06,22.99
1,3,1981,30.03,18.75,0,22.71
