day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.44,14.52,0,20.35
2,1,1981,26.79,16,0,20.41
3,1,1981,26.94,16.04,0,19.96
4,1,1981,26.38,15.85,0,18.18
5,1,1981,26.9,15.22,0,18.97
6,1,1981,26.57,15.67,0,17.84
7,1,1981,25.73,15.34,0,18.34
8,1,1981,27,14.78,0,21.58
9,1,1981,27.15,14.06,0,21.73
10,1,1981,27.6,14,0,21.42
11,1,1981,27.41,14.67,0,21.28
12,1,1981,27.42,15.62,0,20.7
13,1,1981,27.26,15.48,0,20.72
14,1,1981,27.25,15.21,0,20.8
15,1,1981,27.71,15.19,0,20.58
16,1,1981,27.62,15.46,0,19.87
17,1,1981,27.96,16.68,0,18.81
18,1,1981,27.46,17.14,0,19.07
19,1,1981,26.73,16.12,0,18.98
20,1,1981,27.6,16.12,0,19.65
21,1,1981,26.28,16.72,0,19.14
22,1,1981,26.39,16.63,0,17.91
23,1,1981,27.16,16.69,0,19.08
24,1,1981,27.26,16.04,0,20.86
25,1,1981,28.65,15.32,0,22.37
26,1,1981,28.61,15.18,0,22.28
27,1,1981,27.19,15.71,0,21.14
28,1,1981,27.19,15.33,0,20.94
29,1,1981,26.26,15.96,0,18.61
30,1,1981,27.47,16.45,0,20.27
31,1,1981,28.3,16.04,0,22.23
1,2,1981,28.22,14.52,0,23.3
2,2,1981,28.5,14.22,0,22.95
3,2,1981,28.73,14.27,0,23.33
4,2,1981,28.73,14.23,0,23.11
5,2,1981,28.61,14.48,0,22.17
6,2,1981,29.12,15.17,0,22.81
7,2,1981,28.85,15.73,0,21.98
8,2,1981,28.81,16.84,0,21.27
9,2,1981,26.07,17.24,0,17.92
10,2,1981,24.03,16.07,0,21.04
11,2,1981,25.79,14.35,0,22.84
12,2,1981,26.54,13.7,0,23.44
13,2,1981,27.42,13.57,0,24.03
14,2,1981,27.99,12.57,0,24.35
15,2,1981,27.68,13.47,0,24.06
16,2,1981,28.15,13.79,0,24.49
17,2,1981,28.62,14.06,0,24.24
18,2,1981,29.36,14.66,0,23.81
19,2,1981,30.19,15.27,0,23.62
20,2,1981,30.63,16.41,0,23.4
21,2,1981,31.56,16.77,0,23.75
22,2,1981,31.83,17.37,0,23.8
23,2,1981,31.72,17.76,0,23.01
24,2,1981,31.01,17.58,0,22.76
25,2,1981,31.87,17.24,0,23.76
26,2,1981,31.01,17.41,0,23.48
27,2,1981,29.32,16.99,0,22.3
28,2,1981,29.54,19.08,0,22.51
1,3,1981,30.4,17.5,0,24
2,3,1981,29.92,16.94,0,24.52
3,3,1981,28.84,16.47,0,25.05
4,3,1981,29.37,15.53,0,24.97
5,3,1981,28.85,16.01,0,25.12
6,3,1981,28.74,15.6,0,25.41
7,3,1981,30.11,15.72,0,25.14
8,3,1981,30.21,16.29,0,24.68
9,3,1981,29.67,19.44,0,22.31
10,3,1981,30.63,18.56,0,23.59
11,3,1981,30.17,18.14,0,22.46
12,3,1981,30.39,19.2,0,22.79
13,3,1981,28.57,19.95,2.25,21.76
14,3,1981,29.15,18.15,0,23.71
15,3,1981,29.11,17.64,0,25.16
16,3,1981,29.42,16.69,0,26.05
17,3,1981,29.52,16.54,0,26.12
18,3,1981,30.01,16.88,0,25.34
19,3,1981,29.78,17.8,0,23.33
20,3,1981,28.17,19.54,0,21.96
21,3,1981,28.96,19.41,0,24.13
22,3,1981,28.4,19.13,0,23
23,3,1981,29.98,17.36,0,24.75
24,3,1981,30.4,17.8,0,26.2
25,3,1981,27.42,19.11,2.25,20.54
26,3,1981,26.56,18.16,5.93,18.45
27,3,1981,26.82,17.06,0,21.85
28,3,1981,27.96,16.36,0,24.51
29,3,1981,28.61,17.35,0,23.06
30,3,1981,27.96,16.93,0,19.07
31,3,1981,28.61,16.44,0,25.74
1,4,1981,28.64,16.43,0,26.26
2,4,1981,29.43,16.1,0,26.85
3,4,1981,30.18,16.31,0,26.23
4,4,1981,30.13,17.11,0,24.07
5,4,1981,29.96,17.35,0,23.47
6,4,1981,30.46,18.27,0,23.57
7,4,1981,29.29,18.6,0,20.65
8,4,1981,29.17,19.77,0,17.12
9,4,1981,29.89,18.15,4.09,23.99
10,4,1981,30.71,17.9,0,25.27
11,4,1981,30.5,17.18,0,27
12,4,1981,29.56,17.56,0,24.52
13,4,1981,30.46,17.36,0,23.89
14,4,1981,30.84,17.67,0.71,26.19
15,4,1981,31.17,17.64,0,26.4
16,4,1981,31.5,17.63,0,27.46
17,4,1981,31.99,17.93,0,27.27
18,4,1981,31.61,18.68,0,23.71
19,4,1981,30.25,19.16,0,21.33
20,4,1981,30.1,18.66,0,22.6
21,4,1981,29.41,18.7,0,20.77
22,4,1981,27.76,19.11,29.74,20.31
23,4,1981,27.78,17.89,0,23.83
24,4,1981,27.31,17.63,0,22.42
25,4,1981,29.15,17.18,0,23.62
26,4,1981,29.74,17.46,0,24.68
27,4,1981,30.49,18.08,0,26.23
28,4,1981,31.61,17.88,0,26.38
29,4,1981,32.02,17.99,0,26.66
30,4,1981,30.37,18.34,0,23.95
1,5,1981,29.86,19.05,0,24.9
2,5,1981,31.29,18.32,0,25.26
3,5,1981,30.26,18.57,0,23.26
4,5,1981,31.35,18.93,0,23.84
5,5,1981,31.15,19,0,24.85
6,5,1981,32.08,18.44,0,24.91
7,5,1981,29.34,18.4,10.7,23.16
8,5,1981,24.98,18.48,0,16.59
9,5,1981,28.76,18.37,0,19.88
10,5,1981,29.24,17.23,0,22.11
11,5,1981,29.73,17.77,4.48,22.62
12,5,1981,27.57,18.31,0,18.67
13,5,1981,25.94,18.1,24.98,20.86
14,5,1981,27.39,18.35,0,19.99
15,5,1981,28.44,18.5,0,20.5
16,5,1981,27.13,17.54,0,21.86
17,5,1981,27.27,17.86,0,20.56
18,5,1981,26.48,18.15,7.69,19.99
19,5,1981,27.98,16.69,0,21.97
20,5,1981,26.26,17.58,4.26,20.33
21,5,1981,25.92,16.95,0,19.87
22,5,1981,25.86,17.44,4.92,20.83
23,5,1981,25.27,16.79,1.07,21.77
24,5,1981,24.97,17.22,6.56,20.36
25,5,1981,25.66,17.15,4.37,21.1
26,5,1981,25.61,17.55,5.53,21.43
27,5,1981,27.99,16.94,0,23.56
28,5,1981,26.65,17.46,0,23.31
29,5,1981,26.82,17.47,0,20.94
30,5,1981,27.29,17.89,0,19.3
31,5,1981,28.54,17.84,0,19.52
1,6,1981,28.59,17.68,0,21.69
2,6,1981,27.78,17.94,0,21.95
3,6,1981,24.69,18.13,0,17.78
4,6,1981,27.12,17.1,0,21.83
5,6,1981,25.62,17.43,8.62,19.89
6,6,1981,24.49,17.89,2.36,17.55
