day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,33.25,17.97,0,20.79
2,1,1981,34.41,19.38,0,20.67
3,1,1981,34.23,20.1,0,20.5
4,1,1981,33.46,21.26,0,17.87
5,1,1981,33.37,19.27,0,20.41
6,1,1981,32.18,21.37,0,18.54
7,1,1981,31.67,20.66,0,19.57
8,1,1981,32.94,19.4,0,20.66
9,1,1981,34.59,18.88,0,21.29
10,1,1981,34.91,19.53,0,21.25
11,1,1981,34.27,19.43,0,21.27
12,1,1981,33.33,19.92,0,20.47
13,1,1981,33.43,19.08,0,21.21
14,1,1981,33.31,18.39,0,21.35
15,1,1981,34.11,18.85,0,21.46
16,1,1981,34.29,19.78,0,20.68
17,1,1981,34.28,20.33,0,21.06
18,1,1981,32.99,19.69,0,21.23
19,1,1981,33.22,19.39,0,21.23
20,1,1981,34.42,19.86,0,21.26
21,1,1981,31.8,19.85,0,20.39
22,1,1981,33.24,21.24,0,19.86
23,1,1981,34.54,22.34,0,19.76
24,1,1981,34.22,21.97,0,19.94
25,1,1981,35.68,20.3,0,21.83
26,1,1981,34.56,20.63,0,21.03
27,1,1981,32.57,20.35,0,21.69
28,1,1981,32.91,19.41,0,21.51
29,1,1981,32.77,20.25,0,20.08
30,1,1981,33.02,21.66,0,19.77
31,1,1981,33.25,20.95,0,20.98
1,2,1981,33.96,18.58,0,22.42
2,2,1981,34.08,17.86,0,22.44
3,2,1981,34.43,17.24,0,22.72
4,2,1981,33.87,16.37,0,22.72
5,2,1981,34.07,17.21,0,22.62
6,2,1981,34.85,18.42,0,22.58
7,2,1981,35.22,19.98,0,21.28
8,2,1981,34.04,21.24,0,20.1
9,2,1981,33.65,22.15,0,20.55
10,2,1981,27.87,18.16,0,22.12
11,2,1981,30.19,14.96,0,22.76
12,2,1981,31.67,14.93,0,23.15
13,2,1981,32.32,14.97,0,23.59
14,2,1981,33.38,13.82,0,23.91
15,2,1981,34.06,15.37,0,23.56
16,2,1981,35.29,16.36,0,23.77
17,2,1981,35.19,18.2,0,23.64
18,2,1981,36.23,18.17,0,23.46
19,2,1981,37.01,19.38,0,23.48
20,2,1981,37.93,19.74,0,23.55
21,2,1981,38.56,22.25,0,23.55
22,2,1981,38.84,21.73,0,23.45
23,2,1981,39.08,23.3,0,23.06
24,2,1981,38.53,23.39,0,23.26
25,2,1981,38.38,22.27,0,22.98
26,2,1981,37.39,21.49,0,23.04
27,2,1981,36.63,22.25,0,21.62
28,2,1981,37.19,23.1,0,23.34
1,3,1981,37.68,22.04,0,24.23
2,3,1981,37.14,21.16,0,24.04
3,3,1981,35.67,20.2,0,24.39
4,3,1981,36.15,19.69,0,24.6
5,3,1981,36.07,19.28,0,24.6
6,3,1981,35.81,21.07,0,24.68
7,3,1981,36.54,20.02,0,24.64
