day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,33.42,19.62,0,20.58
2,1,1981,34.41,21.79,0,20.43
3,1,1981,34.6,21.34,0,20.43
4,1,1981,33.96,22.7,0,19.73
5,1,1981,33.22,20.69,0,19.98
6,1,1981,32.66,22.45,0,19.53
7,1,1981,32.29,21.94,0,20.07
8,1,1981,33.19,20.83,0,20.41
9,1,1981,34.78,21.63,0,19.81
10,1,1981,34.74,22.59,0,20.92
11,1,1981,34.17,22.06,0,21.4
12,1,1981,33.81,20.68,0,21.24
13,1,1981,33.89,21.4,0,21.32
14,1,1981,33.71,20.58,0,21.5
15,1,1981,34.01,20.14,0,21.28
16,1,1981,34.36,22.12,0,20.13
17,1,1981,34.98,22.66,0,21.11
18,1,1981,33.9,21.87,0,21.46
19,1,1981,33.48,21.7,0,21.05
20,1,1981,34.64,21.34,0,21.17
21,1,1981,31.77,21.29,0,20.3
22,1,1981,33.92,21.14,0,19.82
23,1,1981,35.08,23.49,0,19.87
24,1,1981,34.5,23.85,0,19.82
25,1,1981,35.28,23.13,0,20.34
26,1,1981,34.57,22.29,0,21.18
27,1,1981,32.64,22.25,0,21.81
28,1,1981,32.62,20.82,0.02,21.5
29,1,1981,32.25,21.77,0,19.48
30,1,1981,32.63,22.92,0,18.92
31,1,1981,33.45,21.41,0,21.58
1,2,1981,33.88,20.9,0,22.02
2,2,1981,33.72,20.32,0,22.37
3,2,1981,34.81,19.13,0,22.93
4,2,1981,34.01,18.87,0,22.94
5,2,1981,34.47,19.33,0,22.69
6,2,1981,34.63,19.62,0,22.67
7,2,1981,34.89,21.14,0,21.02
8,2,1981,34.58,22.2,0,20.82
9,2,1981,33.34,23.09,0,20.27
10,2,1981,29.62,21.12,0,23.08
11,2,1981,30.88,17.84,0,23.26
12,2,1981,32.43,17.32,0,23.39
13,2,1981,33.29,17.34,0,23.82
14,2,1981,33.81,16.54,0,24.23
15,2,1981,34.31,17.59,0,23.83
16,2,1981,35.3,18.63,0,24.14
17,2,1981,35.45,19.08,0,24.03
18,2,1981,36.36,19.71,0,23.83
19,2,1981,37.33,20.69,0,23.79
20,2,1981,37.89,21.75,0,23.65
21,2,1981,38.82,22.18,0,23.85
22,2,1981,38.74,22.99,0,23.58
23,2,1981,39.18,25.29,0,23.09
24,2,1981,39.04,26.77,0,22.58
25,2,1981,38.65,23.27,0,22.98
26,2,1981,37.06,22.96,0,23.01
27,2,1981,36.74,24.39,0,21.95
28,2,1981,37.92,24.4,0,23.31
1,3,1981,38.44,23.1,0,23.7
2,3,1981,38.23,22.9,0,23.99
3,3,1981,36.68,21.72,0,24.73
4,3,1981,36.55,20.3,0,24.82
5,3,1981,36.52,21.44,0,24.85
6,3,1981,36.81,21.31,0,24.97
7,3,1981,37.22,21.32,0,25.01
8,3,1981,37.86,21.91,0,24.96
9,3,1981,37.53,25.21,0,23.67
10,3,1981,38.37,25.01,0,24.14
11,3,1981,38.73,25.73,0,24.14
12,3,1981,36.47,26.5,0,22.6
13,3,1981,36.28,26.59,0,24.25
14,3,1981,36.85,25.07,0,24.18
15,3,1981,36.44,22.79,0,25.17
16,3,1981,36.71,22.34,0,25.64
17,3,1981,36.97,23.11,0,25.64
18,3,1981,38.16,22.96,0,25.44
19,3,1981,37.68,25.08,0,24.07
20,3,1981,35.84,24.88,0,21.41
21,3,1981,36.6,25.17,0,22.93
22,3,1981,36.57,25.88,0,22.06
23,3,1981,37.26,24.14,0,22.94
24,3,1981,37.47,24.83,0,23.6
25,3,1981,33.5,25.23,0,18.21
26,3,1981,30.11,22.77,1.72,17.01
27,3,1981,32.77,22.13,0,22.17
28,3,1981,33.93,19.35,0,25.83
29,3,1981,34.99,21.32,0,25.99
30,3,1981,36.51,20.46,0,25.99
31,3,1981,36.62,21.45,0,25.9
