day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.16,16.63,0,20.97
2,1,1981,29.75,18.1,0,20.74
3,1,1981,29.93,18.03,0,20.52
4,1,1981,29.06,19.85,0,18.62
5,1,1981,29.61,18.97,0,20.12
6,1,1981,28.79,19.43,0,18.53
7,1,1981,27.95,19.16,0,19.1
8,1,1981,29.41,17.92,0,21.42
9,1,1981,30.01,17.31,0,21.7
10,1,1981,30.46,17.27,0,21.51
11,1,1981,29.97,17.07,0,21.49
12,1,1981,29.73,17.75,0,21.29
13,1,1981,29.6,17.78,0,21.37
14,1,1981,29.62,18.37,0,21.26
15,1,1981,30.28,17.45,0,21.45
16,1,1981,30.15,18.05,0,20.4
17,1,1981,30.43,18.69,0,20.05
18,1,1981,29.68,19.83,0,20.42
19,1,1981,29.38,19.18,0,20.28
20,1,1981,30.14,18.69,0,20.5
21,1,1981,28.6,19.67,0,20.08
22,1,1981,29.1,19.43,0,19
23,1,1981,30.05,19.61,0,19.71
24,1,1981,30.12,19.05,0,20.79
25,1,1981,31.46,18.38,0,22.27
26,1,1981,30.91,18.31,0,22.11
27,1,1981,29.36,19.13,0,21.78
28,1,1981,29.41,18.88,0,21.42
29,1,1981,28.87,19.31,1.2,19.75
30,1,1981,29.53,19.9,0,20.47
31,1,1981,30.4,18.9,0,22.06
1,2,1981,30.62,17.4,0,23.12
2,2,1981,30.6,17.38,0,23.01
3,2,1981,30.91,16.47,0,23.24
4,2,1981,30.94,17.22,0,23.13
5,2,1981,30.84,17.85,0,22.52
6,2,1981,31.18,17.47,0,22.84
7,2,1981,31.33,18.63,0,22
8,2,1981,30.94,19.18,0,21.16
9,2,1981,29.29,19.52,0,19.08
10,2,1981,25.91,18.71,0,22.12
11,2,1981,27.8,16.22,0,23.14
12,2,1981,28.96,16.43,0,23.44
13,2,1981,29.73,15.9,0,23.96
14,2,1981,30.21,14.45,0,24.31
15,2,1981,30.35,15.43,0,23.98
16,2,1981,31.02,15.53,0,24.35
17,2,1981,31.16,15.86,0,24.17
18,2,1981,31.92,16.62,0,23.84
19,2,1981,32.69,17.19,0,23.88
20,2,1981,33.25,18.25,0,23.63
21,2,1981,34.03,18.6,0,23.99
22,2,1981,34.27,19.33,0,23.77
23,2,1981,34.21,20.05,0,23.1
24,2,1981,33.78,20.49,0,23.39
25,2,1981,33.95,19.39,0,23.63
26,2,1981,33.23,19.8,0,23.41
27,2,1981,32.2,21.25,0,22.76
28,2,1981,32.47,21.9,0,23.1
1,3,1981,33.07,19.73,0,24.32
2,3,1981,32.52,19.16,0,24.55
3,3,1981,31.23,18.78,0,24.95
4,3,1981,31.87,17.47,0,25.11
5,3,1981,31.37,17.76,0,25.02
6,3,1981,31.21,17.44,0,25.18
7,3,1981,32.39,17.58,0,25.13
8,3,1981,32.72,18.45,0,25.08
9,3,1981,32.47,21.81,0,23.48
10,3,1981,33.03,20.94,0,24.15
11,3,1981,33.21,20.77,0,23.19
12,3,1981,32.99,22.36,0,23.68
13,3,1981,31.59,22.87,0,23.33
14,3,1981,31.75,21.03,0,24.04
15,3,1981,31.9,20.27,0,25.33
16,3,1981,32.18,18.38,0,25.82
17,3,1981,32.25,18.35,0,25.85
18,3,1981,32.73,18.85,0,25.52
19,3,1981,32.74,20.21,0,24.45
20,3,1981,30.95,21.06,0,22.51
21,3,1981,31.56,21.22,0,24.21
22,3,1981,31.47,21.43,0,23.33
23,3,1981,32.54,20.35,0,24.97
24,3,1981,32.96,19.66,0,25.96
25,3,1981,30.21,20.99,3,20.19
26,3,1981,27,20.27,6.64,18.84
27,3,1981,28.41,19.66,0,22.88
28,3,1981,29.13,18.17,0,25.88
29,3,1981,30.6,17.99,0,25.62
30,3,1981,30.56,17.88,0,21.45
