day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.19,15.39,0,19.89
2,1,1981,26.91,16.48,0,20.49
3,1,1981,26.66,16.11,0,20.55
4,1,1981,26.2,17.63,0,18.62
5,1,1981,26.54,16.23,0,19.15
6,1,1981,26.5,16.42,0,18.72
7,1,1981,25.8,16.21,0,18.44
8,1,1981,26.72,15.52,0,20.66
9,1,1981,26.78,15.56,0,20.78
10,1,1981,27.35,16,0,20.94
11,1,1981,27.57,15.77,0,21.49
12,1,1981,27.63,15.65,0,21.46
13,1,1981,27.3,15.65,0,20.88
14,1,1981,27.04,15.53,0,20.85
15,1,1981,27.23,15.78,0,20.7
16,1,1981,27.44,17.22,0,19.47
17,1,1981,28.06,18.41,0,20.93
18,1,1981,27.61,17.48,0,20.45
19,1,1981,26.83,16.98,0,20.23
20,1,1981,27.28,16.94,0,20.22
21,1,1981,26.55,16.62,0,20.47
22,1,1981,26.44,17.1,0,19.06
23,1,1981,27.03,17.87,0,19.84
24,1,1981,26.74,17.51,0,21.01
25,1,1981,27.81,16.59,0,21.35
26,1,1981,27.61,16.65,0,21.62
27,1,1981,26.98,15.55,0,21.53
28,1,1981,25.96,15.7,0,20.77
29,1,1981,25.24,16,0.73,19.31
30,1,1981,26.08,16.1,0,20.42
31,1,1981,27.6,15.62,0,22.44
1,2,1981,27.85,15.5,0,23.12
2,2,1981,27.92,15,0,22.94
3,2,1981,28.16,14.99,0,23.24
4,2,1981,28.16,14.18,0,23.07
5,2,1981,27.98,14.68,0,22.28
6,2,1981,28.84,15.69,0,22.45
7,2,1981,27.87,16.29,0,21.81
8,2,1981,27.87,16.95,0,21.11
9,2,1981,27.02,16.92,6.4,19.85
10,2,1981,24.16,15.73,0,22.16
11,2,1981,25.76,14.2,0,23.14
12,2,1981,26.84,13.47,0,23.46
13,2,1981,27.82,13.81,0,23.86
14,2,1981,28.42,12.4,0.01,24.33
15,2,1981,28.03,13.76,0.09,23.93
16,2,1981,28.63,14.32,0,24.29
17,2,1981,28.78,14.79,0,24.1
18,2,1981,29.26,14.91,0,23.98
19,2,1981,30.25,15.89,0,23.76
20,2,1981,30.21,16.58,0,23.31
21,2,1981,31.6,16.95,0,24.07
22,2,1981,31.79,17.7,0,23.93
23,2,1981,31.57,18.56,0,23.17
24,2,1981,31.21,18.78,0,23.19
25,2,1981,31.37,17.92,0,23.24
26,2,1981,30.9,17.92,0,23.57
27,2,1981,29.46,19.62,0.01,21.02
28,2,1981,30.28,20.46,0.01,22.32
1,3,1981,30.19,19.03,0,23.08
2,3,1981,29.34,19.09,0,23.89
3,3,1981,29.44,16.74,0,24.95
4,3,1981,30.05,16.01,0,24.81
5,3,1981,29.56,16.29,0,24.96
6,3,1981,29.31,16.83,0,25.12
