day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,22.77,8.75,0,20.73
2,1,1981,23.31,8.86,0,20.8
3,1,1981,23.26,9.37,0,20.73
4,1,1981,22.76,9.61,0,18.87
5,1,1981,22.88,9.04,0,19.22
6,1,1981,22.99,8.92,0,20.44
7,1,1981,22.61,8.65,0,20.88
8,1,1981,22.99,7.35,0,22.11
9,1,1981,22.66,7.31,0,21.71
10,1,1981,23.41,8.21,0,21.36
11,1,1981,23.84,8.94,0,20.86
12,1,1981,23.52,9.29,0,21.21
13,1,1981,23.29,8.7,0,20.76
14,1,1981,23.12,8.93,0,20.49
15,1,1981,23.64,8.88,0,21.29
16,1,1981,23.8,8.63,0,21.54
17,1,1981,24.03,10.43,0,20.77
18,1,1981,24,9.68,0,19.86
19,1,1981,23.71,9.55,1.3,19.1
20,1,1981,23.99,9.65,1.64,20.46
21,1,1981,24.18,9.93,0,20.52
22,1,1981,23.09,9.63,0,18.58
23,1,1981,23.86,9.64,0,20.48
24,1,1981,24.12,9.35,0,21.97
25,1,1981,24.59,8.51,0,22.71
26,1,1981,24.96,8.72,0,22.41
27,1,1981,24.13,9.35,9.16,21.88
28,1,1981,24.24,9.13,0,21.73
29,1,1981,23.7,9.5,0,21.42
30,1,1981,24.17,8.79,0,22.25
31,1,1981,23.91,8.56,0,23.09
1,2,1981,23.84,7.85,0,23.01
2,2,1981,24.05,8.01,0,22.96
3,2,1981,24.34,8.27,0,23.02
4,2,1981,24.52,8.52,0,22.92
5,2,1981,24.67,8.56,0.02,22.64
6,2,1981,25.42,9.25,0,23.03
7,2,1981,24.63,9.33,0,22.51
8,2,1981,25.28,10.16,0,22.36
9,2,1981,23.05,11.04,7.63,17.75
10,2,1981,19.95,9.54,0,17.52
11,2,1981,20.96,8.78,0,21.59
12,2,1981,21.93,7.65,0,22.67
13,2,1981,22.63,7.66,0,23.39
14,2,1981,22.97,7.18,0,23.78
15,2,1981,23.12,7.7,0.05,23.12
16,2,1981,24.02,8.87,0,23.64
17,2,1981,24.19,8.77,0,23.49
18,2,1981,24.63,9.33,0,22.72
19,2,1981,25.47,9.18,0,23.34
20,2,1981,25.7,10.08,0.02,23.1
21,2,1981,26.31,10.65,0,23.75
22,2,1981,26.74,10.13,0,24.11
23,2,1981,26.78,10.14,0,24.04
24,2,1981,27.1,10.43,0,23.97
25,2,1981,26.92,11.09,0,24.25
26,2,1981,26.3,10.34,0,24.14
27,2,1981,26.02,10.42,0,22.2
28,2,1981,25.48,12.11,2.12,20.8
1,3,1981,25.16,10.27,1.8,22.56
2,3,1981,23.98,10.4,0,22.55
3,3,1981,24.75,10.72,0,23.72
4,3,1981,24.56,9.89,0,23.48
5,3,1981,25.03,10.18,0,24.05
6,3,1981,25.16,10.39,0,23.92
7,3,1981,25.45,10.03,0,24.1
8,3,1981,24.13,10.46,0,22.6
9,3,1981,24.1,11.69,0,21.23
10,3,1981,23.99,11.63,0,22.21
11,3,1981,24.53,10.85,4.69,23.31
12,3,1981,24.82,10.9,8.78,22.58
13,3,1981,24.63,12.22,7.66,21.25
14,3,1981,24.68,11.61,0,22.64
15,3,1981,24.89,11.57,0,23.81
16,3,1981,25.5,11.24,0.43,24.9
17,3,1981,25.94,11.05,0,25.6
18,3,1981,25.95,11.29,0,25.05
19,3,1981,24.29,11.78,0,21.99
20,3,1981,25.95,11.36,0,23.65
21,3,1981,25.34,12.01,0,22.75
22,3,1981,25.59,11.76,0,23.94
23,3,1981,25.9,11.66,0,23.83
24,3,1981,26.63,12.04,0,25.81
25,3,1981,26.47,11.56,9.7,23.7
26,3,1981,23.09,12.47,21.24,18.22
27,3,1981,24.15,11.24,0,23.1
28,3,1981,24.98,11.7,0,23.7
29,3,1981,25.34,12.53,0,23.2
30,3,1981,24.5,12.88,4.4,21
31,3,1981,25.26,12.44,0,24.46
1,4,1981,26.16,12.33,0,25.56
2,4,1981,25.48,11.89,0,24.22
3,4,1981,26.1,11.74,0,25.06
4,4,1981,25.12,12.21,0,22.68
5,4,1981,25.46,12.54,0,20.91
6,4,1981,25.88,12.66,0,24.13
7,4,1981,24.03,12,0,20.86
8,4,1981,22.13,12.48,0,16.96
9,4,1981,23.96,11.5,7.07,23.33
10,4,1981,24.43,11.31,0,23.29
11,4,1981,25.23,11.87,0,26.27
12,4,1981,24.95,11.57,0,24.95
13,4,1981,24.44,11.48,14.65,23.83
14,4,1981,25.51,11.63,0,25.62
15,4,1981,25.47,12.33,0,24.97
16,4,1981,26.22,12.45,0,26.45
17,4,1981,25.26,12.32,1,24.72
18,4,1981,25.98,12.06,0,25.94
19,4,1981,25.1,11.84,0,24.64
20,4,1981,25.21,11.93,0,25.85
21,4,1981,25.34,11.41,0,24.31
22,4,1981,24.1,12.24,0,23.5
23,4,1981,22.3,11.5,0.78,19.96
24,4,1981,22.05,11.03,30.59,23.73
25,4,1981,23.31,10.91,4.24,26.01
26,4,1981,24.15,10.99,0,25.82
27,4,1981,24.96,11.41,0,27.61
28,4,1981,25.29,11.77,0,26.88
29,4,1981,26.33,11.93,0,27.16
30,4,1981,26.95,12.85,0,26.32
1,5,1981,26.27,12.54,0,26.44
2,5,1981,26.92,12.8,0,26.72
3,5,1981,26.99,13.13,0,25.66
4,5,1981,26.04,13.06,0,26.18
5,5,1981,26.12,13.2,0,25.74
6,5,1981,26.67,13.12,0,26.09
7,5,1981,26.55,13.14,5.58,25.81
8,5,1981,24.69,13.69,0,22.29
9,5,1981,25.66,13.08,0,24.11
10,5,1981,26.39,13,0,26.16
11,5,1981,26.43,13,0,26.23
12,5,1981,25.77,13.69,8.54,23.44
13,5,1981,25.29,14.04,15.57,22.98
14,5,1981,24.58,13.55,3.77,22.03
15,5,1981,26.03,13.54,0,24.26
16,5,1981,25.6,13.93,0,24.15
17,5,1981,25.59,14.22,0,23.66
18,5,1981,25.97,14.77,2.65,23.88
