day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,21.89,10.82,0,20.8
2,1,1981,22.1,10.99,0,21.17
3,1,1981,22.48,11.16,0,19.99
4,1,1981,22.05,10.99,0,19.36
5,1,1981,22.5,10.78,0,20.88
6,1,1981,21.8,11.56,0,19.85
7,1,1981,21.76,10.52,0,22.71
8,1,1981,22.26,9.89,0,23.5
9,1,1981,21.54,9.4,0,23.12
10,1,1981,22.05,9.92,0,22.06
11,1,1981,22.33,10.27,0,21.38
12,1,1981,22.33,10.81,0,20.03
13,1,1981,22.02,10.95,0,20.43
14,1,1981,22.58,12.56,0.37,20.27
15,1,1981,22.52,11.88,0,21.56
16,1,1981,22.89,11.11,0,21.53
17,1,1981,23.55,12.1,0,22.22
18,1,1981,23.3,12.16,6.9,22.02
19,1,1981,21.94,11.1,0,20.78
20,1,1981,22.97,11.05,0,22.61
21,1,1981,23.3,10.89,0,23.18
22,1,1981,21.33,11.54,0,20.33
23,1,1981,22.83,11.39,0,22.57
24,1,1981,23.5,10.74,0,24.01
25,1,1981,23.66,10.38,0,24.18
26,1,1981,23.86,10.81,0,23.27
27,1,1981,23.38,11.29,0,22.05
28,1,1981,23.78,11.18,0,23.45
29,1,1981,22.37,12.54,0,20.67
30,1,1981,22.97,11.22,0,22.66
31,1,1981,23.07,10.4,0,24.73
1,2,1981,23.46,9.59,0,24.76
2,2,1981,22.81,9.8,0,24.66
3,2,1981,23.84,10.09,0,24.86
4,2,1981,24.14,10.08,0,24.77
5,2,1981,23.47,10.77,0,22.29
6,2,1981,25.02,11.03,0,24.21
7,2,1981,24.02,10.73,0,24.34
8,2,1981,24.2,11.12,0,23.93
9,2,1981,23.13,12.73,3.05,21.06
10,2,1981,22.02,12.35,0,20.11
11,2,1981,22.03,12.18,0.15,20.72
12,2,1981,21.77,12.68,0,22.53
13,2,1981,22.39,11.74,0,23.81
14,2,1981,23.84,11.46,0,24.61
15,2,1981,21.99,11.87,0,23.27
16,2,1981,23.39,12.11,0,23.89
17,2,1981,23.81,12.28,0,24.46
18,2,1981,23.91,12.16,0,22.99
19,2,1981,24.88,12.11,0,23.15
20,2,1981,24.92,12.08,0,23.17
21,2,1981,25.94,11.77,0,25.35
22,2,1981,26.6,11.54,0,25.66
23,2,1981,26.72,11.8,0,25.55
24,2,1981,26.98,11.86,0,24.15
25,2,1981,27.18,12.13,0,25.11
26,2,1981,26.67,11.58,0,25.5
27,2,1981,23.74,12.24,4.44,22.31
28,2,1981,23.36,12.47,0.26,21.09
1,3,1981,24.99,12.42,6.75,23.4
2,3,1981,23.93,12.09,0,22.55
3,3,1981,22.77,12.74,0,21.99
4,3,1981,23.78,12.67,0.98,23.42
5,3,1981,23.77,12.63,0,22.3
6,3,1981,22.88,12.58,0,23.14
7,3,1981,25.27,12.25,0,24.25
8,3,1981,24.86,12.78,3.52,22.9
9,3,1981,23.07,13.17,3.45,21.34
10,3,1981,23.75,13.65,0,21.29
11,3,1981,23.79,13.32,0.24,22.12
12,3,1981,22.46,12.5,3.75,20.77
13,3,1981,22.96,13.37,3.99,20.41
14,3,1981,22.15,12.71,1.15,19.92
15,3,1981,22.24,13.06,1.95,20.64
16,3,1981,23.57,12.96,4.9,21.82
17,3,1981,24.74,13.11,0,25.96
18,3,1981,24.66,12.66,0,25.01
19,3,1981,23.26,13.18,0,20.61
20,3,1981,23.61,13.56,0,20.26
21,3,1981,24.12,13.44,0,22.91
22,3,1981,23.98,12.95,0,22.67
23,3,1981,24.47,12.91,0,23.33
24,3,1981,23.71,12.97,3.56,21.62
25,3,1981,24.23,12.62,4.27,21.46
26,3,1981,22.2,13.1,14.02,18.83
27,3,1981,21.83,13.07,5.88,19.91
28,3,1981,21.69,13.53,4.14,20.48
29,3,1981,20.04,13.17,3.43,16.86
30,3,1981,19.63,12.73,0,19.07
31,3,1981,20.78,12.77,0,19.97
1,4,1981,21.19,12.69,0,20.28
2,4,1981,21.41,12.71,4.3,21.17
3,4,1981,22.87,12.92,4.33,23.63
4,4,1981,22.7,12.82,0,22.26
5,4,1981,22.12,13.15,0,21.91
6,4,1981,23.35,13.14,0,23.59
7,4,1981,22.55,13.03,0,22.34
8,4,1981,22.28,13.02,0,22.19
9,4,1981,22.61,12.58,0,22.65
10,4,1981,22.89,12.52,0,22.7
11,4,1981,22.92,13,0,22.35
12,4,1981,22.25,12.87,4.13,20.69
13,4,1981,23.09,11.92,0,22.33
14,4,1981,23.79,13.65,0,22
15,4,1981,23.91,13.21,0,22.72
16,4,1981,24.82,12.9,10.81,24.4
17,4,1981,24.55,12.71,0.74,23.9
18,4,1981,24.65,12.64,0,24.17
19,4,1981,24.71,12.57,0,25.02
20,4,1981,24.68,12.58,0,24.9
21,4,1981,24.28,12.76,0,24.01
22,4,1981,23.13,13.37,7.43,21.28
23,4,1981,23.51,13.18,0,23.37
24,4,1981,20.51,13.31,16.33,20.11
25,4,1981,23,12.9,10.7,25.22
26,4,1981,24.19,12.38,0,25.49
27,4,1981,24.4,12.24,0,25.7
28,4,1981,25.25,12.12,0,25.78
29,4,1981,25.28,12.26,0,26.12
