day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,17.76,6.98,0,20.38
2,1,1981,17.64,7.31,0,20.57
3,1,1981,17.58,7.52,0,19.06
4,1,1981,17.82,7.23,0,19.37
5,1,1981,18.27,7.22,0,20.96
6,1,1981,17.55,7.9,0,19.75
7,1,1981,17.57,6.85,0,23.27
8,1,1981,17.82,6.43,0,23.92
9,1,1981,17.42,6.1,0,23.04
10,1,1981,18.23,6.57,0,21.87
11,1,1981,17.96,6.94,0,20.22
12,1,1981,17.62,7.29,0,19.91
13,1,1981,18.2,7.57,0,20.23
14,1,1981,18.44,8.4,0.01,19.49
15,1,1981,18.08,8.22,0,20.86
16,1,1981,19.13,7.27,0,22.27
17,1,1981,19.26,8.28,0.22,21.35
18,1,1981,18.92,8.14,2.3,21.24
19,1,1981,17.34,7.55,0.38,19.93
20,1,1981,18.9,7.62,0,22.46
21,1,1981,18.91,7.12,0,23.74
22,1,1981,16.55,7.75,0,19.51
23,1,1981,18.6,7.65,0,22.89
24,1,1981,19.15,7.03,0,24.38
25,1,1981,19.33,6.72,0,24.5
26,1,1981,19.56,7.21,0,23.5
27,1,1981,18.43,7.54,0,21.68
28,1,1981,19.3,7.5,0,23.23
29,1,1981,17.42,8.36,0,19.84
30,1,1981,18.62,7.33,0,23.84
31,1,1981,18.41,6.71,0,25.05
1,2,1981,18.64,6.53,0,25.02
2,2,1981,18.43,6.45,0,24.91
3,2,1981,19.27,6.72,0,25.22
4,2,1981,19.52,6.76,0,24.91
5,2,1981,19.18,7.21,0,22.54
6,2,1981,20.4,7.36,0,24.71
7,2,1981,19.91,7.06,0,24.82
8,2,1981,20.03,7.36,0,24.03
9,2,1981,18.48,8.32,1.68,21.34
10,2,1981,17.66,8.09,1.04,20.43
11,2,1981,17.9,7.95,0,20.08
12,2,1981,18.13,8.31,0,22.18
13,2,1981,19.16,7.98,0,23.83
14,2,1981,19.88,7.95,0,24.62
15,2,1981,18.6,8.4,0,23.48
16,2,1981,19.86,8.32,0,24.53
17,2,1981,20.05,8.32,0,24.3
18,2,1981,19.95,8.68,0,21.85
19,2,1981,19.54,8.5,0,21.82
20,2,1981,20.23,8.12,0,23.74
21,2,1981,21.21,7.88,0,25.62
22,2,1981,21.67,7.79,0,25.86
23,2,1981,21.9,7.77,0,25.71
24,2,1981,22.43,7.97,0,24.82
25,2,1981,21.75,8.16,0,25.25
26,2,1981,21.67,7.67,0,25.58
27,2,1981,19.76,7.94,2.49,22.58
28,2,1981,18.39,8.18,3.16,20.09
1,3,1981,19.07,8.15,13.44,22.69
2,3,1981,19.28,8,0.65,21.15
3,3,1981,18.39,8.48,0,21.64
4,3,1981,19.66,8.93,2.36,21.81
5,3,1981,19.26,8.47,0.76,20.97
6,3,1981,19.17,8.92,0,23.49
7,3,1981,19.77,8.78,0,22.87
8,3,1981,19.82,9.07,5.29,21.37
9,3,1981,18.82,8.59,5.22,20.85
10,3,1981,18.4,9.24,2.75,20.74
11,3,1981,19.04,8.87,0.92,21.49
12,3,1981,17.67,8.34,4.89,20.02
13,3,1981,17.49,9.14,6.38,18.79
14,3,1981,17.08,8.38,3.21,19.1
15,3,1981,17.01,8.77,4.99,19.57
16,3,1981,18.66,8.71,10.25,21.18
17,3,1981,19.22,9.36,0.26,25.48
18,3,1981,19.49,8.71,0.23,25.08
19,3,1981,18.07,8.71,0,18.46
20,3,1981,18.91,8.85,0.63,19.26
21,3,1981,18.33,8.83,0.29,21.81
22,3,1981,17.7,8.48,1.04,21.43
23,3,1981,18.15,8.29,2.3,22.45
24,3,1981,17.9,8.35,6.05,19.8
25,3,1981,17.99,8.34,7.55,19.95
26,3,1981,17.06,8.52,25.24,18.19
27,3,1981,17.12,8.93,14.97,18.72
28,3,1981,17.18,8.9,2.79,19.02
29,3,1981,15.62,8.7,7.62,15.13
30,3,1981,15.97,8.32,4.01,19.13
31,3,1981,16.63,8.6,0,18.85
1,4,1981,15.81,8.48,0.53,18.51
2,4,1981,16.52,8.56,9.89,18.86
3,4,1981,17.62,9.1,3.09,21.44
4,4,1981,17.04,8.35,0,21.4
5,4,1981,17.11,9.02,0,20.91
