day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.88,12.97,0,21.33
2,1,1981,30.74,12.98,0,21.79
3,1,1981,30.9,13.61,0,21.65
4,1,1981,30.11,14.37,0,20.46
5,1,1981,30.62,14.35,0,20.1
6,1,1981,30.89,14.03,0,22.13
7,1,1981,30.39,13.1,0,22.36
8,1,1981,29.62,11.1,0,23.21
9,1,1981,29.46,11.01,0,22.7
10,1,1981,30.82,12.45,0,22.28
11,1,1981,31.11,13.27,0,21.46
12,1,1981,30.97,14.05,0,22.23
13,1,1981,30.07,13.14,0,21.73
14,1,1981,30.33,13.92,0,21.33
15,1,1981,31.04,14.2,2.96,22.69
16,1,1981,31.27,13.43,0,22.9
17,1,1981,31.75,13.7,0,22.46
18,1,1981,31.56,14.71,0,21.51
19,1,1981,30.89,14.93,0.37,20.22
20,1,1981,31.66,14.96,1.27,22.35
21,1,1981,31.89,14.6,0,22.37
22,1,1981,30.46,14.91,0,21
23,1,1981,32.04,15.24,0,22.65
24,1,1981,32.32,13.76,0,23.5
25,1,1981,32.34,12.5,0,23.85
26,1,1981,32.61,12.67,0,23.61
27,1,1981,32.12,13.29,0,23.5
28,1,1981,32.06,14.34,0,23.35
29,1,1981,31.51,14.88,0,23.22
30,1,1981,31.76,13.65,0,23.78
31,1,1981,30.98,12.05,0,24.35
1,2,1981,30.75,11.52,0,24.19
2,2,1981,31.32,11.68,0,24.27
3,2,1981,31.41,12.09,0,24.26
4,2,1981,32.12,12.1,0,24.23
5,2,1981,32.43,12.98,0,23.81
6,2,1981,33.44,14.02,0,24.38
7,2,1981,32.58,13.29,0,23.76
8,2,1981,32.82,14.02,0,23.73
9,2,1981,30.89,16.16,0,21.21
10,2,1981,29.72,16.33,0,20.29
11,2,1981,29.41,14.94,0,21.71
12,2,1981,30.02,14.91,0,23.6
13,2,1981,30.64,13.77,1.93,24.48
14,2,1981,31.44,13.44,0,24.94
15,2,1981,30.75,14.7,0,24.19
16,2,1981,32.36,13.83,0,24.61
17,2,1981,32.48,13.88,0,24.5
18,2,1981,32.81,15.75,3.02,23.75
19,2,1981,34.16,16.09,0,24.33
20,2,1981,34.28,15.79,0,24.24
21,2,1981,34.42,15.62,0,25.08
22,2,1981,35.26,14.8,0,25.18
23,2,1981,35.29,14.41,0,25.23
24,2,1981,35.77,14.68,0,25.6
25,2,1981,35.28,15.54,0,25.52
26,2,1981,35.07,14.72,0,25.32
27,2,1981,33.34,15.22,0,23.41
28,2,1981,33.13,18.07,0.33,20.59
1,3,1981,33.02,15.93,0,23.03
2,3,1981,31.87,16.04,0,21.51
3,3,1981,31.65,14.97,0,23.36
4,3,1981,32.29,16.78,0,24.05
5,3,1981,31.92,15.69,0,24.13
6,3,1981,32.01,15.83,0,24
7,3,1981,34.17,17.24,2.71,24.35
8,3,1981,32.52,17.6,0,23.43
9,3,1981,32.38,18.64,0,22.65
10,3,1981,32.27,17.13,1.45,22.72
11,3,1981,33.42,17.89,6.44,23.75
12,3,1981,32.82,17.86,2.59,22.75
13,3,1981,31.76,17.44,0,21.33
14,3,1981,31.97,17.81,0,21.8
15,3,1981,32.44,17.83,0,22.71
16,3,1981,33.33,16.93,0,24.88
17,3,1981,34.2,16.42,0,26.32
18,3,1981,33.02,16.65,1.51,25.22
19,3,1981,31.4,16.98,0,22.06
20,3,1981,33.46,16.93,0,23.93
21,3,1981,33.22,17.79,0,22.67
22,3,1981,33.58,17.74,0,23.77
23,3,1981,33.18,17.54,0,23.5
24,3,1981,34.69,16.91,0,25.55
25,3,1981,33.37,17.17,2.23,23.87
26,3,1981,31.03,18.5,8.67,19.88
27,3,1981,32.63,17.83,5.82,23.4
28,3,1981,33.65,18.01,0,23.35
29,3,1981,32.75,18.34,0,22.97
30,3,1981,31.6,17.83,0,20.89
31,3,1981,32.49,17.85,0,23.04
1,4,1981,33.53,16.99,0,25.18
2,4,1981,32.39,17.26,0,23.43
3,4,1981,33.66,17.33,0,24.97
4,4,1981,33.99,17.97,2.65,23.86
5,4,1981,32.74,18.89,0,21.76
6,4,1981,34.35,18.7,0,24.99
7,4,1981,32.76,18.59,0,22.64
8,4,1981,28.6,18.6,0,18
9,4,1981,31.2,18.14,0,23.33
10,4,1981,31.71,17.37,0,22.32
11,4,1981,33.4,17.81,0,25.49
12,4,1981,34.5,16.89,0,25.11
13,4,1981,32.82,17.09,0,24.34
14,4,1981,34.29,17.87,0,25.21
15,4,1981,34.94,18.65,0,24.8
16,4,1981,35.28,17.94,0,25.83
17,4,1981,34.2,17.64,1.71,24.72
18,4,1981,34.73,17.8,0,26.17
19,4,1981,33.75,17.51,0,25.49
20,4,1981,34.02,17.97,0,26.23
21,4,1981,33.94,17.77,0,25.22
22,4,1981,32.82,17.61,0,24.14
23,4,1981,31.02,17.11,0,20.46
24,4,1981,29.04,16.94,3.59,23.19
25,4,1981,30.43,17.57,20.44,26.51
26,4,1981,32.28,16.53,0,26.78
27,4,1981,33.14,15.89,0,27.85
28,4,1981,33.89,17.21,0,27.12
29,4,1981,35.1,16.92,0,27.33
30,4,1981,35.75,17.16,0,26.33
1,5,1981,35.51,17.27,0,26.53
2,5,1981,35.65,17.96,0,26.81
3,5,1981,35.58,19.04,0,25.7
4,5,1981,34.91,18.15,0,26.63
5,5,1981,35.15,19.04,0,26.62
6,5,1981,35.53,18.96,0,26.45
7,5,1981,34.87,18.28,0,26.04
8,5,1981,33.23,19.05,0,23.58
9,5,1981,34.29,19.22,0,25.54
10,5,1981,34.68,17.77,0,27.16
11,5,1981,34.74,17.32,0,26.67
12,5,1981,34.12,18.75,0,24.39
