day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,24.57,10.05,0,20.96
2,1,1981,24.26,11.01,0,21.31
3,1,1981,23.55,11.03,0,20.31
4,1,1981,23.87,11.18,0,19.65
5,1,1981,25.25,11.08,0,20.72
6,1,1981,25.4,11.29,0,21.44
7,1,1981,24.54,10.27,0,22.4
8,1,1981,24.73,8.7,0,23.18
9,1,1981,24.14,8.43,0,22.8
10,1,1981,24.73,9.68,0,22.11
11,1,1981,25.18,10.32,0,21.65
12,1,1981,25.07,10.77,0,20.43
13,1,1981,25.03,10.59,0,21.55
14,1,1981,25.01,12.34,0,20.67
15,1,1981,25.29,11.85,0.09,21.16
16,1,1981,25.98,11.5,0,21.93
17,1,1981,26.24,12.08,0,22.74
18,1,1981,25.47,12.67,1.22,21.56
19,1,1981,25.22,11.95,2.47,20.07
20,1,1981,25.62,11.74,2.47,22.3
21,1,1981,25.63,11.29,0,22.61
22,1,1981,23.69,12.07,0,19.26
23,1,1981,25.37,11.52,0,22.05
24,1,1981,26.36,11.22,0,23.39
25,1,1981,26.29,10.26,0,23.66
26,1,1981,26.69,10.64,0,23.04
27,1,1981,26.33,11.19,0,22.56
28,1,1981,26.29,11.45,0,22.82
29,1,1981,24.26,12.98,0,19.75
30,1,1981,25.91,10.98,0,23.78
31,1,1981,25.25,9.3,0,24.45
1,2,1981,25.54,8.88,0,24.36
2,2,1981,25.5,9.23,0,24.21
3,2,1981,26.15,9.35,0,24.38
4,2,1981,26.47,9.65,0,24.19
5,2,1981,26.53,10.6,0,22.73
6,2,1981,27.66,10.96,0,24.08
7,2,1981,26.74,10.89,0,23.12
8,2,1981,27.01,11.39,0,23.62
9,2,1981,25.19,13.16,0,21.69
10,2,1981,23.62,12.18,0,19.75
11,2,1981,24.34,12.18,0,21.45
12,2,1981,24.72,11.57,0,23.4
13,2,1981,25.88,10.8,0,24.45
14,2,1981,26.59,11.42,0,25.04
15,2,1981,25.67,12.07,0,24.47
16,2,1981,26.6,11.9,0,25.01
17,2,1981,26.84,11.61,0,24.56
18,2,1981,27.05,12.08,0.61,23.75
19,2,1981,28.49,12.2,0,23.79
20,2,1981,28.34,12.92,0,23.77
21,2,1981,29.05,12.16,0,25.2
22,2,1981,29.65,12.08,0,25.37
23,2,1981,29.49,12.23,0,25.2
24,2,1981,30.08,12.46,0,24.29
25,2,1981,29.51,12.55,0,24.57
26,2,1981,29.23,12.18,0,25.54
27,2,1981,26.5,13.13,2.87,23
28,2,1981,26.3,14.02,3.96,21.03
1,3,1981,27.29,12.67,5.08,22.84
2,3,1981,25.78,12.65,0,22.47
3,3,1981,26,12.53,0,23.37
4,3,1981,26.88,12.81,0,23.44
5,3,1981,27.21,12.41,0,23.93
6,3,1981,26.87,13.99,0,24.34
7,3,1981,28.58,13.68,0,23.99
8,3,1981,28.06,15.14,1.31,22.24
9,3,1981,26.76,15.16,0,21.09
10,3,1981,26.79,15.09,0,21.77
11,3,1981,26.58,13.37,0,23.33
12,3,1981,26.78,13.59,0.41,21.79
13,3,1981,25.66,13.98,10.09,20.99
14,3,1981,25.63,13.58,1.48,20.72
15,3,1981,26.48,14.55,0,22.59
16,3,1981,28.05,13.94,0,25.01
17,3,1981,28.73,12.92,0,26.72
18,3,1981,28.5,12.11,0.7,24.71
19,3,1981,26.49,13.47,0,20.75
20,3,1981,27.23,14.39,0,20.86
21,3,1981,27.5,14.96,0,23.34
22,3,1981,27.38,14.58,0,22.83
23,3,1981,27.89,14.12,0,22.11
24,3,1981,27.24,14.28,5.74,22.34
25,3,1981,26.45,13.99,0,22.51
26,3,1981,25.75,14.06,14.13,19.82
27,3,1981,25.47,14.5,6.76,21.79
28,3,1981,25.68,14.73,1.04,20.69
29,3,1981,23.7,14.82,0,17.3
30,3,1981,22.83,13.04,0,19.69
31,3,1981,24.07,13.25,0,20.76
1,4,1981,24.31,13.66,0,21.8
2,4,1981,25.21,13.12,1.34,22.55
3,4,1981,26.06,14.34,0,24.31
4,4,1981,25.4,14.2,0,22.8
5,4,1981,25.92,14.11,0,22.24
6,4,1981,26.19,13.33,0,23.87
7,4,1981,24.93,14.09,0,21.97
8,4,1981,24.3,13.88,0,21.43
9,4,1981,25.74,13.14,0,23.45
10,4,1981,25.08,13.14,0,22.92
11,4,1981,25.31,13.94,0,23.37
12,4,1981,25.63,13.88,1.2,22.68
13,4,1981,25.4,12.83,0,23.5
14,4,1981,26.22,13.81,0,23.8
15,4,1981,26.5,14.43,0,24.25
16,4,1981,26.77,14.09,0,25.04
17,4,1981,26.54,13.4,1.97,23.66
18,4,1981,27.06,13.69,0,24.84
19,4,1981,26.45,13.69,0,24.94
20,4,1981,27.14,13.42,0,24.9
21,4,1981,27.31,13.41,0,24.27
22,4,1981,26.9,14.04,22.7,22.39
23,4,1981,26.19,14.27,6.23,22.12
24,4,1981,23.42,14.64,4.12,19.74
25,4,1981,26.07,13.75,33.17,25.82
26,4,1981,27.08,12.71,0,26.03
27,4,1981,27.87,12.59,0,26.64
28,4,1981,28.73,12.87,0,26.48
29,4,1981,29.22,12.93,0,26.21
30,4,1981,29.75,13.32,0,25.73
1,5,1981,29.95,14.05,0,25.15
2,5,1981,30.39,14.15,0,26.2
3,5,1981,29.67,14.88,0,23.47
4,5,1981,30.17,14.69,0,25.75
5,5,1981,30.66,14.56,0,26.2
6,5,1981,30.88,14.44,0,26.85
7,5,1981,30.05,14.74,0,25.24
8,5,1981,28.82,15.84,0,22.54
9,5,1981,29.98,16.73,0,24.77
10,5,1981,30.29,15.39,0,26.49
11,5,1981,30.5,14.44,0,25.98
12,5,1981,29.99,16.14,0,21.9
13,5,1981,28.76,17.3,3.94,22.03
14,5,1981,27.38,16.44,4.1,22.88
15,5,1981,28.77,16.19,4.59,23.2
16,5,1981,29.63,14.09,0,25.33
17,5,1981,28.84,14.96,0,23.61
18,5,1981,29.49,15.79,0,23.14
19,5,1981,29.9,15.29,0.62,23.41
20,5,1981,29.27,14.37,0,23.83
21,5,1981,28.46,14.67,0,22.31
22,5,1981,29.68,14.75,0,22.74
23,5,1981,30.94,14.33,0,25.44
24,5,1981,30.25,15.27,0,22.53
25,5,1981,30.99,15.39,0,23.63
26,5,1981,30.74,16.54,0,21.61
27,5,1981,32.29,14.58,0,25.37
28,5,1981,31.2,14.89,0,23.06
29,5,1981,30.58,15.51,1.57,19.56
30,5,1981,28.95,16.31,0,18.85
31,5,1981,28.6,16.29,0,18.74
1,6,1981,32.36,16.11,0,23.39
2,6,1981,31.19,15.52,0,22.37
3,6,1981,30.41,14.66,0,21.33
4,6,1981,30.3,16.41,0,22.67
5,6,1981,30.11,16.34,0,21.81
6,6,1981,29.75,16.37,0,22.12
7,6,1981,29.25,16.01,0,21.37
8,6,1981,30.27,15.15,0,21.78
9,6,1981,31.43,14.62,0,23.72
10,6,1981,30.08,15.82,0,19.31
11,6,1981,28.52,16.99,0,19.4
12,6,1981,30.56,15.41,0,21.47
13,6,1981,29.68,17.28,0,21.54
14,6,1981,28.22,16.17,0,21.05
15,6,1981,27.92,15.05,0,19.87
16,6,1981,27.63,14.98,0,18.69
17,6,1981,28.64,14.79,0,20.64
18,6,1981,29.75,16.41,0,21.9
19,6,1981,30.61,15.04,0,20.75
20,6,1981,28.2,16.27,0.18,19.33
21,6,1981,27.06,15.31,15.8,19.45
22,6,1981,25.78,14.42,0,20.13
23,6,1981,25.82,14.28,5.39,20.35
24,6,1981,25.72,14.2,0,20.31
25,6,1981,26.35,14.24,0,20.42
26,6,1981,25.45,14.12,0,20.34
27,6,1981,26.09,13.73,0,20.8
28,6,1981,26.91,13.96,0,20.18
29,6,1981,27.88,14.39,12.38,21.56
30,6,1981,27.82,14.24,0,20.42
1,7,1981,27.63,14.23,3.03,19.9
2,7,1981,27.99,14.74,0,19.53
3,7,1981,26.2,14.59,49.23,18.91
4,7,1981,23.53,14.45,9.09,16.98
5,7,1981,23.64,14.02,0,19.34
6,7,1981,24.17,13.54,6.1,20.35
7,7,1981,23.45,13.52,3.3,19.22
8,7,1981,23.18,14.48,1.13,18.93
9,7,1981,23.03,13.81,1.19,18.22
10,7,1981,23.04,13.69,26.87,19.39
11,7,1981,22.55,14.87,10.94,18.82
12,7,1981,22.83,14.47,16.43,19.07
13,7,1981,23.42,13.68,0.42,19.68
14,7,1981,23.5,13.4,0.72,19.3
15,7,1981,23.85,12.44,0,20.72
16,7,1981,22.8,14.04,15.59,17.14
17,7,1981,22.42,15.12,17,14.95
