day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.3,8.69,0,20.48
2,1,1981,19.63,9.29,0,20.88
3,1,1981,19.13,9.49,0,19.12
4,1,1981,20.36,9.3,0,19.43
5,1,1981,20.9,8.9,0,21.56
6,1,1981,20.36,9.25,0,22.02
7,1,1981,20.06,8.21,0,23.24
8,1,1981,20.03,7.05,0,24.01
9,1,1981,19.55,7.04,0,23.12
10,1,1981,20.78,8,0,21.99
11,1,1981,20.71,8.5,0,20.83
12,1,1981,20.42,9.07,0,21.41
13,1,1981,21.12,8.71,0,21.18
14,1,1981,20.94,10.59,0,19.65
15,1,1981,20.46,9.97,0.13,20.89
16,1,1981,21.49,8.92,0,22.87
17,1,1981,21.76,9.66,0.04,23.33
18,1,1981,20.94,10.01,3.06,20.98
19,1,1981,20.43,9.6,0,19.88
20,1,1981,21.17,9.57,0,22.49
21,1,1981,21.12,9.13,0,23.12
22,1,1981,18.74,9.56,0,18.76
23,1,1981,21.03,9.1,0,22.89
24,1,1981,21.55,8.63,0,24.35
25,1,1981,21.66,7.91,0,24.54
26,1,1981,21.8,8.56,0,23.32
27,1,1981,21.29,9.09,0,22.52
28,1,1981,21.16,9.22,0,22.3
29,1,1981,18.49,10.22,0,17.07
30,1,1981,20.72,8.37,0,24.62
31,1,1981,20.14,7.47,0,25.18
1,2,1981,20.59,7.48,0,25.05
2,2,1981,20.63,7.42,0,24.9
3,2,1981,21.17,7.55,0,25.14
4,2,1981,21.77,7.75,0,24.4
5,2,1981,21.55,8.62,0,23.38
6,2,1981,22.79,8.54,0,24.93
7,2,1981,22.11,8.69,0,24.29
8,2,1981,22.32,9.05,0,23.13
9,2,1981,20.7,10.6,0,20.6
10,2,1981,19.57,9.54,0.59,19.14
11,2,1981,20.11,9.55,0,20.75
12,2,1981,20.18,9.84,0,22.88
13,2,1981,21.37,9.11,0,24.64
14,2,1981,22.2,9.86,0,25.55
15,2,1981,21.64,10.28,1.68,25.33
16,2,1981,22.52,9.99,0,25.7
17,2,1981,22.37,10.08,0,24.44
18,2,1981,21.99,10.75,0,22.97
19,2,1981,22.9,9.98,0,23.55
20,2,1981,23.42,9.96,0,24.09
21,2,1981,23.36,9.76,0,25.94
22,2,1981,24.33,9.66,0,26.15
23,2,1981,24.7,9.51,0,26.17
24,2,1981,25.22,10.04,0,25.73
25,2,1981,24.19,10.04,0,25.27
26,2,1981,24.37,9.37,0,26.03
27,2,1981,21.61,10.23,0.28,22.56
28,2,1981,22.05,10.86,4.15,22.06
1,3,1981,21.57,10.49,8.2,21.88
2,3,1981,20.29,10.08,0,20.34
3,3,1981,21.23,9.9,0,22.26
4,3,1981,21.68,10.9,3.39,21.76
5,3,1981,22.12,9.77,0.23,22.68
6,3,1981,22.27,11.37,0,24.68
7,3,1981,22.58,11.41,0,21.82
8,3,1981,21.67,12.02,11.26,19.77
9,3,1981,21.39,11.39,0.93,20.46
10,3,1981,21.06,11.57,0.86,21.89
11,3,1981,21.55,10.63,0,23.08
12,3,1981,21.04,10.6,2.49,20.51
