day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,30.12,15.36,0,20.87
2,1,1981,31.03,15.56,0,21.64
3,1,1981,30.78,16.32,0,21.27
4,1,1981,30.24,16.46,0,20.43
5,1,1981,30.13,16.37,0,18.38
6,1,1981,30.69,15.67,0,21.09
7,1,1981,30.1,14.81,0,21.49
8,1,1981,30.24,13.57,0,23.06
9,1,1981,29.8,12.97,0,22.59
10,1,1981,30.79,15.15,0,22.12
11,1,1981,31.21,15.56,0,21.5
12,1,1981,30.73,15.94,0,21.37
13,1,1981,30.3,14.9,0,21.05
14,1,1981,30.22,15.9,0,20.97
15,1,1981,30.89,15.35,2.69,21.73
16,1,1981,31.25,15.59,0,22.11
17,1,1981,31.62,17.03,0,21.59
18,1,1981,31.55,17.02,0,20.78
19,1,1981,30.9,16.64,0.23,19.21
20,1,1981,31.63,16.73,2.38,21.63
21,1,1981,32.61,16.49,0,21.66
22,1,1981,31.17,17.1,0,20.62
23,1,1981,31.82,17.6,0,21.82
24,1,1981,32.61,16.31,0,23.05
25,1,1981,32.86,15.02,0,23.55
26,1,1981,33.03,15.76,0,23.29
27,1,1981,32.15,15.64,0,22.71
28,1,1981,32.49,15.54,0,22.6
29,1,1981,31.17,16.32,0,21.72
30,1,1981,32.03,15.48,0,23.17
31,1,1981,31.37,13.89,0,24.19
1,2,1981,31.37,12.87,0,24.14
2,2,1981,31.67,13.48,0,23.99
3,2,1981,31.88,13.32,0,24.1
4,2,1981,32.63,14.01,0,23.93
5,2,1981,32.16,14.96,0,23.36
6,2,1981,33.87,15.94,0,24.11
7,2,1981,32.37,15.07,0,23.06
8,2,1981,33.19,16.18,0,23.36
9,2,1981,32.28,17.76,1.57,21.61
10,2,1981,30.68,18.52,0,20.53
11,2,1981,30.86,16.68,0,21.6
12,2,1981,31.83,15.84,0,23.31
13,2,1981,32.31,15.92,0,24.24
14,2,1981,32.65,14.82,0,24.64
15,2,1981,32.5,14.31,0,23.79
16,2,1981,33.73,16.19,0,24.6
17,2,1981,33.59,16.41,0,24.47
18,2,1981,33.49,15.6,0,24.01
19,2,1981,34.43,16.14,0,24.31
20,2,1981,34.81,17.2,0,24.34
21,2,1981,35,17.32,0,24.85
22,2,1981,35.58,16.86,0,25.14
23,2,1981,35.72,17.26,0,24.83
24,2,1981,36.02,18.15,0,24.66
25,2,1981,35.36,17.08,0,25.41
26,2,1981,35.1,16.68,0,25.12
27,2,1981,33.52,17.47,0,22.89
28,2,1981,33.43,19.46,0.56,19.82
1,3,1981,33.31,17.76,0,22.72
2,3,1981,32.79,16.87,0,21.63
3,3,1981,31.89,17.05,0,22.86
4,3,1981,33.47,15.91,0,24.51
5,3,1981,33.24,17.03,0,24.55
6,3,1981,33.31,15.67,0,23.89
7,3,1981,34.43,16.65,0,24.93
8,3,1981,33.68,16.94,0,23.83
9,3,1981,33.41,19.64,0,22.39
10,3,1981,31.34,17.83,0,22.32
11,3,1981,32.23,18.47,2.97,23.03
12,3,1981,33.1,18.66,3.72,22.7
13,3,1981,30.22,18.59,5.93,20.02
14,3,1981,30.37,18.75,0,21.06
15,3,1981,31.81,17.98,0,22.64
16,3,1981,34.04,17.36,0,25.17
17,3,1981,35.13,18.07,0,26.36
18,3,1981,33.52,17.37,0,24.77
19,3,1981,30.19,16.36,0,21.76
20,3,1981,32.45,17.47,0,22.59
21,3,1981,31.79,17.44,0,21.42
22,3,1981,32.07,17.68,0,23.15
23,3,1981,32.67,17.44,0,23.13
24,3,1981,32.87,16.6,0,25.92
25,3,1981,31.98,16.99,4.61,23.04
26,3,1981,30.34,18.16,13.82,19.55
27,3,1981,30.63,17.62,3.37,23.01
28,3,1981,31.93,17.06,0,22.88
29,3,1981,30.63,17.82,0,21.34
30,3,1981,29.29,18.23,0,20.66
31,3,1981,30.64,17.86,0,22.87
1,4,1981,31.77,17.04,0,24.75
2,4,1981,32.2,16.64,0,25.16
3,4,1981,32.7,17.35,0,25.62
4,4,1981,32.99,18.24,0,23.88
5,4,1981,31.87,17.92,0,22
6,4,1981,32.69,18.42,0,23.79
7,4,1981,31.83,18.25,0,21.84
8,4,1981,29.62,18.46,0,19.39
9,4,1981,29.98,17,0,23.82
10,4,1981,29.94,17.19,0,22
11,4,1981,30.7,18.62,0,25.61
12,4,1981,31.26,17.69,0,24.96
13,4,1981,30.92,18.38,0,24.42
14,4,1981,32.25,17.61,0,25.42
15,4,1981,32.51,17.61,0,25.43
16,4,1981,32.68,17.86,0,26.73
17,4,1981,32.77,16.75,0,26.02
18,4,1981,33.01,17.38,0,25.7
19,4,1981,32.78,17.35,0,25.93
