day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.45,12.51,0,21.3
2,1,1981,30.23,12.88,0,21.9
3,1,1981,29.85,13.22,0,21.54
4,1,1981,29.5,13.86,0,20.78
5,1,1981,30.04,13.83,0,20.01
6,1,1981,30.53,13.24,0,22.33
7,1,1981,30.08,12.48,0,22.54
8,1,1981,29.53,11,0,23.31
9,1,1981,29.13,10.8,0,22.82
10,1,1981,30.14,12.25,0,22.33
11,1,1981,30.19,12.98,0,21.47
12,1,1981,30.44,13.58,0,22.04
13,1,1981,29.55,12.36,0,21.79
14,1,1981,29.62,13.01,0,21.3
15,1,1981,30.6,13.48,5.93,22.57
16,1,1981,30.76,13.24,0,22.89
17,1,1981,31.11,13.38,0,22.77
18,1,1981,30.81,14.17,0,21.72
19,1,1981,30.46,14.47,0,20.3
20,1,1981,31.24,14.43,3.45,22.55
21,1,1981,31.51,14.2,0,22.69
22,1,1981,30.44,14.76,0,21.31
23,1,1981,31.81,14.83,0,22.89
24,1,1981,31.96,13.69,0,23.57
25,1,1981,31.85,12.52,0,23.84
26,1,1981,32.29,12.71,0,23.58
27,1,1981,31.78,13.24,0,23.49
28,1,1981,31.78,13.43,0,23.38
29,1,1981,30.87,14.13,0,22.72
30,1,1981,31.33,13.24,0,23.92
31,1,1981,30.53,11.8,0,24.44
1,2,1981,30.64,11.28,0,24.26
2,2,1981,30.85,11.26,0,24.31
3,2,1981,31.02,10.89,0,24.33
4,2,1981,31.71,11.59,0,24.24
5,2,1981,31.98,12.6,0,23.74
6,2,1981,33.1,13.34,0,24.4
7,2,1981,31.92,13,0,23.58
8,2,1981,32.42,13.8,0,23.79
9,2,1981,31.03,15.44,1.36,22.08
10,2,1981,30.19,15.23,0,20.9
11,2,1981,29.66,14.71,0,21.6
12,2,1981,30.28,14.82,0,23.43
13,2,1981,31.15,13.3,0.65,24.41
14,2,1981,31.59,13.16,0,24.96
15,2,1981,30.98,14.15,0,24.16
16,2,1981,32.2,13.07,0,24.68
17,2,1981,32.13,13.98,0,24.46
18,2,1981,32.34,14.61,0.56,23.85
19,2,1981,33.65,15.26,0,24.34
20,2,1981,33.91,15.46,0,24.29
21,2,1981,34.05,15.2,0,25.15
22,2,1981,34.84,14.67,0,25.21
23,2,1981,34.95,14.54,0,25.19
24,2,1981,35.2,14.84,0,25.46
25,2,1981,34.64,15.3,0,25.37
26,2,1981,34.53,14.3,0,25.36
27,2,1981,32.63,15.12,0,23.38
28,2,1981,32.57,17.28,1.27,20.33
1,3,1981,33.04,15.57,2.08,22.9
2,3,1981,31.68,16.09,0,21
3,3,1981,30.84,14.56,0,22.7
4,3,1981,32.54,15.71,0,24.03
5,3,1981,32.25,15.1,0,24.03
6,3,1981,31.52,15.15,0,23.7
7,3,1981,33.7,16.47,0.82,24.36
8,3,1981,33.16,16.93,0,23.38
9,3,1981,32.84,18.41,0,22.57
