day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,29.77,18.69,0,18.72
2,1,1981,30.39,20.23,0,19.78
3,1,1981,30.25,19.62,0,18.93
4,1,1981,30.45,20.58,0,19.41
5,1,1981,30.83,18.72,0,20.79
6,1,1981,29.86,19.1,0,19.15
7,1,1981,29.8,19.03,0,19.62
8,1,1981,30.13,18.98,0,20.21
9,1,1981,30.6,19.52,0,18.73
10,1,1981,30.6,19.9,0,19.85
11,1,1981,30.88,21.38,0,19.84
12,1,1981,31.04,19.56,0,21.41
13,1,1981,31.01,20.28,0,20.37
14,1,1981,31.09,19.6,0,20.08
15,1,1981,31.83,19.08,0,20.12
16,1,1981,31.94,19.39,0,20.8
17,1,1981,31.94,19.67,0,20.35
18,1,1981,31.7,20.23,0,20.66
19,1,1981,31.5,19.48,0,21.38
20,1,1981,31.67,19.75,0,20.31
21,1,1981,30.74,19.81,0,18.88
22,1,1981,30.99,19.96,0,19.25
23,1,1981,30.7,20.42,0,18.52
24,1,1981,30.81,20.54,0,19.28
25,1,1981,30.02,20.75,0,17.74
26,1,1981,31.29,20.76,0,20.35
27,1,1981,31,20.24,0,20.7
28,1,1981,31.2,18.78,0,21.22
29,1,1981,30.67,19.27,0,20.72
30,1,1981,30.54,19.97,0.1,20.01
31,1,1981,31.58,19.96,0,22.04
1,2,1981,31.79,20.03,0,21.31
2,2,1981,32.15,20.11,0,22.21
3,2,1981,32.53,19.86,0,22.86
4,2,1981,32.26,19.23,0,22.61
5,2,1981,32.39,19.11,0,22.56
6,2,1981,33.14,19.39,0,22.87
7,2,1981,32.37,19.4,0,21.59
8,2,1981,32.3,19.98,0,20.26
9,2,1981,30.88,20.93,0,19.69
10,2,1981,29.24,19.29,0,22.61
11,2,1981,30.5,18.55,0,22.66
12,2,1981,31.27,18.1,0,23.15
13,2,1981,32.04,18.66,0,23.34
14,2,1981,32.55,18.44,0,23.54
15,2,1981,32.17,18.63,0,23.47
16,2,1981,32.26,18.69,0,23.54
17,2,1981,32.54,18.61,0,23.57
18,2,1981,32.87,18.86,0,23.55
19,2,1981,33.67,19.67,0,23.56
20,2,1981,33.76,22.73,0,22.93
21,2,1981,34.47,21.47,0,23.53
22,2,1981,34.15,22.71,0,23.18
23,2,1981,34.72,22.67,0,22.38
24,2,1981,34.26,23.53,0,21.72
25,2,1981,34.31,21.33,0,21.47
26,2,1981,33.19,20.77,0.11,22.42
27,2,1981,32.77,21.88,0.11,21.48
28,2,1981,33.33,21.59,0.11,21.37
1,3,1981,33.5,21.01,0,21.53
2,3,1981,33.75,21.34,0,23.12
3,3,1981,32.81,21.09,0,23.86
4,3,1981,33.09,19.36,0,23.88
5,3,1981,33.11,19.96,0,24.24
6,3,1981,32.97,20.52,0,24.38
7,3,1981,33.65,20.4,0,24.46
8,3,1981,33.47,19.81,0,23.95
9,3,1981,30.88,21.63,0,17.59
10,3,1981,32.25,21.37,0,19.08
11,3,1981,33.24,21.35,0,23.29
12,3,1981,30.72,21.71,0,20.71
13,3,1981,31.5,21.16,3.41,21.83
14,3,1981,32.21,20.59,0.35,22.52
15,3,1981,32.6,20.33,2.18,24.35
16,3,1981,32.13,21.66,0,24.46
17,3,1981,32.19,21.24,0,23.98
18,3,1981,32.61,22,0,23.19
19,3,1981,30.78,21.42,0,21.08
20,3,1981,30.3,21.04,0,18.52
21,3,1981,29.61,20.49,0,19.87
22,3,1981,30.13,20.93,0,20.67
23,3,1981,29.19,20.4,0,20.69
24,3,1981,29.77,20.33,0,19.11
25,3,1981,27.12,20.55,3.47,16.86
26,3,1981,26.56,19.86,3.89,14.52
27,3,1981,28.98,19.19,2.73,22.96
28,3,1981,29.25,18.89,0,22.96
29,3,1981,29.62,21.51,0,23.23
30,3,1981,30.81,20.32,0,23.8
31,3,1981,30.92,20.07,0,24.81
1,4,1981,30.82,18.96,0,24.12
2,4,1981,31.36,18.46,0,25.47
3,4,1981,31.77,18.56,0,25.52
4,4,1981,32.41,18.49,0,25.58
5,4,1981,32.43,21.96,0,25.65
6,4,1981,31.73,21.28,0,24.83
7,4,1981,32.04,21.37,0,25.09
8,4,1981,32.64,21.27,0,25.61
9,4,1981,32.55,23.1,0,25.51
10,4,1981,32.8,19.69,0,25.35
11,4,1981,32.63,18.94,0,25.53
12,4,1981,32.25,19.31,0,25.45
13,4,1981,32.32,18.67,0,25.78
14,4,1981,32.58,19.89,0,25.56
15,4,1981,32.98,21.4,0,25.47
16,4,1981,33.57,22.71,0,25.67
17,4,1981,33.61,20.75,0,25.7
18,4,1981,32.49,20.8,0,23.31
19,4,1981,30.98,20.96,0,21.21
20,4,1981,31.97,20.9,0,21.54
21,4,1981,30.68,21.27,0,20.65
22,4,1981,27.68,20,10.02,20.35
23,4,1981,27.69,19.92,0,20.63
24,4,1981,28.03,19.69,0,21.2
25,4,1981,28.45,19.78,0,21.73
26,4,1981,29.19,20.05,0,21.22
27,4,1981,28.95,20.61,0,21.8
28,4,1981,30.56,20.56,0,22.55
29,4,1981,30.17,20.54,0,21.81
30,4,1981,29.35,21.27,6.51,21.78
1,5,1981,28.1,20.12,0,20.62
2,5,1981,29.15,20.57,0,20.7
3,5,1981,29.26,20.65,0,21.58
4,5,1981,29.23,20.67,0,20.62
5,5,1981,28.03,20.28,7.6,19.59
6,5,1981,29.68,19.72,7.54,21.05
7,5,1981,27.65,19.79,8.32,19.77
8,5,1981,26.86,20.09,0,18.57
9,5,1981,28.81,19.37,0,21.46
10,5,1981,26.7,19.98,5,15.92
11,5,1981,27.44,19.8,6.09,17.9
12,5,1981,25.19,19.93,15.24,16.83
13,5,1981,27.48,19.47,0,21.3
14,5,1981,26.51,19.79,0,17.51
15,5,1981,26.88,19.8,10.57,17.66
16,5,1981,26.9,19.46,8.79,19.54
17,5,1981,26.87,19.43,10.07,19.17
18,5,1981,26.68,19.38,0,18.44
19,5,1981,27.24,19.65,4.74,19.2
20,5,1981,26.39,19.6,10.79,19.33
21,5,1981,27.29,19.21,0,20.02
22,5,1981,26.81,19.72,16.6,18.95
23,5,1981,26.04,19.53,0,17.14
24,5,1981,26.9,19.61,29.85,18.58
25,5,1981,27.01,19.58,0,19.27
26,5,1981,26.44,19.78,9.05,18.85
27,5,1981,27.7,19.43,0,21.31
28,5,1981,27.99,19.29,0,21.58
29,5,1981,28.03,19.5,0,21.54
30,5,1981,27.74,20.49,0,20.51
31,5,1981,26.04,20.01,0,17.91
1,6,1981,26.68,20.18,0,19.99
2,6,1981,27.61,19.62,1.78,20.95
3,6,1981,25.38,19.41,4.41,16.6
4,6,1981,26.57,19.02,12,20.03
5,6,1981,25.55,19.22,0,18.46
6,6,1981,26.32,18.97,0,19.22
7,6,1981,26.73,18.82,18.41,20.38
8,6,1981,27.09,19.11,0,20.37
9,6,1981,26.04,19.21,0,16.9
10,6,1981,25.61,19.16,0,18.61
11,6,1981,26.22,18.79,0,20.22
12,6,1981,26.17,19.51,13.98,18.84
13,6,1981,25.49,18.87,1.59,18.5
14,6,1981,25.79,18.55,7.34,20.08
15,6,1981,25.83,18.35,7.19,19.1
16,6,1981,25.8,18.38,15.4,19.79
17,6,1981,26.12,19.07,0,20.23
18,6,1981,26.83,18.67,7.79,20.35
19,6,1981,26.14,19.19,5.82,19.68
20,6,1981,25.66,19.09,0,19.38
21,6,1981,24.64,19,0,18.06
22,6,1981,25.47,18.93,0.31,19.85
23,6,1981,26.33,18.21,0,21.09
24,6,1981,25.92,18.49,0,19.5
25,6,1981,24.57,18.44,24.29,16.37
26,6,1981,24.39,17.98,0,18.2
27,6,1981,24.96,17.76,8.93,20.77
28,6,1981,24.92,18.12,5.34,18.36
29,6,1981,24.28,18.52,0,15.62
30,6,1981,25.88,18.12,14.6,20.36
1,7,1981,25.05,18.44,0,18.3
2,7,1981,25.36,17.98,9.48,18.26
3,7,1981,25.08,18.53,0,19.25
4,7,1981,22.89,18.72,9.36,12.08
5,7,1981,24.79,18.35,0,17.1
6,7,1981,25.22,18.09,0,19.17
7,7,1981,23.01,18.38,6.27,15.07
8,7,1981,24.27,18.19,9.51,16.84
9,7,1981,24.35,18.03,0,16.33
10,7,1981,22.97,18.19,0,15.01
11,7,1981,22.02,17.58,0,15.29
12,7,1981,24.95,16.8,10.84,20.46
13,7,1981,25.07,17.63,11.37,20.81
14,7,1981,25.08,18.21,6.59,19.58
15,7,1981,24.74,17.91,13.21,20.15
16,7,1981,24.15,18.07,6.47,18.06
17,7,1981,21.6,18.29,11.67,12.29
18,7,1981,24,17.88,5.62,18.69
