day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,27.28,15.78,0,18.03
2,1,1981,27.69,16.76,0,19.57
3,1,1981,27.79,16.72,0,18.85
4,1,1981,28.21,17.3,0,19.16
5,1,1981,28.73,15.68,0,21.14
6,1,1981,27.56,16.05,0,19.06
7,1,1981,27.46,16.13,0,19.79
8,1,1981,27.88,15.85,0,20.22
9,1,1981,27.92,16.47,0,18.72
10,1,1981,28.22,16.69,0,20.14
11,1,1981,28.56,18.04,0,19.59
12,1,1981,28.96,16.32,0,20.9
13,1,1981,28.61,16.86,0,19.85
14,1,1981,28.61,16.42,0,19.32
15,1,1981,29.27,16.11,0,19.48
16,1,1981,29.5,16.25,0,20.38
17,1,1981,29.39,16.41,0,19.82
18,1,1981,29.16,17.25,0,19.84
19,1,1981,29.29,16.38,0,20.77
20,1,1981,29.64,16.61,0,20.25
21,1,1981,28.76,17.07,0,18.63
22,1,1981,28.45,16.9,0,18.4
23,1,1981,28.35,17.07,0,18.83
24,1,1981,28.46,17.55,0,19.33
25,1,1981,27.71,17.61,0,18.27
26,1,1981,28.9,17.86,0,20.09
27,1,1981,28.97,17.13,0,20.58
28,1,1981,29.04,15.89,0,21.11
29,1,1981,28.51,16.29,0,20.68
30,1,1981,28.42,16.86,0.77,20.11
31,1,1981,29.73,16.88,0,22.18
1,2,1981,30.14,16.79,0,21.76
2,2,1981,30.18,17.02,0,22.49
3,2,1981,30.77,16.83,0,23.17
4,2,1981,30.3,16.44,0,22.2
5,2,1981,30.3,16.42,0,22.01
6,2,1981,31.2,16.62,0,23.14
7,2,1981,30.13,16.95,0,21.3
8,2,1981,30.04,17.1,0,19.8
9,2,1981,28.77,17.88,0,18.62
10,2,1981,28.15,16.53,0,22.46
11,2,1981,29.13,15.81,0,22.83
12,2,1981,29.51,15.36,0,23.32
13,2,1981,30.18,15.82,0,23.7
14,2,1981,30.54,15.72,0,23.91
15,2,1981,30.18,15.99,0,23.89
16,2,1981,30.22,15.83,0,23.91
17,2,1981,30.48,15.7,0,23.95
18,2,1981,30.83,15.93,0,23.95
19,2,1981,31.54,16.17,0,23.86
20,2,1981,31.14,19.21,0,22.51
21,2,1981,32.28,17.73,0,23.69
22,2,1981,31.8,19.8,0,23.09
23,2,1981,32.13,19.56,0,22.3
24,2,1981,31.51,20.54,0,21.5
25,2,1981,31.89,18.51,0,21.45
26,2,1981,30.89,17.83,0.05,22.13
27,2,1981,30.4,18.82,0.05,21.01
28,2,1981,30.97,18.22,0.05,21.2
1,3,1981,31.36,17.98,0,20.96
2,3,1981,31.58,18.07,0,23.16
3,3,1981,30.88,18.01,0,23.57
4,3,1981,30.82,16.33,0,23.5
5,3,1981,31.13,17.15,0,24.52
6,3,1981,31.07,17.57,0,24.71
7,3,1981,31.71,17.35,0,24.73
8,3,1981,31.02,16.4,0,23.41
9,3,1981,28.77,18.55,0,17.45
10,3,1981,29.8,18.23,0,17.83
11,3,1981,30.93,18.68,0,22.42
12,3,1981,28.97,18.49,0,20.48
13,3,1981,28.7,17.86,4.61,19.93
14,3,1981,29.6,17.74,1.59,21.68
15,3,1981,30.19,17.98,2.86,24.09
16,3,1981,29.56,18.46,0,23.98
17,3,1981,29.94,17.63,0,23.48
18,3,1981,29.89,18.83,0,22.36
19,3,1981,28.29,17.65,0,20.36
20,3,1981,28.26,17.98,0,18.07
21,3,1981,27.78,17.2,0,19.44
22,3,1981,28.06,17.62,0,20.28
23,3,1981,27.55,16.88,0,20.45
24,3,1981,27.83,17.28,0,18.51
25,3,1981,24.91,17.2,6.11,16.59
26,3,1981,25.51,16.68,6.64,15.72
27,3,1981,27.25,15.92,4.44,22.09
28,3,1981,27.68,16.56,0,22.16
29,3,1981,27.84,18.8,0,22
30,3,1981,28.93,18.06,0,24.01
31,3,1981,29.02,17.15,0,25.03
1,4,1981,28.78,16.45,0,24.2
2,4,1981,29.36,15.66,0,25.63
3,4,1981,29.59,15.67,0,25.6
4,4,1981,30.27,15.71,0,25.65
5,4,1981,30.32,18.7,0,25.72
6,4,1981,29.62,17.87,0,24.55
7,4,1981,29.93,18.62,0,24.83
8,4,1981,30.52,18.43,0,25.64
9,4,1981,30.54,18.62,0,25.23
10,4,1981,30.78,17.03,0,24.98
11,4,1981,30.79,16.4,0,25.5
12,4,1981,30.47,15.78,0,25.54
13,4,1981,30.46,16.28,0,25.71
14,4,1981,30.69,17.04,0,25.48
15,4,1981,31.09,18.76,0,25.23
16,4,1981,31.51,19,0,25.39
17,4,1981,31.64,18.21,0,25.58
18,4,1981,30.27,17.87,0,22.48
19,4,1981,29.11,18.14,0,20.4
20,4,1981,30,17.82,0,21.1
21,4,1981,29.45,18.41,0,20.5
22,4,1981,26.48,17.2,17.24,20.05
23,4,1981,26.18,16.95,0,19.83
24,4,1981,26.61,16.65,0,20.63
25,4,1981,27.26,16.83,0,21
26,4,1981,27.69,16.89,0,20.96
27,4,1981,27.19,17.47,0,20.5
28,4,1981,28.6,17.39,0,21.93
29,4,1981,28.37,17.7,0,21.77
30,4,1981,27.86,18.18,11.21,21.65
1,5,1981,26.41,17.2,0,20.16
2,5,1981,27.88,17.51,0,19.86
3,5,1981,28.01,17.56,0,21.21
4,5,1981,28.16,17.62,0,20.58
5,5,1981,26.97,17.07,9.42,19.19
6,5,1981,28.08,16.96,11.31,20.11
7,5,1981,26.34,17,9.63,19.12
8,5,1981,26.03,17.02,0,18.46
9,5,1981,27.59,16.57,0,20.86
10,5,1981,25.67,17.25,4.98,16.08
11,5,1981,26.22,16.99,9.06,17.34
12,5,1981,23.77,16.92,21.3,15.17
13,5,1981,26.28,16.59,1.31,21.3
14,5,1981,25.28,16.88,0,17.21
15,5,1981,25.91,16.87,14.13,17.76
16,5,1981,25.78,16.57,9.84,19.1
17,5,1981,25.91,16.35,12.47,18.91
18,5,1981,25.25,16.52,0,17.86
19,5,1981,26.01,16.77,4.48,18.72
20,5,1981,25.48,16.66,13.69,19.09
21,5,1981,26.12,16.26,2.44,19.41
22,5,1981,25.86,16.68,18.75,18.74
23,5,1981,25.03,16.53,0,16.83
24,5,1981,25.99,16.64,33.25,17.96
25,5,1981,25.92,16.49,4.37,18.67
26,5,1981,25.17,16.78,13.22,18.23
27,5,1981,26.23,16.46,0,20.49
28,5,1981,26.61,16.29,0,21.05
29,5,1981,26.74,16.42,0,21.36
30,5,1981,26.38,17.51,0,19.8
31,5,1981,24.6,17.15,0,17.13
1,6,1981,25.39,17.34,0,19.39
2,6,1981,26.35,16.67,4.13,20.62
3,6,1981,24.37,16.85,4.82,16.66
4,6,1981,25.55,16.16,12.37,20.02
5,6,1981,24.7,16.46,0.66,18.17
6,6,1981,25.37,16.03,0.99,18.71
7,6,1981,25.62,15.87,18.22,19.79
8,6,1981,25.93,16.34,5.92,19.6
9,6,1981,25.03,16.39,0,16.72
10,6,1981,24.55,16.3,0,18.33
11,6,1981,25.18,15.9,0,19.42
12,6,1981,25.24,16.47,15.75,18.53
13,6,1981,24.68,15.96,5.02,19.04
14,6,1981,24.51,15.89,9.63,19.63
15,6,1981,24.55,15.44,9.46,18.99
16,6,1981,24.67,15.39,20.83,19.3
17,6,1981,25.17,16.08,1.61,20.07
18,6,1981,25.78,15.98,12.19,19.81
19,6,1981,24.81,16.33,8.17,19.69
20,6,1981,24.78,16.05,0,18.85
21,6,1981,23.89,16.08,0.61,17.93
22,6,1981,24.49,16.14,2.92,19.54
23,6,1981,25.21,15.33,0,20.71
24,6,1981,24.88,15.54,3.16,18.72
25,6,1981,23.7,15.78,23.96,16.04
26,6,1981,23.58,15.19,0,18.28
27,6,1981,23.93,14.92,14.77,20.13
28,6,1981,23.96,15.1,8.38,17.93
29,6,1981,23.56,15.76,0,16.55
30,6,1981,24.95,15.32,19.06,20.21
1,7,1981,24.1,15.68,0,17.86
2,7,1981,24.44,15.14,12.46,18.61
3,7,1981,23.91,15.93,0,18.22
4,7,1981,22.16,16,13.89,13.41
5,7,1981,23.9,15.6,0,17.39
6,7,1981,24.32,15.58,1.47,18.92
7,7,1981,22.36,15.57,8.94,15.69
8,7,1981,23.18,15.57,10.45,16.49
9,7,1981,23.3,15.39,2.14,16.22
10,7,1981,21.66,15.29,0,15.48
11,7,1981,21.28,14.81,0,15.65
12,7,1981,24.03,14.02,13.22,20.4
13,7,1981,23.9,14.77,12.57,20.41
14,7,1981,24.1,15.52,6.71,19.25
15,7,1981,23.92,14.94,15.93,19.73
16,7,1981,23.13,15.25,5.1,17.54
17,7,1981,21.05,15.46,11.22,12.91
18,7,1981,23.11,15.1,5.47,18.82
19,7,1981,22.63,15,4.99,15.79
20,7,1981,22.99,15.14,15.64,17.11
21,7,1981,23.32,15.44,15.56,18.33
22,7,1981,24.04,15.34,10.12,19.21
23,7,1981,22.86,15.82,14.11,18.27
24,7,1981,22.61,15.21,16.64,15.97
25,7,1981,22.12,15.03,21.4,15.8
26,7,1981,23.21,15.26,7.62,20.12
27,7,1981,23.2,15.33,5.07,16.95
28,7,1981,22.64,14.72,7.3,18.96
29,7,1981,23.61,14.91,4.86,21.06
30,7,1981,23.52,14.82,5,19.67
31,7,1981,22.7,14.72,29.97,19.21
1,8,1981,23.23,14.92,1.69,20.37
2,8,1981,24.73,14.93,13.56,21.33
3,8,1981,24.13,15.21,18.71,18.83
4,8,1981,23.49,15.86,16.08,16.28
5,8,1981,23.94,15.55,3.65,19.91
6,8,1981,24.15,15.04,6.49,19.16
7,8,1981,24.42,15.83,7.89,20.19
8,8,1981,20.91,15.77,3.43,11.94
9,8,1981,23.65,15.25,5.62,19.78
10,8,1981,23.94,15.21,5.36,19.69
11,8,1981,24.78,15.6,8.28,20.92
12,8,1981,24.32,15.67,4.73,20.21
13,8,1981,24,15.49,4.49,19.57
14,8,1981,23.39,15.58,4.77,17.57
15,8,1981,24.2,14.77,6.89,20.07
16,8,1981,24.59,15.64,30.16,20.34
17,8,1981,23.54,15.66,5.63,18.33
18,8,1981,23.67,15.15,8.14,18.15
19,8,1981,23.77,15.43,4.81,18.06
20,8,1981,23.39,15.09,13.01,18.67
21,8,1981,22.62,15.47,3.65,16.3
22,8,1981,23.76,15.54,5.17,18.66
