day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,35.69,20.42,0,20.81
2,1,1981,36.21,22.62,0,21.23
3,1,1981,35.99,21.98,0,20.8
4,1,1981,35.82,22.85,0,20.91
5,1,1981,35.66,20.33,0,21.3
6,1,1981,35.58,21.33,0,21.4
7,1,1981,35.19,21.33,0,21.02
8,1,1981,35.71,20.81,0,21.56
9,1,1981,36.34,21.62,0,20.74
10,1,1981,37.01,21.63,0,21.41
11,1,1981,36.81,22.01,0,21.82
12,1,1981,36.08,20.99,0,22.04
13,1,1981,36.27,21.95,0,21.96
14,1,1981,36.14,21.62,0,21.92
15,1,1981,36.79,20.48,0,21.83
16,1,1981,37.01,21.64,0,21.99
17,1,1981,37.14,22.28,0,21.91
18,1,1981,36.75,23.04,0,22.09
19,1,1981,35.97,20.88,0,21.37
20,1,1981,36.8,21.12,0,22.16
21,1,1981,35.67,21.83,0,21.53
22,1,1981,36.85,21.66,0,21.23
23,1,1981,36.64,22.48,0,20.08
24,1,1981,36.93,23.01,0,20.82
25,1,1981,36.93,23.26,0,19.66
26,1,1981,37.21,23.23,0,22.11
27,1,1981,35.83,22.95,0,22.3
28,1,1981,36.16,20.67,0,22.34
29,1,1981,35.63,21.07,0,21.64
30,1,1981,36.43,21.74,0,21.74
31,1,1981,36.33,21.55,0,22.23
1,2,1981,36.66,22,0,22.25
2,2,1981,36.81,21.85,0,22.61
3,2,1981,36.8,20.61,0,23.05
4,2,1981,37.1,20.31,0,23.1
5,2,1981,37.29,19.59,0,22.97
6,2,1981,37.91,19.77,0,23.14
7,2,1981,37.61,20.56,0,22.97
8,2,1981,38.05,21.85,0,22.46
9,2,1981,36.3,23.41,0,21.07
10,2,1981,34.05,22.08,0,23.12
11,2,1981,34.76,19.83,0,23.22
12,2,1981,36,18.27,0,23.37
13,2,1981,36.79,18.38,0,23.5
14,2,1981,37.48,18.14,0,23.71
15,2,1981,37.35,18.55,0,23.63
16,2,1981,37.51,20.03,0,23.68
17,2,1981,37.77,19.35,0,23.72
18,2,1981,38.06,19.98,0,23.68
19,2,1981,38.71,21.24,0,23.72
20,2,1981,39.31,21.3,0,23.6
21,2,1981,39.19,21.58,0,23.6
22,2,1981,39.77,22.12,0,23.58
23,2,1981,40.15,24.62,0,23.63
24,2,1981,39.86,23.97,0,23.61
25,2,1981,39.67,24.38,0,23.32
26,2,1981,39.04,23.67,0,23.45
27,2,1981,38.55,25.02,0,22.94
28,2,1981,38.78,23.05,0,22.65
1,3,1981,39.18,23.47,0,23.4
2,3,1981,38.91,22.98,0,23.72
3,3,1981,37.97,22.37,0,24.1
4,3,1981,38.29,20.71,0,24.19
5,3,1981,38.1,21.41,0,24.3
6,3,1981,38.19,21.47,0,24.4
7,3,1981,38.55,20.85,0,24.46
8,3,1981,38.95,21.67,0,24.19
9,3,1981,38.45,25.85,0,21.2
10,3,1981,38.68,24.94,0,22.61
11,3,1981,39.4,24.46,0,23.93
12,3,1981,37.94,26.02,0,21.7
13,3,1981,37.82,25.96,0,22.19
14,3,1981,37.54,25.87,0,23.78
15,3,1981,38.13,23.13,0,24.48
16,3,1981,38.06,21.45,0,24.77
17,3,1981,38.26,20.89,0,24.64
18,3,1981,39.33,21.72,0,24.25
19,3,1981,37.36,23.88,0,21.02
20,3,1981,37.23,24.54,0,20.53
21,3,1981,36.9,24.03,0,22.17
22,3,1981,37.72,25.1,0,22.32
23,3,1981,37.41,24.82,0,22.35
24,3,1981,37.19,24.52,0,21.42
25,3,1981,34.78,25.07,0.23,17.48
