day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,31.01,17.88,0,19.87
2,1,1981,31.66,18.74,0,20.05
3,1,1981,31.73,18.27,0,20.08
4,1,1981,31.41,19.23,0,18.54
5,1,1981,31.67,19.59,0,19.99
6,1,1981,31.23,19.97,0,19.43
7,1,1981,30.34,19.66,0,18.8
8,1,1981,31.06,18.88,0,20.47
9,1,1981,31.97,18.17,0,19.99
10,1,1981,32.32,17.72,0,20.75
11,1,1981,32.15,18.08,0,20.61
12,1,1981,32.01,18.58,0,21.13
13,1,1981,31.91,18.49,0,20.87
14,1,1981,32.3,18.23,0,21.1
15,1,1981,32.29,18.61,0,20.33
16,1,1981,32.29,18.58,0,20.21
17,1,1981,32.66,18.79,0,20.79
18,1,1981,32.2,18.72,0,20.38
19,1,1981,32.12,18.54,0,21.32
20,1,1981,32.77,18.89,0,21.31
21,1,1981,31.54,19.08,0,20.33
22,1,1981,31.8,18.95,0,18.91
23,1,1981,32.61,19.4,0,20.05
24,1,1981,32.21,19.31,0,20.44
25,1,1981,32.59,19.27,0,20.07
26,1,1981,33.11,18.97,0,20.89
27,1,1981,32.13,19.03,0,21.5
28,1,1981,32.31,19.23,3.29,21.67
29,1,1981,31.37,19.42,0,20.6
30,1,1981,31.72,19.39,0,19.72
31,1,1981,32.26,19.18,0,21.27
1,2,1981,32.95,18.42,0,22.63
2,2,1981,33.34,18.4,0,22.43
3,2,1981,33.48,17.78,0,23.18
4,2,1981,33.38,18.67,0,23.27
5,2,1981,33.51,19.09,0,22.55
6,2,1981,34.3,18.53,0,23.06
7,2,1981,33.27,19.47,0,21.62
8,2,1981,33.35,18.76,0,20.91
9,2,1981,32.66,20.17,0.33,20.32
10,2,1981,31.11,18.23,0.33,23.37
11,2,1981,31.87,17.75,0,23.52
12,2,1981,32.6,17.97,0,23.61
13,2,1981,33.47,17.79,0,23.88
14,2,1981,33.71,16.38,0,24.23
15,2,1981,33.64,18.16,0,24.01
16,2,1981,33.89,17.05,0,24.14
17,2,1981,33.98,16.79,0,24.1
18,2,1981,34.47,17.79,0,24.06
19,2,1981,35.17,18.39,0,23.86
20,2,1981,35.44,18.94,0,23.16
21,2,1981,35.8,19.9,0,22.77
22,2,1981,36.43,19.82,0,23.43
23,2,1981,36.22,20.51,0,23
24,2,1981,36.13,21.17,0,22.12
25,2,1981,35.98,21.33,0,22.49
26,2,1981,35.52,21.07,0,23.2
27,2,1981,34.68,21.38,0,22.11
28,2,1981,34.85,20.96,0,21.4
1,3,1981,35.35,20.86,0,23.02
2,3,1981,35.22,20.31,0,23.12
3,3,1981,34.84,20.14,0,24.71
4,3,1981,35.08,18.67,0,24.64
5,3,1981,34.76,18.36,0,24.81
6,3,1981,34.65,18.84,0,24.93
7,3,1981,35.46,19.21,0,24.97
