day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,26.86,11.69,0,22.75
2,1,1981,26.79,12.34,0,22.52
3,1,1981,27.43,13.11,0,21.37
4,1,1981,26.49,14.09,2.5,18.39
5,1,1981,27.41,12.76,2.5,23.19
6,1,1981,27.07,12.68,0,24.45
7,1,1981,26.47,10.92,0,24.97
8,1,1981,26.63,11.25,0,24.55
9,1,1981,26.36,10.83,0,24.38
10,1,1981,27.24,11.39,0,24.26
11,1,1981,26.91,12.35,0,24.62
12,1,1981,26.99,13.19,0,24.42
13,1,1981,26.23,11.31,0,24.42
14,1,1981,26.96,12.65,0,24.53
15,1,1981,27.06,12.76,0,23.21
16,1,1981,27.19,13,0,23.32
17,1,1981,26.94,12.32,0,24.22
18,1,1981,27.5,13.23,0,24.83
19,1,1981,27.29,12.71,0,23.84
20,1,1981,27.48,13.06,0,23.48
21,1,1981,27.26,12.74,0,23.64
22,1,1981,27.4,13.82,0,22.05
23,1,1981,28.59,13.75,0,23.38
24,1,1981,27.88,13.92,0,22.37
25,1,1981,28.23,12.9,0,24.75
26,1,1981,28.15,13.11,0,25.63
27,1,1981,28.3,11.65,0,25.71
28,1,1981,27.64,12.94,0,24.68
29,1,1981,26.27,13.17,0,24.86
30,1,1981,26.34,11.15,0,26.58
31,1,1981,26.46,10.2,0,26.74
1,2,1981,26.89,11.48,0,26.27
2,2,1981,25.76,11.98,0,26.33
3,2,1981,26.63,11.75,0,26.18
4,2,1981,27.32,12.15,0,24.46
5,2,1981,27.1,12.37,0,22.93
6,2,1981,27.75,12.35,0,25.13
7,2,1981,27.28,12.9,0,24.05
8,2,1981,27.89,13.58,0,25.62
9,2,1981,26.87,13.37,0,24.51
10,2,1981,28.17,14.73,0,22.92
11,2,1981,25.03,14.95,0,15.64
12,2,1981,22.91,15.03,0,13.59
13,2,1981,21.62,13.23,14.8,12.19
14,2,1981,22.98,13.51,0,16.98
15,2,1981,23.07,14.17,0,18.31
16,2,1981,24.04,13.82,0,18.64
17,2,1981,25.25,13.94,0,19.46
18,2,1981,26.09,14.31,0,22.14
19,2,1981,25.86,14.65,0,20.09
20,2,1981,26.43,14.19,0,21.68
21,2,1981,26.89,14.48,0,22.87
22,2,1981,28.75,14.09,0,24
23,2,1981,29.14,14.29,0,25.61
24,2,1981,29.35,15.01,0,24.99
25,2,1981,28.76,13.95,0.95,24.73
26,2,1981,28.16,14.31,0,23.05
27,2,1981,27.84,14.49,0,24.67
28,2,1981,28.64,15.03,0,22.66
1,3,1981,28.04,15.42,0,23.89
2,3,1981,27.23,15.39,0.33,22.54
3,3,1981,25.56,15.97,34.01,17.84
4,3,1981,24.01,15.65,17.58,14.45
5,3,1981,23.4,15.24,0,11.98
6,3,1981,25.31,14.84,0,20.57
7,3,1981,26.61,12.92,0,24.07
8,3,1981,27.2,13.53,0,27.44
9,3,1981,27.74,14.95,0.75,24.04
10,3,1981,27.32,15.29,0,23.46
11,3,1981,24.71,15.2,0,17.92
12,3,1981,24.12,15.38,0,19.78
13,3,1981,25.51,15.45,0,21
14,3,1981,24.58,15.44,12.03,17.68
15,3,1981,23.29,15.65,2.41,16.87
16,3,1981,22.94,15.09,0.23,14.48
17,3,1981,24.47,15.69,0.84,20.43
18,3,1981,23.52,15.09,0,17.54
19,3,1981,21.76,15.15,0,12.96
20,3,1981,23.36,15.21,23.12,17.99
21,3,1981,24.21,15.05,2.78,20.47
22,3,1981,23.49,14.87,10.14,18.96
23,3,1981,23.96,14.24,8,19.55
24,3,1981,24.21,14.13,0.16,18.89
25,3,1981,24.95,14.05,0.16,19.93
26,3,1981,24.05,15.4,0,18.38
27,3,1981,24.13,15.56,0,16.8
28,3,1981,23.39,15.25,13.2,15.36
29,3,1981,24.65,14.87,31.49,20.06
30,3,1981,24.42,14.54,14.87,20.11
31,3,1981,26.43,16.01,0,24.96
1,4,1981,23.66,15.08,0,16.72
2,4,1981,24.32,15.48,0,21.11
3,4,1981,24.75,14.02,29.73,21.82
4,4,1981,24.87,15.33,0,19.93
5,4,1981,25.55,14.85,0,21.92
6,4,1981,26.14,15.4,0,22.13
7,4,1981,26.85,15.51,0,24.46
