day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,16.36,5.63,0,22.41
2,1,1981,16.47,5.66,6.28,23.89
3,1,1981,16.76,5.43,0,24
4,1,1981,16.37,4.91,0.26,24.32
5,1,1981,16.59,4.33,0,24.4
6,1,1981,15.58,4.47,0,22.66
7,1,1981,16.09,3.5,0,25.07
8,1,1981,15.91,3.92,0,25.42
9,1,1981,15.81,3.5,0,25.52
10,1,1981,16.33,3.9,0,25.27
11,1,1981,17.01,4.41,0,25.42
12,1,1981,16.18,5.37,0,23.42
13,1,1981,17.03,4.34,0,25.42
14,1,1981,16.83,4.69,0,23.67
15,1,1981,16.56,4.86,0,24.38
16,1,1981,16.77,4.05,0,25.79
17,1,1981,17.2,3.76,0,25.94
18,1,1981,17.32,4.17,0,25.84
19,1,1981,17.32,4.17,0,26.15
20,1,1981,17.24,4.34,0,26.16
21,1,1981,17.76,5.01,0,25.59
22,1,1981,17.34,5.7,0,24.23
23,1,1981,17.26,4.93,0,25.86
24,1,1981,16.85,4.19,0,25.92
25,1,1981,17.2,4.32,0,26.19
26,1,1981,17.1,3.64,0,26.67
27,1,1981,17.12,3.12,0,27.01
28,1,1981,17.42,3.53,0,27.02
29,1,1981,17.09,4.08,0,26.65
30,1,1981,17.19,4.26,0,26.52
31,1,1981,16.84,3.73,0,27.18
1,2,1981,16.26,3.37,0,27.16
2,2,1981,15.97,3.38,0,26.96
3,2,1981,16.27,3.92,0,27.18
4,2,1981,16.46,3.44,0,26.99
5,2,1981,16.17,3.79,0,26.74
6,2,1981,16.63,3.53,0,27.18
7,2,1981,17.31,3.59,0,27.23
8,2,1981,17.82,4,0,27.25
9,2,1981,18.36,5.59,0,25.3
10,2,1981,17.73,7.17,0,21.92
11,2,1981,17.1,8.54,0,20.54
12,2,1981,16.99,6.74,16,20.79
13,2,1981,15.14,7.13,13.02,16.76
14,2,1981,15.72,6.87,5.16,20.32
15,2,1981,16.92,5.83,0,22.88
16,2,1981,15.56,6.81,0,17.71
17,2,1981,16.03,6.41,4.16,19.68
18,2,1981,16.03,7.04,4.75,21.27
19,2,1981,16.26,5.91,0,24.97
20,2,1981,16.5,4.59,0,26.04
21,2,1981,16.65,4.83,0,27.01
22,2,1981,17.04,4.92,0,26.61
23,2,1981,17.71,4.73,0,27.7
24,2,1981,18.09,4.64,0,27.42
25,2,1981,17.61,4.81,2.4,27.38
26,2,1981,17.52,4.83,0,27.45
27,2,1981,17.73,4.68,0,26.21
28,2,1981,17.3,6.8,0,24.02
1,3,1981,17.17,6.16,0,23.82
2,3,1981,16.7,7.31,25.6,20.07
3,3,1981,15.17,7.28,2.9,16.39
4,3,1981,15.61,7.93,20.56,17.32
5,3,1981,14.87,6.07,13,19.2
6,3,1981,15.1,7.38,0,17.6
7,3,1981,14.78,6.66,1.8,20.54
8,3,1981,16.01,4.62,0,26.02
9,3,1981,15.98,4.9,0,25.17
10,3,1981,16.08,5.32,0,24.73
11,3,1981,15,6.71,5.2,20.99
12,3,1981,15.62,5.91,7.44,23.18
13,3,1981,15.9,6.02,2.89,21.42
14,3,1981,15.83,7.1,0,20.94
15,3,1981,15.49,7.75,5.41,19.1
16,3,1981,15.03,7.84,0,16.19
17,3,1981,16.23,6.82,5.98,19.59
18,3,1981,15.49,6.21,19.9,18.88
19,3,1981,15.25,6.82,14.24,16.98
