day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,19.41,7.65,0,20.47
2,1,1981,19.69,8.01,0,18.8
3,1,1981,20.75,8.16,0,20.95
4,1,1981,19.83,8.6,4.25,20.22
5,1,1981,20.61,8.55,4.25,21.19
6,1,1981,18.56,8.35,0,17.9
7,1,1981,19.64,7.58,0,24.15
8,1,1981,19.91,7.12,0,24.88
9,1,1981,20.01,7.25,0,24.81
10,1,1981,20.75,7.23,0,23.28
11,1,1981,21.12,7.94,0,23.15
12,1,1981,19.11,8.9,0,19.32
13,1,1981,20.08,8.05,0,22.71
14,1,1981,19.45,7.9,0,21.94
15,1,1981,19.74,8.06,0,21.56
16,1,1981,20.54,7.71,0,24.62
17,1,1981,21.5,7.77,0,24.58
18,1,1981,21.58,7.95,0,24.32
19,1,1981,21.13,7.88,0,24.84
20,1,1981,21.02,7.93,0,25.28
21,1,1981,21.62,7.77,0,24.47
22,1,1981,20.14,8.85,0,19.97
23,1,1981,21.57,8.56,0,24.54
24,1,1981,21.26,8.97,0,24.67
25,1,1981,21.98,8.7,0,25.42
26,1,1981,21.96,8.46,0,25.76
27,1,1981,21.65,7.75,0,25.92
28,1,1981,21.45,8.25,0,25.89
29,1,1981,20.29,8.02,0,24.81
30,1,1981,19.6,7.67,0,23.68
31,1,1981,19.91,6.48,0,26.37
1,2,1981,20.64,6.87,0,26.37
2,2,1981,20.1,7.48,0,26.18
3,2,1981,20.45,7.9,0,26.28
4,2,1981,21.06,7.39,0,26.25
5,2,1981,20.83,7.8,0,25.94
6,2,1981,21.67,8.14,0,26.37
7,2,1981,21.24,7.73,0,26.34
8,2,1981,21.62,8.01,0,25.64
9,2,1981,21.58,8.2,0,22.4
10,2,1981,20.36,10.13,1.09,19.54
11,2,1981,17.75,11.75,7.91,15.49
12,2,1981,18.12,10.74,4.86,18.17
13,2,1981,17.28,9.81,8.77,14.72
14,2,1981,19.17,9.57,1.53,19.78
15,2,1981,19.62,9.8,0,21.82
16,2,1981,18.19,9.39,0,17.12
17,2,1981,19.36,9.52,0,19.51
18,2,1981,19.32,10.1,3.63,20.18
19,2,1981,20.45,9.2,0,21.81
20,2,1981,20.92,9.12,0,24.16
21,2,1981,21.23,9.37,1.76,25.8
22,2,1981,21.59,9.63,0,24.75
23,2,1981,22.29,9.28,0,26.81
24,2,1981,23.11,9.42,0,25.65
25,2,1981,22.53,9.81,0,26.25
26,2,1981,22.51,9.78,0,26.6
27,2,1981,21.09,9.26,0,22.07
28,2,1981,21.32,10.3,0,20.82
1,3,1981,22.06,10.81,0,22.76
2,3,1981,21.35,11.77,17.45,18.38
3,3,1981,18.85,12.56,25.4,15.74
4,3,1981,18,11,7.37,15.24
5,3,1981,17.46,11.06,8.09,14.41
6,3,1981,18.34,10.47,1.09,19.14
