day,month,year,t_max,t_min,prec,sol_rad
1,1,1981,20.27,9.01,0,20.76
2,1,1981,20.86,9.73,1,22.52
3,1,1981,21.47,9.51,2.42,20.84
4,1,1981,20.85,9.11,4.42,20.1
5,1,1981,21.86,9.11,0,22.19
6,1,1981,20.72,9.57,0,19.39
7,1,1981,21.75,9.16,0,23.99
8,1,1981,21.06,9.36,0,24.81
9,1,1981,20.94,9.11,0,25.21
10,1,1981,20.45,7.82,0,23.2
11,1,1981,21.39,8.39,0,23.77
12,1,1981,21.24,8.88,0,22.45
13,1,1981,21.6,10.23,0,22.1
14,1,1981,20.26,9.56,0,19.47
15,1,1981,20.42,9.83,0,21.15
16,1,1981,20.44,8.58,0,22.2
17,1,1981,21.84,8.28,0,24.94
18,1,1981,21.69,9.2,0,23.8
19,1,1981,22.2,8.62,0,25.63
20,1,1981,21.7,8.36,0,25.61
21,1,1981,21.57,8.91,0,22.75
22,1,1981,22.12,9.88,0,21.36
23,1,1981,22.23,10.3,0,21.93
24,1,1981,22.24,9.63,0,25.42
25,1,1981,22.21,8.69,0,25.54
26,1,1981,22.05,8.73,0,25.73
27,1,1981,22.33,8.2,0,26.34
28,1,1981,22.42,8.12,0,26.55
29,1,1981,22.4,8.65,0,25.57
30,1,1981,22.02,9.9,0,20.82
31,1,1981,22.33,9.13,0,25.2
1,2,1981,21.17,8.63,0,26.61
2,2,1981,21.67,8.12,0,26.33
3,2,1981,22.15,7.91,0,26.72
4,2,1981,21.62,7.89,0,26.46
5,2,1981,21.35,8.33,0,25.87
6,2,1981,21.7,8.31,0,26.43
7,2,1981,21.9,8.14,0,26.73
8,2,1981,22.52,8.23,0,26.09
9,2,1981,22.02,9.69,0,21.36
10,2,1981,21.69,10.15,0,23.15
11,2,1981,22.02,10.04,0,20.15
12,2,1981,20.52,10.44,0,19.49
13,2,1981,19.85,11.31,0,17.58
14,2,1981,19.57,10.44,18.82,19.84
15,2,1981,20.69,10.71,0,19.9
16,2,1981,18.96,11.22,2.14,16.22
17,2,1981,20.77,10.59,0,19.43
18,2,1981,21.33,10.65,3.6,21.02
19,2,1981,20.67,10.4,0,20.16
20,2,1981,21.93,9.36,0,23.88
21,2,1981,22.32,9.2,0,25.92
22,2,1981,22.58,9.34,0,25.59
23,2,1981,23.27,9.2,0,26.76
24,2,1981,23.44,9.35,0,26.46
25,2,1981,23.3,9.58,4.29,26.32
26,2,1981,22.72,9.56,0,25.86
27,2,1981,23.02,9.76,0.19,25.03
28,2,1981,22.71,10.72,0,22.18
1,3,1981,21.73,10.51,0,22.34
2,3,1981,20.85,11.15,0.67,19.54
3,3,1981,21.6,11.19,0,19.73
4,3,1981,20.88,11.57,4,20.18
